#Energy      Sr  Total
       1943.0010          7.30152843E+01          7.30152843E+01
       2000.0000          7.41938372E+01          7.41938372E+01
       2009.9990          7.44001924E+01          7.44001924E+01
       2010.0010          7.44002336E+01          7.44002336E+01
       2100.0000          7.62522503E+01          7.62522503E+01
       2200.0000          7.82986309E+01          7.82986309E+01
       2218.9990          7.86860495E+01          7.86860495E+01
       2219.0010          7.86860902E+01          7.86860902E+01
       2300.0000          8.03328470E+01          8.03328470E+01
       2400.0000          8.23548867E+01          8.23548867E+01
       2500.0000          8.43648246E+01          8.43648246E+01
       2600.0000          8.63627977E+01          8.63627977E+01
       2700.0000          8.83489863E+01          8.83489863E+01
       2800.0000          9.03236015E+01          9.03236015E+01
       2900.0000          9.22868748E+01          9.22868748E+01
       3000.0000          9.42390506E+01          9.42390506E+01
       3100.0000          9.61803809E+01          9.61803809E+01
       3200.0000          9.81111207E+01          9.81111207E+01
       3300.0000          1.00031526E+02          1.00031526E+02
       3400.0000          1.01941849E+02          1.01941849E+02
       3500.0000          1.03842340E+02          1.03842340E+02
       3600.0000          1.05733243E+02          1.05733243E+02
       3700.0000          1.07614799E+02          1.07614799E+02
       3800.0000          1.09487238E+02          1.09487238E+02
       3900.0000          1.11350787E+02          1.11350787E+02
       4000.0000          1.13205665E+02          1.13205665E+02
       4100.0000          1.15052084E+02          1.15052084E+02
       4200.0000          1.16890248E+02          1.16890248E+02
       4300.0000          1.18720356E+02          1.18720356E+02
       4400.0000          1.20542598E+02          1.20542598E+02
       4500.0000          1.22357160E+02          1.22357160E+02
       4600.0000          1.24164218E+02          1.24164218E+02
       4700.0000          1.25963945E+02          1.25963945E+02
       4800.0000          1.27756505E+02          1.27756505E+02
       4900.0000          1.29542059E+02          1.29542059E+02
       5000.0000          1.31320760E+02          1.31320760E+02
       5100.0000          1.33092757E+02          1.33092757E+02
       5200.0000          1.34858192E+02          1.34858192E+02
       5300.0000          1.36617205E+02          1.36617205E+02
       5400.0000          1.38369927E+02          1.38369927E+02
       5500.0000          1.40116489E+02          1.40116489E+02
       5600.0000          1.41857014E+02          1.41857014E+02
       5700.0000          1.43591622E+02          1.43591622E+02
       5800.0000          1.45320428E+02          1.45320428E+02
       5900.0000          1.47043546E+02          1.47043546E+02
       6000.0000          1.48761083E+02          1.48761083E+02
       6100.0000          1.50473144E+02          1.50473144E+02
       6200.0000          1.52179829E+02          1.52179829E+02
       6300.0000          1.53881238E+02          1.53881238E+02
       6400.0000          1.55577464E+02          1.55577464E+02
       6500.0000          1.57268599E+02          1.57268599E+02
       6600.0000          1.58954733E+02          1.58954733E+02
       6700.0000          1.60635951E+02          1.60635951E+02
       6800.0000          1.62312337E+02          1.62312337E+02
       6900.0000          1.63983971E+02          1.63983971E+02
       7000.0000          1.65650932E+02          1.65650932E+02
       7100.0000          1.67313296E+02          1.67313296E+02
       7200.0000          1.68971137E+02          1.68971137E+02
       7300.0000          1.70624526E+02          1.70624526E+02
       7400.0000          1.72273533E+02          1.72273533E+02
       7500.0000          1.73918225E+02          1.73918225E+02
       7600.0000          1.75558668E+02          1.75558668E+02
       7700.0000          1.77194926E+02          1.77194926E+02
       7800.0000          1.78827061E+02          1.78827061E+02
       7900.0000          1.80455132E+02          1.80455132E+02
       8000.0000          1.82079198E+02          1.82079198E+02
       8100.0000          1.83699317E+02          1.83699317E+02
       8200.0000          1.85315544E+02          1.85315544E+02
       8300.0000          1.86927932E+02          1.86927932E+02
       8400.0000          1.88536535E+02          1.88536535E+02
       8500.0000          1.90141403E+02          1.90141403E+02
       8600.0000          1.91742587E+02          1.91742587E+02
       8700.0000          1.93340134E+02          1.93340134E+02
       8800.0000          1.94934093E+02          1.94934093E+02
       8900.0000          1.96524509E+02          1.96524509E+02
       9000.0000          1.98111427E+02          1.98111427E+02
       9100.0000          1.99694892E+02          1.99694892E+02
       9200.0000          2.01274946E+02          2.01274946E+02
       9300.0000          2.02851630E+02          2.02851630E+02
       9400.0000          2.04424987E+02          2.04424987E+02
       9500.0000          2.05995055E+02          2.05995055E+02
       9600.0000          2.07561873E+02          2.07561873E+02
       9700.0000          2.09125480E+02          2.09125480E+02
       9800.0000          2.10685912E+02          2.10685912E+02
       9900.0000          2.12243205E+02          2.12243205E+02
      10000.0000          2.13797396E+02          2.13797396E+02
      11000.0000          2.29175899E+02          2.29175899E+02
      12000.0000          2.44277846E+02          2.44277846E+02
      13000.0000          2.59128342E+02          2.59128342E+02
      14000.0000          2.73748116E+02          2.73748116E+02
      15000.0000          2.88154527E+02          2.88154527E+02
      16000.0000          3.02362295E+02          3.02362295E+02
      16107.9990          3.03885383E+02          3.03885383E+02
      16108.0010          3.03885411E+02          3.03885411E+02
      17000.0000          3.16384045E+02          3.16384045E+02
      18000.0000          3.30230708E+02          3.30230708E+02
      19000.0000          3.43911832E+02          3.43911832E+02
      20000.0000          3.57435825E+02          3.57435825E+02
      21000.0000          3.70810144E+02          3.70810144E+02
      22000.0000          3.84041443E+02          3.84041443E+02
      23000.0000          3.97135698E+02          3.97135698E+02
      24000.0000          4.10098303E+02          4.10098303E+02
      25000.0000          4.22934153E+02          4.22934153E+02
      26000.0000          4.35647708E+02          4.35647708E+02
      27000.0000          4.48243053E+02          4.48243053E+02
      28000.0000          4.60723941E+02          4.60723941E+02
      29000.0000          4.73093833E+02          4.73093833E+02
      30000.0000          4.85355934E+02          4.85355934E+02
      31000.0000          4.97513219E+02          4.97513219E+02
      32000.0000          5.09568460E+02          5.09568460E+02
      33000.0000          5.21524245E+02          5.21524245E+02
      34000.0000          5.33382997E+02          5.33382997E+02
      35000.0000          5.45146993E+02          5.45146993E+02
      36000.0000          5.56818374E+02          5.56818374E+02
      37000.0000          5.68399161E+02          5.68399161E+02
      38000.0000          5.79891262E+02          5.79891262E+02
      39000.0000          5.91296485E+02          5.91296485E+02
      40000.0000          6.02616546E+02          6.02616546E+02
      41000.0000          6.13853074E+02          6.13853074E+02
      42000.0000          6.25007623E+02          6.25007623E+02
      43000.0000          6.36081672E+02          6.36081672E+02
      44000.0000          6.47076635E+02          6.47076635E+02
      45000.0000          6.57993864E+02          6.57993864E+02
      46000.0000          6.68834655E+02          6.68834655E+02
      47000.0000          6.79600250E+02          6.79600250E+02
      48000.0000          6.90291840E+02          6.90291840E+02
      49000.0000          7.00910574E+02          7.00910574E+02
      50000.0000          7.11457554E+02          7.11457554E+02
