#Energy      Si-K-shell   Si-L1-shell   Si-L2-shell   Si-L3-shell   N-K-shell   Valence  Total
        110.0000          1.00000000E+30          1.00000000E+30          5.95032218E+04          2.97516109E+04          1.00000000E+30          5.11288015E+00          5.11156250E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.32675964E+04          6.63379822E+03          1.00000000E+30          5.20138070E+00          5.19527049E+00
        130.0000          1.00000000E+30          1.00000000E+30          6.32847851E+03          3.16423926E+03          1.00000000E+30          5.32089001E+00          5.30750260E+00
        140.0000          1.00000000E+30          1.00000000E+30          3.88445278E+03          1.94222639E+03          1.00000000E+30          5.46061121E+00          5.43767898E+00
        150.0000          1.00000000E+30          1.00000000E+30          2.71200661E+03          1.35600330E+03          1.00000000E+30          5.61400259E+00          5.57935388E+00
        153.9990          1.00000000E+30          1.00000000E+30          2.40555294E+03          1.20277647E+03          1.00000000E+30          5.67818311E+00          5.63825667E+00
        154.0010          1.00000000E+30          3.39835924E+10          2.40541629E+03          1.20270814E+03          1.00000000E+30          5.67821555E+00          5.63828640E+00
        160.0000          1.00000000E+30          2.20468247E+05          2.04835932E+03          1.02417966E+03          1.00000000E+30          5.77209679E+00          5.72356146E+00
        170.0000          1.00000000E+30          4.91268343E+04          1.63164277E+03          8.15821386E+02          1.00000000E+30          5.94288993E+00          5.87795154E+00
        180.0000          1.00000000E+30          2.32461621E+04          1.35074728E+03          6.75373640E+02          1.00000000E+30          6.11564420E+00          6.03212411E+00
        190.0000          1.00000000E+30          1.41054637E+04          1.15146120E+03          5.75730600E+02          1.00000000E+30          6.29715592E+00          6.19278915E+00
        200.0000          1.00000000E+30          9.71854032E+03          1.00455167E+03          5.02275833E+02          1.00000000E+30          6.47889615E+00          6.35176386E+00
        210.0000          1.00000000E+30          7.23722917E+03          8.93016421E+02          4.46508210E+02          1.00000000E+30          6.66072098E+00          6.50908296E+00
        220.0000          1.00000000E+30          5.68077602E+03          8.06358986E+02          4.03179493E+02          1.00000000E+30          6.84252583E+00          6.66483061E+00
        230.0000          1.00000000E+30          4.63232119E+03          7.37775536E+02          3.68887768E+02          1.00000000E+30          7.03011591E+00          6.82466600E+00
        240.0000          1.00000000E+30          3.88818956E+03          6.82677815E+02          3.41338908E+02          1.00000000E+30          7.21136207E+00          6.97731014E+00
        250.0000          1.00000000E+30          3.33865194E+03          6.37865649E+02          3.18932825E+02          1.00000000E+30          7.39779584E+00          7.13378169E+00
        260.0000          1.00000000E+30          2.91994091E+03          6.01043814E+02          3.00521907E+02          1.00000000E+30          7.58354660E+00          7.28872469E+00
        270.0000          1.00000000E+30          2.59282393E+03          5.70527416E+02          2.85263708E+02          1.00000000E+30          7.76862916E+00          7.44231399E+00
        280.0000          1.00000000E+30          2.33199826E+03          5.45053864E+02          2.72526932E+02          1.00000000E+30          7.95791199E+00          7.59913278E+00
        290.0000          1.00000000E+30          2.12048175E+03          5.23661357E+02          2.61830678E+02          1.00000000E+30          8.14153141E+00          7.75028584E+00
        300.0000          1.00000000E+30          1.94650765E+03          5.05606316E+02          2.52803158E+02          1.00000000E+30          8.32910741E+00          7.90463251E+00
        310.0000          1.00000000E+30          1.80169049E+03          4.90306472E+02          2.45153236E+02          1.00000000E+30          8.51582151E+00          8.05787883E+00
        320.0000          1.00000000E+30          1.67990556E+03          4.77300621E+02          2.38650311E+02          1.00000000E+30          8.69735446E+00          8.20626546E+00
        330.0000          1.00000000E+30          1.57658770E+03          4.66219958E+02          2.33109979E+02          1.00000000E+30          8.88254181E+00          8.35775191E+00
        340.0000          1.00000000E+30          1.48826585E+03          4.56766718E+02          2.28383359E+02          1.00000000E+30          9.06695718E+00          8.50843619E+00
        350.0000          1.00000000E+30          1.41226023E+03          4.48698449E+02          2.24349225E+02          1.00000000E+30          9.25062884E+00          8.65839481E+00
        360.0000          1.00000000E+30          1.34647053E+03          4.41816107E+02          2.20908054E+02          1.00000000E+30          9.43753878E+00          8.81114194E+00
        370.0000          1.00000000E+30          1.28922962E+03          4.35955610E+02          2.17977805E+02          1.00000000E+30          9.61970907E+00          8.95974340E+00
        380.0000          1.00000000E+30          1.23919961E+03          4.30979984E+02          2.15489992E+02          1.00000000E+30          9.80121482E+00          9.10779814E+00
        390.0000          1.00000000E+30          1.19529523E+03          4.26774616E+02          2.13387308E+02          1.00000000E+30          9.98207918E+00          9.25535018E+00
        400.0000          1.00000000E+30          1.15662826E+03          4.23243310E+02          2.11621655E+02          1.00000000E+30          1.01659633E+01          9.40555352E+00
        402.9990          1.00000000E+30          1.14594013E+03          4.22303131E+02          2.11151566E+02          1.00000000E+30          1.02195105E+01          9.44924219E+00
        403.0010          1.00000000E+30          1.14593314E+03          4.22302522E+02          2.11151261E+02          5.57528763E+11          1.02195486E+01          9.44927339E+00
        410.0000          1.00000000E+30          1.12246620E+03          4.20304163E+02          2.10152082E+02          4.66032428E+06          1.03455231E+01          9.55210505E+00
        420.0000          1.00000000E+30          1.09219936E+03          4.17887625E+02          2.08943812E+02          1.21271724E+06          1.05280178E+01          9.70120162E+00
        430.0000          1.00000000E+30          1.06531817E+03          4.15934269E+02          2.07967134E+02          5.96400397E+05          1.07098295E+01          9.84977034E+00
        440.0000          1.00000000E+30          1.04139340E+03          4.14392585E+02          2.07196293E+02          3.66617224E+05          1.08875493E+01          9.99494998E+00
        450.0000          1.00000000E+30          1.02006155E+03          4.13218488E+02          2.06609244E+02          2.52993885E+05          1.10680967E+01          1.01425908E+01
        460.0000          1.00000000E+30          1.00101362E+03          4.12373521E+02          2.06186761E+02          1.87474769E+05          1.12480197E+01          1.02897789E+01
        470.0000          1.00000000E+30          9.83984647E+02          4.11824258E+02          2.05912129E+02          1.45831087E+05          1.14273365E+01          1.04365341E+01
        480.0000          1.00000000E+30          9.68747270E+02          4.11541386E+02          2.05770693E+02          1.17504217E+05          1.16060643E+01          1.05828738E+01
        490.0000          1.00000000E+30          9.55105397E+02          4.11499249E+02          2.05749625E+02          9.72580532E+04          1.17842193E+01          1.07288137E+01
        500.0000          1.00000000E+30          9.42888766E+02          4.11675198E+02          2.05837599E+02          8.22221031E+04          1.19618173E+01          1.08743679E+01
        510.0000          1.00000000E+30          9.31949954E+02          4.12049206E+02          2.06024603E+02          7.07071807E+04          1.21388732E+01          1.10195491E+01
        520.0000          1.00000000E+30          9.22159253E+02          4.12603560E+02          2.06301780E+02          6.16728602E+04          1.23154016E+01          1.11643693E+01
        530.0000          1.00000000E+30          9.13403822E+02          4.13322456E+02          2.06661228E+02          5.44369368E+04          1.24914163E+01          1.13088393E+01
        540.0000          1.00000000E+30          9.05584160E+02          4.14191836E+02          2.07095918E+02          4.85393649E+04          1.26669307E+01          1.14529689E+01
        550.0000          1.00000000E+30          8.98612489E+02          4.15199093E+02          2.07599546E+02          4.36619467E+04          1.28419575E+01          1.15967673E+01
        560.0000          1.00000000E+30          8.92411256E+02          4.16332937E+02          2.08166469E+02          3.95764542E+04          1.30165090E+01          1.17402429E+01
        570.0000          1.00000000E+30          8.86911712E+02          4.17583222E+02          2.08791611E+02          3.61157620E+04          1.31905969E+01          1.18834038E+01
        580.0000          1.00000000E+30          8.82052379E+02          4.18940782E+02          2.09470391E+02          3.31554911E+04          1.33671011E+01          1.20285799E+01
        590.0000          1.00000000E+30          8.77778901E+02          4.20397364E+02          2.10198682E+02          3.06008358E+04          1.35402563E+01          1.21710961E+01
        600.0000          1.00000000E+30          8.74042349E+02          4.21945466E+02          2.10972733E+02          2.83791318E+04          1.37129812E+01          1.23133188E+01
        610.0000          1.00000000E+30          8.70798749E+02          4.23578296E+02          2.11789148E+02          2.64335739E+04          1.38880754E+01          1.24574989E+01
        620.0000          1.00000000E+30          8.68008967E+02          4.25289687E+02          2.12644843E+02          2.47190848E+04          1.40599299E+01          1.25991170E+01
        630.0000          1.00000000E+30          8.65637264E+02          4.27074001E+02          2.13537001E+02          2.31995340E+04          1.42313829E+01          1.27404592E+01
        640.0000          1.00000000E+30          8.63651729E+02          4.28926120E+02          2.14463060E+02          2.18454142E+04          1.44051543E+01          1.28836993E+01
        650.0000          1.00000000E+30          8.62023482E+02          4.30841340E+02          2.15420670E+02          2.06335273E+04          1.45757936E+01          1.30244719E+01
        660.0000          1.00000000E+30          8.60726132E+02          4.32815347E+02          2.16407674E+02          1.95437539E+04          1.47487237E+01          1.31671089E+01
        670.0000          1.00000000E+30          8.59735882E+02          4.34844220E+02          2.17422110E+02          1.85601319E+04          1.49185857E+01          1.33073340E+01
