#Energy      Fe   C   Cr   Ni   Mn  Total
         40.0000          1.00000000E+20          1.00213088E+01          4.48396165E+01          6.68666912E+01          4.96840623E+01          6.36248152E+00
         41.0000          1.00000000E+20          1.01381412E+01          4.41055759E+01          6.56344875E+01          4.88412972E+01          6.36858909E+00
         42.0000          1.00000000E+20          1.02556171E+01          4.34082013E+01          6.44624024E+01          4.80403048E+01          6.37456559E+00
         43.0000          1.00000000E+20          1.03736896E+01          4.27449585E+01          6.33462744E+01          4.72781969E+01          6.38040201E+00
         44.0000          1.00000000E+20          1.04923160E+01          4.21135422E+01          6.22823178E+01          4.65523459E+01          6.38609204E+00
         45.0000          1.00000000E+20          1.06114573E+01          4.15118500E+01          6.12670813E+01          4.58603559E+01          6.39163159E+00
         46.0000          1.00000000E+20          1.07310779E+01          4.09379609E+01          6.02974117E+01          4.52000377E+01          6.39701851E+00
         47.0000          1.00000000E+20          1.08511452E+01          4.03901161E+01          5.93704223E+01          4.45693870E+01          6.40225223E+00
         47.9990          1.00000000E+20          1.09715084E+01          3.98672137E+01          5.84843334E+01          4.39671546E+01          6.40732854E+00
         48.0000          1.00000000E+20          1.09716291E+01          3.98667020E+01          5.84834656E+01          4.39665651E+01          6.40733354E+00
         48.0010          1.00000000E+20          1.09717498E+01          3.98661903E+01          5.84825978E+01          4.39659756E+01          6.40733855E+00
         48.9990          1.00000000E+20          1.10923810E+01          3.93667252E+01          5.76349399E+01          4.33904465E+01          6.41225949E+00
         49.0000          1.00000000E+20          1.10925020E+01          3.93662358E+01          5.76341085E+01          4.33898823E+01          6.41226435E+00
         49.0010          1.00000000E+20          1.10926231E+01          3.93657463E+01          5.76332772E+01          4.33893182E+01          6.41226921E+00
         50.0000          1.00000000E+20          1.12137387E+01          3.88873521E+01          5.68201116E+01          4.28377831E+01          6.41704750E+00
         51.0000          1.00000000E+20          1.13353157E+01          3.84287919E+01          5.60394096E+01          4.23088329E+01          6.42168659E+00
         52.0000          1.00000000E+20          1.14572113E+01          3.79893921E+01          5.52900953E+01          4.18017067E+01          6.42618585E+00
         52.9990          1.00000000E+20          1.15792833E+01          3.75684895E+01          5.45711097E+01          4.13156551E+01          6.43054570E+00
         53.0000          1.00000000E+20          1.15794056E+01          3.75680769E+01          5.45704043E+01          4.13151785E+01          6.43055000E+00
         53.0010          1.00000000E+20          1.15795279E+01          3.75676643E+01          5.45696989E+01          4.13147019E+01          6.43055430E+00
         54.0000          1.00000000E+20          1.17018801E+01          3.71638491E+01          5.38787022E+01          4.08481127E+01          6.43478417E+00
         54.9990          1.00000000E+20          1.18244946E+01          3.67761641E+01          5.32141251E+01          4.03998953E+01          6.43888972E+00
         55.0000          1.00000000E+20          1.18246175E+01          3.67757838E+01          5.32134726E+01          4.03994555E+01          6.43889377E+00
         55.0010          1.00000000E+20          1.18247403E+01          3.67754036E+01          5.32128202E+01          4.03990157E+01          6.43889782E+00
         56.0000          1.00000000E+20          1.19476019E+01          3.64030215E+01          5.25733067E+01          3.99682278E+01          6.44288446E+00
         57.0000          1.00000000E+20          1.20708186E+01          3.60447625E+01          5.19568938E+01          3.95535185E+01          6.44676204E+00
         58.0000          1.00000000E+20          1.21942536E+01          3.57002618E+01          5.13630132E+01          3.91544792E+01          6.45053241E+00
         58.9990          1.00000000E+20          1.23177704E+01          3.53691496E+01          5.07910885E+01          3.87706953E+01          6.45419791E+00
         59.0000          1.00000000E+20          1.23178941E+01          3.53688244E+01          5.07905264E+01          3.87703183E+01          6.45420153E+00
         59.0010          1.00000000E+20          1.23180179E+01          3.53684993E+01          5.07899642E+01          3.87699413E+01          6.45420515E+00
         60.0000          1.00000000E+20          1.24417282E+01          3.50498015E+01          5.02383700E+01          3.84002967E+01          6.45777537E+00
         60.9990          1.00000000E+20          1.25656205E+01          3.47428879E+01          4.97060737E+01          3.80440733E+01          6.46125643E+00
         61.0000          1.00000000E+20          1.25657446E+01          3.47425864E+01          4.97055502E+01          3.80437232E+01          6.46125987E+00
         61.0010          1.00000000E+20          1.25658687E+01          3.47422849E+01          4.97050267E+01          3.80433732E+01          6.46126331E+00
         62.0000          1.00000000E+20          1.26899329E+01          3.44466110E+01          4.91911368E+01          3.76999512E+01          6.46466092E+00
         63.0000          1.00000000E+20          1.28142832E+01          3.41613433E+01          4.86942582E+01          3.73683745E+01          6.46798433E+00
         64.0000          1.00000000E+20          1.29387864E+01          3.38862840E+01          4.82140971E+01          3.70484247E+01          6.47123581E+00
         65.0000          1.00000000E+20          1.30634338E+01          3.36209647E+01          4.77498859E+01          3.67395680E+01          6.47442095E+00
         66.0000          1.00000000E+20          1.31882175E+01          3.33649447E+01          4.73009035E+01          3.64413028E+01          6.47754522E+00
         67.0000          1.00000000E+20          1.33131298E+01          3.31178096E+01          4.68664713E+01          3.61531572E+01          6.48061395E+00
         68.0000          1.00000000E+20          1.34381637E+01          3.28791692E+01          4.64459506E+01          3.58746868E+01          6.48363229E+00
         69.0000          1.00000000E+20          1.35633123E+01          3.26486559E+01          4.60387394E+01          3.56054728E+01          6.48660528E+00
         70.0000          1.00000000E+20          1.36885695E+01          3.24259225E+01          4.56442699E+01          3.53451202E+01          6.48953778E+00
         71.0000          1.00000000E+20          1.38139293E+01          3.22106417E+01          4.52620059E+01          3.50932561E+01          6.49243446E+00
         72.0000          1.00000000E+20          1.39393861E+01          3.20025039E+01          4.48914412E+01          3.48495280E+01          6.49529987E+00
         72.9990          1.00000000E+20          1.40648090E+01          3.18014146E+01          4.45324506E+01          3.46138350E+01          6.49813553E+00
         73.0000          1.00000000E+20          1.40649346E+01          3.18012166E+01          4.45320967E+01          3.46136028E+01          6.49813836E+00
         73.0010          1.00000000E+20          1.40650602E+01          3.18010187E+01          4.45317428E+01          3.46133707E+01          6.49814118E+00
         74.0000          1.00000000E+20          1.41905699E+01          3.16065028E+01          4.41835194E+01          3.43851652E+01          6.50095412E+00
         74.9990          1.00000000E+20          1.43161615E+01          3.14182855E+01          4.38456133E+01          3.41641343E+01          6.50374840E+00
         75.0000          1.00000000E+20          1.43162872E+01          3.14181002E+01          4.38452801E+01          3.41639165E+01          6.50375118E+00
         75.0010          1.00000000E+20          1.43164130E+01          3.14179149E+01          4.38449469E+01          3.41636988E+01          6.50375397E+00
         76.0000          1.00000000E+20          1.44420822E+01          3.12357603E+01          4.35169722E+01          3.39495737E+01          6.50653342E+00
         77.0000          1.00000000E+20          1.45679506E+01          3.10592472E+01          4.31982099E+01          3.37418684E+01          6.50930451E+00
         78.0000          1.00000000E+20          1.46938884E+01          3.08883374E+01          4.28886273E+01          3.35405459E+01          6.51206802E+00
         79.0000          1.00000000E+20          1.48198919E+01          3.07228182E+01          4.25878767E+01          3.33453642E+01          6.51482733E+00
         79.9990          1.00000000E+20          1.49458314E+01          3.05626455E+01          4.22959160E+01          3.31562797E+01          6.51758291E+00
         80.0000          1.00000000E+20          1.49459575E+01          3.05624877E+01          4.22956279E+01          3.31560933E+01          6.51758567E+00
         80.0010          1.00000000E+20          1.49460836E+01          3.05623299E+01          4.22953398E+01          3.31559070E+01          6.51758842E+00
         81.0000          1.00000000E+20          1.50720818E+01          3.04071539E+01          4.20115666E+01          3.29725148E+01          6.52034612E+00
         82.0000          1.00000000E+20          1.51982617E+01          3.02566341E+01          4.17353941E+01          3.27944204E+01          6.52311162E+00
         83.0000          1.00000000E+20          1.53244942E+01          3.01107541E+01          4.14668257E+01          3.26216122E+01          6.52588498E+00
         84.0000          1.00000000E+20          1.54507762E+01          2.99693484E+01          4.12055904E+01          3.24539014E+01          6.52866885E+00
         85.0000          1.00000000E+20          1.55771052E+01          2.98322588E+01          4.09514298E+01          3.22911082E+01          6.53146576E+00
         86.0000          1.00000000E+20          1.57034785E+01          2.96993347E+01          4.07040974E+01          3.21330608E+01          6.53427811E+00
         87.0000          1.00000000E+20          1.58298936E+01          2.95704323E+01          4.04633580E+01          3.19795957E+01          6.53710818E+00
         88.0000          1.00000000E+20          1.59563482E+01          2.94454141E+01          4.02289870E+01          3.18305565E+01          6.53995812E+00
         88.9990          1.00000000E+20          1.60827135E+01          2.93242684E+01          4.00009953E+01          3.16859364E+01          6.54282708E+00
         89.0000          1.00000000E+20          1.60828400E+01          2.93241490E+01          4.00007701E+01          3.16857937E+01          6.54282996E+00
         89.0010          1.00000000E+20          1.60829665E+01          2.93240296E+01          4.00005449E+01          3.16856511E+01          6.54283285E+00
         90.0000          1.00000000E+20          1.62093670E+01          2.92065116E+01          3.97785020E+01          3.15451648E+01          6.54572564E+00
         91.0000          1.00000000E+20          1.63359271E+01          2.90923820E+01          3.95619868E+01          3.14085330E+01          6.54864698E+00
         92.0000          1.00000000E+20          1.64625183E+01          2.89816454E+01          3.93510368E+01          3.12757679E+01          6.55159569E+00
         93.0000          1.00000000E+20          1.65891390E+01          2.88741920E+01          3.91454724E+01          3.11467444E+01          6.55457339E+00
         94.0000          1.00000000E+20          1.67157872E+01          2.87699166E+01          3.89451218E+01          3.10213427E+01          6.55758159E+00
         95.0000          1.00000000E+20          1.68424613E+01          2.86687184E+01          3.87498201E+01          3.08994481E+01          6.56062173E+00
         96.0000          1.00000000E+20          1.69691598E+01          2.85705009E+01          3.85594094E+01          3.07809506E+01          6.56369516E+00
         97.0000          1.00000000E+20          1.70958812E+01          2.84751713E+01          3.83737383E+01          3.06657448E+01          6.56680311E+00
         97.9990          1.00000000E+20          1.72224971E+01          2.83827319E+01          3.81928402E+01          3.05538400E+01          6.56994362E+00
         98.0000          1.00000000E+20          1.72226239E+01          2.83826408E+01          3.81926613E+01          3.05537295E+01          6.56994678E+00
         98.0010          1.00000000E+20          1.72227507E+01          2.83825496E+01          3.81924825E+01          3.05536191E+01          6.56994994E+00
         99.0000          1.00000000E+20          1.73493866E+01          2.82928240E+01          3.80160392E+01          3.04448076E+01          6.57312726E+00
        100.0000          1.00000000E+20          1.74761680E+01          2.82056391E+01          3.78437379E+01          3.03388857E+01          6.57634557E+00
        110.0000          1.00000000E+20          1.87447586E+01          2.74626401E+01          3.63323783E+01          2.94265721E+01          6.61078780E+00
        116.9990          1.00000000E+20          1.96331532E+01          2.70603540E+01          3.54681518E+01          2.89223186E+01          6.63753375E+00
        117.0010          1.00000000E+20          1.96334071E+01          2.70602509E+01          3.54679243E+01          2.89221879E+01          6.63754172E+00
        120.0000          1.00000000E+20          2.00141292E+01          2.69125573E+01          3.51382384E+01          2.87342791E+01          6.64969925E+00
        130.0000          1.00000000E+20          2.12836279E+01          2.65103544E+01          3.41876925E+01          2.82107371E+01          6.69328945E+00
        140.0000          1.00000000E+20          2.25528272E+01          2.62238345E+01          3.34280922E+01          2.78192893E+01          6.74150512E+00
        150.0000          1.00000000E+20          2.38214444E+01          2.60293782E+01          3.28208005E+01          2.75330414E+01          6.79414328E+00
        160.0000          1.00000000E+20          2.50892930E+01          2.59092736E+01          3.23368288E+01          2.73318220E+01          6.85092271E+00
        170.0000          1.00000000E+20          2.63562509E+01          2.58499845E+01          3.19540080E+01          2.72002117E+01          6.91152808E+00
        180.0000          1.00000000E+20          2.76222409E+01          2.58409934E+01          3.16551002E+01          2.71262272E+01          6.97563663E+00
        190.0000          1.00000000E+20          2.88872163E+01          2.58740088E+01          3.14265036E+01          2.71004186E+01          7.04293367E+00
        200.0000          1.00000000E+20          3.01511522E+01          2.59424097E+01          3.12573456E+01          2.71152373E+01          7.11312117E+00
        210.0000          1.00000000E+20          3.14140389E+01          2.60408477E+01          3.11388339E+01          2.71645836E+01          7.18592196E+00
        220.0000          1.00000000E+20          3.26758774E+01          2.61649577E+01          3.10637844E+01          2.72434775E+01          7.26108135E+00
        230.0000          1.00000000E+20          3.39366762E+01          2.63111444E+01          3.10262714E+01          2.73478153E+01          7.33836716E+00
        240.0000          1.00000000E+20          3.51964490E+01          2.64764209E+01          3.10213656E+01          2.74741863E+01          7.41756881E+00
        250.0000          1.00000000E+20          3.64552134E+01          2.66582870E+01          3.10449345E+01          2.76197343E+01          7.49849597E+00
        260.0000          1.00000000E+20          3.77129891E+01          2.68546353E+01          3.10934891E+01          2.77820505E+01          7.58097698E+00
        270.0000          1.00000000E+20          3.89697975E+01          2.70636778E+01          3.11640645E+01          2.79590903E+01          7.66485722E+00
        280.0000          1.00000000E+20          4.02256610E+01          2.72838888E+01          3.12541258E+01          2.81491077E+01          7.74999746E+00
        287.9990          1.00000000E+20          4.12295612E+01          2.74671894E+01          3.13387188E+01          2.83094305E+01          7.81892355E+00
        288.0010          1.00000000E+20          4.12298121E+01          2.74672360E+01          3.13387413E+01          2.83094715E+01          7.81894087E+00
        290.0000          1.00000000E+20          4.14806022E+01          2.75139590E+01          3.13614940E+01          2.83506038E+01          7.83627238E+00
        300.0000          1.00000000E+20          4.27346440E+01          2.77527594E+01          3.14842860E+01          2.85622851E+01          7.92356912E+00
        310.0000          1.00000000E+20          4.39878090E+01          2.79993118E+01          3.16208670E+01          2.87830304E+01          8.01178600E+00
        320.0000          1.00000000E+20          4.52401196E+01          2.82527651E+01          3.17698115E+01          2.90118631E+01          8.10083135E+00
        330.0000          1.00000000E+20          4.64915977E+01          2.85123754E+01          3.19298709E+01          2.92479294E+01          8.19062243E+00
        340.0000          1.00000000E+20          4.77422647E+01          2.87774905E+01          3.20999477E+01          2.94904801E+01          8.28108453E+00
        350.0000          1.00000000E+20          4.89921413E+01          2.90475364E+01          3.22790735E+01          2.97388551E+01          8.37215010E+00
        360.0000          1.00000000E+20          5.02412477E+01          2.93220061E+01          3.24663913E+01          2.99924712E+01          8.46375800E+00
        370.0000          1.00000000E+20          5.14896032E+01          2.96004507E+01          3.26611395E+01          3.02508113E+01          8.55585282E+00
        380.0000          1.00000000E+20          5.27372268E+01          2.98824713E+01          3.28626399E+01          3.05134157E+01          8.64838435E+00
        390.0000          1.00000000E+20          5.39841365E+01          3.01677125E+01          3.30702867E+01          3.07798745E+01          8.74130696E+00
        400.0000          1.00000000E+20          5.52303500E+01          3.04558570E+01          3.32835370E+01          3.10498211E+01          8.83457921E+00
        410.0000          1.00000000E+20          5.64758839E+01          3.07466207E+01          3.35019036E+01          3.13229273E+01          8.92816338E+00
        420.0000          1.00000000E+20          5.77207546E+01          3.10397486E+01          3.37249475E+01          3.15988980E+01          9.02202513E+00
        430.0000          1.00000000E+20          5.89649777E+01          3.13350116E+01          3.39522730E+01          3.18774678E+01          9.11613317E+00
        440.0000          1.00000000E+20          6.02085683E+01          3.16322030E+01          3.41835220E+01          3.21583971E+01          9.21045893E+00
        450.0000          1.00000000E+20          6.14515407E+01          3.19311363E+01          3.44183702E+01          3.24414694E+01          9.30497633E+00
        460.0000          1.00000000E+20          6.26939090E+01          3.22316428E+01          3.46565233E+01          3.27264886E+01          9.39966155E+00
        470.0000          1.00000000E+20          6.39356865E+01          3.25335696E+01          3.48977133E+01          3.30132769E+01          9.49449279E+00
        480.0000          1.00000000E+20          6.51768863E+01          3.28367781E+01          3.51416962E+01          3.33016726E+01          9.58945009E+00
        490.0000          1.00000000E+20          6.64175206E+01          3.31411420E+01          3.53882495E+01          3.35915287E+01          9.68451518E+00
        500.0000          1.00000000E+20          6.76576016E+01          3.34465466E+01          3.56371694E+01          3.38827109E+01          9.77967131E+00
        510.0000          1.00000000E+20          6.88971406E+01          3.37528873E+01          3.58882696E+01          3.41750969E+01          9.87490312E+00
        520.0000          1.00000000E+20          7.01361490E+01          3.40600684E+01          3.61413791E+01          3.44685749E+01          9.97019650E+00
        530.0000          1.00000000E+20          7.13746373E+01          3.43680029E+01          3.63963411E+01          3.47630423E+01          1.00655385E+01
        540.0000          1.00000000E+20          7.26126159E+01          3.46766107E+01          3.66530113E+01          3.50584054E+01          1.01609173E+01
        550.0000          1.00000000E+20          7.38500948E+01          3.49858186E+01          3.69112569E+01          3.53545779E+01          1.02563219E+01
        560.0000          1.00000000E+20          7.50870836E+01          3.52955597E+01          3.71709554E+01          3.56514808E+01          1.03517422E+01
        570.0000          1.00000000E+20          7.63235916E+01          3.56057723E+01          3.74319939E+01          3.59490414E+01          1.04471691E+01
        579.9990          1.00000000E+20          7.75595042E+01          3.59163687E+01          3.76942418E+01          3.62471629E+01          1.05425845E+01
        580.0000          1.00000000E+20          7.75596278E+01          3.59163998E+01          3.76942681E+01          3.62471927E+01          1.05425940E+01
        580.0010          1.00000000E+20          7.75597513E+01          3.59164309E+01          3.76942944E+01          3.62472226E+01          1.05426035E+01
        588.9990          1.00000000E+20          7.86715405E+01          3.61962451E+01          3.79312649E+01          3.65159530E+01          1.06284587E+01
        589.0010          1.00000000E+20          7.86717876E+01          3.61963073E+01          3.79313177E+01          3.65160128E+01          1.06284778E+01
        590.0000          1.00000000E+20          7.87952007E+01          3.62273902E+01          3.79576813E+01          3.65458731E+01          1.06380091E+01
        600.0000          1.00000000E+20          8.00303188E+01          3.65386956E+01          3.82221443E+01          3.68450255E+01          1.07334073E+01
        610.0000          1.00000000E+20          8.12649902E+01          3.68502719E+01          3.84875742E+01          3.71445977E+01          1.08287818E+01
        620.0000          1.00000000E+20          8.24992227E+01          3.71620785E+01          3.87538943E+01          3.74445410E+01          1.09241266E+01
        630.0000          1.00000000E+20          8.37330239E+01          3.74740779E+01          3.90210333E+01          3.77448107E+01          1.10194362E+01
        640.0000          1.00000000E+20          8.49664010E+01          3.77862355E+01          3.92889248E+01          3.80453653E+01          1.11147052E+01
        644.9990          1.00000000E+20          8.55828094E+01          3.79423323E+01          3.94231066E+01          3.81957073E+01          1.11623135E+01
        645.0010          1.00000000E+20          8.55830560E+01          3.79423947E+01          3.94231603E+01          3.81957674E+01          1.11623326E+01
        650.0000          1.00000000E+20          8.61993611E+01          3.80985193E+01          3.95575074E+01          3.83461665E+01          1.12099290E+01
        655.9990          1.00000000E+20          8.69388167E+01          3.82859065E+01          3.97189376E+01          3.85267205E+01          1.12670302E+01
        656.0010          1.00000000E+20          8.69390632E+01          3.82859690E+01          3.97189915E+01          3.85267807E+01          1.12670493E+01
        660.0000          1.00000000E+20          8.74319112E+01          3.84108998E+01          3.98267236E+01          3.86471786E+01          1.13051032E+01
        670.0000          1.00000000E+20          8.86640578E+01          3.87233498E+01          4.00965200E+01          3.89483688E+01          1.14002238E+01
        680.0000          1.00000000E+20          8.98958074E+01          3.90358439E+01          4.03668469E+01          3.92497066E+01          1.14952871E+01
        690.0000          1.00000000E+20          9.11271662E+01          3.93483590E+01          4.06376578E+01          3.95511635E+01          1.15902897E+01
        700.0000          1.00000000E+20          9.23581403E+01          3.96608733E+01          4.09089094E+01          3.98527133E+01          1.16852285E+01
        701.9990          1.00000000E+20          9.26041664E+01          3.97233430E+01          4.09631818E+01          3.99130021E+01          1.17041988E+01
        702.0010          1.00000000E+20          9.26044125E+01          3.97234055E+01          4.09632361E+01          3.99130624E+01          1.17042178E+01
        710.0000          1.00000000E+20          9.35887355E+01          3.99733668E+01          4.11805612E+01          4.01543316E+01          1.17801006E+01
        712.9990          1.00000000E+20          9.39577181E+01          4.00670768E+01          4.12621018E+01          4.02447969E+01          1.18085393E+01
        713.0010          1.00000000E+20          9.39579641E+01          4.00671393E+01          4.12621562E+01          4.02448572E+01          1.18085583E+01
        720.0000          1.00000000E+20          9.48189576E+01          4.02858212E+01          4.14525754E+01          4.04559957E+01          1.18749033E+01
        725.9990          1.00000000E+20          9.55567911E+01          4.04732366E+01          4.16159158E+01          4.06369772E+01          1.19317413E+01
        726.0010          1.00000000E+20          9.55570370E+01          4.04732990E+01          4.16159703E+01          4.06370375E+01          1.19317602E+01
        730.0000          1.00000000E+20          9.60488120E+01          4.05982192E+01          4.17249166E+01          4.07576846E+01          1.19696344E+01
        740.0000          1.00000000E+20          9.72783042E+01          4.09105449E+01          4.19975518E+01          4.10593785E+01          1.20642915E+01
        750.0000          1.00000000E+20          9.85074393E+01          4.12227837E+01          4.22704500E+01          4.13610594E+01          1.21588728E+01
        760.0000          1.00000000E+20          9.97362224E+01          4.15349220E+01          4.25435822E+01          4.16627103E+01          1.22533763E+01
        770.0000          1.00000000E+20          1.00964658E+02          4.18469470E+01          4.28169212E+01          4.19643154E+01          1.23478003E+01
        772.9190          1.00000000E+20          1.01323174E+02          4.19380041E+01          4.28967441E+01          4.20523431E+01          1.23753475E+01
        772.9210          1.00000000E+20          1.01323420E+02          4.19380665E+01          4.28967988E+01          4.20524034E+01          1.23753664E+01
        780.0000          1.00000000E+20          1.02192752E+02          4.21588472E+01          4.30904415E+01          4.22658600E+01          1.24421434E+01
        790.0000          1.00000000E+20          1.03420508E+02          4.24706117E+01          4.33641193E+01          4.25673307E+01          1.25364042E+01
        800.0000          1.00000000E+20          1.04647931E+02          4.27822305E+01          4.36379322E+01          4.28687145E+01          1.26305814E+01
        810.0000          1.00000000E+20          1.05875025E+02          4.30936944E+01          4.39118592E+01          4.31699999E+01          1.27246740E+01
        820.0000          1.00000000E+20          1.07101794E+02          4.34049946E+01          4.41858804E+01          4.34711757E+01          1.28186808E+01
        830.0000          1.00000000E+20          1.08328244E+02          4.37161234E+01          4.44599774E+01          4.37722317E+01          1.29126010E+01
        840.0000          1.00000000E+20          1.09554377E+02          4.40270734E+01          4.47341328E+01          4.40731586E+01          1.30064337E+01
        850.0000          1.00000000E+20          1.10780197E+02          4.43378378E+01          4.50083303E+01          4.43739473E+01          1.31001784E+01
        850.9990          1.00000000E+20          1.10902640E+02          4.43688727E+01          4.50357243E+01          4.44039882E+01          1.31095386E+01
        851.0010          1.00000000E+20          1.10902885E+02          4.43689349E+01          4.50357792E+01          4.44040483E+01          1.31095573E+01
        859.9990          1.00000000E+20          1.12005587E+02          4.46483793E+01          4.52825269E+01          4.46745597E+01          1.31938248E+01
        860.0000          1.00000000E+20          1.12005710E+02          4.46484103E+01          4.52825544E+01          4.46745898E+01          1.31938342E+01
        860.0010          1.00000000E+20          1.12005832E+02          4.46484414E+01          4.52825818E+01          4.46746198E+01          1.31938435E+01
        870.0000          1.00000000E+20          1.13230917E+02          4.49587853E+01          4.55567906E+01          4.49750783E+01          1.32874007E+01
