#Energy      C   F  Total
        230.0000          2.53720218E+01          9.38023229E+00          6.84834594E+00
        240.0000          2.63138637E+01          9.68564850E+00          7.07973022E+00
        250.0000          2.72549516E+01          9.99082902E+00          7.31088346E+00
        260.0000          2.81953005E+01          1.02957559E+01          7.54180212E+00
        270.0000          2.91349261E+01          1.06004158E+01          7.77248454E+00
        280.0000          3.00738452E+01          1.09047993E+01          8.00293057E+00
        287.9990          3.08243895E+01          1.11480723E+01          8.18709479E+00
        288.0010          3.08245771E+01          1.11481331E+01          8.18714081E+00
        290.0000          3.10120749E+01          1.12089000E+01          8.23314116E+00
        300.0000          3.19496321E+01          1.15127136E+01          8.46311810E+00
        310.0000          3.28865338E+01          1.18162380E+01          8.69286387E+00
        320.0000          3.38227968E+01          1.21194722E+01          8.92238140E+00
        330.0000          3.47584373E+01          1.24224168E+01          9.15167401E+00
        340.0000          3.56934714E+01          1.27250731E+01          9.38074526E+00
        350.0000          3.66279146E+01          1.30274430E+01          9.60959890E+00
        360.0000          3.75617819E+01          1.33295293E+01          9.83823880E+00
        370.0000          3.84950880E+01          1.36313351E+01          1.00666689E+01
        380.0000          3.94278468E+01          1.39328637E+01          1.02948932E+01
        390.0000          4.03600719E+01          1.42341190E+01          1.05229157E+01
        400.0000          4.12917764E+01          1.45351048E+01          1.07507402E+01
        410.0000          4.22229729E+01          1.48358252E+01          1.09783708E+01
        420.0000          4.31536735E+01          1.51362843E+01          1.12058113E+01
        430.0000          4.40838900E+01          1.54364863E+01          1.14330655E+01
        440.0000          4.50136336E+01          1.57364354E+01          1.16601372E+01
        450.0000          4.59429150E+01          1.60361359E+01          1.18870299E+01
        460.0000          4.68717448E+01          1.63355921E+01          1.21137472E+01
        470.0000          4.78001329E+01          1.66348079E+01          1.23402927E+01
        480.0000          4.87280890E+01          1.69337877E+01          1.25666697E+01
        490.0000          4.96556225E+01          1.72325355E+01          1.27928815E+01
        500.0000          5.05827422E+01          1.75310554E+01          1.30189314E+01
        510.0000          5.15094567E+01          1.78293512E+01          1.32448224E+01
        520.0000          5.24357745E+01          1.81274269E+01          1.34705576E+01
        530.0000          5.33617035E+01          1.84252863E+01          1.36961400E+01
        540.0000          5.42872515E+01          1.87229331E+01          1.39215725E+01
        550.0000          5.52124258E+01          1.90203709E+01          1.41468578E+01
        560.0000          5.61372337E+01          1.93176034E+01          1.43719986E+01
        570.0000          5.70616822E+01          1.96146339E+01          1.45969977E+01
        580.0000          5.79857778E+01          1.99114660E+01          1.48218575E+01
        590.0000          5.89095272E+01          2.02081030E+01          1.50465805E+01
        600.0000          5.98329366E+01          2.05045480E+01          1.52711692E+01
        610.0000          6.07560120E+01          2.08008043E+01          1.54956259E+01
        620.0000          6.16787592E+01          2.10968749E+01          1.57199529E+01
        630.0000          6.26011839E+01          2.13927629E+01          1.59441524E+01
        640.0000          6.35232916E+01          2.16884712E+01          1.61682265E+01
        650.0000          6.44450876E+01          2.19840027E+01          1.63921774E+01
        660.0000          6.53665770E+01          2.22793601E+01          1.66160070E+01
        670.0000          6.62877647E+01          2.25745461E+01          1.68397174E+01
        680.0000          6.72086557E+01          2.28695635E+01          1.70633105E+01
        690.0000          6.81292545E+01          2.31644148E+01          1.72867881E+01
        693.9990          6.84973211E+01          2.32822800E+01          1.73761249E+01
        694.0010          6.84975052E+01          2.32823389E+01          1.73761695E+01
        700.0000          6.90495656E+01          2.34591026E+01          1.75101520E+01
        710.0000          6.99695935E+01          2.37536293E+01          1.77334041E+01
        720.0000          7.08893424E+01          2.40479972E+01          1.79565460E+01
        730.0000          7.18088165E+01          2.43422088E+01          1.81795795E+01
        740.0000          7.27280197E+01          2.46362664E+01          1.84025061E+01
        750.0000          7.36469560E+01          2.49301721E+01          1.86253274E+01
        760.0000          7.45656291E+01          2.52239281E+01          1.88480450E+01
        770.0000          7.54840426E+01          2.55175365E+01          1.90706604E+01
        780.0000          7.64022003E+01          2.58109995E+01          1.92931750E+01
        790.0000          7.73201055E+01          2.61043190E+01          1.95155903E+01
        800.0000          7.82377616E+01          2.63974970E+01          1.97379077E+01
        810.0000          7.91551720E+01          2.66905354E+01          1.99601285E+01
        820.0000          8.00723397E+01          2.69834361E+01          2.01822540E+01
        830.0000          8.09892679E+01          2.72762010E+01          2.04042856E+01
        840.0000          8.19059597E+01          2.75688318E+01          2.06262245E+01
        850.0000          8.28224180E+01          2.78613302E+01          2.08480719E+01
        860.0000          8.37386457E+01          2.81536980E+01          2.10698290E+01
        870.0000          8.46546456E+01          2.84459369E+01          2.12914969E+01
