#Energy      Zn  Total
        480.0000          9.70603986E+00          9.70603986E+00
        490.0000          9.76329801E+00          9.76329801E+00
        500.0000          9.82140969E+00          9.82140969E+00
        510.0000          9.88031176E+00          9.88031176E+00
        520.0000          9.93994625E+00          9.93994625E+00
        530.0000          1.00002599E+01          1.00002599E+01
        540.0000          1.00612035E+01          1.00612035E+01
        550.0000          1.01227320E+01          1.01227320E+01
        560.0000          1.01848035E+01          1.01848035E+01
        570.0000          1.02473795E+01          1.02473795E+01
        580.0000          1.03104242E+01          1.03104242E+01
        590.0000          1.03739045E+01          1.03739045E+01
        600.0000          1.04377898E+01          1.04377898E+01
        610.0000          1.05020517E+01          1.05020517E+01
        620.0000          1.05666636E+01          1.05666636E+01
        630.0000          1.06316009E+01          1.06316009E+01
        640.0000          1.06968407E+01          1.06968407E+01
        650.0000          1.07623617E+01          1.07623617E+01
        660.0000          1.08281440E+01          1.08281440E+01
        670.0000          1.08941690E+01          1.08941690E+01
        680.0000          1.09604194E+01          1.09604194E+01
        690.0000          1.10268788E+01          1.10268788E+01
        700.0000          1.10935322E+01          1.10935322E+01
        710.0000          1.11603654E+01          1.11603654E+01
        720.0000          1.12273650E+01          1.12273650E+01
        730.0000          1.12945186E+01          1.12945186E+01
        740.0000          1.13618145E+01          1.13618145E+01
        750.0000          1.14292418E+01          1.14292418E+01
        760.0000          1.14967900E+01          1.14967900E+01
        770.0000          1.15644496E+01          1.15644496E+01
        780.0000          1.16322114E+01          1.16322114E+01
        790.0000          1.17000669E+01          1.17000669E+01
        800.0000          1.17680081E+01          1.17680081E+01
        810.0000          1.18360273E+01          1.18360273E+01
        820.0000          1.19041175E+01          1.19041175E+01
        830.0000          1.19722718E+01          1.19722718E+01
        840.0000          1.20404841E+01          1.20404841E+01
        850.0000          1.21087482E+01          1.21087482E+01
        860.0000          1.21770586E+01          1.21770586E+01
        870.0000          1.22454099E+01          1.22454099E+01
        880.0000          1.23137972E+01          1.23137972E+01
        890.0000          1.23822156E+01          1.23822156E+01
        900.0000          1.24506608E+01          1.24506608E+01
        910.0000          1.25191285E+01          1.25191285E+01
        920.0000          1.25876146E+01          1.25876146E+01
        930.0000          1.26561155E+01          1.26561155E+01
        940.0000          1.27246276E+01          1.27246276E+01
        950.0000          1.27931474E+01          1.27931474E+01
        960.0000          1.28616718E+01          1.28616718E+01
        970.0000          1.29301978E+01          1.29301978E+01
        980.0000          1.29987225E+01          1.29987225E+01
        990.0000          1.30672432E+01          1.30672432E+01
       1000.0000          1.31357574E+01          1.31357574E+01
       1023.9990          1.33001437E+01          1.33001437E+01
       1024.0010          1.33001574E+01          1.33001574E+01
       1046.9990          1.34576108E+01          1.34576108E+01
       1047.0010          1.34576245E+01          1.34576245E+01
       1100.0000          1.38200665E+01          1.38200665E+01
       1197.9990          1.44881266E+01          1.44881266E+01
       1198.0010          1.44881402E+01          1.44881402E+01
       1200.0000          1.45017330E+01          1.45017330E+01
       1300.0000          1.51796934E+01          1.51796934E+01
       1400.0000          1.58533554E+01          1.58533554E+01
       1500.0000          1.65224134E+01          1.65224134E+01
       1600.0000          1.71867398E+01          1.71867398E+01
       1700.0000          1.78463180E+01          1.78463180E+01
       1800.0000          1.85012006E+01          1.85012006E+01
       1900.0000          1.91514829E+01          1.91514829E+01
       2000.0000          1.97972854E+01          1.97972854E+01
       2100.0000          2.04387429E+01          2.04387429E+01
       2200.0000          2.10759971E+01          2.10759971E+01
       2300.0000          2.17091916E+01          2.17091916E+01
       2400.0000          2.23384689E+01          2.23384689E+01
       2500.0000          2.29639686E+01          2.29639686E+01
       2600.0000          2.35858254E+01          2.35858254E+01
       2700.0000          2.42041694E+01          2.42041694E+01
       2800.0000          2.48191250E+01          2.48191250E+01
       2900.0000          2.54308107E+01          2.54308107E+01
       3000.0000          2.60393397E+01          2.60393397E+01
