#Energy      Zn   O  Total
        720.0000          2.10315940E+01          3.54437953E+01          1.31993692E+01
        730.0000          2.11573891E+01          3.58867182E+01          1.33102138E+01
        740.0000          2.12834508E+01          3.63294443E+01          1.34208833E+01
        750.0000          2.14097584E+01          3.67719764E+01          1.35313795E+01
        760.0000          2.15362928E+01          3.72143174E+01          1.36417040E+01
        770.0000          2.16630357E+01          3.76564701E+01          1.37518586E+01
        780.0000          2.17899701E+01          3.80984371E+01          1.38618448E+01
        790.0000          2.19170801E+01          3.85402209E+01          1.39716642E+01
        800.0000          2.20443505E+01          3.89818243E+01          1.40813184E+01
        810.0000          2.21717671E+01          3.94232495E+01          1.41908088E+01
        820.0000          2.22993165E+01          3.98644990E+01          1.43001371E+01
        830.0000          2.24269863E+01          4.03055753E+01          1.44093045E+01
        840.0000          2.25547644E+01          4.07464805E+01          1.45183127E+01
        850.0000          2.26826398E+01          4.11872169E+01          1.46271630E+01
        860.0000          2.28106018E+01          4.16277867E+01          1.47358568E+01
        870.0000          2.29386405E+01          4.20681919E+01          1.48443955E+01
        880.0000          2.30667466E+01          4.25084348E+01          1.49527805E+01
        890.0000          2.31949110E+01          4.29485174E+01          1.50610131E+01
        900.0000          2.33231255E+01          4.33884415E+01          1.51690945E+01
        910.0000          2.34513822E+01          4.38282091E+01          1.52770263E+01
        920.0000          2.35796735E+01          4.42678222E+01          1.53848095E+01
        930.0000          2.37079924E+01          4.47072826E+01          1.54924454E+01
        940.0000          2.38363321E+01          4.51465921E+01          1.55999354E+01
        950.0000          2.39646865E+01          4.55857524E+01          1.57072807E+01
        960.0000          2.40930494E+01          4.60247653E+01          1.58144824E+01
        970.0000          2.42214153E+01          4.64636324E+01          1.59215417E+01
        980.0000          2.43497788E+01          4.69023555E+01          1.60284600E+01
        990.0000          2.44781349E+01          4.73409361E+01          1.61352382E+01
       1000.0000          2.46064786E+01          4.77793758E+01          1.62418776E+01
       1023.9990          2.49144143E+01          4.88310216E+01          1.64972420E+01
       1024.0010          2.49144400E+01          4.88311092E+01          1.64972633E+01
       1046.9990          2.52093886E+01          4.98381567E+01          1.67412465E+01
       1047.0010          2.52094142E+01          4.98382443E+01          1.67412677E+01
       1100.0000          2.58883566E+01          5.21563481E+01          1.73008808E+01
       1197.9990          2.71397960E+01          5.64335272E+01          1.83263553E+01
       1198.0010          2.71398215E+01          5.64336143E+01          1.83263761E+01
       1200.0000          2.71652842E+01          5.65207431E+01          1.83471733E+01
       1300.0000          2.84352695E+01          6.08736931E+01          1.93817039E+01
       1400.0000          2.96972026E+01          6.52161374E+01          2.04053176E+01
       1500.0000          3.09505115E+01          6.95488644E+01          2.14187691E+01
       1600.0000          3.21949570E+01          7.38725438E+01          2.24227341E+01
       1700.0000          3.34305079E+01          7.81877499E+01          2.34178193E+01
       1800.0000          3.46572629E+01          8.24949794E+01          2.44045708E+01
       1900.0000          3.58754002E+01          8.67946653E+01          2.53834816E+01
       2000.0000          3.70851458E+01          9.10871878E+01          2.63549984E+01
       2100.0000          3.82867522E+01          9.53728832E+01          2.73195265E+01
       2200.0000          3.94804848E+01          9.96520501E+01          2.82774353E+01
       2300.0000          4.06666126E+01          1.03924956E+02          2.92290620E+01
       2400.0000          4.18454027E+01          1.08191839E+02          3.01747154E+01
       2500.0000          4.30171161E+01          1.12452918E+02          3.11146791E+01
       2600.0000          4.41820057E+01          1.16708387E+02          3.20492140E+01
       2700.0000          4.53403149E+01          1.20958425E+02          3.29785607E+01
       2800.0000          4.64922767E+01          1.25203194E+02          3.39029417E+01
       2900.0000          4.76381133E+01          1.29442844E+02          3.48225634E+01
       3000.0000          4.87780366E+01          1.33677511E+02          3.57376172E+01
       3100.0000          4.99122478E+01          1.37907322E+02          3.66482813E+01
       3200.0000          5.10409383E+01          1.42132392E+02          3.75547217E+01
       3300.0000          5.21642897E+01          1.46352829E+02          3.84570934E+01
       3400.0000          5.32824743E+01          1.50568735E+02          3.93555416E+01
       3500.0000          5.43956558E+01          1.54780200E+02          4.02502022E+01
       3600.0000          5.55039894E+01          1.58987314E+02          4.11412027E+01
       3700.0000          5.66076227E+01          1.63190156E+02          4.20286631E+01
       3800.0000          5.77066957E+01          1.67388803E+02          4.29126961E+01
       3900.0000          5.88013417E+01          1.71583326E+02          4.37934082E+01
       4000.0000          5.98916873E+01          1.75773792E+02          4.46708997E+01
       4100.0000          6.09778530E+01          1.79960264E+02          4.55452655E+01
       4200.0000          6.20599534E+01          1.84142801E+02          4.64165954E+01
       4300.0000          6.31380980E+01          1.88321459E+02          4.72849744E+01
       4400.0000          6.42123908E+01          1.92496291E+02          4.81504832E+01
       4500.0000          6.52829313E+01          1.96667348E+02          4.90131983E+01
       4600.0000          6.63498144E+01          2.00834677E+02          4.98731924E+01
       4700.0000          6.74131306E+01          2.04998324E+02          5.07305348E+01
       4800.0000          6.84729666E+01          2.09158330E+02          5.15852914E+01
