#Energy      Pb   I  Total
         44.0000          4.49918908E+03          5.52691135E+02          4.92225035E+02
         45.0000          4.40181712E+03          5.41257031E+02          4.81990436E+02
         46.0000          4.30867482E+03          5.30320385E+02          4.72200941E+02
         47.0000          4.21949261E+03          5.19849538E+02          4.62828219E+02
         48.0000          4.13402333E+03          5.09815467E+02          4.53846295E+02
         49.0000          4.05203999E+03          5.00191510E+02          4.45231311E+02
         50.0000          3.97333373E+03          4.90953133E+02          4.36961312E+02
         51.0000          3.89771207E+03          4.82077725E+02          4.29016061E+02
         52.0000          3.82499730E+03          4.73544407E+02          4.21376876E+02
         53.0000          3.75502513E+03          4.65333873E+02          4.14026481E+02
         54.0000          3.68764341E+03          4.57428246E+02          4.06948877E+02
         55.0000          3.62271106E+03          4.49810943E+02          4.00129226E+02
         55.9990          3.56015854E+03          4.42473778E+02          3.93560206E+02
         56.0000          3.56009704E+03          4.42466565E+02          3.93553748E+02
         56.0010          3.56003554E+03          4.42459352E+02          3.93547290E+02
         57.0000          3.49967952E+03          4.35380789E+02          3.87209626E+02
         57.9990          3.44140239E+03          4.28547002E+02          3.81090947E+02
         58.0000          3.44134506E+03          4.28540280E+02          3.81084928E+02
         58.0010          3.44128773E+03          4.28533558E+02          3.81078909E+02
         59.0000          3.38498790E+03          4.21932603E+02          3.75168526E+02
         60.0000          3.33050931E+03          4.15546150E+02          3.69450035E+02
         61.0000          3.27781704E+03          4.09370074E+02          3.63919748E+02
         62.0000          3.22682480E+03          4.03394226E+02          3.58568583E+02
         63.0000          3.17745173E+03          3.97609097E+02          3.53388033E+02
         64.0000          3.12962207E+03          3.92005774E+02          3.48370122E+02
         65.0000          3.08326467E+03          3.86575891E+02          3.43507364E+02
         66.0000          3.03831273E+03          3.81311585E+02          3.38792726E+02
         67.0000          2.99470339E+03          3.76205464E+02          3.34219591E+02
         68.0000          2.95237751E+03          3.71250570E+02          3.29781735E+02
         69.0000          2.91127939E+03          3.66440346E+02          3.25473290E+02
         70.0000          2.87135646E+03          3.61768608E+02          3.21288725E+02
         71.0000          2.83255916E+03          3.57229522E+02          3.17222818E+02
         72.0000          2.79484065E+03          3.52817575E+02          3.13270638E+02
         73.0000          2.75815666E+03          3.48527557E+02          3.09427523E+02
         74.0000          2.72246532E+03          3.44354539E+02          3.05689063E+02
         75.0000          2.68772697E+03          3.40293852E+02          3.02051082E+02
         76.0000          2.65390405E+03          3.36341075E+02          2.98509622E+02
         77.0000          2.62096096E+03          3.32492015E+02          2.95060933E+02
         78.0000          2.58886389E+03          3.28742692E+02          2.91701455E+02
         79.0000          2.55758077E+03          3.25089330E+02          2.88427808E+02
         80.0000          2.52708111E+03          3.21528338E+02          2.85236781E+02
         81.0000          2.49733596E+03          3.18056305E+02          2.82125321E+02
         82.0000          2.46831773E+03          3.14669983E+02          2.79090524E+02
         83.0000          2.44000019E+03          3.11366283E+02          2.76129624E+02
         84.0000          2.41235836E+03          3.08142262E+02          2.73239990E+02
         85.0000          2.38536842E+03          3.04995113E+02          2.70419110E+02
         86.0000          2.35900767E+03          3.01922162E+02          2.67664591E+02
         87.0000          2.33325442E+03          2.98920856E+02          2.64974151E+02
         88.0000          2.30808802E+03          2.95988758E+02          2.62345609E+02
         89.0000          2.28348870E+03          2.93123542E+02          2.59776882E+02
         89.9990          2.25946136E+03          2.90325751E+02          2.57268465E+02
         90.0000          2.25943758E+03          2.90322982E+02          2.57265982E+02
         90.0010          2.25941380E+03          2.90320213E+02          2.57263500E+02
         91.0000          2.23591662E+03          2.87584952E+02          2.54811006E+02
         92.0000          2.21290855E+03          2.84907417E+02          2.52410132E+02
         93.0000          2.19039686E+03          2.82288430E+02          2.50061621E+02
         94.0000          2.16836572E+03          2.79726127E+02          2.47763803E+02
         95.0000          2.14679998E+03          2.77218721E+02          2.45515080E+02
         96.0000          2.12568511E+03          2.74764501E+02          2.43313922E+02
         97.0000          2.10500719E+03          2.72361824E+02          2.41158859E+02
         98.0000          2.08475286E+03          2.70009117E+02          2.39048483E+02
         99.0000          2.06490930E+03          2.67704867E+02          2.36981442E+02
        100.0000          2.04546420E+03          2.65447624E+02          2.34956439E+02
        110.0000          1.87054090E+03          2.45179007E+02          2.16766576E+02
        110.9990          1.85480609E+03          2.43359465E+02          2.15132984E+02
        111.0010          1.85477488E+03          2.43355856E+02          2.15129744E+02
        120.0000          1.72491607E+03          2.28367151E+02          2.01667718E+02
        130.0000          1.60183553E+03          2.14215225E+02          1.88947119E+02
        130.9990          1.59058003E+03          2.12924177E+02          1.87786057E+02
        131.0010          1.59055767E+03          2.12921613E+02          1.87783751E+02
        140.0000          1.49647290E+03          2.02153629E+02          1.78095315E+02
        140.9990          1.48677575E+03          2.01046420E+02          1.77098599E+02
        141.0010          1.48675648E+03          2.01044219E+02          1.77096618E+02
        143.9990          1.45847197E+03          1.97817813E+02          1.74191581E+02
        144.0010          1.45845350E+03          1.97815708E+02          1.74189685E+02
        147.9990          1.42253697E+03          1.93725709E+02          1.70505690E+02
        148.0010          1.42251949E+03          1.93723721E+02          1.70503899E+02
        150.0000          1.40528750E+03          1.91764379E+02          1.68738466E+02
        152.9990          1.38028932E+03          1.88925603E+02          1.66179909E+02
        153.0010          1.38027298E+03          1.88923749E+02          1.66178237E+02
        160.0000          1.32562292E+03          1.82733807E+02          1.60596043E+02
        170.0000          1.25544717E+03          1.74821930E+02          1.53453429E+02
        180.0000          1.19317939E+03          1.67842018E+02          1.47143634E+02
        190.0000          1.13757118E+03          1.61646599E+02          1.41534787E+02
        192.9990          1.12203768E+03          1.59923232E+02          1.39972983E+02
        193.0010          1.12202748E+03          1.59922102E+02          1.39971958E+02
        200.0000          1.08762362E+03          1.56117662E+02          1.36521365E+02
        210.0000          1.04252789E+03          1.51159656E+02          1.32017928E+02
        220.0000          1.00162211E+03          1.46694386E+02          1.27954567E+02
        230.0000          9.64359417E+02          1.42657252E+02          1.24273526E+02
        240.0000          9.30284032E+02          1.38994416E+02          1.20926674E+02
        250.0000          8.99013050E+02          1.35660656E+02          1.17873586E+02
        260.0000          8.70222443E+02          1.32617705E+02          1.15080059E+02
        270.0000          8.43636160E+02          1.29832973E+02          1.12516963E+02
        280.0000          8.19017573E+02          1.27278524E+02          1.10159334E+02
        290.0000          7.96162678E+02          1.24930284E+02          1.07985658E+02
        300.0000          7.74894665E+02          1.22767391E+02          1.05977295E+02
        310.0000          7.55059534E+02          1.20771679E+02          1.04118016E+02
        320.0000          7.36522534E+02          1.18927260E+02          1.02393627E+02
        330.0000          7.19165247E+02          1.17220174E+02          1.00791661E+02
        340.0000          7.02883188E+02          1.15638109E+02          9.93011213E+01
        350.0000          6.87583817E+02          1.14170163E+02          9.79122756E+01
        360.0000          6.73184877E+02          1.12806652E+02          9.66164769E+01
        370.0000          6.59613009E+02          1.11538942E+02          9.54060180E+01
        380.0000          6.46802580E+02          1.10359309E+02          9.42740081E+01
        390.0000          6.34694693E+02          1.09260830E+02          9.32142674E+01
        400.0000          6.23236344E+02          1.08237274E+02          9.22212383E+01
        410.0000          6.12379707E+02          1.07283022E+02          9.12899096E+01
        418.9990          6.03088359E+02          1.06479328E+02          9.05007996E+01
        419.0010          6.03086342E+02          1.06479155E+02          9.05006291E+01
        420.0000          6.02081514E+02          1.06392994E+02          9.04157511E+01
        430.0000          5.92302525E+02          1.05562585E+02          8.95946576E+01
        440.0000          5.83007076E+02          1.04787612E+02          8.88229007E+01
        440.9990          5.82103751E+02          1.04713088E+02          8.87483795E+01
        441.0010          5.82101947E+02          1.04712940E+02          8.87482307E+01
        450.0000          5.74162673E+02          1.04064266E+02          8.80970864E+01
        460.0000          5.65739656E+02          1.03389073E+02          8.74141192E+01
        470.0000          5.57710889E+02          1.02758855E+02          8.67711697E+01
        480.0000          5.50051505E+02          1.02170702E+02          8.61656473E+01
        490.0000          5.42738671E+02          1.01621946E+02          8.55951751E+01
        500.0000          5.35751382E+02          1.01110131E+02          8.50575692E+01
        510.0000          5.29070285E+02          1.00632997E+02          8.45508191E+01
        520.0000          5.22677521E+02          1.00188460E+02          8.40730713E+01
        530.0000          5.16556580E+02          9.97745960E+01          8.36226141E+01
        540.0000          5.10692180E+02          9.93896232E+01          8.31978647E+01
        550.0000          5.05070152E+02          9.90318920E+01          8.27973573E+01
        560.0000          4.99677344E+02          9.86998722E+01          8.24197324E+01
        570.0000          4.94501529E+02          9.83921423E+01          8.20637278E+01
        580.0000          4.89531325E+02          9.81073803E+01          8.17281698E+01
        590.0000          4.84756127E+02          9.78443548E+01          8.14119658E+01
        600.0000          4.80166037E+02          9.76019183E+01          8.11140976E+01
        610.0000          4.75751809E+02          9.73789993E+01          8.08336149E+01
        620.0000          4.71504798E+02          9.71745967E+01          8.05696303E+01
        625.9990          4.69033872E+02          9.70604694E+01          8.04188356E+01
        626.0010          4.69033058E+02          9.70604324E+01          8.04187863E+01
        630.0000          4.67416907E+02          9.69877740E+01          8.03213136E+01
        637.9990          4.64256437E+02          9.68503989E+01          8.01334403E+01
        638.0010          4.64255658E+02          9.68503659E+01          8.01333944E+01
        640.0000          4.63480551E+02          9.68176545E+01          8.00878879E+01
        650.0000          4.59688610E+02          9.66634162E+01          7.98686251E+01
        650.9990          4.59317469E+02          9.66488502E+01          7.98474723E+01
        651.0010          4.59316727E+02          9.66488212E+01          7.98474301E+01
        660.0000          4.56034401E+02          9.65242878E+01          7.96628425E+01
        670.0000          4.52511640E+02          9.63995453E+01          7.94698988E+01
        680.0000          4.49114414E+02          9.62885077E+01          7.92891915E+01
        690.0000          4.45837158E+02          9.61905346E+01          7.91201541E+01
        700.0000          4.42674622E+02          9.61050230E+01          7.89622532E+01
        710.0000          4.39621857E+02          9.60314045E+01          7.88149862E+01
        720.0000          4.36674190E+02          9.59691431E+01          7.86778792E+01
        730.0000          4.33827203E+02          9.59177327E+01          7.85504851E+01
        740.0000          4.31076723E+02          9.58766953E+01          7.84323817E+01
        750.0000          4.28418796E+02          9.58455793E+01          7.83231698E+01
        760.0000          4.25849682E+02          9.58239571E+01          7.82224720E+01
        768.9990          4.23610723E+02          9.58122803E+01          7.81388369E+01
        769.0010          4.23610233E+02          9.58122785E+01          7.81388190E+01
        770.0000          4.23365833E+02          9.58114240E+01          7.81299311E+01
        780.0000          4.20963887E+02          9.58075968E+01          7.80452088E+01
        790.0000          4.18640651E+02          9.58121121E+01          7.79679843E+01
        800.0000          4.16393095E+02          9.58246251E+01          7.78979537E+01
        810.0000          4.14218338E+02          9.58448088E+01          7.78348282E+01
        820.0000          4.12113643E+02          9.58723525E+01          7.77783340E+01
        830.0000          4.10076404E+02          9.59069607E+01          7.77282107E+01
        840.0000          4.08104140E+02          9.59483529E+01          7.76842107E+01
        850.0000          4.06194489E+02          9.59962618E+01          7.76460985E+01
        860.0000          4.04345200E+02          9.60504333E+01          7.76136502E+01
        870.0000          4.02554124E+02          9.61106250E+01          7.75866522E+01
        880.0000          4.00819215E+02          9.61766062E+01          7.75649013E+01
        880.9990          4.00648907E+02          9.61835073E+01          7.75630091E+01
        881.0010          4.00648566E+02          9.61835212E+01          7.75630053E+01
        890.0000          3.99138515E+02          9.62481569E+01          7.75482035E+01
        898.9990          3.97670849E+02          9.63171329E+01          7.75373439E+01
        899.0010          3.97670528E+02          9.63171487E+01          7.75373419E+01
        900.0000          3.97510156E+02          9.63250672E+01          7.75363739E+01
        910.0000          3.95932355E+02          9.64071368E+01          7.75292361E+01
        920.0000          3.94403404E+02          9.64941742E+01          7.75266216E+01
        930.0000          3.92921670E+02          9.65859969E+01          7.75283694E+01
        936.9990          3.91911855E+02          9.66530165E+01          7.75321051E+01
        937.0010          3.91911569E+02          9.66530359E+01          7.75321065E+01
        940.0000          3.91485592E+02          9.66824302E+01          7.75343257E+01
        950.0000          3.90093674E+02          9.67833071E+01          7.75443435E+01
        960.0000          3.88744483E+02          9.68884679E+01          7.75582820E+01
        970.0000          3.87436646E+02          9.69977597E+01          7.75760066E+01
        980.0000          3.86168847E+02          9.71110361E+01          7.75973885E+01
        990.0000          3.84939823E+02          9.72281570E+01          7.76223041E+01
       1000.0000          3.83748364E+02          9.73489881E+01          7.76506351E+01
       1077.9990          3.75622248E+02          9.84053090E+01          7.79769506E+01
       1078.0010          3.75622064E+02          9.84053385E+01          7.79769611E+01
       1100.0000          3.73665193E+02          9.87354607E+01          7.80989711E+01
       1200.0000          3.66303968E+02          1.00379272E+02          7.87886139E+01
       1300.0000          3.61006157E+02          1.02209128E+02          7.96565349E+01
       1400.0000          3.57304300E+02          1.04175284E+02          8.06585559E+01
       1500.0000          3.54857879E+02          1.06242175E+02          8.17628899E+01
       1600.0000          3.53413325E+02          1.08383855E+02          8.29461511E+01
       1700.0000          3.52778200E+02          1.10581062E+02          8.41908023E+01
       1800.0000          3.52804029E+02          1.12819286E+02          8.54834745E+01
       1900.0000          3.53374585E+02          1.15087462E+02          8.68138292E+01
       2000.0000          3.54397709E+02          1.17377058E+02          8.81737714E+01
       2100.0000          3.55799492E+02          1.19681438E+02          8.95568934E+01
       2200.0000          3.57520048E+02          1.21995402E+02          9.09580746E+01
       2300.0000          3.59510410E+02          1.24314848E+02          9.23731890E+01
       2400.0000          3.61730203E+02          1.26636524E+02          9.37988873E+01
       2489.9990          3.63896315E+02          1.28725767E+02          9.50887789E+01
       2490.0010          3.63896364E+02          1.28725813E+02          9.50888076E+01
       2500.0000          3.64145885E+02          1.28957844E+02          9.52324337E+01
       2591.9990          3.66517097E+02          1.31091338E+02          9.65562745E+01
       2592.0010          3.66517150E+02          1.31091384E+02          9.65563033E+01
       2600.0000          3.66729400E+02          1.31276743E+02          9.66715809E+01
       2700.0000          3.69457131E+02          1.33591573E+02          9.81144745E+01
       2800.0000          3.72309086E+02          1.35901016E+02          9.95595777E+01
       2900.0000          3.75268251E+02          1.38204022E+02          1.01005613E+02
       3000.0000          3.78320076E+02          1.40499755E+02          1.02451515E+02
       3071.9990          3.80567645E+02          1.42147778E+02          1.03491963E+02
       3072.0010          3.80567708E+02          1.42147824E+02          1.03491992E+02
       3100.0000          3.81452061E+02          1.42787552E+02          1.03896395E+02
       3200.0000          3.84653427E+02          1.45066896E+02          1.05339509E+02
       3300.0000          3.87914839E+02          1.47337382E+02          1.06780233E+02
       3400.0000          3.91228186E+02          1.49598703E+02          1.08218046E+02
       3500.0000          3.94586397E+02          1.51850630E+02          1.09652513E+02
       3559.9990          3.96620220E+02          1.53197184E+02          1.10511418E+02
       3560.0010          3.96620288E+02          1.53197228E+02          1.10511446E+02
       3600.0000          3.97983291E+02          1.54092998E+02          1.11083268E+02
       3700.0000          4.01413447E+02          1.56325695E+02          1.12510009E+02
       3800.0000          4.04872099E+02          1.58548654E+02          1.13932485E+02
       3856.9990          4.06854616E+02          1.59811348E+02          1.14741292E+02
       3857.0010          4.06854686E+02          1.59811392E+02          1.14741320E+02
       3900.0000          4.08355048E+02          1.60761844E+02          1.15350487E+02
       4000.0000          4.11858586E+02          1.62965263E+02          1.16763845E+02
       4100.0000          4.15379429E+02          1.65158935E+02          1.18172421E+02
       4200.0000          4.18914668E+02          1.67342903E+02          1.19576105E+02
       4300.0000          4.22461719E+02          1.69517229E+02          1.20974809E+02
       4400.0000          4.26018281E+02          1.71681986E+02          1.22368465E+02
       4500.0000          4.29582308E+02          1.73837259E+02          1.23757026E+02
       4562.9990          4.31830611E+02          1.75190233E+02          1.24629172E+02
       4563.0010          4.31830682E+02          1.75190276E+02          1.24629200E+02
       4600.0000          4.33151972E+02          1.75983143E+02          1.25140455E+02
       4700.0000          4.36725641E+02          1.78119740E+02          1.26518731E+02
       4800.0000          4.40301859E+02          1.80247155E+02          1.27891844E+02
       4857.9990          4.42376676E+02          1.81476872E+02          1.28685868E+02
       4858.0010          4.42376748E+02          1.81476914E+02          1.28685895E+02
       4900.0000          4.43879319E+02          1.82365501E+02          1.29259791E+02
       5000.0000          4.47456853E+02          1.84474891E+02          1.30622579E+02
       5100.0000          4.51033416E+02          1.86575444E+02          1.31980223E+02
       5194.9990          4.54429360E+02          1.88562869E+02          1.33265225E+02
       5195.0010          4.54429431E+02          1.88562911E+02          1.33265252E+02
       5200.0000          4.54608070E+02          1.88667277E+02          1.33332743E+02
       5300.0000          4.58179972E+02          1.90750509E+02          1.34680163E+02
       5400.0000          4.61748370E+02          1.92825262E+02          1.36022513E+02
       5500.0000          4.65312586E+02          1.94891654E+02          1.37359826E+02
       5600.0000          4.68872015E+02          1.96949806E+02          1.38692139E+02
       5700.0000          4.72426113E+02          1.98999835E+02          1.40019490E+02
       5800.0000          4.75974393E+02          2.01041860E+02          1.41341920E+02
       5900.0000          4.79516418E+02          2.03075998E+02          1.42659474E+02
       6000.0000          4.83051800E+02          2.05102363E+02          1.43972196E+02
       6100.0000          4.86580190E+02          2.07121070E+02          1.45280130E+02
       6200.0000          4.90101276E+02          2.09132230E+02          1.46583326E+02
       6300.0000          4.93614782E+02          2.11135953E+02          1.47881829E+02
       6400.0000          4.97120462E+02          2.13132349E+02          1.49175688E+02
       6500.0000          5.00618097E+02          2.15121524E+02          1.50464952E+02
       6600.0000          5.04107496E+02          2.17103582E+02          1.51749670E+02
       6700.0000          5.07588488E+02          2.19078627E+02          1.53029891E+02
       6800.0000          5.11060925E+02          2.21046760E+02          1.54305663E+02
       6900.0000          5.14524677E+02          2.23008079E+02          1.55577036E+02
       7000.0000          5.17979630E+02          2.24962682E+02          1.56844057E+02
       7100.0000          5.21425689E+02          2.26910663E+02          1.58106777E+02
       7200.0000          5.24862771E+02          2.28852117E+02          1.59365243E+02
       7300.0000          5.28290806E+02          2.30787133E+02          1.60619502E+02
       7400.0000          5.31709737E+02          2.32715803E+02          1.61869602E+02
       7500.0000          5.35119517E+02          2.34638213E+02          1.63115591E+02
       7600.0000          5.38520109E+02          2.36554448E+02          1.64357514E+02
       7700.0000          5.41911485E+02          2.38464594E+02          1.65595417E+02
       7800.0000          5.45293625E+02          2.40368733E+02          1.66829346E+02
       7900.0000          5.48666518E+02          2.42266944E+02          1.68059346E+02
       8000.0000          5.52030157E+02          2.44159307E+02          1.69285461E+02
       8100.0000          5.55384543E+02          2.46045899E+02          1.70507735E+02
       8200.0000          5.58729683E+02          2.47926795E+02          1.71726210E+02
       8300.0000          5.62065588E+02          2.49802069E+02          1.72940929E+02
       8400.0000          5.65392274E+02          2.51671794E+02          1.74151934E+02
       8500.0000          5.68709762E+02          2.53536040E+02          1.75359267E+02
       8600.0000          5.72018075E+02          2.55394877E+02          1.76562967E+02
       8700.0000          5.75317242E+02          2.57248373E+02          1.77763076E+02
       8800.0000          5.78607293E+02          2.59096595E+02          1.78959632E+02
       8900.0000          5.81888262E+02          2.60939606E+02          1.80152674E+02
       9000.0000          5.85160186E+02          2.62777472E+02          1.81342240E+02
       9100.0000          5.88423102E+02          2.64610254E+02          1.82528368E+02
       9200.0000          5.91677052E+02          2.66438015E+02          1.83711096E+02
       9300.0000          5.94922079E+02          2.68260812E+02          1.84890458E+02
       9400.0000          5.98158227E+02          2.70078707E+02          1.86066492E+02
       9500.0000          6.01385541E+02          2.71891755E+02          1.87239232E+02
       9600.0000          6.04604070E+02          2.73700013E+02          1.88408713E+02
       9700.0000          6.07813861E+02          2.75503537E+02          1.89574969E+02
       9800.0000          6.11014964E+02          2.77302380E+02          1.90738034E+02
       9900.0000          6.14207429E+02          2.79096596E+02          1.91897941E+02
      10000.0000          6.17391309E+02          2.80886237E+02          1.93054721E+02
      11000.0000          6.48769535E+02          2.98541726E+02          2.04457378E+02
      12000.0000          6.79348345E+02          3.15789975E+02          2.15579475E+02
      13000.0000          7.09181424E+02          3.32669156E+02          2.26445894E+02
      13040.9990          7.10389387E+02          3.33353793E+02          2.26886270E+02
      13041.0010          7.10389446E+02          3.33353826E+02          2.26886291E+02
      14000.0000          7.38319613E+02          3.49211273E+02          2.37077894E+02
      15000.0000          7.66809790E+02          3.65443442E+02          2.47493759E+02
      15205.9990          7.72602216E+02          3.68750932E+02          2.49614055E+02
      15206.0010          7.72602272E+02          3.68750964E+02          2.49614075E+02
      15866.9990          7.91019388E+02          3.79283888E+02          2.56361676E+02
      15867.0010          7.91019443E+02          3.79283920E+02          2.56361696E+02
      16000.0000          7.94694621E+02          3.81388859E+02          2.57709321E+02
      17000.0000          8.22012711E+02          3.97067546E+02          2.67738377E+02
      18000.0000          8.48798912E+02          4.12496928E+02          2.77593038E+02
      19000.0000          8.75084694E+02          4.27692281E+02          2.87283991E+02
      20000.0000          9.00898505E+02          4.42667091E+02          2.96820729E+02
      21000.0000          9.26266111E+02          4.57433335E+02          3.06211726E+02
      22000.0000          9.51210910E+02          4.72001716E+02          3.15464586E+02
      23000.0000          9.75754197E+02          4.86381843E+02          3.24586161E+02
      24000.0000          9.99915413E+02          5.00582392E+02          3.33582660E+02
      25000.0000          1.02371235E+03          5.14611225E+02          3.42459723E+02
      26000.0000          1.04716133E+03          5.28475501E+02          3.51222501E+02
      27000.0000          1.07027738E+03          5.42181763E+02          3.59875708E+02
      28000.0000          1.09307435E+03          5.55736013E+02          3.68423680E+02
      29000.0000          1.11556506E+03          5.69143773E+02          3.76870409E+02
      30000.0000          1.13776137E+03          5.82410143E+02          3.85219589E+02
      31000.0000          1.15967433E+03          5.95539847E+02          3.93474644E+02
      32000.0000          1.18131420E+03          6.08537270E+02          4.01638756E+02
      33000.0000          1.20269056E+03          6.21406494E+02          4.09714890E+02
      33175.9990          1.20642619E+03          6.23658488E+02          4.11127388E+02
      33176.0010          1.20642623E+03          6.23658514E+02          4.11127404E+02
      34000.0000          1.22381236E+03          6.34151332E+02          4.17705815E+02
      35000.0000          1.24468799E+03          6.46775349E+02          4.25614123E+02
      36000.0000          1.26532533E+03          6.59281889E+02          4.33442245E+02
      37000.0000          1.28573175E+03          6.71674093E+02          4.41192464E+02
      38000.0000          1.30591423E+03          6.83954920E+02          4.48866933E+02
      39000.0000          1.32587932E+03          6.96127159E+02          4.56467679E+02
      40000.0000          1.34563323E+03          7.08193447E+02          4.63996620E+02
      41000.0000          1.36518182E+03          7.20156280E+02          4.71455569E+02
      42000.0000          1.38453063E+03          7.32018023E+02          4.78846246E+02
      43000.0000          1.40368494E+03          7.43780924E+02          4.86170281E+02
      44000.0000          1.42264974E+03          7.55447120E+02          4.93429226E+02
      45000.0000          1.44142978E+03          7.67018644E+02          5.00624557E+02
      46000.0000          1.46002958E+03          7.78497437E+02          5.07757681E+02
      47000.0000          1.47845346E+03          7.89885353E+02          5.14829940E+02
      48000.0000          1.49670553E+03          8.01184162E+02          5.21842615E+02
      49000.0000          1.51478971E+03          8.12395559E+02          5.28796934E+02
      50000.0000          1.53270976E+03          8.23521170E+02          5.35694069E+02
      88010.9990          2.11805587E+03          1.19428886E+03          7.63679729E+02
      88011.0010          2.11805590E+03          1.19428887E+03          7.63679740E+02
