#Energy      Al   Si  Total
        760.0000          3.64393731E+01          2.61180791E+01          1.52136380E+01
        770.0000          3.68248896E+01          2.63871283E+01          1.53721257E+01
        780.0000          3.72101054E+01          2.66559526E+01          1.55304842E+01
        790.0000          3.75950239E+01          2.69245544E+01          1.56887148E+01
        800.0000          3.79796484E+01          2.71929360E+01          1.58468190E+01
        810.0000          3.83639823E+01          2.74610996E+01          1.60047980E+01
        820.0000          3.87480290E+01          2.77290476E+01          1.61626533E+01
        830.0000          3.91317917E+01          2.79967822E+01          1.63203862E+01
        840.0000          3.95152736E+01          2.82643056E+01          1.64779980E+01
        850.0000          3.98984779E+01          2.85316200E+01          1.66354900E+01
        860.0000          4.02814078E+01          2.87987277E+01          1.67928636E+01
        870.0000          4.06640662E+01          2.90656307E+01          1.69501200E+01
        880.0000          4.10464563E+01          2.93323313E+01          1.71072605E+01
        890.0000          4.14285810E+01          2.95988315E+01          1.72642864E+01
        900.0000          4.18104434E+01          2.98651334E+01          1.74211987E+01
        910.0000          4.21920461E+01          3.01312391E+01          1.75779989E+01
        920.0000          4.25733922E+01          3.03971506E+01          1.77346881E+01
        930.0000          4.29544844E+01          3.06628699E+01          1.78912674E+01
        940.0000          4.33353255E+01          3.09283991E+01          1.80477380E+01
        950.0000          4.37159182E+01          3.11937399E+01          1.82041010E+01
        960.0000          4.40962651E+01          3.14588945E+01          1.83603576E+01
        970.0000          4.44763690E+01          3.17238646E+01          1.85165090E+01
        980.0000          4.48562323E+01          3.19886522E+01          1.86725561E+01
        990.0000          4.52358576E+01          3.22532591E+01          1.88285000E+01
       1000.0000          4.56152475E+01          3.25176871E+01          1.89843419E+01
       1100.0000          4.93967160E+01          3.51525098E+01          2.05373678E+01
       1200.0000          5.31571028E+01          3.77712579E+01          2.20812365E+01
       1300.0000          5.68983223E+01          4.03753569E+01          2.36167696E+01
       1400.0000          6.06220082E+01          4.29660355E+01          2.51446717E+01
       1500.0000          6.43295633E+01          4.55443556E+01          2.66655503E+01
       1563.9990          6.66944627E+01          4.71884005E+01          2.76354574E+01
       1564.0010          6.66945365E+01          4.71884518E+01          2.76354877E+01
       1600.0000          6.80221994E+01          4.81112403E+01          2.81799316E+01
       1700.0000          7.17009710E+01          5.06674958E+01          2.96882746E+01
       1800.0000          7.53668006E+01          5.32138303E+01          3.11909819E+01
       1843.9990          7.69758419E+01          5.43312129E+01          3.18504658E+01
       1844.0010          7.69759150E+01          5.43312636E+01          3.18504957E+01
       1900.0000          7.90205007E+01          5.57508691E+01          3.26884085E+01
       2000.0000          8.26627905E+01          5.82791674E+01          3.41808690E+01
       2100.0000          8.62943103E+01          6.07992201E+01          3.56686440E+01
       2200.0000          8.99156325E+01          6.33114708E+01          3.71519843E+01
       2300.0000          9.35272715E+01          6.58163186E+01          3.86311159E+01
       2400.0000          9.71296914E+01          6.83141239E+01          4.01062425E+01
       2500.0000          1.00723312E+02          7.08052137E+01          4.15775488E+01
       2600.0000          1.04308517E+02          7.32898855E+01          4.30452028E+01
       2700.0000          1.07885652E+02          7.57684108E+01          4.45093579E+01
       2800.0000          1.11455039E+02          7.82410384E+01          4.59701545E+01
       2900.0000          1.15016969E+02          8.07079968E+01          4.74277214E+01
       3000.0000          1.18571711E+02          8.31694963E+01          4.88821773E+01
       3100.0000          1.22119514E+02          8.56257313E+01          5.03336319E+01
       3200.0000          1.25660609E+02          8.80768816E+01          5.17821864E+01
       3300.0000          1.29195209E+02          9.05231141E+01          5.32279350E+01
       3400.0000          1.32723511E+02          9.29645839E+01          5.46709651E+01
       3500.0000          1.36245700E+02          9.54014355E+01          5.61113581E+01
       3600.0000          1.39761949E+02          9.78338040E+01          5.75491900E+01
       3700.0000          1.43272419E+02          1.00261815E+02          5.89845319E+01
       3800.0000          1.46777260E+02          1.02685588E+02          6.04174505E+01
       3900.0000          1.50276615E+02          1.05105233E+02          6.18480081E+01
       4000.0000          1.53770615E+02          1.07520854E+02          6.32762636E+01
       4100.0000          1.57259387E+02          1.09932550E+02          6.47022723E+01
       4200.0000          1.60743048E+02          1.12340414E+02          6.61260861E+01
       4300.0000          1.64221710E+02          1.14744531E+02          6.75477545E+01
       4400.0000          1.67695478E+02          1.17144987E+02          6.89673237E+01
       4500.0000          1.71164452E+02          1.19541857E+02          7.03848380E+01
       4600.0000          1.74628725E+02          1.21935217E+02          7.18003389E+01
       4700.0000          1.78088389E+02          1.24325138E+02          7.32138661E+01
       4800.0000          1.81543527E+02          1.26711684E+02          7.46254572E+01
       4900.0000          1.84994221E+02          1.29094921E+02          7.60351479E+01
       5000.0000          1.88440547E+02          1.31474909E+02          7.74429723E+01
       5100.0000          1.91882580E+02          1.33851705E+02          7.88489627E+01
       5200.0000          1.95320388E+02          1.36225364E+02          8.02531500E+01
       5300.0000          1.98754040E+02          1.38595939E+02          8.16555639E+01
       5400.0000          2.02183598E+02          1.40963479E+02          8.30562325E+01
       5500.0000          2.05609123E+02          1.43328034E+02          8.44551828E+01
       5600.0000          2.09030675E+02          1.45689648E+02          8.58524405E+01
       5700.0000          2.12448309E+02          1.48048365E+02          8.72480305E+01
       5800.0000          2.15862079E+02          1.50404228E+02          8.86419764E+01
       5900.0000          2.19272035E+02          1.52757277E+02          9.00343010E+01
       6000.0000          2.22678229E+02          1.55107551E+02          9.14250261E+01
       6100.0000          2.26080706E+02          1.57455088E+02          9.28141728E+01
       6200.0000          2.29479514E+02          1.59799922E+02          9.42017610E+01
       6300.0000          2.32874695E+02          1.62142089E+02          9.55878104E+01
       6400.0000          2.36266292E+02          1.64481621E+02          9.69723395E+01
       6500.0000          2.39654346E+02          1.66818551E+02          9.83553664E+01
       6600.0000          2.43038895E+02          1.69152909E+02          9.97369084E+01
       6700.0000          2.46419979E+02          1.71484726E+02          1.01116982E+02
       6800.0000          2.49797633E+02          1.73814030E+02          1.02495604E+02
       6900.0000          2.53171893E+02          1.76140848E+02          1.03872789E+02
       7000.0000          2.56542792E+02          1.78465207E+02          1.05248553E+02
       7100.0000          2.59910365E+02          1.80787134E+02          1.06622910E+02
       7200.0000          2.63274642E+02          1.83106653E+02          1.07995875E+02
       7300.0000          2.66635654E+02          1.85423788E+02          1.09367460E+02
       7400.0000          2.69993432E+02          1.87738563E+02          1.10737679E+02
       7500.0000          2.73348004E+02          1.90051000E+02          1.12106546E+02
       7600.0000          2.76699399E+02          1.92361122E+02          1.13474071E+02
       7700.0000          2.80047643E+02          1.94668950E+02          1.14840268E+02
       7800.0000          2.83392763E+02          1.96974504E+02          1.16205147E+02
       7900.0000          2.86734785E+02          1.99277804E+02          1.17568721E+02
       8000.0000          2.90073732E+02          2.01578871E+02          1.18930999E+02
       8100.0000          2.93409631E+02          2.03877722E+02          1.20291994E+02
       8200.0000          2.96742503E+02          2.06174376E+02          1.21651714E+02
       8300.0000          3.00072372E+02          2.08468852E+02          1.23010171E+02
       8400.0000          3.03399259E+02          2.10761165E+02          1.24367373E+02
       8500.0000          3.06723187E+02          2.13051334E+02          1.25723331E+02
       8600.0000          3.10044177E+02          2.15339375E+02          1.27078054E+02
       8700.0000          3.13362248E+02          2.17625303E+02          1.28431550E+02
       8800.0000          3.16677420E+02          2.19909134E+02          1.29783828E+02
       8900.0000          3.19989714E+02          2.22190883E+02          1.31134898E+02
       9000.0000          3.23299147E+02          2.24470566E+02          1.32484766E+02
       9100.0000          3.26605739E+02          2.26748196E+02          1.33833443E+02
       9200.0000          3.29909506E+02          2.29023787E+02          1.35180934E+02
       9300.0000          3.33210468E+02          2.31297353E+02          1.36527248E+02
       9400.0000          3.36508640E+02          2.33568908E+02          1.37872393E+02
       9500.0000          3.39804039E+02          2.35838464E+02          1.39216375E+02
       9600.0000          3.43096682E+02          2.38106034E+02          1.40559202E+02
       9700.0000          3.46386584E+02          2.40371630E+02          1.41900882E+02
       9800.0000          3.49673762E+02          2.42635265E+02          1.43241420E+02
       9900.0000          3.52958229E+02          2.44896951E+02          1.44580823E+02
      10000.0000          3.56240002E+02          2.47156699E+02          1.45919099E+02
      11000.0000          3.88912535E+02          2.69649949E+02          1.59241147E+02
      12000.0000          4.21329714E+02          2.91960415E+02          1.72456611E+02
      13000.0000          4.53502154E+02          3.14096342E+02          1.85570150E+02
      14000.0000          4.85438732E+02          3.36064605E+02          1.98585652E+02
      15000.0000          5.17147009E+02          3.57871036E+02          2.11506422E+02
      16000.0000          5.48633522E+02          3.79520664E+02          2.24335311E+02
      17000.0000          5.79904004E+02          4.01017882E+02          2.37074816E+02
      18000.0000          6.10963542E+02          4.22366574E+02          2.49727144E+02
      19000.0000          6.41816699E+02          4.43570211E+02          2.62294271E+02
      20000.0000          6.72467602E+02          4.64631922E+02          2.74777984E+02
      21000.0000          7.02920022E+02          4.85554553E+02          2.87179906E+02
      22000.0000          7.33177424E+02          5.06340711E+02          2.99501530E+02
      23000.0000          7.63243016E+02          5.26992801E+02          3.11744233E+02
      24000.0000          7.93119784E+02          5.47513054E+02          3.23909293E+02
      25000.0000          8.22810525E+02          5.67903552E+02          3.35997907E+02
      26000.0000          8.52317870E+02          5.88166246E+02          3.48011197E+02
      27000.0000          8.81644303E+02          6.08302974E+02          3.59950221E+02
      28000.0000          9.10792181E+02          6.28315475E+02          3.71815980E+02
      29000.0000          9.39763748E+02          6.48205395E+02          3.83609426E+02
      30000.0000          9.68561145E+02          6.67974306E+02          3.95331466E+02
      31000.0000          9.97186423E+02          6.87623707E+02          4.06982967E+02
      32000.0000          1.02564155E+03          7.07155033E+02          4.18564759E+02
      33000.0000          1.05392842E+03          7.26569662E+02          4.30077642E+02
      34000.0000          1.08204887E+03          7.45868920E+02          4.41522385E+02
      35000.0000          1.11000466E+03          7.65054085E+02          4.52899730E+02
      36000.0000          1.13779749E+03          7.84126393E+02          4.64210394E+02
      37000.0000          1.16542904E+03          8.03087038E+02          4.75455073E+02
      38000.0000          1.19290090E+03          8.21937179E+02          4.86634440E+02
      39000.0000          1.22021465E+03          8.40677941E+02          4.97749152E+02
      40000.0000          1.24737181E+03          8.59310417E+02          5.08799845E+02
      41000.0000          1.27437387E+03          8.77835670E+02          5.19787139E+02
      42000.0000          1.30122228E+03          8.96254738E+02          5.30711640E+02
      43000.0000          1.32791845E+03          9.14568631E+02          5.41573938E+02
      44000.0000          1.35446378E+03          9.32778336E+02          5.52374610E+02
      45000.0000          1.38085962E+03          9.50884819E+02          5.63114220E+02
      46000.0000          1.40710731E+03          9.68889023E+02          5.73793320E+02
      47000.0000          1.43320813E+03          9.86791872E+02          5.84412452E+02
      48000.0000          1.45916338E+03          1.00459427E+03          5.94972144E+02
      49000.0000          1.48497430E+03          1.02229711E+03          6.05472916E+02
      50000.0000          1.51064213E+03          1.03990125E+03          6.15915278E+02
