#Energy      C-K-shell   N-K-shell   Valence  Total
        160.0000          1.00000000E+30          1.00000000E+30          5.18377308E+00          5.18377308E+00
        170.0000          1.00000000E+30          1.00000000E+30          5.26644433E+00          5.26644433E+00
        180.0000          1.00000000E+30          1.00000000E+30          5.36222609E+00          5.36222609E+00
        190.0000          1.00000000E+30          1.00000000E+30          5.46769893E+00          5.46769893E+00
        200.0000          1.00000000E+30          1.00000000E+30          5.58046661E+00          5.58046661E+00
        210.0000          1.00000000E+30          1.00000000E+30          5.69880638E+00          5.69880638E+00
        220.0000          1.00000000E+30          1.00000000E+30          5.81369198E+00          5.81369198E+00
        230.0000          1.00000000E+30          1.00000000E+30          5.94405741E+00          5.94405741E+00
        240.0000          1.00000000E+30          1.00000000E+30          6.07508503E+00          6.07508503E+00
        250.0000          1.00000000E+30          1.00000000E+30          6.20662853E+00          6.20662853E+00
        260.0000          1.00000000E+30          1.00000000E+30          6.33857208E+00          6.33857208E+00
        270.0000          1.00000000E+30          1.00000000E+30          6.47082317E+00          6.47082317E+00
        280.0000          1.00000000E+30          1.00000000E+30          6.60330718E+00          6.60330718E+00
        287.9990          1.00000000E+30          1.00000000E+30          6.71067539E+00          6.71067539E+00
        288.0010          9.95067371E+10          1.00000000E+30          6.71070700E+00          6.71070700E+00
        290.0000          4.61503011E+06          1.00000000E+30          6.74229568E+00          6.74228583E+00
        300.0000          3.09494606E+05          1.00000000E+30          6.87479277E+00          6.87464006E+00
        310.0000          1.22153520E+05          1.00000000E+30          7.01326037E+00          7.01285773E+00
        320.0000          6.84444134E+04          1.00000000E+30          7.15136432E+00          7.15061719E+00
        330.0000          4.48986312E+04          1.00000000E+30          7.28910532E+00          7.28792216E+00
        340.0000          3.22431802E+04          1.00000000E+30          7.42648607E+00          7.42477594E+00
        350.0000          2.45655510E+04          1.00000000E+30          7.56351069E+00          7.56118267E+00
        360.0000          1.95151486E+04          1.00000000E+30          7.70018439E+00          7.69714729E+00
        370.0000          1.59941459E+04          1.00000000E+30          7.83651311E+00          7.83267540E+00
