#Energy      C   N  Total
        560.0000          8.76973213E+00          1.61653164E+03          8.72241278E+00
        570.0000          8.91414903E+00          1.64260417E+03          8.86603448E+00
        580.0000          9.05851082E+00          1.66866428E+03          9.00960130E+00
        590.0000          9.20281851E+00          1.69471222E+03          9.15311424E+00
        600.0000          9.34707309E+00          1.72074819E+03          9.29657426E+00
        610.0000          9.49127548E+00          1.74677242E+03          9.43998233E+00
        620.0000          9.63542662E+00          1.77278510E+03          9.58333933E+00
        630.0000          9.77952737E+00          1.79878643E+03          9.72664616E+00
        640.0000          9.92357860E+00          1.82477661E+03          9.86990367E+00
        650.0000          1.00675811E+01          1.85075583E+03          1.00131127E+01
        660.0000          1.02115358E+01          1.87672426E+03          1.01562740E+01
        670.0000          1.03554433E+01          1.90268209E+03          1.02993883E+01
        680.0000          1.04993044E+01          1.92862948E+03          1.04424565E+01
        690.0000          1.06431199E+01          1.95456659E+03          1.05854793E+01
        700.0000          1.07868905E+01          1.98049360E+03          1.07284573E+01
        710.0000          1.09306168E+01          2.00641066E+03          1.08713912E+01
        720.0000          1.10742996E+01          2.03231791E+03          1.10142817E+01
        730.0000          1.12179394E+01          2.05821551E+03          1.11571294E+01
        740.0000          1.13615369E+01          2.08410360E+03          1.12999350E+01
        750.0000          1.15050927E+01          2.10998232E+03          1.14426991E+01
        760.0000          1.16486073E+01          2.13585180E+03          1.15854222E+01
        770.0000          1.17920815E+01          2.16171218E+03          1.17281050E+01
        780.0000          1.19355156E+01          2.18756359E+03          1.18707479E+01
        790.0000          1.20789104E+01          2.21340615E+03          1.20133516E+01
        800.0000          1.22222662E+01          2.23923998E+03          1.21559165E+01
        810.0000          1.23655836E+01          2.26506520E+03          1.22984431E+01
        820.0000          1.25088631E+01          2.29088193E+03          1.24409321E+01
        830.0000          1.26521052E+01          2.31669027E+03          1.25833837E+01
        840.0000          1.27953103E+01          2.34249035E+03          1.27257986E+01
        850.0000          1.29384790E+01          2.36828226E+03          1.28681772E+01
        860.0000          1.30816117E+01          2.39406611E+03          1.30105198E+01
        870.0000          1.32247087E+01          2.41984200E+03          1.31528271E+01
        880.0000          1.33677706E+01          2.44561003E+03          1.32950993E+01
        890.0000          1.35107978E+01          2.47137029E+03          1.34373369E+01
        900.0000          1.36537906E+01          2.49712289E+03          1.35795403E+01
        910.0000          1.37967494E+01          2.52286791E+03          1.37217098E+01
        920.0000          1.39396747E+01          2.54860544E+03          1.38638460E+01
        930.0000          1.40825668E+01          2.57433557E+03          1.40059491E+01
        940.0000          1.42254261E+01          2.60005839E+03          1.41480196E+01
        950.0000          1.43682530E+01          2.62577398E+03          1.42900577E+01
        960.0000          1.45110477E+01          2.65148241E+03          1.44320638E+01
        970.0000          1.46538106E+01          2.67718378E+03          1.45740383E+01
        980.0000          1.47965421E+01          2.70287816E+03          1.47159815E+01
        990.0000          1.49392425E+01          2.72856562E+03          1.48578937E+01
       1000.0000          1.50819122E+01          2.75424624E+03          1.49997752E+01
       1100.0000          1.65069801E+01          3.01069152E+03          1.64169694E+01
       1200.0000          1.79292726E+01          3.26652390E+03          1.78313998E+01
       1300.0000          1.93490152E+01          3.52179648E+03          1.92432911E+01
       1400.0000          2.07663937E+01          3.77655312E+03          2.06528285E+01
       1500.0000          2.21815635E+01          4.03083055E+03          2.20601670E+01
       1600.0000          2.35946560E+01          4.28465992E+03          2.34654372E+01
       1700.0000          2.50057836E+01          4.53806787E+03          2.48687511E+01
       1800.0000          2.64150429E+01          4.79107741E+03          2.62702052E+01
       1900.0000          2.78225184E+01          5.04370860E+03          2.76698835E+01
       2000.0000          2.92282838E+01          5.29597900E+03          2.90678596E+01
       2100.0000          3.06324045E+01          5.54790415E+03          3.04641983E+01
       2200.0000          3.20349381E+01          5.79949784E+03          3.18589574E+01
       2300.0000          3.34359365E+01          6.05077239E+03          3.32521884E+01
       2400.0000          3.48354459E+01          6.30173885E+03          3.46439373E+01
       2500.0000          3.62335082E+01          6.55240719E+03          3.60342460E+01
       2600.0000          3.76301612E+01          6.80278644E+03          3.74231520E+01
       2700.0000          3.90254393E+01          7.05288482E+03          3.88106897E+01
       2800.0000          4.04193739E+01          7.30270982E+03          4.01968903E+01
       2900.0000          4.18119938E+01          7.55226828E+03          4.15817826E+01
       3000.0000          4.32033254E+01          7.80156652E+03          4.29653927E+01
