#Energy      Ga  Total
       8800.0000          8.72104381E+01          8.72104381E+01
       8900.0000          8.79746296E+01          8.79746296E+01
       9000.0000          8.87374286E+01          8.87374286E+01
       9100.0000          8.94988519E+01          8.94988519E+01
       9200.0000          9.02589158E+01          9.02589158E+01
       9300.0000          9.10176361E+01          9.10176361E+01
       9400.0000          9.17750283E+01          9.17750283E+01
       9500.0000          9.25311075E+01          9.25311075E+01
       9600.0000          9.32858884E+01          9.32858884E+01
       9700.0000          9.40393855E+01          9.40393855E+01
       9800.0000          9.47916126E+01          9.47916126E+01
       9900.0000          9.55425836E+01          9.55425836E+01
      10000.0000          9.62923118E+01          9.62923118E+01
      10370.9990          9.90631520E+01          9.90631520E+01
      10371.0010          9.90631669E+01          9.90631669E+01
      11000.0000          1.03723977E+02          1.03723977E+02
      12000.0000          1.11044070E+02          1.11044070E+02
      13000.0000          1.18262007E+02          1.18262007E+02
      14000.0000          1.25385542E+02          1.25385542E+02
      15000.0000          1.32421158E+02          1.32421158E+02
      16000.0000          1.39374347E+02          1.39374347E+02
      17000.0000          1.46249819E+02          1.46249819E+02
      18000.0000          1.53051651E+02          1.53051651E+02
      19000.0000          1.59783411E+02          1.59783411E+02
      20000.0000          1.66448242E+02          1.66448242E+02
      21000.0000          1.73048935E+02          1.73048935E+02
      22000.0000          1.79587989E+02          1.79587989E+02
      23000.0000          1.86067650E+02          1.86067650E+02
      24000.0000          1.92489950E+02          1.92489950E+02
      25000.0000          1.98856739E+02          1.98856739E+02
      26000.0000          2.05169708E+02          2.05169708E+02
      27000.0000          2.11430408E+02          2.11430408E+02
      28000.0000          2.17640269E+02          2.17640269E+02
      29000.0000          2.23800616E+02          2.23800616E+02
      30000.0000          2.29912677E+02          2.29912677E+02
      31000.0000          2.35977599E+02          2.35977599E+02
      32000.0000          2.41996451E+02          2.41996451E+02
      33000.0000          2.47970238E+02          2.47970238E+02
      34000.0000          2.53899902E+02          2.53899902E+02
      35000.0000          2.59786333E+02          2.59786333E+02
      36000.0000          2.65630369E+02          2.65630369E+02
      37000.0000          2.71432807E+02          2.71432807E+02
      38000.0000          2.77194399E+02          2.77194399E+02
      39000.0000          2.82915863E+02          2.82915863E+02
