#Energy      Cd   O  Total
         53.0000          1.44835663E+02          6.25000146E+00          5.99145596E+00
         54.0000          1.42429231E+02          6.29615715E+00          6.02961493E+00
         55.0000          1.40110744E+02          6.34265446E+00          6.06796459E+00
         56.0000          1.37875506E+02          6.38947420E+00          6.10648535E+00
         57.0000          1.35719153E+02          6.43659845E+00          6.14515896E+00
         58.0000          1.33637616E+02          6.48401055E+00          6.18396841E+00
         59.0000          1.31627105E+02          6.53169495E+00          6.22289783E+00
         60.0000          1.29684081E+02          6.57963712E+00          6.26193241E+00
         61.0000          1.27805236E+02          6.62782349E+00          6.30105830E+00
         62.0000          1.25987475E+02          6.67624134E+00          6.34026253E+00
         63.0000          1.24227898E+02          6.72487878E+00          6.37953296E+00
         64.0000          1.22523788E+02          6.77372464E+00          6.41885821E+00
         65.0000          1.20872592E+02          6.82276843E+00          6.45822763E+00
         66.0000          1.19271914E+02          6.87200030E+00          6.49763117E+00
         67.0000          1.17719499E+02          6.92141102E+00          6.53705944E+00
         68.0000          1.16213224E+02          6.97099184E+00          6.57650358E+00
         69.0000          1.14751090E+02          7.02073458E+00          6.61595528E+00
         70.0000          1.13331211E+02          7.07063149E+00          6.65540670E+00
         70.9990          1.11953166E+02          7.12062517E+00          6.69481104E+00
         71.0000          1.11951807E+02          7.12067528E+00          6.69485048E+00
         71.0010          1.11950447E+02          7.12072540E+00          6.69488991E+00
         72.0000          1.10611196E+02          7.17085905E+00          6.73427965E+00
         73.0000          1.09307791E+02          7.22117629E+00          6.77368767E+00
         74.0000          1.08040086E+02          7.27162085E+00          6.81306836E+00
         75.0000          1.06806658E+02          7.32218690E+00          6.85241590E+00
         76.0000          1.05606158E+02          7.37286893E+00          6.89172479E+00
         77.0000          1.04437307E+02          7.42366171E+00          6.93098984E+00
         77.9990          1.03300014E+02          7.47450935E+00          6.97016694E+00
         78.0000          1.03298891E+02          7.47456030E+00          6.97020613E+00
         78.0010          1.03297767E+02          7.47461125E+00          6.97024532E+00
         79.0000          1.02189758E+02          7.52555999E+00          7.00936905E+00
         80.0000          1.01108812E+02          7.57665633E+00          7.04847421E+00
         81.0000          1.00055014E+02          7.62784508E+00          7.08751748E+00
         82.0000          9.90273712E+01          7.67912221E+00          7.12649495E+00
         83.0000          9.80249422E+01          7.73048392E+00          7.16540292E+00
         84.0000          9.70468284E+01          7.78192654E+00          7.20423790E+00
         85.0000          9.60921741E+01          7.83344663E+00          7.24299660E+00
         86.0000          9.51601629E+01          7.88504089E+00          7.28167588E+00
         87.0000          9.42500161E+01          7.93670616E+00          7.32027280E+00
         88.0000          9.33609902E+01          7.98843947E+00          7.35878457E+00
         89.0000          9.24923750E+01          8.04023795E+00          7.39720854E+00
         90.0000          9.16434917E+01          8.09209887E+00          7.43554223E+00
         91.0000          9.08136915E+01          8.14401965E+00          7.47378329E+00
         92.0000          9.00023535E+01          8.19599779E+00          7.51192948E+00
         93.0000          8.92088834E+01          8.24803092E+00          7.54997871E+00
         94.0000          8.84327124E+01          8.30011678E+00          7.58792900E+00
         95.0000          8.76732954E+01          8.35225319E+00          7.62577847E+00
         96.0000          8.69301098E+01          8.40443809E+00          7.66352537E+00
         97.0000          8.62026547E+01          8.45666949E+00          7.70116802E+00
         98.0000          8.54904497E+01          8.50894550E+00          7.73870487E+00
         99.0000          8.47930333E+01          8.56126429E+00          7.77613443E+00
        100.0000          8.41099630E+01          8.61362412E+00          7.81345533E+00
        110.0000          7.79823544E+01          9.13914438E+00          8.18043773E+00
        111.9990          7.68929910E+01          9.24454624E+00          8.25239302E+00
        112.0010          7.68919213E+01          9.24465175E+00          8.25246477E+00
        120.0000          7.29096846E+01          9.66729918E+00          8.53554710E+00
        130.0000          6.86487258E+01          1.01971735E+01          8.87836873E+00
        140.0000          6.50255954E+01          1.07281363E+01          9.20883279E+00
        150.0000          6.19126855E+01          1.12597436E+01          9.52709886E+00
        160.0000          5.92142303E+01          1.17916784E+01          9.83347970E+00
        170.0000          5.68569591E+01          1.23237113E+01          1.01283891E+01
        180.0000          5.47838585E+01          1.28556751E+01          1.04123055E+01
        190.0000          5.29499030E+01          1.33874473E+01          1.06857454E+01
        200.0000          5.13190624E+01          1.39189377E+01          1.09492448E+01
        210.0000          4.98621642E+01          1.44500805E+01          1.12033453E+01
        220.0000          4.85553372E+01          1.49808275E+01          1.14485842E+01
        230.0000          4.73788608E+01          1.55111443E+01          1.16854872E+01
        240.0000          4.63163017E+01          1.60410066E+01          1.19145633E+01
        250.0000          4.53538570E+01          1.65703977E+01          1.21363019E+01
        260.0000          4.44798490E+01          1.70993073E+01          1.23511697E+01
        270.0000          4.36843321E+01          1.76277294E+01          1.25596101E+01
        280.0000          4.29587835E+01          1.81556615E+01          1.27620423E+01
        290.0000          4.22958586E+01          1.86831041E+01          1.29588615E+01
        300.0000          4.16891940E+01          1.92100596E+01          1.31504387E+01
        310.0000          4.11332499E+01          1.97365320E+01          1.33371219E+01
        320.0000          4.06231811E+01          2.02625265E+01          1.35192366E+01
        330.0000          4.01547321E+01          2.07880493E+01          1.36970865E+01
        340.0000          3.97241497E+01          2.13131073E+01          1.38709553E+01
        350.0000          3.93281121E+01          2.18377077E+01          1.40411069E+01
        360.0000          3.89636681E+01          2.23618583E+01          1.42077871E+01
        370.0000          3.86281874E+01          2.28855669E+01          1.43712244E+01
        380.0000          3.83193186E+01          2.34088416E+01          1.45316312E+01
        390.0000          3.80349528E+01          2.39316904E+01          1.46892048E+01
        400.0000          3.77731934E+01          2.44541215E+01          1.48441285E+01
        407.9990          3.75789314E+01          2.48717187E+01          1.49662591E+01
        408.0010          3.75788844E+01          2.48718231E+01          1.49662895E+01
        410.0000          3.75323307E+01          2.49761428E+01          1.49965724E+01
        414.9990          3.74192688E+01          2.52369501E+01          1.50718992E+01
        415.0010          3.74192245E+01          2.52370544E+01          1.50719293E+01
        420.0000          3.73108188E+01          2.54977622E+01          1.51466945E+01
        430.0000          3.71072571E+01          2.60189877E+01          1.52946412E+01
        440.0000          3.69203735E+01          2.65398270E+01          1.54405488E+01
        450.0000          3.67490101E+01          2.70602876E+01          1.55845436E+01
        460.0000          3.65921107E+01          2.75803769E+01          1.57267428E+01
        470.0000          3.64487103E+01          2.81001021E+01          1.58672552E+01
        480.0000          3.63179250E+01          2.86194704E+01          1.60061821E+01
        490.0000          3.61989440E+01          2.91384886E+01          1.61436174E+01
        500.0000          3.60910224E+01          2.96571634E+01          1.62796484E+01
        510.0000          3.59934743E+01          3.01755015E+01          1.64143562E+01
        520.0000          3.59056677E+01          3.06935090E+01          1.65478162E+01
        530.0000          3.58270188E+01          3.12111924E+01          1.66800986E+01
        537.9990          3.57703357E+01          3.16250579E+01          1.67851077E+01
        538.0010          3.57703222E+01          3.16251613E+01          1.67851338E+01
        540.0000          3.57569876E+01          3.17285574E+01          1.68112688E+01
        550.0000          3.56950744E+01          3.22456102E+01          1.69413873E+01
        560.0000          3.56408155E+01          3.27623562E+01          1.70705110E+01
        570.0000          3.55937806E+01          3.32788011E+01          1.71986923E+01
        580.0000          3.55535694E+01          3.37949502E+01          1.73259806E+01
        590.0000          3.55198094E+01          3.43108087E+01          1.74524216E+01
        600.0000          3.54921536E+01          3.48263818E+01          1.75780580E+01
        610.0000          3.54702779E+01          3.53416743E+01          1.77029297E+01
        620.0000          3.54538799E+01          3.58566911E+01          1.78270739E+01
        620.9990          3.54525317E+01          3.59081263E+01          1.78394373E+01
        621.0010          3.54525290E+01          3.59082293E+01          1.78394621E+01
        630.0000          3.54426767E+01          3.63714368E+01          1.79505255E+01
        640.0000          3.54364035E+01          3.68859159E+01          1.80733169E+01
        650.0000          3.54348122E+01          3.74001329E+01          1.81954786E+01
        654.9990          3.54356987E+01          3.76570930E+01          1.82563201E+01
        655.0010          3.54356993E+01          3.76571958E+01          1.82563444E+01
        660.0000          3.54376702E+01          3.79140919E+01          1.83170390E+01
        670.0000          3.54447590E+01          3.84277972E+01          1.84380247E+01
        680.0000          3.54558736E+01          3.89412529E+01          1.85584606E+01
        690.0000          3.54708208E+01          3.94544628E+01          1.86783701E+01
        700.0000          3.54894191E+01          3.99674307E+01          1.87977752E+01
        710.0000          3.55114975E+01          4.04801605E+01          1.89166963E+01
        720.0000          3.55368946E+01          4.09926557E+01          1.90351528E+01
        730.0000          3.55654582E+01          4.15049198E+01          1.91531627E+01
        740.0000          3.55970449E+01          4.20169563E+01          1.92707431E+01
        750.0000          3.56315187E+01          4.25287685E+01          1.93879099E+01
        760.0000          3.56687513E+01          4.30403597E+01          1.95046783E+01
        770.0000          3.57086214E+01          4.35517331E+01          1.96210622E+01
        774.9990          3.57295050E+01          4.38072879E+01          1.96791027E+01
        775.0010          3.57295135E+01          4.38073901E+01          1.96791259E+01
        780.0000          3.57510139E+01          4.40628916E+01          1.97370751E+01
        790.0000          3.57958199E+01          4.45738385E+01          1.98527296E+01
        800.0000          3.58429362E+01          4.50845764E+01          1.99680374E+01
        810.0000          3.58922646E+01          4.55951085E+01          2.00830096E+01
        820.0000          3.59437124E+01          4.61054373E+01          2.01976569E+01
        830.0000          3.59971911E+01          4.66155657E+01          2.03119892E+01
        840.0000          3.60526168E+01          4.71254963E+01          2.04260159E+01
        850.0000          3.61099096E+01          4.76352316E+01          2.05397457E+01
        860.0000          3.61689937E+01          4.81447743E+01          2.06531872E+01
        870.0000          3.62297968E+01          4.86541267E+01          2.07663483E+01
        880.0000          3.62922500E+01          4.91632913E+01          2.08792365E+01
        890.0000          3.63562877E+01          4.96722704E+01          2.09918589E+01
        900.0000          3.64218475E+01          5.01810663E+01          2.11042223E+01
        910.0000          3.64888696E+01          5.06896812E+01          2.12163330E+01
        920.0000          3.65572972E+01          5.11981174E+01          2.13281973E+01
        930.0000          3.66270759E+01          5.17063770E+01          2.14398207E+01
        940.0000          3.66981538E+01          5.22144620E+01          2.15512089E+01
        950.0000          3.67704814E+01          5.27223745E+01          2.16623670E+01
        960.0000          3.68440112E+01          5.32301165E+01          2.17733000E+01
        970.0000          3.69186979E+01          5.37376900E+01          2.18840127E+01
        980.0000          3.69944981E+01          5.42450968E+01          2.19945094E+01
        990.0000          3.70713703E+01          5.47523389E+01          2.21047946E+01
       1000.0000          3.71492748E+01          5.52594180E+01          2.22148723E+01
       1100.0000          3.79774464E+01          6.03216219E+01          2.33050140E+01
       1200.0000          3.88753490E+01          6.53692794E+01          2.43777889E+01
       1300.0000          3.98221329E+01          7.04037003E+01          2.54352853E+01
       1400.0000          4.08033790E+01          7.54259706E+01          2.64789786E+01
       1500.0000          4.18088800E+01          8.04370024E+01          2.75099735E+01
       1600.0000          4.28312706E+01          8.54375703E+01          2.85291398E+01
       1700.0000          4.38651507E+01          9.04283382E+01          2.95371929E+01
       1800.0000          4.49065090E+01          9.54098808E+01          3.05347413E+01
       1900.0000          4.59523332E+01          1.00382699E+02          3.15223167E+01
       2000.0000          4.70003423E+01          1.05347232E+02          3.25003925E+01
       2100.0000          4.80487974E+01          1.10303869E+02          3.34693970E+01
       2200.0000          4.90963668E+01          1.15252956E+02          3.44297214E+01
       2300.0000          5.01420277E+01          1.20194801E+02          3.53817262E+01
       2400.0000          5.11849945E+01          1.25129681E+02          3.63257456E+01
       2500.0000          5.22246645E+01          1.30057848E+02          3.72620905E+01
       2600.0000          5.32605775E+01          1.34979527E+02          3.81910517E+01
       2700.0000          5.42923850E+01          1.39894924E+02          3.91129014E+01
       2800.0000          5.53198264E+01          1.44804228E+02          4.00278956E+01
       2900.0000          5.63427106E+01          1.49707612E+02          4.09362749E+01
       3000.0000          5.73609020E+01          1.54605232E+02          4.18382663E+01
       3100.0000          5.83743088E+01          1.59497235E+02          4.27340840E+01
       3200.0000          5.93828743E+01          1.64383756E+02          4.36239305E+01
       3300.0000          6.03865699E+01          1.69264919E+02          4.45079974E+01
       3400.0000          6.13853894E+01          1.74140840E+02          4.53864663E+01
       3500.0000          6.23793444E+01          1.79011627E+02          4.62595095E+01
       3541.9990          6.27953509E+01          1.81055802E+02          4.66246006E+01
       3542.0010          6.27953707E+01          1.81055899E+02          4.66246180E+01
       3600.0000          6.33684609E+01          1.83877380E+02          4.71272905E+01
       3700.0000          6.43527758E+01          1.88738193E+02          4.79899646E+01
       3731.9990          6.46667400E+01          1.90292576E+02          4.82649575E+01
       3732.0010          6.46667596E+01          1.90292673E+02          4.82649746E+01
       3800.0000          6.53323353E+01          1.93594154E+02          4.88476796E+01
       3900.0000          6.63071924E+01          1.98445345E+02          4.97005763E+01
       4000.0000          6.72774053E+01          2.03291845E+02          5.05487887E+01
       4021.9990          6.74902254E+01          2.04357404E+02          5.07347711E+01
       4022.0010          6.74902448E+01          2.04357500E+02          5.07347880E+01
       4100.0000          6.82430366E+01          2.08133724E+02          5.13924446E+01
       4200.0000          6.92041515E+01          2.12971053E+02          5.22316660E+01
       4300.0000          7.01608178E+01          2.17803896E+02          5.30665694E+01
       4400.0000          7.11131044E+01          2.22632315E+02          5.38972661E+01
       4500.0000          7.20610812E+01          2.27456366E+02          5.47238627E+01
       4600.0000          7.30048187E+01          2.32276106E+02          5.55464611E+01
       4700.0000          7.39443870E+01          2.37091587E+02          5.63651588E+01
       4800.0000          7.48798564E+01          2.41902858E+02          5.71800494E+01
       4900.0000          7.58112963E+01          2.46709967E+02          5.79912227E+01
       5000.0000          7.67387756E+01          2.51512957E+02          5.87987646E+01
       5100.0000          7.76623621E+01          2.56311873E+02          5.96027579E+01
       5200.0000          7.85821227E+01          2.61106755E+02          6.04032820E+01
       5300.0000          7.94981233E+01          2.65897642E+02          6.12004131E+01
       5400.0000          8.04104283E+01          2.70684572E+02          6.19942248E+01
       5500.0000          8.13191012E+01          2.75467580E+02          6.27847876E+01
       5600.0000          8.22242039E+01          2.80246701E+02          6.35721697E+01
       5700.0000          8.31257972E+01          2.85021968E+02          6.43564366E+01
       5800.0000          8.40239405E+01          2.89793411E+02          6.51376514E+01
       5900.0000          8.49186919E+01          2.94561062E+02          6.59158751E+01
       6000.0000          8.58101080E+01          2.99324950E+02          6.66911665E+01
       6100.0000          8.66982443E+01          3.04085102E+02          6.74635823E+01
       6200.0000          8.75831549E+01          3.08841545E+02          6.82331774E+01
       6300.0000          8.84648926E+01          3.13594307E+02          6.90000047E+01
       6400.0000          8.93435088E+01          3.18343411E+02          6.97641154E+01
       6500.0000          9.02190538E+01          3.23088882E+02          7.05255590E+01
       6600.0000          9.10915767E+01          3.27830743E+02          7.12843835E+01
       6700.0000          9.19611253E+01          3.32569017E+02          7.20406350E+01
       6800.0000          9.28277462E+01          3.37303726E+02          7.27943587E+01
       6900.0000          9.36914849E+01          3.42034890E+02          7.35455978E+01
       7000.0000          9.45523857E+01          3.46762531E+02          7.42943946E+01
       7100.0000          9.54104920E+01          3.51486667E+02          7.50407899E+01
       7200.0000          9.62658459E+01          3.56207319E+02          7.57848234E+01
       7300.0000          9.71184887E+01          3.60924504E+02          7.65265333E+01
       7400.0000          9.79684603E+01          3.65638241E+02          7.72659571E+01
       7500.0000          9.88158001E+01          3.70348547E+02          7.80031309E+01
       7600.0000          9.96605462E+01          3.75055440E+02          7.87380899E+01
       7700.0000          1.00502736E+02          3.79758935E+02          7.94708682E+01
       7800.0000          1.01342406E+02          3.84459049E+02          8.02014990E+01
       7900.0000          1.02179591E+02          3.89155797E+02          8.09300146E+01
       8000.0000          1.03014326E+02          3.93849195E+02          8.16564464E+01
       8100.0000          1.03846646E+02          3.98539257E+02          8.23808247E+01
       8200.0000          1.04676582E+02          4.03225998E+02          8.31031794E+01
       8300.0000          1.05504168E+02          4.07909431E+02          8.38235394E+01
       8400.0000          1.06329434E+02          4.12589571E+02          8.45419327E+01
       8500.0000          1.07152412E+02          4.17266431E+02          8.52583867E+01
       8600.0000          1.07973131E+02          4.21940023E+02          8.59729282E+01
       8700.0000          1.08791622E+02          4.26610360E+02          8.66855831E+01
       8800.0000          1.09607912E+02          4.31277455E+02          8.73963767E+01
       8900.0000          1.10422030E+02          4.35941319E+02          8.81053338E+01
       9000.0000          1.11234002E+02          4.40601966E+02          8.88124785E+01
       9100.0000          1.12043857E+02          4.45259405E+02          8.95178342E+01
       9200.0000          1.12851619E+02          4.49913648E+02          9.02214239E+01
       9300.0000          1.13657315E+02          4.54564707E+02          9.09232698E+01
       9400.0000          1.14460970E+02          4.59212592E+02          9.16233940E+01
       9500.0000          1.15262608E+02          4.63857314E+02          9.23218176E+01
       9600.0000          1.16062253E+02          4.68498882E+02          9.30185614E+01
       9700.0000          1.16859929E+02          4.73137308E+02          9.37136459E+01
       9800.0000          1.17655658E+02          4.77772601E+02          9.44070908E+01
       9900.0000          1.18449463E+02          4.82404770E+02          9.50989156E+01
      10000.0000          1.19241366E+02          4.87033826E+02          9.57891393E+01
      11000.0000          1.27060312E+02          5.33155089E+02          1.02607197E+02
      12000.0000          1.34710191E+02          5.78974220E+02          1.09283216E+02
      13000.0000          1.42206904E+02          6.24498354E+02          1.15830662E+02
      14000.0000          1.49563694E+02          6.69733642E+02          1.22260665E+02
      15000.0000          1.56791723E+02          7.14685489E+02          1.28582558E+02
      16000.0000          1.63900503E+02          7.59358717E+02          1.34804260E+02
      17000.0000          1.70898218E+02          8.03757688E+02          1.40932565E+02
      18000.0000          1.77791975E+02          8.47886394E+02          1.46973360E+02
      19000.0000          1.84587990E+02          8.91748522E+02          1.52931788E+02
      20000.0000          1.91291744E+02          9.35347508E+02          1.58812376E+02
      21000.0000          1.97908100E+02          9.78686578E+02          1.64619137E+02
      22000.0000          2.04441397E+02          1.02176878E+03          1.70355654E+02
      23000.0000          2.10895532E+02          1.06459700E+03          1.76025139E+02
      24000.0000          2.17274018E+02          1.10717400E+03          1.81630491E+02
      25000.0000          2.23580042E+02          1.14950242E+03          1.87174337E+02
      26000.0000          2.29816502E+02          1.19158481E+03          1.92659068E+02
      26714.9990          2.34234393E+02          1.22152419E+03          1.96545623E+02
      26715.0010          2.34234406E+02          1.22152427E+03          1.96545634E+02
      27000.0000          2.35986048E+02          1.23342361E+03          1.98086872E+02
      28000.0000          2.42091112E+02          1.27502120E+03          2.03459755E+02
      29000.0000          2.48133932E+02          1.31637986E+03          2.08779566E+02
      30000.0000          2.54116574E+02          1.35750182E+03          2.14048011E+02
      31000.0000          2.60040955E+02          1.39838927E+03          2.19266675E+02
      32000.0000          2.65908853E+02          1.43904431E+03          2.24437029E+02
      33000.0000          2.71721927E+02          1.47946901E+03          2.29560445E+02
      34000.0000          2.77481724E+02          1.51966538E+03          2.34638204E+02
      35000.0000          2.83189694E+02          1.55963540E+03          2.39671509E+02
      36000.0000          2.88847198E+02          1.59938100E+03          2.44661488E+02
      37000.0000          2.94455514E+02          1.63890409E+03          2.49609201E+02
      38000.0000          3.00015848E+02          1.67820652E+03          2.54515650E+02
      39000.0000          3.05529338E+02          1.71729012E+03          2.59381781E+02
      40000.0000          3.10997060E+02          1.75615668E+03          2.64208488E+02
      41000.0000          3.16420033E+02          1.79480799E+03          2.68996621E+02
      42000.0000          3.21799227E+02          1.83324576E+03          2.73746985E+02
      43000.0000          3.27135559E+02          1.87147172E+03          2.78460348E+02
      44000.0000          3.32429907E+02          1.90948755E+03          2.83137439E+02
      45000.0000          3.37683104E+02          1.94729491E+03          2.87778957E+02
      46000.0000          3.42895949E+02          1.98489544E+03          2.92385567E+02
      47000.0000          3.48069201E+02          2.02229076E+03          2.96957905E+02
      48000.0000          3.53203591E+02          2.05948245E+03          3.01496583E+02
      49000.0000          3.58299817E+02          2.09647209E+03          3.06002185E+02
      50000.0000          3.63358549E+02          2.13326123E+03          3.10475272E+02
