#Energy      C   Si  Total
         65.0000          5.74350285E+01          6.40828546E+01          3.02885508E+01
         66.0000          5.79836556E+01          6.40965432E+01          3.04435275E+01
         67.0000          5.85328483E+01          6.41175369E+01          3.05990238E+01
         68.0000          5.90825753E+01          6.41455102E+01          3.07550176E+01
         69.0000          5.96328071E+01          6.41801559E+01          3.09114875E+01
         70.0000          6.01835161E+01          6.42211846E+01          3.10684136E+01
         71.0000          6.07346762E+01          6.42683227E+01          3.12257770E+01
         72.0000          6.12862627E+01          6.43213117E+01          3.13835597E+01
         73.0000          6.18382526E+01          6.43799074E+01          3.15417447E+01
         74.0000          6.23906238E+01          6.44438782E+01          3.17003158E+01
         75.0000          6.29433559E+01          6.45130052E+01          3.18592576E+01
         76.0000          6.34964292E+01          6.45870806E+01          3.20185557E+01
         77.0000          6.40498253E+01          6.46659075E+01          3.21781960E+01
         78.0000          6.46035267E+01          6.47492988E+01          3.23381653E+01
         79.0000          6.51575168E+01          6.48370771E+01          3.24984510E+01
         80.0000          6.57117802E+01          6.49290735E+01          3.26590411E+01
         81.0000          6.62663018E+01          6.50251276E+01          3.28199239E+01
         82.0000          6.68210676E+01          6.51250866E+01          3.29810887E+01
         83.0000          6.73760644E+01          6.52288053E+01          3.31425248E+01
         84.0000          6.79312793E+01          6.53361450E+01          3.33042222E+01
         85.0000          6.84867005E+01          6.54469737E+01          3.34661713E+01
         86.0000          6.90423165E+01          6.55611656E+01          3.36283629E+01
         87.0000          6.95981164E+01          6.56786005E+01          3.37907881E+01
         88.0000          7.01540899E+01          6.57991637E+01          3.39534386E+01
         89.0000          7.07102272E+01          6.59227455E+01          3.41163060E+01
         90.0000          7.12665189E+01          6.60492414E+01          3.42793828E+01
         91.0000          7.18229562E+01          6.61785510E+01          3.44426613E+01
         92.0000          7.23795307E+01          6.63105788E+01          3.46061344E+01
         93.0000          7.29362341E+01          6.64452329E+01          3.47697952E+01
         94.0000          7.34930589E+01          6.65824256E+01          3.49336370E+01
         95.0000          7.40499978E+01          6.67220729E+01          3.50976534E+01
         96.0000          7.46070437E+01          6.68640941E+01          3.52618383E+01
         97.0000          7.51641899E+01          6.70084119E+01          3.54261857E+01
         98.0000          7.57214302E+01          6.71549524E+01          3.55906900E+01
         99.0000          7.62787585E+01          6.73036442E+01          3.57553455E+01
        100.0000          7.68361689E+01          6.74544193E+01          3.59201471E+01
        103.9990          7.90659672E+01          6.80769189E+01          3.65805482E+01
        104.0010          7.90670826E+01          6.80772377E+01          3.65808790E+01
        110.0000          8.24136868E+01          6.90635073E+01          3.75751498E+01
        120.0000          8.79946340E+01          7.08224805E+01          3.92400924E+01
        130.0000          9.35761446E+01          7.26940372E+01          4.09118921E+01
        140.0000          9.91563388E+01          7.46516519E+01          4.25882864E+01
        150.0000          1.04733974E+02          7.66759905E+01          4.42675859E+01
        153.9990          1.06963559E+02          7.75008486E+01          4.49396538E+01
        154.0010          1.06964674E+02          7.75012631E+01          4.49399899E+01
        160.0000          1.10308229E+02          7.87526629E+01          4.59485127E+01
        170.0000          1.15878569E+02          8.08707652E+01          4.76300903E+01
        180.0000          1.21444653E+02          8.30219055E+01          4.93115675E+01
        190.0000          1.27006277E+02          8.51995379E+01          5.09923637E+01
        200.0000          1.32563330E+02          8.73984953E+01          5.26720287E+01
        210.0000          1.38115770E+02          8.96146562E+01          5.43502133E+01
        220.0000          1.43663601E+02          9.18447027E+01          5.60266475E+01
        230.0000          1.49206861E+02          9.40859415E+01          5.77011234E+01
        240.0000          1.54745611E+02          9.63361709E+01          5.93734819E+01
        250.0000          1.60279927E+02          9.85935788E+01          6.10436033E+01
        260.0000          1.65809896E+02          1.00856665E+02          6.27113992E+01
        270.0000          1.71335612E+02          1.03124183E+02          6.43768061E+01
        280.0000          1.76857173E+02          1.05395089E+02          6.60397806E+01
        287.9990          1.81270947E+02          1.07213432E+02          6.73682244E+01
        288.0010          1.81272050E+02          1.07213887E+02          6.73685563E+01
        290.0000          1.82374680E+02          1.07668507E+02          6.77002958E+01
        300.0000          1.87888232E+02          1.09943702E+02          6.93583377E+01
        310.0000          1.93397930E+02          1.12220052E+02          7.10139030E+01
        320.0000          1.98903871E+02          1.14497028E+02          7.26669967E+01
        330.0000          2.04406152E+02          1.16774184E+02          7.43176309E+01
        340.0000          2.09904866E+02          1.19051141E+02          7.59658231E+01
        350.0000          2.15400106E+02          1.21327575E+02          7.76115951E+01
        360.0000          2.20891959E+02          1.23603209E+02          7.92549724E+01
        370.0000          2.26380511E+02          1.25877811E+02          8.08959829E+01
        380.0000          2.31865845E+02          1.28151180E+02          8.25346568E+01
        390.0000          2.37348040E+02          1.30423146E+02          8.41710260E+01
        400.0000          2.42827174E+02          1.32693565E+02          8.58051234E+01
        410.0000          2.48303321E+02          1.34962314E+02          8.74369828E+01
        420.0000          2.53776551E+02          1.37229290E+02          8.90666384E+01
        430.0000          2.59246934E+02          1.39494405E+02          9.06941250E+01
        440.0000          2.64714536E+02          1.41757587E+02          9.23194774E+01
        450.0000          2.70179421E+02          1.44018776E+02          9.39427302E+01
        460.0000          2.75641649E+02          1.46277920E+02          9.55639181E+01
        470.0000          2.81101280E+02          1.48534980E+02          9.71830752E+01
        480.0000          2.86558371E+02          1.50789922E+02          9.88002357E+01
        490.0000          2.92012976E+02          1.53042721E+02          1.00415433E+02
        500.0000          2.97465147E+02          1.55293358E+02          1.02028700E+02
        510.0000          3.02914937E+02          1.57541819E+02          1.03640069E+02
        520.0000          3.08362393E+02          1.59788093E+02          1.05249573E+02
        530.0000          3.13807562E+02          1.62032175E+02          1.06857242E+02
        540.0000          3.19250491E+02          1.64274064E+02          1.08463107E+02
        550.0000          3.24691222E+02          1.66513761E+02          1.10067199E+02
        560.0000          3.30129799E+02          1.68751270E+02          1.11669547E+02
        570.0000          3.35566262E+02          1.70986597E+02          1.13270179E+02
        580.0000          3.41000650E+02          1.73219750E+02          1.14869125E+02
        590.0000          3.46433002E+02          1.75450740E+02          1.16466411E+02
        600.0000          3.51863354E+02          1.77679578E+02          1.18062065E+02
        610.0000          3.57291742E+02          1.79906277E+02          1.19656114E+02
        620.0000          3.62718200E+02          1.82130852E+02          1.21248582E+02
        630.0000          3.68142762E+02          1.84353317E+02          1.22839495E+02
        640.0000          3.73565459E+02          1.86573688E+02          1.24428877E+02
        650.0000          3.78986323E+02          1.88791981E+02          1.26016754E+02
        660.0000          3.84405384E+02          1.91008215E+02          1.27603148E+02
        670.0000          3.89822672E+02          1.93222407E+02          1.29188081E+02
        680.0000          3.95238214E+02          1.95434575E+02          1.30771577E+02
        690.0000          4.00652038E+02          1.97644737E+02          1.32353658E+02
        700.0000          4.06064170E+02          1.99852912E+02          1.33934344E+02
        710.0000          4.11474636E+02          2.02059120E+02          1.35513657E+02
        720.0000          4.16883462E+02          2.04263378E+02          1.37091616E+02
        730.0000          4.22290672E+02          2.06465706E+02          1.38668242E+02
        740.0000          4.27696289E+02          2.08666123E+02          1.40243554E+02
        750.0000          4.33100336E+02          2.10864649E+02          1.41817572E+02
        760.0000          4.38502835E+02          2.13061303E+02          1.43390312E+02
        770.0000          4.43903808E+02          2.15256103E+02          1.44961795E+02
        780.0000          4.49303276E+02          2.17449069E+02          1.46532037E+02
        790.0000          4.54701260E+02          2.19640220E+02          1.48101055E+02
        800.0000          4.60097778E+02          2.21829574E+02          1.49668867E+02
        810.0000          4.65492851E+02          2.24017150E+02          1.51235489E+02
        820.0000          4.70886498E+02          2.26202967E+02          1.52800936E+02
        830.0000          4.76278736E+02          2.28387044E+02          1.54365226E+02
        840.0000          4.81669584E+02          2.30569397E+02          1.55928373E+02
        850.0000          4.87059059E+02          2.32750046E+02          1.57490392E+02
        860.0000          4.92447177E+02          2.34929008E+02          1.59051299E+02
        870.0000          4.97833956E+02          2.37106301E+02          1.60611106E+02
        880.0000          5.03219410E+02          2.39281942E+02          1.62169830E+02
        890.0000          5.08603557E+02          2.41455949E+02          1.63727482E+02
        900.0000          5.13986411E+02          2.43628338E+02          1.65284078E+02
        910.0000          5.19367987E+02          2.45799127E+02          1.66839629E+02
        920.0000          5.24748299E+02          2.47968331E+02          1.68394150E+02
        930.0000          5.30127362E+02          2.50135968E+02          1.69947652E+02
        940.0000          5.35505190E+02          2.52302053E+02          1.71500148E+02
        950.0000          5.40881796E+02          2.54466603E+02          1.73051650E+02
        960.0000          5.46257192E+02          2.56629632E+02          1.74602171E+02
        970.0000          5.51631394E+02          2.58791157E+02          1.76151720E+02
        980.0000          5.57004411E+02          2.60951193E+02          1.77700311E+02
        990.0000          5.62376258E+02          2.63109755E+02          1.79247954E+02
       1000.0000          5.67746945E+02          2.65266857E+02          1.80794661E+02
       1100.0000          6.21392530E+02          2.86760734E+02          1.96212451E+02
       1200.0000          6.74933633E+02          3.08123479E+02          2.11547118E+02
       1300.0000          7.28378745E+02          3.29366723E+02          2.26806664E+02
       1400.0000          7.81734866E+02          3.50500488E+02          2.41997789E+02
       1500.0000          8.35007842E+02          3.71533438E+02          2.57126167E+02
       1600.0000          8.88202620E+02          3.92473102E+02          2.72196647E+02
       1700.0000          9.41323426E+02          4.13326056E+02          2.87213412E+02
       1800.0000          9.94373907E+02          4.34098079E+02          3.02180097E+02
       1843.9990          1.01769414E+03          4.43213260E+02          3.08750259E+02
       1844.0010          1.01769520E+03          4.43213674E+02          3.08750557E+02
       1900.0000          1.04735724E+03          4.54794272E+02          3.17099886E+02
       2000.0000          1.10027619E+03          4.75419163E+02          3.31975584E+02
       2100.0000          1.15313323E+03          4.95976789E+02          3.46809679E+02
       2200.0000          1.20593053E+03          5.16470770E+02          3.61604388E+02
       2300.0000          1.25867003E+03          5.36904360E+02          3.76361698E+02
       2400.0000          1.31135348E+03          5.57280501E+02          3.91083397E+02
       2500.0000          1.36398246E+03          5.77601859E+02          4.05771100E+02
       2600.0000          1.41655838E+03          5.97870861E+02          4.20426273E+02
       2700.0000          1.46908255E+03          6.18089723E+02          4.35050253E+02
       2800.0000          1.52155614E+03          6.38260473E+02          4.49644260E+02
       2900.0000          1.57398024E+03          6.58384976E+02          4.64209412E+02
       3000.0000          1.62635585E+03          6.78464948E+02          4.78746737E+02
       3100.0000          1.67868387E+03          6.98501974E+02          4.93257185E+02
       3200.0000          1.73096515E+03          7.18497521E+02          5.07741630E+02
       3300.0000          1.78320049E+03          7.38452951E+02          5.22200887E+02
       3400.0000          1.83539060E+03          7.58369528E+02          5.36635708E+02
       3500.0000          1.88753616E+03          7.78248432E+02          5.51046795E+02
       3600.0000          1.93963781E+03          7.98090763E+02          5.65434804E+02
       3700.0000          1.99169614E+03          8.17897552E+02          5.79800347E+02
       3800.0000          2.04371170E+03          8.37669763E+02          5.94143995E+02
       3900.0000          2.09568501E+03          8.57408300E+02          6.08466287E+02
       4000.0000          2.14761656E+03          8.77114015E+02          6.22767727E+02
       4100.0000          2.19950682E+03          8.96787709E+02          6.37048789E+02
       4200.0000          2.25135620E+03          9.16430137E+02          6.51309922E+02
       4300.0000          2.30316514E+03          9.36042012E+02          6.65551547E+02
       4400.0000          2.35493401E+03          9.55624007E+02          6.79774063E+02
       4500.0000          2.40666318E+03          9.75176761E+02          6.93977848E+02
       4600.0000          2.45835301E+03          9.94700879E+02          7.08163260E+02
       4700.0000          2.51000382E+03          1.01419693E+03          7.22330637E+02
       4800.0000          2.56161593E+03          1.03366547E+03          7.36480302E+02
       4900.0000          2.61318964E+03          1.05310701E+03          7.50612561E+02
       5000.0000          2.66472524E+03          1.07252203E+03          7.64727706E+02
       5100.0000          2.71622300E+03          1.09191103E+03          7.78826014E+02
       5200.0000          2.76768319E+03          1.11127443E+03          7.92907751E+02
       5300.0000          2.81910606E+03          1.13061267E+03          8.06973168E+02
       5400.0000          2.87049184E+03          1.14992616E+03          8.21022508E+02
       5500.0000          2.92184077E+03          1.16921529E+03          8.35056001E+02
       5600.0000          2.97315307E+03          1.18848044E+03          8.49073868E+02
       5700.0000          3.02442894E+03          1.20772195E+03          8.63076322E+02
       5800.0000          3.07566860E+03          1.22694018E+03          8.77063564E+02
       5900.0000          3.12687225E+03          1.24613546E+03          8.91035791E+02
       6000.0000          3.17804006E+03          1.26530809E+03          9.04993188E+02
       6100.0000          3.22917222E+03          1.28445840E+03          9.18935936E+02
       6200.0000          3.28026892E+03          1.30358666E+03          9.32864207E+02
       6300.0000          3.33133031E+03          1.32269316E+03          9.46778167E+02
       6400.0000          3.38235657E+03          1.34177817E+03          9.60677977E+02
       6500.0000          3.43334784E+03          1.36084195E+03          9.74563790E+02
       6600.0000          3.48430429E+03          1.37988475E+03          9.88435755E+02
       6700.0000          3.53522607E+03          1.39890682E+03          1.00229402E+03
       6800.0000          3.58611331E+03          1.41790839E+03          1.01613871E+03
       6900.0000          3.63696616E+03          1.43688968E+03          1.02996997E+03
       7000.0000          3.68778475E+03          1.45585092E+03          1.04378793E+03
       7100.0000          3.73856922E+03          1.47479231E+03          1.05759271E+03
       7200.0000          3.78931968E+03          1.49371406E+03          1.07138443E+03
       7300.0000          3.84003627E+03          1.51261636E+03          1.08516320E+03
       7400.0000          3.89071911E+03          1.53149941E+03          1.09892915E+03
       7500.0000          3.94136831E+03          1.55036339E+03          1.11268239E+03
       7600.0000          3.99198399E+03          1.56920848E+03          1.12642300E+03
       7700.0000          4.04256625E+03          1.58803485E+03          1.14015111E+03
       7800.0000          4.09311521E+03          1.60684268E+03          1.15386681E+03
       7900.0000          4.14363098E+03          1.62563213E+03          1.16757019E+03
       8000.0000          4.19411364E+03          1.64440335E+03          1.18126136E+03
       8100.0000          4.24456332E+03          1.66315650E+03          1.19494040E+03
       8200.0000          4.29498009E+03          1.68189172E+03          1.20860739E+03
       8300.0000          4.34536407E+03          1.70060918E+03          1.22226244E+03
       8400.0000          4.39571533E+03          1.71930900E+03          1.23590562E+03
       8500.0000          4.44603398E+03          1.73799132E+03          1.24953701E+03
       8600.0000          4.49632011E+03          1.75665628E+03          1.26315669E+03
       8700.0000          4.54657379E+03          1.77530400E+03          1.27676474E+03
       8800.0000          4.59679512E+03          1.79393463E+03          1.29036124E+03
       8900.0000          4.64698418E+03          1.81254827E+03          1.30394625E+03
       9000.0000          4.69714105E+03          1.83114504E+03          1.31751986E+03
       9100.0000          4.74726581E+03          1.84972508E+03          1.33108212E+03
       9200.0000          4.79735854E+03          1.86828848E+03          1.34463311E+03
       9300.0000          4.84741932E+03          1.88683536E+03          1.35817290E+03
       9400.0000          4.89744823E+03          1.90536584E+03          1.37170154E+03
       9500.0000          4.94744533E+03          1.92388001E+03          1.38521911E+03
       9600.0000          4.99741070E+03          1.94237798E+03          1.39872566E+03
       9700.0000          5.04734441E+03          1.96085985E+03          1.41222125E+03
       9800.0000          5.09724654E+03          1.97932572E+03          1.42570595E+03
       9900.0000          5.14711715E+03          1.99777568E+03          1.43917981E+03
      10000.0000          5.19695630E+03          2.01620984E+03          1.45264288E+03
      11000.0000          5.69363223E+03          2.19970117E+03          1.58669207E+03
      12000.0000          6.18723018E+03          2.38170142E+03          1.71971672E+03
      13000.0000          6.67780328E+03          2.56227786E+03          1.85175728E+03
      14000.0000          7.16539848E+03          2.74148654E+03          1.98284763E+03
      15000.0000          7.65005808E+03          2.91937507E+03          2.11301671E+03
      16000.0000          8.13182074E+03          3.09598445E+03          2.24228958E+03
      17000.0000          8.61072217E+03          3.27135054E+03          2.37068829E+03
      18000.0000          9.08679576E+03          3.44550501E+03          2.49823244E+03
      19000.0000          9.56007293E+03          3.61847617E+03          2.62493965E+03
      20000.0000          1.00305835E+04          3.79028956E+03          2.75082592E+03
      21000.0000          1.04983559E+04          3.96096838E+03          2.87590588E+03
      22000.0000          1.09634173E+04          4.13053391E+03          3.00019301E+03
      23000.0000          1.14257940E+04          4.29900576E+03          3.12369982E+03
      24000.0000          1.18855113E+04          4.46640214E+03          3.24643800E+03
      25000.0000          1.23425938E+04          4.63274002E+03          3.36841849E+03
      26000.0000          1.27970652E+04          4.79803533E+03          3.48965162E+03
      27000.0000          1.32489489E+04          4.96230306E+03          3.61014717E+03
      28000.0000          1.36982674E+04          5.12555739E+03          3.72991443E+03
      29000.0000          1.41450428E+04          5.28781175E+03          3.84896225E+03
      30000.0000          1.45892967E+04          5.44907897E+03          3.96729911E+03
      31000.0000          1.50310504E+04          5.60937127E+03          4.08493313E+03
      32000.0000          1.54703247E+04          5.76870036E+03          4.20187214E+03
      33000.0000          1.59071399E+04          5.92707747E+03          4.31812365E+03
      34000.0000          1.63415160E+04          6.08451344E+03          4.43369496E+03
      35000.0000          1.67734728E+04          6.24101868E+03          4.54859310E+03
      36000.0000          1.72030297E+04          6.39660328E+03          4.66282490E+03
      37000.0000          1.76302058E+04          6.55127697E+03          4.77639698E+03
      38000.0000          1.80550199E+04          6.70504922E+03          4.88931579E+03
      39000.0000          1.84774905E+04          6.85792919E+03          5.00158762E+03
      40000.0000          1.88976358E+04          7.00992580E+03          5.11321856E+03
      41000.0000          1.93154740E+04          7.16104773E+03          5.22421460E+03
      42000.0000          1.97310229E+04          7.31130344E+03          5.33458157E+03
      43000.0000          2.01442999E+04          7.46070118E+03          5.44432516E+03
      44000.0000          2.05553224E+04          7.60924899E+03          5.55345097E+03
      45000.0000          2.09641076E+04          7.75695475E+03          5.66196445E+03
      46000.0000          2.13706724E+04          7.90382616E+03          5.76987098E+03
      47000.0000          2.17750334E+04          8.04987076E+03          5.87717579E+03
      48000.0000          2.21772073E+04          8.19509592E+03          5.98388406E+03
      49000.0000          2.25772103E+04          8.33950888E+03          6.09000084E+03
      50000.0000          2.29750587E+04          8.48311674E+03          6.19553112E+03
