#Energy      Si   Al  Total
       2400.0000          8.71337344E+01          9.29156987E+01          4.49659389E+01
       2500.0000          9.03110856E+01          9.63534097E+01          4.66172263E+01
       2600.0000          9.34802505E+01          9.97830690E+01          4.82644421E+01
       2700.0000          9.66415758E+01          1.03205010E+02          4.99077568E+01
       2800.0000          9.97953786E+01          1.06619538E+02          5.15473268E+01
       2900.0000          1.02941950E+02          1.10026932E+02          5.31832955E+01
       3000.0000          1.06081560E+02          1.13427451E+02          5.48157950E+01
       3100.0000          1.09214454E+02          1.16821333E+02          5.64449473E+01
       3200.0000          1.12340863E+02          1.20208796E+02          5.80708651E+01
       3300.0000          1.15460999E+02          1.23590046E+02          5.96936533E+01
       3400.0000          1.18575060E+02          1.26965272E+02          6.13134089E+01
       3500.0000          1.21683231E+02          1.30334651E+02          6.29302228E+01
       3600.0000          1.24785684E+02          1.33698347E+02          6.45441794E+01
       3700.0000          1.27882580E+02          1.37056514E+02          6.61553579E+01
       3800.0000          1.30974069E+02          1.40409297E+02          6.77638324E+01
       3900.0000          1.34060293E+02          1.43756831E+02          6.93696724E+01
       4000.0000          1.37141385E+02          1.47099244E+02          7.09729432E+01
       4100.0000          1.40217470E+02          1.50436654E+02          7.25737065E+01
       4200.0000          1.43288667E+02          1.53769176E+02          7.41720200E+01
       4300.0000          1.46355087E+02          1.57096916E+02          7.57679387E+01
       4400.0000          1.49416835E+02          1.60419973E+02          7.73615143E+01
       4500.0000          1.52474011E+02          1.63738445E+02          7.89527956E+01
       4600.0000          1.55526709E+02          1.67052420E+02          8.05418293E+01
       4700.0000          1.58575019E+02          1.70361985E+02          8.21286591E+01
       4800.0000          1.61619027E+02          1.73667222E+02          8.37133271E+01
       4900.0000          1.64658814E+02          1.76968206E+02          8.52958730E+01
       5000.0000          1.67694455E+02          1.80265013E+02          8.68763346E+01
       5100.0000          1.70726026E+02          1.83557712E+02          8.84547480E+01
       5200.0000          1.73753596E+02          1.86846371E+02          9.00311477E+01
       5300.0000          1.76777232E+02          1.90131053E+02          9.16055663E+01
       5400.0000          1.79796998E+02          1.93411818E+02          9.31780354E+01
       5500.0000          1.82812955E+02          1.96688727E+02          9.47485850E+01
       5600.0000          1.85825161E+02          1.99961834E+02          9.63172437E+01
       5700.0000          1.88833673E+02          2.03231193E+02          9.78840390E+01
       5800.0000          1.91838544E+02          2.06496856E+02          9.94489975E+01
