#Energy      O-K-shell   Valence  Total
        290.0000          1.00000000E+30          9.96354027E+03          9.96354027E+03
        300.0000          1.00000000E+30          1.08378530E+04          1.08378530E+04
        310.0000          1.00000000E+30          1.17292854E+04          1.17292854E+04
        320.0000          1.00000000E+30          1.26502596E+04          1.26502596E+04
        330.0000          1.00000000E+30          1.36479889E+04          1.36479889E+04
        340.0000          1.00000000E+30          1.46785780E+04          1.46785780E+04
        350.0000          1.00000000E+30          1.57962709E+04          1.57962709E+04
        360.0000          1.00000000E+30          1.69220458E+04          1.69220458E+04
        370.0000          1.00000000E+30          1.81012472E+04          1.81012472E+04
        380.0000          1.00000000E+30          1.93563793E+04          1.93563793E+04
        390.0000          1.00000000E+30          2.06321112E+04          2.06321112E+04
        400.0000          1.00000000E+30          2.19489891E+04          2.19489891E+04
        410.0000          1.00000000E+30          2.33625325E+04          2.33625325E+04
        420.0000          1.00000000E+30          2.48004439E+04          2.48004439E+04
        430.0000          1.00000000E+30          2.62730691E+04          2.62730691E+04
        440.0000          1.00000000E+30          2.78315385E+04          2.78315385E+04
        450.0000          1.00000000E+30          2.94626115E+04          2.94626115E+04
        460.0000          1.00000000E+30          3.10478475E+04          3.10478475E+04
        470.0000          1.00000000E+30          3.28803733E+04          3.28803733E+04
        480.0000          1.00000000E+30          3.46459951E+04          3.46459951E+04
        490.0000          1.00000000E+30          3.64569786E+04          3.64569786E+04
        500.0000          1.00000000E+30          3.83562119E+04          3.83562119E+04
        510.0000          1.00000000E+30          4.03022154E+04          4.03022154E+04
        520.0000          1.00000000E+30          4.22822494E+04          4.22822494E+04
        530.0000          1.00000000E+30          4.44689874E+04          4.44689874E+04
        537.9990          1.00000000E+30          4.61361421E+04          4.61361421E+04
        538.0010          3.13845984E+03          4.61366108E+04          2.93856302E+03
        540.0000          3.11328527E+03          4.66099093E+04          2.91835521E+03
        550.0000          3.15089961E+03          4.87996735E+04          2.95979165E+03
        560.0000          3.25133577E+03          5.12570845E+04          3.05739905E+03
        570.0000          3.33186004E+03          5.35031113E+04          3.13653503E+03
        580.0000          3.40547189E+03          5.61859426E+04          3.21085931E+03
        590.0000          3.50949213E+03          5.84517565E+04          3.31071410E+03
        600.0000          3.63340636E+03          6.12542592E+04          3.42995257E+03
        610.0000          3.77322964E+03          6.37815628E+04          3.56247832E+03
        620.0000          3.92057481E+03          6.64404665E+04          3.70211717E+03
        630.0000          4.09466707E+03          6.92693979E+04          3.86613150E+03
        640.0000          4.25573033E+03          7.22884310E+04          4.01911867E+03
        650.0000          4.42972602E+03          7.51366801E+04          4.18310846E+03
        660.0000          4.59767070E+03          7.84063617E+04          4.34300144E+03
        670.0000          4.79171734E+03          8.12995434E+04          4.52501716E+03
        680.0000          4.96228360E+03          8.44885881E+04          4.68700111E+03
        690.0000          5.13134932E+03          8.80459614E+04          4.84876180E+03
        700.0000          5.32346515E+03          9.11811728E+04          5.02980796E+03
        710.0000          5.53052601E+03          9.45916749E+04          5.22503214E+03
        720.0000          5.69590313E+03          9.82740918E+04          5.38385817E+03
        730.0000          5.87423716E+03          1.01766890E+05          5.55366580E+03
        740.0000          6.06594045E+03          1.05337828E+05          5.73564970E+03
