#Energy      H   O  Total
        350.0000          8.01566739E+01          2.27550250E+01          1.77236129E+01
        360.0000          8.24087309E+01          2.33011931E+01          1.81650093E+01
        370.0000          8.46606081E+01          2.38469007E+01          1.86060222E+01
        380.0000          8.69123072E+01          2.43921561E+01          1.90466627E+01
        390.0000          8.91638299E+01          2.49369678E+01          1.94869414E+01
        400.0000          9.14151779E+01          2.54813441E+01          1.99268684E+01
        410.0000          9.36663527E+01          2.60252935E+01          2.03664533E+01
        420.0000          9.59173557E+01          2.65688242E+01          2.08057053E+01
        430.0000          9.81681882E+01          2.71119443E+01          2.12446331E+01
        440.0000          1.00418852E+02          2.76546620E+01          2.16832452E+01
        450.0000          1.02669347E+02          2.81969851E+01          2.21215496E+01
        460.0000          1.04919676E+02          2.87389214E+01          2.25595538E+01
        470.0000          1.07169839E+02          2.92804782E+01          2.29972653E+01
        480.0000          1.09419837E+02          2.98216632E+01          2.34346910E+01
        490.0000          1.11669672E+02          3.03624833E+01          2.38718376E+01
        500.0000          1.13919344E+02          3.09029457E+01          2.43087118E+01
        510.0000          1.16168854E+02          3.14430570E+01          2.47453195E+01
        520.0000          1.18418203E+02          3.19828241E+01          2.51816669E+01
        530.0000          1.20667393E+02          3.25222533E+01          2.56177595E+01
        537.9990          1.22466404E+02          3.29535037E+01          2.59664103E+01
        538.0010          1.22466854E+02          3.29536115E+01          2.59664975E+01
        540.0000          1.22916422E+02          3.30613509E+01          2.60536029E+01
        550.0000          1.25165293E+02          3.36001230E+01          2.64892024E+01
        560.0000          1.27414006E+02          3.41385755E+01          2.69245630E+01
        570.0000          1.29662562E+02          3.46767142E+01          2.73596897E+01
        580.0000          1.31910961E+02          3.52145447E+01          2.77945872E+01
        590.0000          1.34159205E+02          3.57520725E+01          2.82292600E+01
        600.0000          1.36407293E+02          3.62893028E+01          2.86637124E+01
        610.0000          1.38655226E+02          3.68262408E+01          2.90979488E+01
        620.0000          1.40903005E+02          3.73628914E+01          2.95319732E+01
        630.0000          1.43150630E+02          3.78992596E+01          2.99657895E+01
        640.0000          1.45398102E+02          3.84353499E+01          3.03994016E+01
        650.0000          1.47645422E+02          3.89711671E+01          3.08328131E+01
        660.0000          1.49892589E+02          3.95067156E+01          3.12660276E+01
        670.0000          1.52139605E+02          4.00419997E+01          3.16990485E+01
        680.0000          1.54386469E+02          4.05770236E+01          3.21318792E+01
        690.0000          1.56633182E+02          4.11117915E+01          3.25645229E+01
        700.0000          1.58879745E+02          4.16463072E+01          3.29969827E+01
        710.0000          1.61126158E+02          4.21805748E+01          3.34292616E+01
        720.0000          1.63372421E+02          4.27145979E+01          3.38613626E+01
        730.0000          1.65618535E+02          4.32483802E+01          3.42932885E+01
        740.0000          1.67864500E+02          4.37819254E+01          3.47250420E+01
        750.0000          1.70110317E+02          4.43152369E+01          3.51566259E+01
        760.0000          1.72355985E+02          4.48483180E+01          3.55880428E+01
        770.0000          1.74601505E+02          4.53811722E+01          3.60192951E+01
        780.0000          1.76846878E+02          4.59138025E+01          3.64503853E+01
        790.0000          1.79092104E+02          4.64462123E+01          3.68813158E+01
        800.0000          1.81337182E+02          4.69784044E+01          3.73120889E+01
        810.0000          1.83582114E+02          4.75103818E+01          3.77427069E+01
        820.0000          1.85826900E+02          4.80421476E+01          3.81731719E+01
