#Energy      Ga   As  Total
        400.0000          3.26880015E+01          3.47548413E+01          1.68448757E+01
        410.0000          3.28308015E+01          3.48570450E+01          1.69067977E+01
        420.0000          3.29799392E+01          3.49672883E+01          1.69722752E+01
        430.0000          3.31349063E+01          3.50849423E+01          1.70410269E+01
        440.0000          3.32952426E+01          3.52094369E+01          1.71127980E+01
        450.0000          3.34605305E+01          3.53402547E+01          1.71873572E+01
        460.0000          3.36303903E+01          3.54769247E+01          1.72644940E+01
        470.0000          3.38044759E+01          3.56190175E+01          1.73440166E+01
        480.0000          3.39824718E+01          3.57661410E+01          1.74257498E+01
        490.0000          3.41640892E+01          3.59179363E+01          1.75095336E+01
        500.0000          3.43490637E+01          3.60740746E+01          1.75952211E+01
        510.0000          3.45371531E+01          3.62342540E+01          1.76826776E+01
        520.0000          3.47281345E+01          3.63981968E+01          1.77717795E+01
        530.0000          3.49218031E+01          3.65656475E+01          1.78624127E+01
        540.0000          3.51179701E+01          3.67363706E+01          1.79544722E+01
        550.0000          3.53164614E+01          3.69101483E+01          1.80478612E+01
        560.0000          3.55171162E+01          3.70867795E+01          1.81424901E+01
        570.0000          3.57197858E+01          3.72660781E+01          1.82382760E+01
        580.0000          3.59243325E+01          3.74478714E+01          1.83351421E+01
        590.0000          3.61306286E+01          3.76319994E+01          1.84330172E+01
        600.0000          3.63385558E+01          3.78183132E+01          1.85318353E+01
        610.0000          3.65480041E+01          3.80066745E+01          1.86315349E+01
        620.0000          3.67588712E+01          3.81969547E+01          1.87320588E+01
        630.0000          3.69710618E+01          3.83890338E+01          1.88333538E+01
        640.0000          3.71844873E+01          3.85827997E+01          1.89353702E+01
        650.0000          3.73990649E+01          3.87781482E+01          1.90380617E+01
        660.0000          3.76147176E+01          3.89749816E+01          1.91413851E+01
        670.0000          3.78313732E+01          3.91732085E+01          1.92452999E+01
        680.0000          3.80489644E+01          3.93727437E+01          1.93497684E+01
        690.0000          3.82674281E+01          3.95735070E+01          1.94547552E+01
        700.0000          3.84867053E+01          3.97754235E+01          1.95602270E+01
        710.0000          3.87067407E+01          3.99784227E+01          1.96661527E+01
        720.0000          3.89274825E+01          4.01824386E+01          1.97725033E+01
        730.0000          3.91488821E+01          4.03874091E+01          1.98792513E+01
        740.0000          3.93708938E+01          4.05932759E+01          1.99863709E+01
        750.0000          3.95934748E+01          4.07999841E+01          2.00938380E+01
        760.0000          3.98165847E+01          4.10074820E+01          2.02016299E+01
        770.0000          4.00401857E+01          4.12157208E+01          2.03097250E+01
        780.0000          4.02642421E+01          4.14246548E+01          2.04181032E+01
        790.0000          4.04887203E+01          4.16342407E+01          2.05267456E+01
        800.0000          4.07135888E+01          4.18444377E+01          2.06356341E+01
        810.0000          4.09388177E+01          4.20552072E+01          2.07447520E+01
        820.0000          4.11643790E+01          4.22665129E+01          2.08540831E+01
        830.0000          4.13902460E+01          4.24783203E+01          2.09636125E+01
        840.0000          4.16163940E+01          4.26905970E+01          2.10733260E+01
        850.0000          4.18427991E+01          4.29033122E+01          2.11832100E+01
        860.0000          4.20694392E+01          4.31164367E+01          2.12932519E+01
        870.0000          4.22962932E+01          4.33299431E+01          2.14034396E+01
        880.0000          4.25233411E+01          4.35438053E+01          2.15137618E+01
        890.0000          4.27505642E+01          4.37579985E+01          2.16242077E+01
        900.0000          4.29779446E+01          4.39724993E+01          2.17347670E+01
        910.0000          4.32054656E+01          4.41872855E+01          2.18454302E+01
        920.0000          4.34331111E+01          4.44023359E+01          2.19561880E+01
        930.0000          4.36608661E+01          4.46176307E+01          2.20670318E+01
        940.0000          4.38887163E+01          4.48331508E+01          2.21779534E+01
        950.0000          4.41166481E+01          4.50488781E+01          2.22889449E+01
        960.0000          4.43446488E+01          4.52647957E+01          2.23999990E+01
        970.0000          4.45727062E+01          4.54808871E+01          2.25111086E+01
        980.0000          4.48008087E+01          4.56971369E+01          2.26222670E+01
        990.0000          4.50289456E+01          4.59135306E+01          2.27334680E+01
       1000.0000          4.52571063E+01          4.61300539E+01          2.28447054E+01
       1100.0000          4.75381007E+01          4.82997956E+01          2.39579606E+01
       1118.9990          4.79709848E+01          4.87124603E+01          2.41694397E+01
       1119.0010          4.79710303E+01          4.87125038E+01          2.41694619E+01
       1145.9990          4.85857230E+01          4.92988962E+01          2.44698558E+01
       1146.0010          4.85857685E+01          4.92989397E+01          2.44698780E+01
       1200.0000          4.98133210E+01          5.04712661E+01          2.50700676E+01
       1300.0000          5.20782706E+01          5.26380234E+01          2.61783255E+01
       1301.9990          5.21234219E+01          5.26812584E+01          2.62004278E+01
       1302.0010          5.21234671E+01          5.26813017E+01          2.62004499E+01
       1326.9990          5.26876509E+01          5.32216579E+01          2.64766541E+01
       1327.0010          5.26876960E+01          5.32217011E+01          2.64766762E+01
       1361.9990          5.34761520E+01          5.39771999E+01          2.68627539E+01
       1362.0010          5.34761970E+01          5.39772431E+01          2.68627759E+01
       1400.0000          5.43303204E+01          5.47960704E+01          2.72811007E+01
       1500.0000          5.65679921E+01          5.69429428E+01          2.83774241E+01
       1530.9990          5.72585964E+01          5.76059317E+01          2.87158695E+01
       1531.0010          5.72586409E+01          5.76059745E+01          2.87158913E+01
       1600.0000          5.87905310E+01          5.90771601E+01          2.94667485E+01
       1700.0000          6.09976422E+01          6.11978836E+01          3.05487994E+01
       1800.0000          6.31893252E+01          6.33046985E+01          3.16234796E+01
       1900.0000          6.53657668E+01          6.53974724E+01          3.26908079E+01
       2000.0000          6.75272717E+01          6.74762604E+01          3.37508782E+01
       2100.0000          6.96742161E+01          6.95412424E+01          3.48038329E+01
       2200.0000          7.18070175E+01          7.15926791E+01          3.58498441E+01
       2300.0000          7.39261135E+01          7.36308829E+01          3.68891014E+01
       2400.0000          7.60319486E+01          7.56561970E+01          3.79218037E+01
       2500.0000          7.81249649E+01          7.76689811E+01          3.89481528E+01
       2600.0000          8.02055959E+01          7.96696017E+01          3.99683502E+01
       2700.0000          8.22742630E+01          8.16584251E+01          4.09825936E+01
       2800.0000          8.43313728E+01          8.36358125E+01          4.19910762E+01
       2900.0000          8.63773160E+01          8.56021173E+01          4.29939848E+01
       3000.0000          8.84124668E+01          8.75576827E+01          4.39914993E+01
       3100.0000          9.04371825E+01          8.95028404E+01          4.49837928E+01
       3200.0000          9.24518040E+01          9.14379100E+01          4.59710309E+01
       3300.0000          9.44566559E+01          9.33631986E+01          4.69533721E+01
