#Energy      Mo   Si  Total
        990.0000          4.63268731E+01          2.39612167E+01          1.57928356E+01
       1000.0000          4.64725485E+01          2.41576624E+01          1.58950133E+01
       1100.0000          4.79648122E+01          2.61150944E+01          1.69088442E+01
       1200.0000          4.95052129E+01          2.80605842E+01          1.79092493E+01
       1300.0000          5.10764840E+01          2.99951913E+01          1.88974621E+01
       1400.0000          5.26669067E+01          3.19198281E+01          1.98744946E+01
       1500.0000          5.42683635E+01          3.38352838E+01          2.08411971E+01
       1600.0000          5.58751422E+01          3.57422439E+01          2.17982967E+01
       1700.0000          5.74831748E+01          3.76413076E+01          2.27464246E+01
       1800.0000          5.90895412E+01          3.95330008E+01          2.36861354E+01
       1843.9990          5.97952328E+01          4.03631137E+01          2.40970610E+01
       1844.0010          5.97952649E+01          4.03631514E+01          2.40970796E+01
       1900.0000          6.06921361E+01          4.14177882E+01          2.46179209E+01
       2000.0000          6.22894411E+01          4.32960822E+01          2.55422209E+01
       2100.0000          6.38803659E+01          4.51682505E+01          2.64594313E+01
       2200.0000          6.54641358E+01          4.70346227E+01          2.73699103E+01
       2300.0000          6.70402105E+01          4.88954951E+01          2.82739840E+01
       2400.0000          6.86082253E+01          5.07511356E+01          2.91719503E+01
       2500.0000          7.01679479E+01          5.26017871E+01          3.00640826E+01
       2526.9990          7.05876166E+01          5.31006183E+01          3.03039823E+01
       2527.0010          7.05876477E+01          5.31006552E+01          3.03040001E+01
       2600.0000          7.17192456E+01          5.44476706E+01          3.09506325E+01
       2631.9990          7.22138549E+01          5.50373613E+01          3.12331791E+01
       2632.0010          7.22138858E+01          5.50373982E+01          3.12331967E+01
       2700.0000          7.32620611E+01          5.62889878E+01          3.18318323E+01
       2800.0000          7.47963948E+01          5.81259236E+01          3.27078972E+01
       2871.9990          7.58958707E+01          5.94458819E+01          3.33355884E+01
       2872.0010          7.58959011E+01          5.94459185E+01          3.33356059E+01
       2900.0000          7.63222897E+01          5.99586477E+01          3.35790270E+01
       3000.0000          7.78398219E+01          6.17873163E+01          3.44454077E+01
       3100.0000          7.93490912E+01          6.36120739E+01          3.53072126E+01
       3200.0000          8.08502156E+01          6.54330540E+01          3.61646041E+01
       3300.0000          8.23433259E+01          6.72503807E+01          3.70177338E+01
       3400.0000          8.38285618E+01          6.90641690E+01          3.78667444E+01
       3500.0000          8.53060692E+01          7.08745266E+01          3.87117698E+01
       3600.0000          8.67759978E+01          7.26815535E+01          3.95529360E+01
       3700.0000          8.82384990E+01          7.44853436E+01          4.03903620E+01
       3800.0000          8.96937246E+01          7.62859846E+01          4.12241600E+01
       3900.0000          9.11418260E+01          7.80835590E+01          4.20544362E+01
       4000.0000          9.25829531E+01          7.98781444E+01          4.28812909E+01
       4100.0000          9.40172537E+01          8.16698136E+01          4.37048196E+01
       4200.0000          9.54448728E+01          8.34586354E+01          4.45251126E+01
       4300.0000          9.68659528E+01          8.52446748E+01          4.53422557E+01
       4400.0000          9.82806327E+01          8.70279931E+01          4.61563307E+01
       4500.0000          9.96890482E+01          8.88086483E+01          4.69674155E+01
       4600.0000          1.01091331E+02          9.05866957E+01          4.77755840E+01
       4700.0000          1.02487611E+02          9.23621874E+01          4.85809071E+01
       4800.0000          1.03878013E+02          9.41351730E+01          4.93834522E+01
       4900.0000          1.05262657E+02          9.59056998E+01          5.01832840E+01
       5000.0000          1.06641663E+02          9.76738126E+01          5.09804642E+01
       5100.0000          1.08015144E+02          9.94395542E+01          5.17750518E+01
       5200.0000          1.09383212E+02          1.01202965E+02          5.25671036E+01
       5300.0000          1.10745974E+02          1.02964085E+02          5.33566738E+01
       5400.0000          1.12103535E+02          1.04722951E+02          5.41438145E+01
       5500.0000          1.13455997E+02          1.06479598E+02          5.49285756E+01
       5600.0000          1.14803457E+02          1.08234061E+02          5.57110054E+01
       5700.0000          1.16146011E+02          1.09986372E+02          5.64911500E+01
       5800.0000          1.17483750E+02          1.11736563E+02          5.72690538E+01
       5900.0000          1.18816766E+02          1.13484663E+02          5.80447596E+01
       6000.0000          1.20145143E+02          1.15230701E+02          5.88183087E+01
       6100.0000          1.21468967E+02          1.16974705E+02          5.95897408E+01
       6200.0000          1.22788320E+02          1.18716702E+02          6.03590943E+01
       6300.0000          1.24103279E+02          1.20456717E+02          6.11264060E+01
       6400.0000          1.25413923E+02          1.22194776E+02          6.18917116E+01
       6500.0000          1.26720325E+02          1.23930901E+02          6.26550458E+01
       6600.0000          1.28022559E+02          1.25665115E+02          6.34164417E+01
       6700.0000          1.29320693E+02          1.27397441E+02          6.41759315E+01
       6800.0000          1.30614798E+02          1.29127900E+02          6.49335466E+01
       6900.0000          1.31904938E+02          1.30856513E+02          6.56893169E+01
       7000.0000          1.33191178E+02          1.32583299E+02          6.64432716E+01
       7100.0000          1.34473581E+02          1.34308278E+02          6.71954392E+01
       7200.0000          1.35752207E+02          1.36031468E+02          6.79458469E+01
       7300.0000          1.37027115E+02          1.37752887E+02          6.86945214E+01
       7400.0000          1.38298364E+02          1.39472553E+02          6.94414883E+01
       7500.0000          1.39566008E+02          1.41190482E+02          7.01867728E+01
       7600.0000          1.40830103E+02          1.42906691E+02          7.09303990E+01
       7700.0000          1.42090700E+02          1.44621195E+02          7.16723905E+01
       7800.0000          1.43347852E+02          1.46334011E+02          7.24127701E+01
       7900.0000          1.44601609E+02          1.48045152E+02          7.31515603E+01
       8000.0000          1.45852019E+02          1.49754634E+02          7.38887824E+01
       8100.0000          1.47099129E+02          1.51462469E+02          7.46244576E+01
       8200.0000          1.48342987E+02          1.53168673E+02          7.53586062E+01
       8300.0000          1.49583636E+02          1.54873258E+02          7.60912483E+01
       8400.0000          1.50821122E+02          1.56576237E+02          7.68224030E+01
       8500.0000          1.52055487E+02          1.58277623E+02          7.75520892E+01
       8600.0000          1.53286772E+02          1.59977427E+02          7.82803254E+01
       8700.0000          1.54515019E+02          1.61675663E+02          7.90071293E+01
       8800.0000          1.55740267E+02          1.63372340E+02          7.97325185E+01
       8900.0000          1.56962554E+02          1.65067471E+02          8.04565098E+01
       9000.0000          1.58181920E+02          1.66761066E+02          8.11791198E+01
       9100.0000          1.59398400E+02          1.68453136E+02          8.19003646E+01
       9200.0000          1.60612030E+02          1.70143692E+02          8.26202601E+01
       9300.0000          1.61822846E+02          1.71832743E+02          8.33388215E+01
       9400.0000          1.63030883E+02          1.73520300E+02          8.40560639E+01
       9500.0000          1.64236173E+02          1.75206373E+02          8.47720019E+01
       9600.0000          1.65438750E+02          1.76890969E+02          8.54866498E+01
       9700.0000          1.66638645E+02          1.78574100E+02          8.62000216E+01
       9800.0000          1.67835891E+02          1.80255774E+02          8.69121309E+01
       9900.0000          1.69030516E+02          1.81935999E+02          8.76229911E+01
      10000.0000          1.70222553E+02          1.83614784E+02          8.83326151E+01
      11000.0000          1.82006642E+02          2.00325208E+02          9.53635395E+01
      12000.0000          1.93560402E+02          2.16899841E+02          1.02283281E+02
      13000.0000          2.04905203E+02          2.33344807E+02          1.09101116E+02
      14000.0000          2.16058740E+02          2.49665213E+02          1.15824730E+02
      15000.0000          2.27035860E+02          2.65865394E+02          1.22460590E+02
      16000.0000          2.37849175E+02          2.81949084E+02          1.29014201E+02
      17000.0000          2.48509508E+02          2.97919548E+02          1.35490307E+02
      18000.0000          2.59026239E+02          3.13779670E+02          1.41893033E+02
      19000.0000          2.69407562E+02          3.29532030E+02          1.48226001E+02
      20000.0000          2.79660695E+02          3.45178952E+02          1.54492414E+02
      20005.9990          2.79721830E+02          3.45272504E+02          1.54529811E+02
      20006.0010          2.79721850E+02          3.45272535E+02          1.54529824E+02
      21000.0000          2.89792036E+02          3.60722550E+02          1.60695124E+02
      22000.0000          2.99807296E+02          3.76164761E+02          1.66836689E+02
      23000.0000          3.09711600E+02          3.91507372E+02          1.72919415E+02
      24000.0000          3.19509571E+02          4.06752040E+02          1.78945394E+02
      25000.0000          3.29205402E+02          4.21900312E+02          1.84916529E+02
      26000.0000          3.38802910E+02          4.36953637E+02          1.90834566E+02
      27000.0000          3.48305588E+02          4.51913381E+02          1.96701106E+02
      28000.0000          3.57716640E+02          4.66780836E+02          2.02517627E+02
      29000.0000          3.67039023E+02          4.81557225E+02          2.08285499E+02
      30000.0000          3.76275465E+02          4.96243714E+02          2.14005994E+02
      31000.0000          3.85428501E+02          5.10841419E+02          2.19680297E+02
      32000.0000          3.94500487E+02          5.25351405E+02          2.25309517E+02
      33000.0000          4.03493621E+02          5.39774695E+02          2.30894691E+02
      34000.0000          4.12409958E+02          5.54112276E+02          2.36436796E+02
      35000.0000          4.21251426E+02          5.68365096E+02          2.41936752E+02
      36000.0000          4.30019836E+02          5.82534073E+02          2.47395427E+02
      37000.0000          4.38716893E+02          5.96620096E+02          2.52813642E+02
      38000.0000          4.47344207E+02          6.10624024E+02          2.58192176E+02
      39000.0000          4.55903300E+02          6.24546693E+02          2.63531769E+02
      40000.0000          4.64395614E+02          6.38388916E+02          2.68833126E+02
      41000.0000          4.72822518E+02          6.52151482E+02          2.74096918E+02
      42000.0000          4.81185313E+02          6.65835161E+02          2.79323785E+02
      43000.0000          4.89485237E+02          6.79440706E+02          2.84514342E+02
      44000.0000          4.97723471E+02          6.92968849E+02          2.89669174E+02
      45000.0000          5.05901144E+02          7.06420307E+02          2.94788846E+02
      46000.0000          5.14019334E+02          7.19795781E+02          2.99873898E+02
      47000.0000          5.22079074E+02          7.33095957E+02          3.04924850E+02
      48000.0000          5.30081355E+02          7.46321508E+02          3.09942204E+02
      49000.0000          5.38027126E+02          7.59473093E+02          3.14926441E+02
      50000.0000          5.45917301E+02          7.72551358E+02          3.19878026E+02
