#Energy      Os  Total
        910.0000          3.56754735E+01          3.56754735E+01
        920.0000          3.55673128E+01          3.55673128E+01
        930.0000          3.54629514E+01          3.54629514E+01
        940.0000          3.53622622E+01          3.53622622E+01
        950.0000          3.52651239E+01          3.52651239E+01
        960.0000          3.51714203E+01          3.51714203E+01
        970.0000          3.50810398E+01          3.50810398E+01
        980.0000          3.49938758E+01          3.49938758E+01
        990.0000          3.49098257E+01          3.49098257E+01
       1000.0000          3.48287913E+01          3.48287913E+01
       1100.0000          3.41652863E+01          3.41652863E+01
       1200.0000          3.37195011E+01          3.37195011E+01
       1300.0000          3.34381320E+01          3.34381320E+01
       1400.0000          3.32834009E+01          3.32834009E+01
       1500.0000          3.32278354E+01          3.32278354E+01
       1600.0000          3.32510149E+01          3.32510149E+01
       1700.0000          3.33374722E+01          3.33374722E+01
       1800.0000          3.34752981E+01          3.34752981E+01
       1900.0000          3.36551902E+01          3.36551902E+01
       1963.9990          3.37889313E+01          3.37889313E+01
       1964.0010          3.37889357E+01          3.37889357E+01
       2000.0000          3.38697896E+01          3.38697896E+01
       2034.9990          3.39519703E+01          3.39519703E+01
       2035.0010          3.39519751E+01          3.39519751E+01
       2100.0000          3.41132091E+01          3.41132091E+01
       2200.0000          3.43806907E+01          3.43806907E+01
       2300.0000          3.46683547E+01          3.46683547E+01
       2400.0000          3.49730111E+01          3.49730111E+01
       2460.9990          3.51660444E+01          3.51660444E+01
       2461.0010          3.51660508E+01          3.51660508E+01
       2500.0000          3.52920180E+01          3.52920180E+01
       2600.0000          3.56231724E+01          3.56231724E+01
       2700.0000          3.59646264E+01          3.59646264E+01
       2796.9990          3.63041974E+01          3.63041974E+01
       2797.0010          3.63042045E+01          3.63042045E+01
       2800.0000          3.63148208E+01          3.63148208E+01
       2900.0000          3.66724341E+01          3.66724341E+01
       3000.0000          3.70363401E+01          3.70363401E+01
       3053.9990          3.72351173E+01          3.72351173E+01
       3054.0010          3.72351247E+01          3.72351247E+01
       3100.0000          3.74055757E+01          3.74055757E+01
       3200.0000          3.77793137E+01          3.77793137E+01
       3300.0000          3.81568412E+01          3.81568412E+01
       3400.0000          3.85375416E+01          3.85375416E+01
       3500.0000          3.89208804E+01          3.89208804E+01
       3600.0000          3.93063924E+01          3.93063924E+01
       3700.0000          3.96936723E+01          3.96936723E+01
       3800.0000          4.00823660E+01          4.00823660E+01
       3900.0000          4.04721631E+01          4.04721631E+01
       4000.0000          4.08627917E+01          4.08627917E+01
       4100.0000          4.12540127E+01          4.12540127E+01
       4200.0000          4.16456158E+01          4.16456158E+01
       4300.0000          4.20374157E+01          4.20374157E+01
       4400.0000          4.24292491E+01          4.24292491E+01
       4500.0000          4.28209717E+01          4.28209717E+01
       4600.0000          4.32124563E+01          4.32124563E+01
       4700.0000          4.36035904E+01          4.36035904E+01
       4800.0000          4.39942745E+01          4.39942745E+01
       4900.0000          4.43844209E+01          4.43844209E+01
       5000.0000          4.47739520E+01          4.47739520E+01
       5100.0000          4.51627992E+01          4.51627992E+01
       5200.0000          4.55509022E+01          4.55509022E+01
       5300.0000          4.59382077E+01          4.59382077E+01
       5400.0000          4.63246689E+01          4.63246689E+01
       5500.0000          4.67102447E+01          4.67102447E+01
       5600.0000          4.70948990E+01          4.70948990E+01
       5700.0000          4.74786003E+01          4.74786003E+01
       5800.0000          4.78613213E+01          4.78613213E+01
       5900.0000          4.82430382E+01          4.82430382E+01
       6000.0000          4.86237305E+01          4.86237305E+01
       6100.0000          4.90033808E+01          4.90033808E+01
       6200.0000          4.93819741E+01          4.93819741E+01
       6300.0000          4.97594980E+01          4.97594980E+01
       6400.0000          5.01359419E+01          5.01359419E+01
       6500.0000          5.05112976E+01          5.05112976E+01
       6600.0000          5.08855582E+01          5.08855582E+01
       6700.0000          5.12587186E+01          5.12587186E+01
       6800.0000          5.16307750E+01          5.16307750E+01
       6900.0000          5.20017248E+01          5.20017248E+01
       7000.0000          5.23715667E+01          5.23715667E+01
       7100.0000          5.27403003E+01          5.27403003E+01
       7200.0000          5.31079260E+01          5.31079260E+01
       7300.0000          5.34744453E+01          5.34744453E+01
       7400.0000          5.38398603E+01          5.38398603E+01
       7500.0000          5.42041736E+01          5.42041736E+01
       7600.0000          5.45673887E+01          5.45673887E+01
       7700.0000          5.49295095E+01          5.49295095E+01
       7800.0000          5.52905402E+01          5.52905402E+01
       7900.0000          5.56504857E+01          5.56504857E+01
       8000.0000          5.60093511E+01          5.60093511E+01
