#Energy      C  Total
       1800.0000          3.94959820E+01          3.94959820E+01
       1900.0000          4.16004505E+01          4.16004505E+01
       2000.0000          4.37023622E+01          4.37023622E+01
       2100.0000          4.58018145E+01          4.58018145E+01
       2200.0000          4.78988940E+01          4.78988940E+01
       2300.0000          4.99936778E+01          4.99936778E+01
       2400.0000          5.20862354E+01          5.20862354E+01
       2500.0000          5.41766293E+01          5.41766293E+01
       2600.0000          5.62649159E+01          5.62649159E+01
       2700.0000          5.83511468E+01          5.83511468E+01
       2800.0000          6.04353690E+01          6.04353690E+01
       2900.0000          6.25176253E+01          6.25176253E+01
       3000.0000          6.45979553E+01          6.45979553E+01
       3100.0000          6.66763954E+01          6.66763954E+01
       3200.0000          6.87529792E+01          6.87529792E+01
       3300.0000          7.08277377E+01          7.08277377E+01
       3400.0000          7.29007000E+01          7.29007000E+01
       3500.0000          7.49718930E+01          7.49718930E+01
       3600.0000          7.70413418E+01          7.70413418E+01
       3700.0000          7.91090698E+01          7.91090698E+01
       3800.0000          8.11750991E+01          8.11750991E+01
       3900.0000          8.32394503E+01          8.32394503E+01
       4000.0000          8.53021428E+01          8.53021428E+01
       4100.0000          8.73631950E+01          8.73631950E+01
       4200.0000          8.94226241E+01          8.94226241E+01
       4300.0000          9.14804463E+01          9.14804463E+01
       4400.0000          9.35366772E+01          9.35366772E+01
       4500.0000          9.55913314E+01          9.55913314E+01
       4600.0000          9.76444226E+01          9.76444226E+01
       4700.0000          9.96959643E+01          9.96959643E+01
       4800.0000          1.01745969E+02          1.01745969E+02
       4900.0000          1.03794448E+02          1.03794448E+02
       5000.0000          1.05841414E+02          1.05841414E+02
       5100.0000          1.07886876E+02          1.07886876E+02
       5200.0000          1.09930847E+02          1.09930847E+02
       5300.0000          1.11973334E+02          1.11973334E+02
       5400.0000          1.14014349E+02          1.14014349E+02
       5500.0000          1.16053900E+02          1.16053900E+02
       5600.0000          1.18091996E+02          1.18091996E+02
       5700.0000          1.20128646E+02          1.20128646E+02
       5800.0000          1.22163857E+02          1.22163857E+02
       5900.0000          1.24197637E+02          1.24197637E+02
       6000.0000          1.26229995E+02          1.26229995E+02
       6100.0000          1.28260936E+02          1.28260936E+02
       6200.0000          1.30290468E+02          1.30290468E+02
       6300.0000          1.32318599E+02          1.32318599E+02
       6400.0000          1.34345333E+02          1.34345333E+02
       6500.0000          1.36370679E+02          1.36370679E+02
       6600.0000          1.38394641E+02          1.38394641E+02
       6700.0000          1.40417225E+02          1.40417225E+02
       6800.0000          1.42438439E+02          1.42438439E+02
       6900.0000          1.44458286E+02          1.44458286E+02
       7000.0000          1.46476772E+02          1.46476772E+02
       7100.0000          1.48493903E+02          1.48493903E+02
       7200.0000          1.50509683E+02          1.50509683E+02
       7300.0000          1.52524118E+02          1.52524118E+02
       7400.0000          1.54537213E+02          1.54537213E+02
       7500.0000          1.56548971E+02          1.56548971E+02
       7600.0000          1.58559398E+02          1.58559398E+02
       7700.0000          1.60568497E+02          1.60568497E+02
       7800.0000          1.62576274E+02          1.62576274E+02
       7900.0000          1.64582732E+02          1.64582732E+02
       8000.0000          1.66587876E+02          1.66587876E+02
       8100.0000          1.68591709E+02          1.68591709E+02
       8200.0000          1.70594235E+02          1.70594235E+02
       8300.0000          1.72595459E+02          1.72595459E+02
       8400.0000          1.74595383E+02          1.74595383E+02
       8500.0000          1.76594012E+02          1.76594012E+02
       8600.0000          1.78591349E+02          1.78591349E+02
       8700.0000          1.80587398E+02          1.80587398E+02
       8800.0000          1.82582161E+02          1.82582161E+02
       8900.0000          1.84575643E+02          1.84575643E+02
       9000.0000          1.86567846E+02          1.86567846E+02
