#Energy      Hf   Nb   Ta   Ti   Zr  Total
         27.0000          1.00000000E+20          4.07267194E+02          2.59575767E+03          6.71750247E+01          3.77153566E+02          4.90711822E+01
         27.9990          1.00000000E+20          3.93863179E+02          2.50519617E+03          6.54423566E+01          3.64797359E+02          4.77099366E+01
         28.0000          1.00000000E+20          3.93850240E+02          2.50510875E+03          6.54406855E+01          3.64785431E+02          4.77086228E+01
         28.0010          1.00000000E+20          3.93837302E+02          2.50502133E+03          6.54390145E+01          3.64773504E+02          4.77073092E+01
         29.0000          1.00000000E+20          3.81356608E+02          2.42070004E+03          6.38286559E+01          3.53268541E+02          4.64404049E+01
         29.9990          1.00000000E+20          3.69705642E+02          2.34198465E+03          6.23282982E+01          3.42528552E+02          4.52583213E+01
         30.0000          1.00000000E+20          3.69694368E+02          2.34190848E+03          6.23268478E+01          3.42518159E+02          4.52571777E+01
         30.0010          1.00000000E+20          3.69683094E+02          2.34183231E+03          6.23253975E+01          3.42507767E+02          4.52560342E+01
         31.0000          1.00000000E+20          3.58783413E+02          2.26819134E+03          6.09247190E+01          3.32460444E+02          4.41507879E+01
         32.0000          1.00000000E+20          3.48553622E+02          2.19907364E+03          5.96130329E+01          3.23030758E+02          4.31140936E+01
         32.9990          1.00000000E+20          3.38952663E+02          2.13420089E+03          5.83848531E+01          3.14180861E+02          4.21417553E+01
         33.0000          1.00000000E+20          3.38943344E+02          2.13413792E+03          5.83836624E+01          3.14172270E+02          4.21408118E+01
         33.0010          1.00000000E+20          3.38934025E+02          2.13407495E+03          5.83824717E+01          3.14163681E+02          4.21398683E+01
         34.0000          1.00000000E+20          3.29898160E+02          2.07301577E+03          5.72294276E+01          3.05834815E+02          4.12253929E+01
         34.9990          1.00000000E+20          3.21378134E+02          2.01543685E+03          5.61450147E+01          2.97981576E+02          4.03637545E+01
         35.0000          1.00000000E+20          3.21369849E+02          2.01538086E+03          5.61439616E+01          2.97973940E+02          4.03629170E+01
         35.0010          1.00000000E+20          3.21361565E+02          2.01532487E+03          5.61429086E+01          2.97966304E+02          4.03620795E+01
         36.0000          1.00000000E+20          3.13315533E+02          1.96094305E+03          5.51215985E+01          2.90550116E+02          3.95490062E+01
         37.0000          1.00000000E+20          3.05696952E+02          1.90944355E+03          5.41572790E+01          2.83528072E+02          3.87797524E+01
         37.9990          1.00000000E+20          2.98486887E+02          1.86069829E+03          5.32473569E+01          2.76882714E+02          3.80523643E+01
         38.0000          1.00000000E+20          2.98479860E+02          1.86065077E+03          5.32464715E+01          2.76876237E+02          3.80516557E+01
         38.0010          1.00000000E+20          2.98472833E+02          1.86060326E+03          5.32455860E+01          2.76869761E+02          3.80509471E+01
         38.9990          1.00000000E+20          2.91640185E+02          1.81440197E+03          5.23859426E+01          2.70572416E+02          3.73622445E+01
         39.0000          1.00000000E+20          2.91633514E+02          1.81435686E+03          5.23851047E+01          2.70566268E+02          3.73615725E+01
         39.0010          1.00000000E+20          2.91626844E+02          1.81431176E+03          5.23842668E+01          2.70560121E+02          3.73609004E+01
         39.9990          1.00000000E+20          2.85136574E+02          1.77041761E+03          5.15703045E+01          2.64578489E+02          3.67073090E+01
         40.0000          1.00000000E+20          2.85130233E+02          1.77037472E+03          5.15695107E+01          2.64572646E+02          3.67066708E+01
         40.0010          1.00000000E+20          2.85123893E+02          1.77033184E+03          5.15687168E+01          2.64566803E+02          3.67060326E+01
         41.0000          1.00000000E+20          2.78945029E+02          1.72853549E+03          5.07963759E+01          2.58872331E+02          3.60843931E+01
         42.0000          1.00000000E+20          2.73055284E+02          1.68868635E+03          5.00626996E+01          2.53444473E+02          3.54924234E+01
         42.9990          1.00000000E+20          2.67445963E+02          1.65072582E+03          4.93664367E+01          2.48275204E+02          3.49292100E+01
         43.0000          1.00000000E+20          2.67440479E+02          1.65068871E+03          4.93657573E+01          2.48270151E+02          3.49286597E+01
         43.0010          1.00000000E+20          2.67434995E+02          1.65065159E+03          4.93650779E+01          2.48265097E+02          3.49281094E+01
         44.0000          1.00000000E+20          2.62081951E+02          1.61441654E+03          4.87030698E+01          2.43332160E+02          3.43911894E+01
         45.0000          1.00000000E+20          2.56962694E+02          1.57975502E+03          4.80723765E+01          2.38614818E+02          3.38782689E+01
         46.0000          1.00000000E+20          2.52067172E+02          1.54659928E+03          4.74716112E+01          2.34103803E+02          3.33883048E+01
         46.9990          1.00000000E+20          2.47385755E+02          1.51488445E+03          4.68994413E+01          2.29790232E+02          3.29202966E+01
         47.0000          1.00000000E+20          2.47381169E+02          1.51485338E+03          4.68988820E+01          2.29786006E+02          3.29198384E+01
         47.0010          1.00000000E+20          2.47376583E+02          1.51482231E+03          4.68983227E+01          2.29781781E+02          3.29193803E+01
         48.0000          1.00000000E+20          2.42891648E+02          1.48442936E+03          4.63524531E+01          2.25649408E+02          3.24715319E+01
         49.0000          1.00000000E+20          2.38586634E+02          1.45524643E+03          4.58307292E+01          2.21682965E+02          3.20421557E+01
         50.0000          1.00000000E+20          2.34455106E+02          1.42723026E+03          4.53322414E+01          2.17876515E+02          3.16305777E+01
         51.0000          1.00000000E+20          2.30486903E+02          1.40031233E+03          4.48556346E+01          2.14220690E+02          3.12357544E+01
         52.0000          1.00000000E+20          2.26672644E+02          1.37442940E+03          4.43996575E+01          2.10706841E+02          3.08567217E+01
         53.0000          1.00000000E+20          2.23003654E+02          1.34952299E+03          4.39631518E+01          2.07326966E+02          3.04925878E+01
         54.0000          1.00000000E+20          2.19471898E+02          1.32553894E+03          4.35450447E+01          2.04073657E+02          3.01425267E+01
         55.0000          1.00000000E+20          2.16069923E+02          1.30242704E+03          4.31443402E+01          2.00940040E+02          2.98057717E+01
         55.9990          1.00000000E+20          2.12794025E+02          1.28016252E+03          4.27604896E+01          1.97922699E+02          2.94819290E+01
         56.0000          1.00000000E+20          2.12790805E+02          1.28014063E+03          4.27601133E+01          1.97919733E+02          2.94816109E+01
         56.0010          1.00000000E+20          2.12787585E+02          1.28011875E+03          4.27597370E+01          1.97916767E+02          2.94812928E+01
         57.0000          1.00000000E+20          2.09628107E+02          1.25863637E+03          4.23915029E+01          1.95006798E+02          2.91693819E+01
         58.0000          1.00000000E+20          2.06575832E+02          1.23787385E+03          4.20377069E+01          1.92195705E+02          2.88684676E+01
         59.0000          1.00000000E+20          2.03628389E+02          1.21781544E+03          4.16979771E+01          1.89481300E+02          2.85782927E+01
         60.0000          1.00000000E+20          2.00780558E+02          1.19842599E+03          4.13716147E+01          1.86858767E+02          2.82983197E+01
         61.0000          1.00000000E+20          1.98027462E+02          1.17967266E+03          4.10579663E+01          1.84323608E+02          2.80280466E+01
         61.9990          1.00000000E+20          1.95367153E+02          1.16154258E+03          4.07567160E+01          1.81874026E+02          2.77672597E+01
         62.0000          1.00000000E+20          1.95364534E+02          1.16152472E+03          4.07564203E+01          1.81871614E+02          2.77670031E+01
         62.0010          1.00000000E+20          1.95361915E+02          1.16150687E+03          4.07561246E+01          1.81869202E+02          2.77667465E+01
         63.0000          1.00000000E+20          1.92787498E+02          1.14395340E+03          4.04664036E+01          1.79498840E+02          2.75147490E+01
         63.9990          1.00000000E+20          1.90294801E+02          1.12694848E+03          4.01876522E+01          1.77203849E+02          2.72711111E+01
         64.0000          1.00000000E+20          1.90292345E+02          1.12693173E+03          4.01873785E+01          1.77201588E+02          2.72708713E+01
         64.0010          1.00000000E+20          1.90289890E+02          1.12691497E+03          4.01871048E+01          1.77199328E+02          2.72706315E+01
         65.0000          1.00000000E+20          1.87875310E+02          1.11043436E+03          3.99188403E+01          1.74976388E+02          2.70349823E+01
         66.0000          1.00000000E+20          1.85532857E+02          1.09443752E+03          3.96603143E+01          1.72819977E+02          2.68067176E+01
         67.0000          1.00000000E+20          1.83261658E+02          1.07891884E+03          3.94113542E+01          1.70729287E+02          2.65857347E+01
         67.9990          1.00000000E+20          1.81060753E+02          1.06387209E+03          3.91717750E+01          1.68703428E+02          2.63719216E+01
         68.0000          1.00000000E+20          1.81058583E+02          1.06385725E+03          3.91715397E+01          1.68701431E+02          2.63717109E+01
         68.0010          1.00000000E+20          1.81056413E+02          1.06384241E+03          3.91713043E+01          1.68699434E+02          2.63715003E+01
         69.0000          1.00000000E+20          1.78920681E+02          1.04923292E+03          3.89404744E+01          1.66733687E+02          2.61643423E+01
         70.0000          1.00000000E+20          1.76845169E+02          1.03502714E+03          3.87177846E+01          1.64823489E+02          2.59633421E+01
         71.0000          1.00000000E+20          1.74829421E+02          1.02122226E+03          3.85031174E+01          1.62968414E+02          2.57684399E+01
         72.0000          1.00000000E+20          1.72870955E+02          1.00780160E+03          3.82961394E+01          1.61166175E+02          2.55793799E+01
         73.0000          1.00000000E+20          1.70967427E+02          9.94749402E+02          3.80965353E+01          1.59414607E+02          2.53959206E+01
         73.9990          1.00000000E+20          1.69118441E+02          9.82063280E+02          3.79041956E+01          1.57713344E+02          2.52180089E+01
         74.0000          1.00000000E+20          1.69116616E+02          9.82050753E+02          3.79040065E+01          1.57711665E+02          2.52178334E+01
         74.0010          1.00000000E+20          1.69114791E+02          9.82038227E+02          3.79038174E+01          1.57709985E+02          2.52176579E+01
         75.0000          1.00000000E+20          1.67316421E+02          9.69691537E+02          3.77182706E+01          1.56055409E+02          2.50449017E+01
         76.0000          1.00000000E+20          1.65564852E+02          9.57658377E+02          3.75390595E+01          1.54444004E+02          2.48769205E+01
         77.0000          1.00000000E+20          1.63860020E+02          9.45938592E+02          3.73661194E+01          1.52875708E+02          2.47136953E+01
         78.0000          1.00000000E+20          1.62200133E+02          9.34520150E+02          3.71992089E+01          1.51348869E+02          2.45550416E+01
         79.0000          1.00000000E+20          1.60583491E+02          9.23391629E+02          3.70380991E+01          1.49861917E+02          2.44007842E+01
         80.0000          1.00000000E+20          1.59008476E+02          9.12542173E+02          3.68825723E+01          1.48413362E+02          2.42507566E+01
         81.0000          1.00000000E+20          1.57473552E+02          9.01961465E+02          3.67324215E+01          1.47001785E+02          2.41048006E+01
         82.0000          1.00000000E+20          1.55977257E+02          8.91639691E+02          3.65874499E+01          1.45625839E+02          2.39627657E+01
         83.0000          1.00000000E+20          1.54518198E+02          8.81567505E+02          3.64474697E+01          1.44284239E+02          2.38245086E+01
         84.0000          1.00000000E+20          1.53095049E+02          8.71736010E+02          3.63123024E+01          1.42975762E+02          2.36898928E+01
         85.0000          1.00000000E+20          1.51706548E+02          8.62136725E+02          3.61817776E+01          1.41699242E+02          2.35587883E+01
         86.0000          1.00000000E+20          1.50351487E+02          8.52761564E+02          3.60557328E+01          1.40453569E+02          2.34310711E+01
         87.0000          1.00000000E+20          1.49028718E+02          8.43602809E+02          3.59340131E+01          1.39237680E+02          2.33066229E+01
         88.0000          1.00000000E+20          1.47737143E+02          8.34653097E+02          3.58164704E+01          1.38050564E+02          2.31853308E+01
         89.0000          1.00000000E+20          1.46475712E+02          8.25905392E+02          3.57029632E+01          1.36891253E+02          2.30670870E+01
         90.0000          1.00000000E+20          1.45243424E+02          8.17352971E+02          3.55933564E+01          1.35758822E+02          2.29517885E+01
         91.0000          1.00000000E+20          1.44039320E+02          8.08989408E+02          3.54875207E+01          1.34652388E+02          2.28393367E+01
         92.0000          1.00000000E+20          1.42862483E+02          8.00808553E+02          3.53853323E+01          1.33571104E+02          2.27296374E+01
         93.0000          1.00000000E+20          1.41712036E+02          7.92804523E+02          3.52866730E+01          1.32514161E+02          2.26226006E+01
         94.0000          1.00000000E+20          1.40587137E+02          7.84971683E+02          3.51914292E+01          1.31480785E+02          2.25181398E+01
         95.0000          1.00000000E+20          1.39486983E+02          7.77304635E+02          3.50994924E+01          1.30470232E+02          2.24161725E+01
         96.0000          1.00000000E+20          1.38410801E+02          7.69798206E+02          3.50107583E+01          1.29481790E+02          2.23166195E+01
         97.0000          1.00000000E+20          1.37357851E+02          7.62447437E+02          3.49251272E+01          1.28514777E+02          2.22194048E+01
         98.0000          1.00000000E+20          1.36327424E+02          7.55247570E+02          3.48425032E+01          1.27568538E+02          2.21244556E+01
         99.0000          1.00000000E+20          1.35318839E+02          7.48194038E+02          3.47627943E+01          1.26642445E+02          2.20317020E+01
        100.0000          1.00000000E+20          1.34331440E+02          7.41282460E+02          3.46859122E+01          1.25735895E+02          2.19410771E+01
        110.0000          1.00000000E+20          1.25495793E+02          6.79123523E+02          3.40554233E+01          1.17628107E+02          2.11389010E+01
        120.0000          1.00000000E+20          1.18217938E+02          6.27402645E+02          3.36318667E+01          1.10957121E+02          2.04922142E+01
        130.0000          1.00000000E+20          1.12138454E+02          5.83713776E+02          3.33667021E+01          1.05391375E+02          1.99644008E+01
        140.0000          1.00000000E+20          1.07000355E+02          5.46337464E+02          3.32252368E+01          1.00693797E+02          1.95294055E+01
        150.0000          1.00000000E+20          1.02615028E+02          5.14012220E+02          3.31820308E+01          9.66903877E+01          1.91682060E+01
        160.0000          1.00000000E+20          9.88409170E+01          4.85791554E+02          3.32180159E+01          9.32505596E+01          1.88666053E+01
        170.0000          1.00000000E+20          9.55697164E+01          4.60951418E+02          3.33186276E+01          9.02743980E+01          1.86138038E+01
        180.0000          1.00000000E+20          9.27171539E+01          4.38928484E+02          3.34725573E+01          8.76841614E+01          1.84014465E+01
        184.9990          1.00000000E+20          9.14267535E+01          4.28832659E+02          3.35666367E+01          8.65142887E+01          1.83083455E+01
        185.0010          1.00000000E+20          9.14262539E+01          4.28828732E+02          3.35666764E+01          8.65138359E+01          1.83083098E+01
        186.9990          1.00000000E+20          9.09334850E+01          4.24948546E+02          3.36071639E+01          8.60674400E+01          1.82733072E+01
        187.0010          1.00000000E+20          9.09329980E+01          4.24944705E+02          3.36072052E+01          8.60669989E+01          1.82732727E+01
        190.0000          1.00000000E+20          9.02166804E+01          4.19277893E+02          3.36708966E+01          8.54184592E+01          1.82229730E+01
        200.0000          1.00000000E+20          8.80150482E+01          4.01643667E+02          3.39065374E+01          8.34281719E+01          1.80731627E+01
        208.9990          1.00000000E+20          8.62534746E+01          3.87259016E+02          3.41457150E+01          8.18395377E+01          1.79593601E+01
        209.0010          1.00000000E+20          8.62531041E+01          3.87255961E+02          3.41457707E+01          8.18392040E+01          1.79593368E+01
        210.0000          1.00000000E+20          8.60691494E+01          3.85737569E+02          3.41737435E+01          8.16735355E+01          1.79478111E+01
        211.9990          1.00000000E+20          8.57076156E+01          3.82743668E+02          3.42305164E+01          8.13480762E+01          1.79253739E+01
        212.0010          1.00000000E+20          8.57072582E+01          3.82740702E+02          3.42305738E+01          8.13477546E+01          1.79253519E+01
        216.9990          1.00000000E+20          8.48402027E+01          3.75504893E+02          3.43769993E+01          8.05679920E+01          1.78727687E+01
        217.0010          1.00000000E+20          8.48398659E+01          3.75502067E+02          3.43770591E+01          8.05676893E+01          1.78727487E+01
        220.0000          1.00000000E+20          8.43437159E+01          3.71323723E+02          3.44678378E+01          8.01220185E+01          1.78434947E+01
        228.9990          1.00000000E+20          8.29552884E+01          3.59466625E+02          3.47522847E+01          7.88771473E+01          1.77652660E+01
        229.0010          1.00000000E+20          8.29549957E+01          3.59464097E+02          3.47523498E+01          7.88768853E+01          1.77652501E+01
        230.0000          1.00000000E+20          8.28096173E+01          3.58207243E+02          3.47849719E+01          7.87467523E+01          1.77573985E+01
        231.9990          1.00000000E+20          8.25236897E+01          3.55726075E+02          3.48508395E+01          7.84909378E+01          1.77421603E+01
        232.0010          1.00000000E+20          8.25234069E+01          3.55723615E+02          3.48509058E+01          7.84906849E+01          1.77421454E+01
        240.0000          1.00000000E+20          8.14425843E+01          3.46225700E+02          3.51219528E+01          7.75253529E+01          1.76871863E+01
        244.9990          1.00000000E+20          8.08153405E+01          3.40618115E+02          3.52969986E+01          7.69664680E+01          1.76574188E+01
        245.0010          1.00000000E+20          8.08150966E+01          3.40615919E+02          3.52970695E+01          7.69662509E+01          1.76574075E+01
        250.0000          1.00000000E+20          8.02222374E+01          3.35242636E+02          3.54761109E+01          7.64390248E+01          1.76309033E+01
        260.0000          1.00000000E+20          7.91313394E+01          3.25142579E+02          3.58451986E+01          7.54718720E+01          1.75869011E+01
        270.0000          1.00000000E+20          7.81552145E+01          3.15827155E+02          3.62273119E+01          7.46103609E+01          1.75537797E+01
        280.0000          1.00000000E+20          7.72812904E+01          3.07212038E+02          3.66208285E+01          7.38428987E+01          1.75303424E+01
        290.0000          1.00000000E+20          7.64987361E+01          2.99224532E+02          3.70243581E+01          7.31594991E+01          1.75155599E+01
        300.0000          1.00000000E+20          7.57981718E+01          2.91801633E+02          3.74367041E+01          7.25515143E+01          1.75085419E+01
        310.0000          1.00000000E+20          7.51714343E+01          2.84888468E+02          3.78568312E+01          7.20114188E+01          1.75085141E+01
        320.0000          1.00000000E+20          7.46113871E+01          2.78437022E+02          3.82838403E+01          7.15326344E+01          1.75148001E+01
        330.0000          1.00000000E+20          7.41117648E+01          2.72405104E+02          3.87169471E+01          7.11093861E+01          1.75268059E+01
        334.9990          1.00000000E+20          7.38829056E+01          2.69535226E+02          3.89355253E+01          7.09170106E+01          1.75347860E+01
        335.0010          1.00000000E+20          7.38828167E+01          2.69534096E+02          3.89356130E+01          7.09169361E+01          1.75347895E+01
        340.0000          1.00000000E+20          7.36670445E+01          2.66755487E+02          3.91554652E+01          7.07365838E+01          1.75440081E+01
        347.9990          1.00000000E+20          7.33475331E+01          2.62489289E+02          3.95097237E+01          7.04716510E+01          1.75611956E+01
        348.0010          1.00000000E+20          7.33474571E+01          2.62488249E+02          3.95098126E+01          7.04715882E+01          1.75612002E+01
        350.0000          1.00000000E+20          7.32723399E+01          2.61455203E+02          3.95987917E+01          7.04097246E+01          1.75659431E+01
        360.0000          1.00000000E+20          7.29233125E+01          2.56474949E+02          4.00463953E+01          7.01248109E+01          1.75921991E+01
        366.9990          1.00000000E+20          7.27041144E+01          2.53165543E+02          4.03619639E+01          6.99484302E+01          1.76129481E+01
        367.0010          1.00000000E+20          7.27040546E+01          2.53164617E+02          4.03620544E+01          6.99483823E+01          1.76129543E+01
        370.0000          1.00000000E+20          7.26160974E+01          2.51788592E+02          4.04978066E+01          6.98782818E+01          1.76224091E+01
        380.0000          1.00000000E+20          7.23472410E+01          2.47372753E+02          4.09526093E+01          6.96669557E+01          1.76562446E+01
        381.9990          1.00000000E+20          7.22978189E+01          2.46520587E+02          4.10438979E+01          6.96286774E+01          1.76634167E+01
        382.0010          1.00000000E+20          7.22977702E+01          2.46519739E+02          4.10439893E+01          6.96286397E+01          1.76634239E+01
        385.9990          1.00000000E+20          7.22030611E+01          2.44844696E+02          4.12269175E+01          6.95558764E+01          1.76781585E+01
        386.0010          1.00000000E+20          7.22030151E+01          2.44843868E+02          4.12270091E+01          6.95558413E+01          1.76781660E+01
        390.0000          1.00000000E+20          7.21136479E+01          2.43206455E+02          4.14104337E+01          6.94879813E+01          1.76934109E+01
        400.0000          1.00000000E+20          7.19125362E+01          2.39270821E+02          4.18709501E+01          6.93387965E+01          1.77336428E+01
        406.9990          1.00000000E+20          7.17897485E+01          2.36644301E+02          4.21947083E+01          6.92508579E+01          1.77634958E+01
        407.0010          1.00000000E+20          7.17897154E+01          2.36643565E+02          4.21948010E+01          6.92508347E+01          1.77635045E+01
        410.0000          1.00000000E+20          7.17413990E+01          2.35548817E+02          4.23338645E+01          6.92170925E+01          1.77767011E+01
        420.0000          1.00000000E+20          7.15979714E+01          2.32025036E+02          4.27989136E+01          6.91207839E+01          1.78223690E+01
        430.0000          1.00000000E+20          7.14802026E+01          2.28685507E+02          4.32658612E+01          6.90479826E+01          1.78704504E+01
        433.9990          1.00000000E+20          7.14398664E+01          2.27398720E+02          4.34530767E+01          6.90250601E+01          1.78903132E+01
        434.0010          1.00000000E+20          7.14398471E+01          2.27398083E+02          4.34531704E+01          6.90250495E+01          1.78903232E+01
        440.0000          1.00000000E+20          7.13862311E+01          2.25517529E+02          4.37344952E+01          6.89969748E+01          1.79207667E+01
        443.9990          1.00000000E+20          7.13549286E+01          2.24296049E+02          4.39223305E+01          6.89823233E+01          1.79414768E+01
        444.0010          1.00000000E+20          7.13549138E+01          2.24295444E+02          4.39224245E+01          6.89823167E+01          1.79414873E+01
        450.0000          1.00000000E+20          7.13143636E+01          2.22509537E+02          4.42046246E+01          6.89662022E+01          1.79731553E+01
        458.9990          1.00000000E+20          7.12673079E+01          2.19930664E+02          4.46288299E+01          6.89546318E+01          1.80219483E+01
        459.0010          1.00000000E+20          7.12672992E+01          2.19930104E+02          4.46289243E+01          6.89546308E+01          1.80219593E+01
        460.0000          1.00000000E+20          7.12630569E+01          2.19650969E+02          4.46760774E+01          6.89542443E+01          1.80274677E+01
        464.9990          1.00000000E+20          7.12446718E+01          2.18274941E+02          4.49122036E+01          6.89549107E+01          1.80552969E+01
        465.0010          1.00000000E+20          7.12446653E+01          2.18274398E+02          4.49122981E+01          6.89549118E+01          1.80553081E+01
        468.9990          1.00000000E+20          7.12332953E+01          2.17198284E+02          4.51013402E+01          6.89584935E+01          1.80778757E+01
        469.0010          1.00000000E+20          7.12332904E+01          2.17197751E+02          4.51014348E+01          6.89584959E+01          1.80778870E+01
        470.0000          1.00000000E+20          7.12309015E+01          2.16932169E+02          4.51486980E+01          6.89598044E+01          1.80835682E+01
        471.9990          1.00000000E+20          7.12266550E+01          2.16404652E+02          4.52433023E+01          6.89629106E+01          1.80949860E+01
        472.0010          1.00000000E+20          7.12266511E+01          2.16404126E+02          4.52433970E+01          6.89629140E+01          1.80949975E+01
        480.0000          1.00000000E+20          7.12166076E+01          2.14344285E+02          4.56223458E+01          6.89816957E+01          1.81413324E+01
        490.0000          1.00000000E+20          7.12189932E+01          2.11879191E+02          4.60968934E+01          6.90188309E+01          1.82006462E+01
        500.0000          1.00000000E+20          7.12369726E+01          2.09529413E+02          4.65722254E+01          6.90702115E+01          1.82614045E+01
        510.0000          1.00000000E+20          7.12695476E+01          2.07288064E+02          4.70482367E+01          6.91349195E+01          1.83235106E+01
        520.0000          1.00000000E+20          7.13157983E+01          2.05148791E+02          4.75248322E+01          6.92121091E+01          1.83868755E+01
        530.0000          1.00000000E+20          7.13748762E+01          2.03105721E+02          4.80019250E+01          6.93010003E+01          1.84514167E+01
        540.0000          1.00000000E+20          7.14459973E+01          2.01153417E+02          4.84794360E+01          6.94008724E+01          1.85170582E+01
        541.9990          1.00000000E+20          7.14615940E+01          2.00773588E+02          4.85749342E+01          6.94220942E+01          1.85303055E+01
        542.0010          1.00000000E+20          7.14616098E+01          2.00773209E+02          4.85750297E+01          6.94221157E+01          1.85303188E+01
        550.0000          1.00000000E+20          7.15284362E+01          1.99286841E+02          4.89572932E+01          6.95110588E+01          1.85837293E+01
        560.0000          1.00000000E+20          7.16215206E+01          1.97501316E+02          4.94354308E+01          6.96309418E+01          1.86513648E+01
        566.9990          1.00000000E+20          7.16926676E+01          1.96297502E+02          4.97702137E+01          6.97203081E+01          1.86992438E+01
        567.0010          1.00000000E+20          7.16926886E+01          1.96297163E+02          4.97703094E+01          6.97203342E+01          1.86992576E+01
        569.9990          1.00000000E+20          7.17246163E+01          1.95792660E+02          4.99137409E+01          6.97599355E+01          1.87198970E+01
