#Energy      Au   H  Total
       9500.0000          4.91749712E+01          1.57107313E+03          4.76824974E+01
       9600.0000          4.94439476E+01          1.58714091E+03          4.79501638E+01
       9700.0000          4.97121784E+01          1.60319940E+03          4.82170587E+01
       9800.0000          4.99796686E+01          1.61924863E+03          4.84831883E+01
       9900.0000          5.02464232E+01          1.63528858E+03          4.87485587E+01
      10000.0000          5.05124473E+01          1.65131928E+03          4.90131761E+01
      11000.0000          5.31336485E+01          1.81111856E+03          5.16192694E+01
      11922.9990          5.54930703E+01          1.95779841E+03          5.39634950E+01
      11923.0010          5.54930753E+01          1.95779872E+03          5.39635000E+01
      12000.0000          5.56874317E+01          1.96999998E+03          5.41565489E+01
      13000.0000          5.81786767E+01          2.12797081E+03          5.66304027E+01
      13737.9990          5.99797556E+01          2.24397333E+03          5.84182780E+01
      13738.0010          5.99797604E+01          2.24397364E+03          5.84182828E+01
      14000.0000          6.06118827E+01          2.28503819E+03          5.90456643E+01
      14355.9990          6.14648784E+01          2.34073730E+03          5.98921834E+01
      14356.0010          6.14648832E+01          2.34073762E+03          5.98921882E+01
      15000.0000          6.29911265E+01          2.44120918E+03          6.14066358E+01
      16000.0000          6.53200748E+01          2.59649071E+03          6.37171389E+01
      17000.0000          6.76020163E+01          2.75088964E+03          6.59805701E+01
      18000.0000          6.98399003E+01          2.90441275E+03          6.81999550E+01
      19000.0000          7.20363762E+01          3.05706674E+03          7.03779970E+01
      20000.0000          7.41938289E+01          3.20885821E+03          7.25171195E+01
      21000.0000          7.63144114E+01          3.35979374E+03          7.46195027E+01
      22000.0000          7.84000730E+01          3.50987978E+03          7.66871153E+01
      23000.0000          8.04525840E+01          3.65912276E+03          7.87217409E+01
      24000.0000          8.24735571E+01          3.80752901E+03          8.07250010E+01
      25000.0000          8.44644657E+01          3.95510483E+03          8.26983750E+01
      26000.0000          8.64266600E+01          4.10185642E+03          8.46432162E+01
      27000.0000          8.83613808E+01          4.24778994E+03          8.65607670E+01
      28000.0000          9.02697711E+01          4.39291150E+03          8.84521708E+01
      29000.0000          9.21528870E+01          4.53722713E+03          9.03184827E+01
      30000.0000          9.40117066E+01          4.68074280E+03          9.21606793E+01
      31000.0000          9.58471377E+01          4.82346444E+03          9.39796663E+01
      32000.0000          9.76600249E+01          4.96539792E+03          9.57762857E+01
      33000.0000          9.94511556E+01          5.10654904E+03          9.75513224E+01
      34000.0000          1.01221266E+02          5.24692357E+03          9.93055090E+01
      35000.0000          1.02971044E+02          5.38652719E+03          1.01039531E+02
      36000.0000          1.04701136E+02          5.52536557E+03          1.02754032E+02
      37000.0000          1.06412149E+02          5.66344428E+03          1.04449614E+02
      38000.0000          1.08104654E+02          5.80076889E+03          1.06126846E+02
      39000.0000          1.09779190E+02          5.93734487E+03          1.07786264E+02
      40000.0000          1.11436264E+02          6.07317767E+03          1.09428371E+02
      41000.0000          1.13076358E+02          6.20827269E+03          1.11053646E+02
      42000.0000          1.14699926E+02          6.34263525E+03          1.12662542E+02
      43000.0000          1.16307400E+02          6.47627067E+03          1.14255485E+02
      44000.0000          1.17899190E+02          6.60918418E+03          1.15832883E+02
      45000.0000          1.19475686E+02          6.74138097E+03          1.17395124E+02
      46000.0000          1.21037258E+02          6.87286621E+03          1.18942574E+02
      47000.0000          1.22584259E+02          7.00364498E+03          1.20475584E+02
      48000.0000          1.24117026E+02          7.13372236E+03          1.21994489E+02
      49000.0000          1.25635882E+02          7.26310335E+03          1.23499608E+02
      50000.0000          1.27141134E+02          7.39179292E+03          1.24991246E+02
      80728.9990          1.67967240E+02          1.10337731E+04          1.65448614E+02
      80729.0010          1.67967242E+02          1.10337733E+04          1.65448617E+02
