#Energy      C   H   N   O  Total
        830.0000          7.00464551E+01          3.26038576E+02          1.19869189E+02          2.10516986E+02          3.28558291E+01
        840.0000          7.08392887E+01          3.29929603E+02          1.21204125E+02          2.12819845E+02          3.32261634E+01
        850.0000          7.16319203E+01          3.33820378E+02          1.22538639E+02          2.15121821E+02          3.35963932E+01
        860.0000          7.24243524E+01          3.37710901E+02          1.23872736E+02          2.17422928E+02          3.39665198E+01
        870.0000          7.32165875E+01          3.41601172E+02          1.25206421E+02          2.19723175E+02          3.43365445E+01
        880.0000          7.40086280E+01          3.45491192E+02          1.26539699E+02          2.22022575E+02          3.47064685E+01
        890.0000          7.48004760E+01          3.49380962E+02          1.27872575E+02          2.24321136E+02          3.50762932E+01
        900.0000          7.55921339E+01          3.53270481E+02          1.29205055E+02          2.26618870E+02          3.54460197E+01
        910.0000          7.63836039E+01          3.57159751E+02          1.30537143E+02          2.28915787E+02          3.58156492E+01
        920.0000          7.71748880E+01          3.61048771E+02          1.31868843E+02          2.31211897E+02          3.61851828E+01
        930.0000          7.79659884E+01          3.64937541E+02          1.33200160E+02          2.33507209E+02          3.65546216E+01
        940.0000          7.87569072E+01          3.68826063E+02          1.34531099E+02          2.35801733E+02          3.69239668E+01
        950.0000          7.95476462E+01          3.72714337E+02          1.35861664E+02          2.38095478E+02          3.72932194E+01
        960.0000          8.03382074E+01          3.76602362E+02          1.37191859E+02          2.40388453E+02          3.76623804E+01
        970.0000          8.11285927E+01          3.80490139E+02          1.38521688E+02          2.42680666E+02          3.80314509E+01
        980.0000          8.19188040E+01          3.84377669E+02          1.39851156E+02          2.44972128E+02          3.84004319E+01
        990.0000          8.27088431E+01          3.88264952E+02          1.41180265E+02          2.47262844E+02          3.87693242E+01
       1000.0000          8.34987117E+01          3.92151988E+02          1.42509021E+02          2.49552826E+02          3.91381289E+01
       1100.0000          9.13883837E+01          4.31008833E+02          1.55777901E+02          2.72413857E+02          4.28215482E+01
       1200.0000          9.92626896E+01          4.69841285E+02          1.69015070E+02          2.95209196E+02          4.64971002E+01
       1300.0000          1.07122878E+02          5.08649560E+02          1.82223274E+02          3.17944759E+02          5.01654512E+01
       1400.0000          1.14969979E+02          5.47433840E+02          1.95404782E+02          3.40625449E+02          5.38271492E+01
       1500.0000          1.22804851E+02          5.86194276E+02          2.08561495E+02          3.63255387E+02          5.74826521E+01
       1600.0000          1.30628223E+02          6.24930998E+02          2.21695025E+02          3.85838068E+02          6.11323465E+01
       1700.0000          1.38440716E+02          6.63644121E+02          2.34806750E+02          4.08376493E+02          6.47765628E+01
       1800.0000          1.46242866E+02          7.02333743E+02          2.47897860E+02          4.30873256E+02          6.84155858E+01
       1900.0000          1.54035139E+02          7.40999953E+02          2.60969394E+02          4.53330618E+02          7.20496630E+01
