#Energy      Pb   W   O  Total
         69.0000          2.20757377E+03          1.58636811E+03          6.29388490E+00          6.25126054E+00
         70.0000          2.17730090E+03          1.56485379E+03          6.33861604E+00          6.29479271E+00
         71.0000          2.14788156E+03          1.54394655E+03          6.38347884E+00          6.33843470E+00
         72.0000          2.11928026E+03          1.52362112E+03          6.42846713E+00          6.38218019E+00
         73.0000          2.09146341E+03          1.50385365E+03          6.47357508E+00          6.42602319E+00
         74.0000          2.06439927E+03          1.48462154E+03          6.51879716E+00          6.46995802E+00
         75.0000          2.03805777E+03          1.46590343E+03          6.56412816E+00          6.51397933E+00
         76.0000          2.01241042E+03          1.44767905E+03          6.60956313E+00          6.55808200E+00
         77.0000          1.98743023E+03          1.42992921E+03          6.65509739E+00          6.60226122E+00
         78.0000          1.96309157E+03          1.41263568E+03          6.70072649E+00          6.64651238E+00
         79.0000          1.93937011E+03          1.39578116E+03          6.74644624E+00          6.69083115E+00
         79.9990          1.91626558E+03          1.37936545E+03          6.79220677E+00          6.73516895E+00
         80.0000          1.91624274E+03          1.37934923E+03          6.79225262E+00          6.73521336E+00
         80.0010          1.91621990E+03          1.37933300E+03          6.79229847E+00          6.73525778E+00
         81.0000          1.89368749E+03          1.36332424E+03          6.83814185E+00          6.77965509E+00
         82.0000          1.87168346E+03          1.34769135E+03          6.88411032E+00          6.82415258E+00
         83.0000          1.85021076E+03          1.33243640E+03          6.93015459E+00          6.86870225E+00
         84.0000          1.82925043E+03          1.31754592E+03          6.97627142E+00          6.91330071E+00
         85.0000          1.80878441E+03          1.30300706E+03          7.02245768E+00          6.95794471E+00
         86.0000          1.78879550E+03          1.28880757E+03          7.06871043E+00          7.00263116E+00
         87.0000          1.76926725E+03          1.27493579E+03          7.11502686E+00          7.04735709E+00
         88.0000          1.75018399E+03          1.26138054E+03          7.16140426E+00          7.09211968E+00
         89.0000          1.73153074E+03          1.24813118E+03          7.20784010E+00          7.13691625E+00
         89.9990          1.71331122E+03          1.23519034E+03          7.25428539E+00          7.18169936E+00
         90.0000          1.71329319E+03          1.23517753E+03          7.25433191E+00          7.18174420E+00
         90.0010          1.71327515E+03          1.23516472E+03          7.25437843E+00          7.18178904E+00
         91.0000          1.69545764E+03          1.22250986E+03          7.30087738E+00          7.22660108E+00
         92.0000          1.67801102E+03          1.21011885E+03          7.34747427E+00          7.27148452E+00
         93.0000          1.66094078E+03          1.19799559E+03          7.39412047E+00          7.31639226E+00
         94.0000          1.64423494E+03          1.18613156E+03          7.44081393E+00          7.36132215E+00
         95.0000          1.62788201E+03          1.17451858E+03          7.48755271E+00          7.40627210E+00
         96.0000          1.61187096E+03          1.16314881E+03          7.53433496E+00          7.45124013E+00
         97.0000          1.59619124E+03          1.15201474E+03          7.58115890E+00          7.49622433E+00
         98.0000          1.58083273E+03          1.14110918E+03          7.62802282E+00          7.54122287E+00
         99.0000          1.56578569E+03          1.13042521E+03          7.67492510E+00          7.58623399E+00
        100.0000          1.55104081E+03          1.11995618E+03          7.72186417E+00          7.63125600E+00
        110.0000          1.41839944E+03          1.02580016E+03          8.19297784E+00          8.08174771E+00
        110.9990          1.40646800E+03          1.01733265E+03          8.24018790E+00          8.12675003E+00
        111.0010          1.40644433E+03          1.01731585E+03          8.24028244E+00          8.12684012E+00
        120.0000          1.30797460E+03          9.47449690E+02          8.66645329E+00          8.53187999E+00
        130.0000          1.21464471E+03          8.81261432E+02          9.14147024E+00          8.98072241E+00
        140.0000          1.13475001E+03          8.24631756E+02          9.61746297E+00          9.42760848E+00
        143.9990          1.10593456E+03          8.04215570E+02          9.80799223E+00          9.60565642E+00
        144.0010          1.10592055E+03          8.04205647E+02          9.80808754E+00          9.60574536E+00
        147.9990          1.07868565E+03          7.84913937E+02          9.99864050E+00          9.78333092E+00
        148.0010          1.07867240E+03          7.84904551E+02          9.99873584E+00          9.78341964E+00
        150.0000          1.06560567E+03          7.75650504E+02          1.00940336E+01          9.87204855E+00
        152.9990          1.04664998E+03          7.62227907E+02          1.02370249E+01          1.00048019E+01
        153.0010          1.04663759E+03          7.62219134E+02          1.02371203E+01          1.00048904E+01
        160.0000          1.00519737E+03          7.32884498E+02          1.05708977E+01          1.03136753E+01
        170.0000          9.51984296E+02          6.95237394E+02          1.10478497E+01          1.07522088E+01
        180.0000          9.04767688E+02          6.61856210E+02          1.15247398E+01          1.11874327E+01
        190.0000          8.62600926E+02          6.32067350E+02          1.20014581E+01          1.16191787E+01
        200.0000          8.24726539E+02          6.05331804E+02          1.24779239E+01          1.20473151E+01
        210.0000          7.90531214E+02          5.81213131E+02          1.29540780E+01          1.24717391E+01
        220.0000          7.59513055E+02          5.59354176E+02          1.34298773E+01          1.28923707E+01
        230.0000          7.31257387E+02          5.39459848E+02          1.39052909E+01          1.33091487E+01
        240.0000          7.05418601E+02          5.21284202E+02          1.43802971E+01          1.37220271E+01
        247.9990          6.86293350E+02          5.07842795E+02          1.47599510E+01          1.40494589E+01
        248.0010          6.86288727E+02          5.07839547E+02          1.47600459E+01          1.40495404E+01
        250.0000          6.81706346E+02          5.04620621E+02          1.48548809E+01          1.41309730E+01
        260.0000          6.59874916E+02          4.89294256E+02          1.53290330E+01          1.45359642E+01
        260.9990          6.57788962E+02          4.87830693E+02          1.53763768E+01          1.45762050E+01
        261.0010          6.57784802E+02          4.87827775E+02          1.53764716E+01          1.45762856E+01
        270.0000          6.39714990E+02          4.75156153E+02          1.58027480E+01          1.49369882E+01
        280.0000          6.21047132E+02          4.62078628E+02          1.62760239E+01          1.53340403E+01
        290.0000          6.03716653E+02          4.49951606E+02          1.67488609E+01          1.57271230E+01
        300.0000          5.87589479E+02          4.38679686E+02          1.72212612E+01          1.61162452E+01
        310.0000          5.72548836E+02          4.28179779E+02          1.76932284E+01          1.65014211E+01
        320.0000          5.58492543E+02          4.18379181E+02          1.81647672E+01          1.68826697E+01
        330.0000          5.45330807E+02          4.09214005E+02          1.86358832E+01          1.72600147E+01
        340.0000          5.32984398E+02          4.00627882E+02          1.91065825E+01          1.76334832E+01
        350.0000          5.21383145E+02          3.92570889E+02          1.95768715E+01          1.80031061E+01
        360.0000          5.10464673E+02          3.84998655E+02          2.00467573E+01          1.83689172E+01
        370.0000          5.00173355E+02          3.77871607E+02          2.05162469E+01          1.87309530E+01
        380.0000          4.90459424E+02          3.71154345E+02          2.09853475E+01          1.90892525E+01
        390.0000          4.81278219E+02          3.64815101E+02          2.14540663E+01          1.94438569E+01
        400.0000          4.72589548E+02          3.58825289E+02          2.19224106E+01          1.97948093E+01
        410.0000          4.64357144E+02          3.53159117E+02          2.23903875E+01          2.01421542E+01
        418.9990          4.57311672E+02          3.48317469E+02          2.28112118E+01          2.04516842E+01
        419.0010          4.57310143E+02          3.48316419E+02          2.28113053E+01          2.04517527E+01
        420.0000          4.56548198E+02          3.47793253E+02          2.28580042E+01          2.04859379E+01
        427.9990          4.50586574E+02          3.43702998E+02          2.32317963E+01          2.07583987E+01
        428.0010          4.50585114E+02          3.43701997E+02          2.32318897E+01          2.07584665E+01
        430.0000          4.49132958E+02          3.42706537E+02          2.33252678E+01          2.08262078E+01
        440.0000          4.42084376E+02          3.37879740E+02          2.37921851E+01          2.11630123E+01
        440.9990          4.41399400E+02          3.37411135E+02          2.38388113E+01          2.11964706E+01
        441.0010          4.41398032E+02          3.37410200E+02          2.38389047E+01          2.11965376E+01
        450.0000          4.35377816E+02          3.33295343E+02          2.42587629E+01          2.14964010E+01
        460.0000          4.28990784E+02          3.28937355E+02          2.47250078E+01          2.18264238E+01
        470.0000          4.22902707E+02          3.24791151E+02          2.51909265E+01          2.21531317E+01
        480.0000          4.17094726E+02          3.20843325E+02          2.56565250E+01          2.24765758E+01
        490.0000          4.11549528E+02          3.17081570E+02          2.61218098E+01          2.27968079E+01
        494.9990          4.08870974E+02          3.15267255E+02          2.63542899E+01          2.29557039E+01
        495.0010          4.08869914E+02          3.15266537E+02          2.63543829E+01          2.29557673E+01
        500.0000          4.06251185E+02          3.13494567E+02          2.65867868E+01          2.31138798E+01
        510.0000          4.01185022E+02          3.10071887E+02          2.70514618E+01          2.34278434E+01
        520.0000          3.96337498E+02          3.06803907E+02          2.75158405E+01          2.37387510E+01
        530.0000          3.91696092E+02          3.03681732E+02          2.79799286E+01          2.40466546E+01
        537.9990          3.88123996E+02          3.01283713E+02          2.83509470E+01          2.42908191E+01
        538.0010          3.88123118E+02          3.01283124E+02          2.83510398E+01          2.42908799E+01
        540.0000          3.87249217E+02          3.00697129E+02          2.84437314E+01          2.43516061E+01
        550.0000          3.82986129E+02          2.97842465E+02          2.89072542E+01          2.46536573E+01
        560.0000          3.78896854E+02          2.95110657E+02          2.93705020E+01          2.49528598E+01
        570.0000          3.74972121E+02          2.92495118E+02          2.98334798E+01          2.52492646E+01
        580.0000          3.71203300E+02          2.89989721E+02          3.02961925E+01          2.55429227E+01
        590.0000          3.67582348E+02          2.87588754E+02          3.07586448E+01          2.58338845E+01
        598.9990          3.64444049E+02          2.85512987E+02          3.11745866E+01          2.60934573E+01
        599.0010          3.64443364E+02          2.85512534E+02          3.11746790E+01          2.60935148E+01
        600.0000          3.64101760E+02          2.85286889E+02          3.12208411E+01          2.61221999E+01
        610.0000          3.60754526E+02          2.83079148E+02          3.16827859E+01          2.64079184E+01
        620.0000          3.57534090E+02          2.80960878E+02          3.21444835E+01          2.66910890E+01
        630.0000          3.54434312E+02          2.78927721E+02          3.26059381E+01          2.69717599E+01
        640.0000          3.51449439E+02          2.76975595E+02          3.30671537E+01          2.72499790E+01
        650.0000          3.48574075E+02          2.75100669E+02          3.35281342E+01          2.75257933E+01
        650.9990          3.48292645E+02          2.74917465E+02          3.35741734E+01          2.75532168E+01
        651.0010          3.48292083E+02          2.74917099E+02          3.35742656E+01          2.75532717E+01
        660.0000          3.45803150E+02          2.73299347E+02          3.39888836E+01          2.77992494E+01
        670.0000          3.43131900E+02          2.71568249E+02          3.44494055E+01          2.80703930E+01
        680.0000          3.40555842E+02          2.69904195E+02          3.49097036E+01          2.83392693E+01
        690.0000          3.38070754E+02          2.68304190E+02          3.53697814E+01          2.86059227E+01
        700.0000          3.35672657E+02          2.66765413E+02          3.58296423E+01          2.88703970E+01
        710.0000          3.33357797E+02          2.65285203E+02          3.62892897E+01          2.91327350E+01
        720.0000          3.31122631E+02          2.63861046E+02          3.67487267E+01          2.93929792E+01
        730.0000          3.28963809E+02          2.62490569E+02          3.72079567E+01          2.96511711E+01
        740.0000          3.26878166E+02          2.61171527E+02          3.76669825E+01          2.99073515E+01
        750.0000          3.24862706E+02          2.59901798E+02          3.81258074E+01          3.01615604E+01
        760.0000          3.22914590E+02          2.58679371E+02          3.85844340E+01          3.04138373E+01
        768.9990          3.21216826E+02          2.57618168E+02          3.89969851E+01          3.06392415E+01
        769.0010          3.21216454E+02          2.57617937E+02          3.89970768E+01          3.06392914E+01
        770.0000          3.21031130E+02          2.57502340E+02          3.90428654E+01          3.06642206E+01
        780.0000          3.19209774E+02          2.56368899E+02          3.95011042E+01          3.09127484E+01
        790.0000          3.17448104E+02          2.55277333E+02          3.99591532E+01          3.11594577E+01
        800.0000          3.15743820E+02          2.54226016E+02          4.04170150E+01          3.14043849E+01
        810.0000          3.14094739E+02          2.53213400E+02          4.08746922E+01          3.16475657E+01
        820.0000          3.12498785E+02          2.52238016E+02          4.13321872E+01          3.18890351E+01
        830.0000          3.10953981E+02          2.51298465E+02          4.17895025E+01          3.21288274E+01
        840.0000          3.09458446E+02          2.50393417E+02          4.22466404E+01          3.23669762E+01
        850.0000          3.08010391E+02          2.49521603E+02          4.27036034E+01          3.26035142E+01
        860.0000          3.06608106E+02          2.48681815E+02          4.31603936E+01          3.28384736E+01
        870.0000          3.05249964E+02          2.47872902E+02          4.36170133E+01          3.30718860E+01
        880.0000          3.03934411E+02          2.47093766E+02          4.40734645E+01          3.33037822E+01
        890.0000          3.02659965E+02          2.46343356E+02          4.45297495E+01          3.35341923E+01
        898.9990          3.01547059E+02          2.45691792E+02          4.49402200E+01          3.37402924E+01
        899.0010          3.01546815E+02          2.45691650E+02          4.49403112E+01          3.37403381E+01
        900.0000          3.01425209E+02          2.45620672E+02          4.49858703E+01          3.37631459E+01
        910.0000          3.00228788E+02          2.44924758E+02          4.54418289E+01          3.39906718E+01
        920.0000          2.99069411E+02          2.44254698E+02          4.58976272E+01          3.42167983E+01
        930.0000          2.97945837E+02          2.43609617E+02          4.63532671E+01          3.44415530E+01
        940.0000          2.96856884E+02          2.42988679E+02          4.68087506E+01          3.46649630E+01
        950.0000          2.95801416E+02          2.42391082E+02          4.72640794E+01          3.48870546E+01
        960.0000          2.94778347E+02          2.41816059E+02          4.77192554E+01          3.51078537E+01
        970.0000          2.93786636E+02          2.41262875E+02          4.81742803E+01          3.53273855E+01
        980.0000          2.92825286E+02          2.40730825E+02          4.86291558E+01          3.55456747E+01
        990.0000          2.91893338E+02          2.40219234E+02          4.90838836E+01          3.57627456E+01
       1000.0000          2.90989875E+02          2.39727453E+02          4.95384653E+01          3.59786215E+01
       1100.0000          2.83343977E+02          2.35773715E+02          5.40765842E+01          3.80764880E+01
       1200.0000          2.77762085E+02          2.33248009E+02          5.86016628E+01          4.00771925E+01
       1300.0000          2.73744845E+02          2.31799001E+02          6.31148751E+01          4.19969645E+01
       1400.0000          2.70937790E+02          2.31177850E+02          6.76171948E+01          4.38486951E+01
       1500.0000          2.69082710E+02          2.31203722E+02          7.21094395E+01          4.56426570E+01
       1600.0000          2.67987329E+02          2.31742305E+02          7.65923035E+01          4.73870772E+01
       1700.0000          2.67505725E+02          2.32691944E+02          8.10663822E+01          4.90885851E+01
       1800.0000          2.67525311E+02          2.33974436E+02          8.55321905E+01          5.07525592E+01
       1810.9990          2.67554083E+02          2.34133060E+02          8.60228998E+01          5.09334853E+01
       1811.0010          2.67554088E+02          2.34133089E+02          8.60229890E+01          5.09335182E+01
       1873.9990          2.67809897E+02          2.35101346E+02          8.88317860E+01          5.19623356E+01
       1874.0010          2.67809908E+02          2.35101378E+02          8.88318751E+01          5.19623680E+01
       1900.0000          2.67957953E+02          2.35528751E+02          8.99901776E+01          5.23833952E+01
       2000.0000          2.68733771E+02          2.37306657E+02          9.44407377E+01          5.39847126E+01
       2100.0000          2.69796719E+02          2.39269606E+02          9.88842191E+01          5.55595150E+01
       2200.0000          2.71101388E+02          2.41386478E+02          1.03320932E+02          5.71103143E+01
       2282.9990          2.72341012E+02          2.43242051E+02          1.06998418E+02          5.83807596E+01
       2283.0010          2.72341043E+02          2.43242097E+02          1.06998506E+02          5.83807900E+01
       2300.0000          2.72610646E+02          2.43631926E+02          1.07751153E+02          5.86392267E+01
       2400.0000          2.74293877E+02          2.45985134E+02          1.12175130E+02          6.01480491E+01
       2489.9990          2.75936403E+02          2.48180839E+02          1.16151513E+02          6.14900722E+01
       2490.0010          2.75936440E+02          2.48180888E+02          1.16151601E+02          6.14901019E+01
       2500.0000          2.76125648E+02          2.48428884E+02          1.16593088E+02          6.16383183E+01
       2576.9990          2.77623799E+02          2.50363138E+02          1.19990899E+02          6.27740073E+01
       2577.0010          2.77623839E+02          2.50363189E+02          1.19990987E+02          6.27740367E+01
       2591.9990          2.77923697E+02          2.50744710E+02          1.20652424E+02          6.29941062E+01
       2592.0010          2.77923738E+02          2.50744761E+02          1.20652513E+02          6.29941355E+01
       2600.0000          2.78084683E+02          2.50948841E+02          1.21005230E+02          6.31113580E+01
       2700.0000          2.80153075E+02          2.53532993E+02          1.25411742E+02          6.45683168E+01
       2800.0000          2.82315664E+02          2.56171225E+02          1.29812790E+02          6.60101974E+01
       2822.9990          2.82824965E+02          2.56784714E+02          1.30824232E+02          6.63397777E+01
       2823.0010          2.82825010E+02          2.56784767E+02          1.30824319E+02          6.63398063E+01
       2900.0000          2.84559549E+02          2.58854974E+02          1.34208531E+02          6.74378813E+01
       3000.0000          2.86873696E+02          2.61576956E+02          1.38599106E+02          6.88521480E+01
       3071.9990          2.88577990E+02          2.63556903E+02          1.41757150E+02          6.98624906E+01
       3072.0010          2.88578038E+02          2.63556958E+02          1.41757238E+02          6.98625186E+01
       3100.0000          2.89248627E+02          2.64330954E+02          1.42984645E+02          7.02536912E+01
       3200.0000          2.91676169E+02          2.67111637E+02          1.47365269E+02          7.16431314E+01
       3300.0000          2.94149242E+02          2.69914421E+02          1.51741090E+02          7.30210266E+01
       3400.0000          2.96661697E+02          2.72735349E+02          1.56112212E+02          7.43878815E+01
       3500.0000          2.99208171E+02          2.75570999E+02          1.60478731E+02          7.57441544E+01
       3559.9990          3.00750385E+02          2.77278174E+02          1.63096427E+02          7.65530008E+01
       3560.0010          3.00750437E+02          2.77278231E+02          1.63096514E+02          7.65530277E+01
       3600.0000          3.01783979E+02          2.78418400E+02          1.64840737E+02          7.70902635E+01
       3700.0000          3.04385008E+02          2.81274971E+02          1.69198315E+02          7.84265922E+01
       3800.0000          3.07007645E+02          2.84138461E+02          1.73551544E+02          7.97534929E+01
       3856.9990          3.08510954E+02          2.85772953E+02          1.76030922E+02          8.05057205E+01
       3857.0010          3.08511007E+02          2.85773011E+02          1.76031009E+02          8.05057468E+01
       3900.0000          3.09648706E+02          2.87006905E+02          1.77900496E+02          8.10712914E+01
       4000.0000          3.12305379E+02          2.89878585E+02          1.82245242E+02          8.23802893E+01
       4100.0000          3.14975175E+02          2.92751999E+02          1.86585846E+02          8.36807672E+01
       4200.0000          3.17655887E+02          2.95625826E+02          1.90922371E+02          8.49729867E+01
       4300.0000          3.20345555E+02          2.98498911E+02          1.95254875E+02          8.62571926E+01
       4400.0000          3.23042436E+02          3.01370237E+02          1.99583412E+02          8.75336143E+01
       4500.0000          3.25744977E+02          3.04238911E+02          2.03908035E+02          8.88024675E+01
       4600.0000          3.28451792E+02          3.07104151E+02          2.08228792E+02          9.00639555E+01
       4700.0000          3.31161646E+02          3.09965266E+02          2.12545731E+02          9.13182703E+01
       4800.0000          3.33873430E+02          3.12821653E+02          2.16858896E+02          9.25655936E+01
       4900.0000          3.36586158E+02          3.15672779E+02          2.21168329E+02          9.38060975E+01
       5000.0000          3.39298942E+02          3.18518178E+02          2.25474071E+02          9.50399457E+01
       5100.0000          3.42010989E+02          3.21357444E+02          2.29776159E+02          9.62672937E+01
       5200.0000          3.44721587E+02          3.24190218E+02          2.34074632E+02          9.74882899E+01
       5300.0000          3.47430101E+02          3.27016191E+02          2.38369524E+02          9.87030757E+01
       5400.0000          3.50135956E+02          3.29835092E+02          2.42660867E+02          9.99117864E+01
       5500.0000          3.52838641E+02          3.32646685E+02          2.46948695E+02          1.01114551E+02
       5600.0000          3.55537695E+02          3.35450768E+02          2.51233039E+02          1.02311494E+02
       5700.0000          3.58232707E+02          3.38247168E+02          2.55513926E+02          1.03502734E+02
       5800.0000          3.60923308E+02          3.41035736E+02          2.59791387E+02          1.04688385E+02
       5900.0000          3.63609166E+02          3.43816346E+02          2.64065448E+02          1.05868557E+02
       6000.0000          3.66289986E+02          3.46588894E+02          2.68336135E+02          1.07043354E+02
       6100.0000          3.68965504E+02          3.49353293E+02          2.72603473E+02          1.08212879E+02
       6200.0000          3.71635484E+02          3.52109471E+02          2.76867487E+02          1.09377230E+02
       6300.0000          3.74299716E+02          3.54857374E+02          2.81128200E+02          1.10536501E+02
       6400.0000          3.76958013E+02          3.57596958E+02          2.85385634E+02          1.11690782E+02
       6500.0000          3.79610211E+02          3.60328192E+02          2.89639811E+02          1.12840162E+02
       6600.0000          3.82256163E+02          3.63051055E+02          2.93890752E+02          1.13984726E+02
       6700.0000          3.84895740E+02          3.65765537E+02          2.98138477E+02          1.15124556E+02
       6800.0000          3.87528830E+02          3.68471634E+02          3.02383006E+02          1.16259732E+02
       6900.0000          3.90155334E+02          3.71169351E+02          3.06624357E+02          1.17390330E+02
       7000.0000          3.92775167E+02          3.73858700E+02          3.10862550E+02          1.18516426E+02
       7100.0000          3.95388255E+02          3.76539697E+02          3.15097601E+02          1.19638091E+02
       7200.0000          3.97994536E+02          3.79212367E+02          3.19329529E+02          1.20755396E+02
       7300.0000          4.00593957E+02          3.81876736E+02          3.23558349E+02          1.21868409E+02
       7400.0000          4.03186474E+02          3.84532836E+02          3.27784077E+02          1.22977196E+02
       7500.0000          4.05772052E+02          3.87180704E+02          3.32006730E+02          1.24081821E+02
