#Energy      Ti  Total
        464.9990          1.06315131E+01          1.06315131E+01
        465.0010          1.06315355E+01          1.06315355E+01
        470.0000          1.06874955E+01          1.06874955E+01
        480.0000          1.07996163E+01          1.07996163E+01
        490.0000          1.09119501E+01          1.09119501E+01
        500.0000          1.10244696E+01          1.10244696E+01
        510.0000          1.11371499E+01          1.11371499E+01
        520.0000          1.12499685E+01          1.12499685E+01
        530.0000          1.13629048E+01          1.13629048E+01
        540.0000          1.14759401E+01          1.14759401E+01
        550.0000          1.15890574E+01          1.15890574E+01
        560.0000          1.17022410E+01          1.17022410E+01
        566.9990          1.17814900E+01          1.17814900E+01
        567.0010          1.17815127E+01          1.17815127E+01
        570.0000          1.18154768E+01          1.18154768E+01
        580.0000          1.19287517E+01          1.19287517E+01
        590.0000          1.20420539E+01          1.20420539E+01
        600.0000          1.21553725E+01          1.21553725E+01
        610.0000          1.22686976E+01          1.22686976E+01
        620.0000          1.23820200E+01          1.23820200E+01
        630.0000          1.24953313E+01          1.24953313E+01
        640.0000          1.26086240E+01          1.26086240E+01
        650.0000          1.27218909E+01          1.27218909E+01
        660.0000          1.28351257E+01          1.28351257E+01
        670.0000          1.29483225E+01          1.29483225E+01
        680.0000          1.30614758E+01          1.30614758E+01
        690.0000          1.31745808E+01          1.31745808E+01
        700.0000          1.32876328E+01          1.32876328E+01
        710.0000          1.34006276E+01          1.34006276E+01
        720.0000          1.35135616E+01          1.35135616E+01
        730.0000          1.36264312E+01          1.36264312E+01
        740.0000          1.37392331E+01          1.37392331E+01
        750.0000          1.38519645E+01          1.38519645E+01
        760.0000          1.39646228E+01          1.39646228E+01
        770.0000          1.40772054E+01          1.40772054E+01
        780.0000          1.41897102E+01          1.41897102E+01
        790.0000          1.43021351E+01          1.43021351E+01
        800.0000          1.44144783E+01          1.44144783E+01
        810.0000          1.45267382E+01          1.45267382E+01
        820.0000          1.46389132E+01          1.46389132E+01
        830.0000          1.47510020E+01          1.47510020E+01
        840.0000          1.48630034E+01          1.48630034E+01
        850.0000          1.49749163E+01          1.49749163E+01
        860.0000          1.50867396E+01          1.50867396E+01
        870.0000          1.51984725E+01          1.51984725E+01
        880.0000          1.53101143E+01          1.53101143E+01
        890.0000          1.54216643E+01          1.54216643E+01
        900.0000          1.55331218E+01          1.55331218E+01
        910.0000          1.56444864E+01          1.56444864E+01
        920.0000          1.57557576E+01          1.57557576E+01
        930.0000          1.58669350E+01          1.58669350E+01
        940.0000          1.59780184E+01          1.59780184E+01
        950.0000          1.60890075E+01          1.60890075E+01
        960.0000          1.61999021E+01          1.61999021E+01
        970.0000          1.63107021E+01          1.63107021E+01
        980.0000          1.64214073E+01          1.64214073E+01
        990.0000          1.65320178E+01          1.65320178E+01
       1000.0000          1.66425335E+01          1.66425335E+01
       1100.0000          1.77425012E+01          1.77425012E+01
       1200.0000          1.88331996E+01          1.88331996E+01
       1300.0000          1.99149827E+01          1.99149827E+01
       1400.0000          2.09882788E+01          2.09882788E+01
       1500.0000          2.20535372E+01          2.20535372E+01
       1600.0000          2.31112011E+01          2.31112011E+01
       1700.0000          2.41616938E+01          2.41616938E+01
       1800.0000          2.52054130E+01          2.52054130E+01
       1900.0000          2.62427286E+01          2.62427286E+01
       2000.0000          2.72739827E+01          2.72739827E+01
       2100.0000          2.82994909E+01          2.82994909E+01
       2200.0000          2.93195440E+01          2.93195440E+01
       2300.0000          3.03344097E+01          3.03344097E+01
       2400.0000          3.13443349E+01          3.13443349E+01
       2500.0000          3.23495475E+01          3.23495475E+01
       2600.0000          3.33502578E+01          3.33502578E+01
       2700.0000          3.43466604E+01          3.43466604E+01
       2800.0000          3.53389357E+01          3.53389357E+01
       2900.0000          3.63272510E+01          3.63272510E+01
       3000.0000          3.73117618E+01          3.73117618E+01
       3100.0000          3.82926130E+01          3.82926130E+01
       3200.0000          3.92699397E+01          3.92699397E+01
       3300.0000          4.02438680E+01          4.02438680E+01
       3400.0000          4.12145158E+01          4.12145158E+01
       3500.0000          4.21819938E+01          4.21819938E+01
       3600.0000          4.31464056E+01          4.31464056E+01
       3700.0000          4.41078488E+01          4.41078488E+01
       3800.0000          4.50664149E+01          4.50664149E+01
       3900.0000          4.60221905E+01          4.60221905E+01
       4000.0000          4.69752570E+01          4.69752570E+01
       4100.0000          4.79256914E+01          4.79256914E+01
       4200.0000          4.88735665E+01          4.88735665E+01
       4300.0000          4.98189511E+01          4.98189511E+01
       4400.0000          5.07619107E+01          5.07619107E+01
       4500.0000          5.17025071E+01          5.17025071E+01
       4600.0000          5.26407993E+01          5.26407993E+01
       4700.0000          5.35768432E+01          5.35768432E+01
       4800.0000          5.45106921E+01          5.45106921E+01
       4900.0000          5.54423966E+01          5.54423966E+01
       4969.9990          5.60933307E+01          5.60933307E+01
       4970.0010          5.60933493E+01          5.60933493E+01
       5000.0000          5.63720053E+01          5.63720053E+01
       5100.0000          5.72995642E+01          5.72995642E+01
       5200.0000          5.82251174E+01          5.82251174E+01
       5300.0000          5.91487071E+01          5.91487071E+01
       5400.0000          6.00703735E+01          6.00703735E+01
       5500.0000          6.09901554E+01          6.09901554E+01
       5600.0000          6.19080896E+01          6.19080896E+01
       5700.0000          6.28242116E+01          6.28242116E+01
       5800.0000          6.37385554E+01          6.37385554E+01
       5900.0000          6.46511538E+01          6.46511538E+01
       6000.0000          6.55620380E+01          6.55620380E+01
       6100.0000          6.64712382E+01          6.64712382E+01
       6200.0000          6.73787835E+01          6.73787835E+01
       6300.0000          6.82847017E+01          6.82847017E+01
       6400.0000          6.91890199E+01          6.91890199E+01
       6500.0000          7.00917638E+01          7.00917638E+01
       6600.0000          7.09929584E+01          7.09929584E+01
       6700.0000          7.18926280E+01          7.18926280E+01
       6800.0000          7.27907957E+01          7.27907957E+01
       6900.0000          7.36874841E+01          7.36874841E+01
       7000.0000          7.45827148E+01          7.45827148E+01
       7100.0000          7.54765088E+01          7.54765088E+01
       7200.0000          7.63688864E+01          7.63688864E+01
       7300.0000          7.72598673E+01          7.72598673E+01
       7400.0000          7.81494704E+01          7.81494704E+01
       7500.0000          7.90377143E+01          7.90377143E+01
       7600.0000          7.99246166E+01          7.99246166E+01
       7700.0000          8.08101947E+01          8.08101947E+01
       7800.0000          8.16944654E+01          8.16944654E+01
       7900.0000          8.25774448E+01          8.25774448E+01
       8000.0000          8.34591489E+01          8.34591489E+01
       8100.0000          8.43395928E+01          8.43395928E+01
       8200.0000          8.52187916E+01          8.52187916E+01
       8300.0000          8.60967595E+01          8.60967595E+01
       8400.0000          8.69735107E+01          8.69735107E+01
       8500.0000          8.78490587E+01          8.78490587E+01
       8600.0000          8.87234170E+01          8.87234170E+01
       8700.0000          8.95965983E+01          8.95965983E+01
       8800.0000          9.04686153E+01          9.04686153E+01
       8900.0000          9.13394802E+01          9.13394802E+01
       9000.0000          9.22092048E+01          9.22092048E+01
       9100.0000          9.30778009E+01          9.30778009E+01
       9200.0000          9.39452796E+01          9.39452796E+01
       9300.0000          9.48116520E+01          9.48116520E+01
       9400.0000          9.56769289E+01          9.56769289E+01
       9500.0000          9.65411206E+01          9.65411206E+01
       9600.0000          9.74042375E+01          9.74042375E+01
       9700.0000          9.82662895E+01          9.82662895E+01
       9800.0000          9.91272863E+01          9.91272863E+01
       9900.0000          9.99872374E+01          9.99872374E+01
      10000.0000          1.00846152E+02          1.00846152E+02
      11000.0000          1.09380190E+02          1.09380190E+02
      12000.0000          1.17819376E+02          1.17819376E+02
      13000.0000          1.26170228E+02          1.26170228E+02
      14000.0000          1.34438114E+02          1.34438114E+02
      15000.0000          1.42627536E+02          1.42627536E+02
      16000.0000          1.50742320E+02          1.50742320E+02
      17000.0000          1.58785760E+02          1.58785760E+02
      18000.0000          1.66760723E+02          1.66760723E+02
      19000.0000          1.74669731E+02          1.74669731E+02
      20000.0000          1.82515018E+02          1.82515018E+02
      21000.0000          1.90298584E+02          1.90298584E+02
      22000.0000          1.98022228E+02          1.98022228E+02
      23000.0000          2.05687582E+02          2.05687582E+02
      24000.0000          2.13296134E+02          2.13296134E+02
      25000.0000          2.20849247E+02          2.20849247E+02
      26000.0000          2.28348179E+02          2.28348179E+02
      27000.0000          2.35794093E+02          2.35794093E+02
      28000.0000          2.43188070E+02          2.43188070E+02
      29000.0000          2.50531121E+02          2.50531121E+02
      30000.0000          2.57824192E+02          2.57824192E+02
      31000.0000          2.65068170E+02          2.65068170E+02
      32000.0000          2.72263896E+02          2.72263896E+02
      33000.0000          2.79412161E+02          2.79412161E+02
      34000.0000          2.86513716E+02          2.86513716E+02
      35000.0000          2.93569277E+02          2.93569277E+02
      36000.0000          3.00579525E+02          3.00579525E+02
      37000.0000          3.07545108E+02          3.07545108E+02
      38000.0000          3.14466649E+02          3.14466649E+02
      39000.0000          3.21344745E+02          3.21344745E+02
