#Energy      Fe   O  Total
      15000.0000          1.59233722E+02          3.57833228E+02          1.10196788E+02
      16000.0000          1.67981749E+02          3.80200501E+02          1.16506409E+02
      17000.0000          1.76643861E+02          4.02430457E+02          1.22759493E+02
      18000.0000          1.85224035E+02          4.24525095E+02          1.28958366E+02
      19000.0000          1.93725755E+02          4.46486262E+02          1.35105068E+02
      20000.0000          2.02152101E+02          4.68315677E+02          1.41201414E+02
      21000.0000          2.10505814E+02          4.90014955E+02          1.47249021E+02
      22000.0000          2.18789355E+02          5.11585622E+02          1.53249347E+02
      23000.0000          2.27004944E+02          5.33029125E+02          1.59203714E+02
      24000.0000          2.35154596E+02          5.54346845E+02          1.65113326E+02
      25000.0000          2.43240152E+02          5.75540107E+02          1.70979285E+02
      26000.0000          2.51263298E+02          5.96610182E+02          1.76802607E+02
      27000.0000          2.59225591E+02          6.17558296E+02          1.82584234E+02
      28000.0000          2.67128470E+02          6.38385636E+02          1.88325038E+02
      29000.0000          2.74973272E+02          6.59093350E+02          1.94025834E+02
      30000.0000          2.82761243E+02          6.79682556E+02          1.99687384E+02
      31000.0000          2.90493550E+02          7.00154340E+02          2.05310405E+02
      32000.0000          2.98171287E+02          7.20509761E+02          2.10895572E+02
      33000.0000          3.05795484E+02          7.40749852E+02          2.16443523E+02
      34000.0000          3.13367114E+02          7.60875624E+02          2.21954862E+02
      35000.0000          3.20887096E+02          7.80888066E+02          2.27430162E+02
      36000.0000          3.28356303E+02          8.00788145E+02          2.32869971E+02
      37000.0000          3.35775565E+02          8.20576813E+02          2.38274810E+02
      38000.0000          3.43145671E+02          8.40255000E+02          2.43645177E+02
      39000.0000          3.50467376E+02          8.59823623E+02          2.48981550E+02
      40000.0000          3.57741400E+02          8.79283580E+02          2.54284387E+02
      41000.0000          3.64968436E+02          8.98635757E+02          2.59554130E+02
      42000.0000          3.72149145E+02          9.17881024E+02          2.64791201E+02
      43000.0000          3.79284165E+02          9.37020237E+02          2.69996011E+02
      44000.0000          3.86374108E+02          9.56054242E+02          2.75168954E+02
      45000.0000          3.93419567E+02          9.74983870E+02          2.80310412E+02
      46000.0000          4.00421110E+02          9.93809940E+02          2.85420755E+02
      47000.0000          4.07379289E+02          1.01253326E+03          2.90500341E+02
      48000.0000          4.14294637E+02          1.03115463E+03          2.95549517E+02
      49000.0000          4.21167670E+02          1.04967484E+03          3.00568622E+02
      50000.0000          4.27998888E+02          1.06809466E+03          3.05557983E+02
