#Energy      K   Ta   O  Total
         25.0000          5.12458799E+01          2.91725135E+03          4.53402582E+00          4.15954177E+00
         26.0000          4.99465857E+01          2.80738861E+03          4.54588502E+00          4.16048214E+00
         27.0000          4.87471730E+01          2.70564846E+03          4.56038171E+00          4.16383011E+00
         27.9990          4.76381627E+01          2.61125305E+03          4.57722328E+00          4.16931423E+00
         28.0000          4.76370941E+01          2.61116193E+03          4.57724123E+00          4.16932072E+00
         28.0010          4.76360255E+01          2.61107082E+03          4.57725919E+00          4.16932720E+00
         29.0000          4.66072401E+01          2.52317980E+03          4.59622558E+00          4.17672482E+00
         29.9990          4.56506268E+01          2.44113202E+03          4.61710566E+00          4.18583336E+00
         30.0000          4.56497030E+01          2.44105262E+03          4.61712745E+00          4.18584327E+00
         30.0010          4.56487793E+01          2.44097323E+03          4.61714925E+00          4.18585319E+00
         31.0000          4.47575834E+01          2.36421469E+03          4.63976548E+00          4.19650221E+00
         32.0000          4.39248345E+01          2.29217090E+03          4.66398023E+00          4.20854920E+00
         33.0000          4.31461340E+01          2.22448614E+03          4.68963100E+00          4.22185007E+00
         34.0000          4.24167786E+01          2.16077641E+03          4.71659316E+00          4.23628630E+00
         35.0000          4.17325962E+01          2.10070153E+03          4.74475588E+00          4.25175283E+00
         36.0000          4.10898729E+01          2.04395911E+03          4.77402028E+00          4.26815622E+00
         36.9990          4.04858781E+01          1.99033162E+03          4.80426712E+00          4.28539547E+00
         37.0000          4.04852916E+01          1.99027939E+03          4.80429788E+00          4.28541313E+00
         37.0010          4.04847050E+01          1.99022716E+03          4.80432864E+00          4.28543079E+00
         37.9990          3.99164330E+01          1.93947051E+03          4.83547758E+00          4.30343061E+00
         38.0000          3.99158802E+01          1.93942098E+03          4.83550924E+00          4.30344901E+00
         38.0010          3.99153275E+01          1.93937146E+03          4.83554089E+00          4.30346742E+00
         39.0000          3.93789681E+01          1.89116723E+03          4.86758284E+00          4.32219702E+00
         40.0000          3.88721485E+01          1.84532312E+03          4.90045414E+00          4.34159703E+00
         41.0000          3.83932465E+01          1.80171263E+03          4.93406471E+00          4.36159486E+00
         42.0000          3.79402922E+01          1.76017649E+03          4.96836155E+00          4.38214159E+00
         43.0000          3.75114966E+01          1.72057022E+03          5.00329648E+00          4.40319290E+00
         44.0000          3.71052314E+01          1.68276248E+03          5.03882558E+00          4.42470863E+00
         45.0000          3.67200116E+01          1.64663357E+03          5.07490874E+00          4.44665226E+00
         46.0000          3.63544796E+01          1.61207419E+03          5.11150929E+00          4.46899056E+00
         46.9990          3.60077303E+01          1.57901672E+03          5.14855626E+00          4.49167032E+00
         47.0000          3.60073920E+01          1.57898434E+03          5.14859357E+00          4.49169320E+00
         47.0010          3.60070538E+01          1.57895195E+03          5.14863089E+00          4.49171608E+00
         48.0000          3.56776080E+01          1.54727232E+03          5.18613071E+00          4.51473251E+00
         49.0000          3.53640786E+01          1.51685394E+03          5.22409227E+00          4.53808314E+00
         50.0000          3.50658380E+01          1.48765171E+03          5.26245208E+00          4.56172190E+00
         51.0000          3.47819952E+01          1.45959422E+03          5.30118595E+00          4.58562748E+00
         52.0000          3.45117268E+01          1.43261554E+03          5.34027155E+00          4.60978031E+00
         53.0000          3.42542710E+01          1.40665472E+03          5.37968819E+00          4.63416241E+00
         54.0000          3.40089219E+01          1.38165532E+03          5.41941669E+00          4.65875718E+00
         55.0000          3.37750241E+01          1.35756498E+03          5.45943926E+00          4.68354933E+00
         56.0000          3.35519687E+01          1.33433508E+03          5.49973933E+00          4.70852474E+00
         57.0000          3.33391889E+01          1.31192044E+03          5.54030153E+00          4.73367037E+00
         58.0000          3.31361567E+01          1.29027895E+03          5.58111149E+00          4.75897413E+00
         59.0000          3.29423795E+01          1.26937137E+03          5.62215583E+00          4.78442485E+00
         60.0000          3.27573971E+01          1.24916107E+03          5.66342205E+00          4.81001215E+00
         61.0000          3.25807792E+01          1.22961382E+03          5.70489847E+00          4.83572641E+00
         62.0000          3.24121229E+01          1.21069760E+03          5.74657413E+00          4.86155869E+00
         63.0000          3.22510508E+01          1.19238240E+03          5.78843880E+00          4.88750067E+00
         64.0000          3.20972087E+01          1.17464011E+03          5.83048287E+00          4.91354464E+00
         65.0000          3.19502638E+01          1.15744434E+03          5.87269730E+00          4.93968337E+00
         66.0000          3.18099037E+01          1.14077028E+03          5.91507364E+00          4.96591018E+00
         67.0000          3.16758342E+01          1.12459461E+03          5.95760390E+00          4.99221878E+00
         68.0000          3.15477781E+01          1.10889539E+03          6.00028060E+00          5.01860335E+00
         69.0000          3.14254744E+01          1.09365195E+03          6.04309666E+00          5.04505843E+00
         70.0000          3.13086767E+01          1.07884477E+03          6.08604542E+00          5.07157891E+00
         71.0000          3.11971524E+01          1.06445546E+03          6.12912060E+00          5.09816002E+00
         72.0000          3.10906817E+01          1.05046664E+03          6.17231628E+00          5.12479731E+00
         73.0000          3.09890567E+01          1.03686188E+03          6.21562684E+00          5.15148658E+00
         73.9990          3.08921754E+01          1.02363870E+03          6.25900351E+00          5.17819716E+00
         74.0000          3.08920807E+01          1.02362564E+03          6.25904699E+00          5.17822392E+00
         74.0010          3.08919860E+01          1.02361258E+03          6.25909046E+00          5.17825068E+00
         75.0000          3.07995673E+01          1.01074320E+03          6.30257171E+00          5.20500566E+00
         76.0000          3.07113400E+01          9.98200617E+02          6.34619626E+00          5.23182835E+00
         77.0000          3.06272311E+01          9.85984678E+02          6.38991615E+00          5.25868874E+00
         78.0000          3.05470817E+01          9.74082840E+02          6.43372710E+00          5.28558382E+00
         79.0000          3.04707407E+01          9.62483194E+02          6.47762508E+00          5.31251070E+00
         80.0000          3.03980647E+01          9.51174430E+02          6.52160625E+00          5.33946673E+00
         81.0000          3.03289171E+01          9.40145790E+02          6.56566696E+00          5.36644935E+00
         82.0000          3.02631680E+01          9.29387046E+02          6.60980375E+00          5.39345620E+00
         83.0000          3.02006937E+01          9.18888457E+02          6.65401333E+00          5.42048505E+00
         84.0000          3.01413765E+01          9.08640748E+02          6.69829257E+00          5.44753377E+00
         85.0000          3.00851039E+01          8.98635079E+02          6.74263848E+00          5.47460039E+00
         86.0000          3.00317688E+01          8.88863022E+02          6.78704823E+00          5.50168302E+00
         87.0000          2.99812690E+01          8.79316534E+02          6.83151911E+00          5.52877991E+00
         88.0000          2.99335067E+01          8.69987938E+02          6.87604855E+00          5.55588938E+00
         89.0000          2.98883889E+01          8.60869901E+02          6.92063408E+00          5.58300986E+00
         90.0000          2.98458262E+01          8.51955416E+02          6.96527337E+00          5.61013986E+00
         91.0000          2.98057334E+01          8.43237783E+02          7.00996417E+00          5.63727797E+00
         92.0000          2.97680290E+01          8.34710594E+02          7.05470435E+00          5.66442287E+00
         93.0000          2.97326348E+01          8.26367715E+02          7.09949187E+00          5.69157330E+00
         94.0000          2.96994761E+01          8.18203273E+02          7.14432476E+00          5.71872808E+00
         95.0000          2.96684811E+01          8.10211642E+02          7.18920118E+00          5.74588607E+00
         96.0000          2.96395813E+01          8.02387431E+02          7.23411932E+00          5.77304622E+00
         97.0000          2.96127107E+01          7.94725469E+02          7.27907750E+00          5.80020751E+00
         98.0000          2.95878062E+01          7.87220797E+02          7.32407407E+00          5.82736901E+00
         99.0000          2.95648070E+01          7.79868656E+02          7.36910746E+00          5.85452979E+00
        100.0000          2.95436550E+01          7.72664477E+02          7.41417618E+00          5.88168900E+00
        110.0000          2.94224256E+01          7.07874056E+02          7.86651770E+00          6.15303538E+00
        120.0000          2.94359730E+01          6.53963588E+02          8.32112689E+00          6.42354797E+00
        130.0000          2.95523138E+01          6.08425160E+02          8.77721615E+00          6.69284794E+00
        140.0000          2.97486080E+01          5.69466531E+02          9.23424232E+00          6.96070369E+00
        150.0000          3.00081247E+01          5.35772806E+02          9.69182331E+00          7.22697235E+00
        160.0000          3.03183395E+01          5.06357424E+02          1.01496861E+01          7.49156597E+00
        170.0000          3.06697002E+01          4.80465687E+02          1.06076334E+01          7.75443149E+00
        180.0000          3.10548023E+01          4.57510417E+02          1.10655212E+01          8.01553853E+00
        190.0000          3.14678239E+01          4.37027923E+02          1.15232440E+01          8.27487179E+00
        200.0000          3.19041290E+01          4.18647156E+02          1.19807244E+01          8.53242619E+00
        210.0000          3.23599848E+01          4.02067677E+02          1.24379054E+01          8.78820375E+00
        220.0000          3.28323551E+01          3.87043625E+02          1.28947459E+01          9.04221151E+00
        230.0000          3.33187481E+01          3.73371862E+02          1.33512161E+01          9.29446014E+00
        231.9990          3.34174719E+01          3.70785654E+02          1.34424181E+01          9.34467481E+00
        232.0010          3.34175709E+01          3.70783090E+02          1.34425093E+01          9.34472501E+00
        240.0000          3.38171020E+01          3.60883083E+02          1.38072949E+01          9.54496299E+00
        244.9990          3.40701649E+01          3.55038102E+02          1.40351374E+01          9.66953960E+00
        245.0010          3.40702666E+01          3.55035813E+02          1.40352286E+01          9.66958935E+00
        250.0000          3.43256982E+01          3.49435054E+02          1.42629683E+01          9.79373539E+00
        260.0000          3.48430943E+01          3.38907414E+02          1.47182272E+01          1.00407942E+01
        270.0000          3.53680726E+01          3.29197623E+02          1.51730665E+01          1.02861575E+01
        280.0000          3.58995990E+01          3.20217786E+02          1.56274840E+01          1.05298443E+01
        290.0000          3.64367906E+01          3.11892131E+02          1.60814802E+01          1.07718742E+01
        295.9990          3.67614513E+01          3.07183825E+02          1.63536311E+01          1.09162813E+01
        296.0010          3.67615598E+01          3.07182289E+02          1.63537218E+01          1.09163293E+01
        298.9990          3.69244248E+01          3.04904660E+02          1.64896728E+01          1.09882774E+01
        299.0010          3.69245336E+01          3.04903156E+02          1.64897635E+01          1.09883253E+01
        300.0000          3.69788907E+01          3.04154986E+02          1.65350571E+01          1.10122676E+01
        310.0000          3.75252472E+01          2.96949154E+02          1.69882181E+01          1.12510453E+01
        320.0000          3.80752960E+01          2.90224587E+02          1.74409678E+01          1.14882283E+01
        330.0000          3.86285478E+01          2.83937309E+02          1.78933116E+01          1.17238382E+01
        340.0000          3.91845760E+01          2.78048518E+02          1.83452552E+01          1.19578966E+01
        350.0000          3.97430080E+01          2.72523847E+02          1.87968049E+01          1.21904252E+01
        360.0000          4.03035171E+01          2.67332755E+02          1.92479675E+01          1.24214461E+01
        370.0000          4.08658163E+01          2.62448002E+02          1.96987497E+01          1.26509813E+01
        380.0000          4.14296525E+01          2.57845220E+02          2.01491583E+01          1.28790528E+01
        380.9990          4.14860553E+01          2.57400033E+02          2.01941339E+01          1.29017576E+01
        381.0010          4.14861683E+01          2.57399144E+02          2.01942239E+01          1.29018030E+01
        390.0000          4.19948023E+01          2.53502543E+02          2.05992004E+01          1.31056827E+01
        400.0000          4.25610680E+01          2.49400294E+02          2.10488828E+01          1.33308931E+01
        406.9990          4.29579664E+01          2.46662582E+02          2.13634054E+01          1.34876851E+01
        407.0010          4.29580799E+01          2.46661814E+02          2.13634952E+01          1.34877298E+01
        410.0000          4.31282741E+01          2.45520721E+02          2.14982126E+01          1.35547058E+01
        420.0000          4.36962649E+01          2.41847761E+02          2.19471965E+01          1.37771429E+01
        430.0000          4.42649015E+01          2.38366853E+02          2.23958413E+01          1.39982261E+01
        440.0000          4.48340603E+01          2.35064760E+02          2.28441537E+01          1.42179770E+01
        450.0000          4.54036310E+01          2.31929425E+02          2.32921401E+01          1.44364172E+01
        460.0000          4.59735148E+01          2.28949841E+02          2.37398069E+01          1.46535680E+01
        468.9990          4.64865478E+01          2.26393322E+02          2.41423942E+01          1.48478974E+01
        469.0010          4.64866618E+01          2.26392767E+02          2.41424837E+01          1.48479404E+01
        470.0000          4.65436234E+01          2.26115941E+02          2.41871604E+01          1.48694507E+01
        480.0000          4.71138778E+01          2.23418500E+02          2.46342066E+01          1.50840861E+01
        490.0000          4.76842071E+01          2.20849046E+02          2.50809514E+01          1.52974951E+01
        500.0000          4.82545476E+01          2.18399791E+02          2.55274007E+01          1.55096982E+01
        510.0000          4.88248422E+01          2.16063555E+02          2.59735601E+01          1.57207157E+01
        520.0000          4.93950396E+01          2.13833716E+02          2.64194351E+01          1.59305678E+01
        530.0000          4.99650938E+01          2.11704153E+02          2.68650310E+01          1.61392742E+01
        537.9990          5.04209490E+01          2.10069080E+02          2.72212657E+01          1.63054069E+01
        538.0010          5.04210629E+01          2.10068678E+02          2.72213547E+01          1.63054483E+01
        540.0000          5.05349632E+01          2.09669199E+02          2.73103529E+01          1.63468545E+01
        550.0000          5.11046108E+01          2.07723602E+02          2.77554060E+01          1.65533281E+01
        560.0000          5.16740030E+01          2.05862487E+02          2.82001951E+01          1.67587139E+01
        569.9990          5.22430529E+01          2.04081496E+02          2.86446806E+01          1.69630104E+01
        570.0000          5.22431098E+01          2.04081322E+02          2.86447250E+01          1.69630308E+01
        570.0010          5.22431667E+01          2.04081147E+02          2.86447694E+01          1.69630512E+01
        580.0000          5.28119041E+01          2.02375889E+02          2.90890003E+01          1.71662973E+01
        590.0000          5.33803619E+01          2.00742258E+02          2.95330255E+01          1.73685315E+01
        600.0000          5.39484613E+01          1.99176762E+02          2.99768050E+01          1.75697515E+01
        610.0000          5.45161829E+01          1.97675977E+02          3.04203430E+01          1.77699748E+01
        620.0000          5.50835092E+01          1.96236701E+02          3.08636436E+01          1.79692188E+01
        630.0000          5.56504248E+01          1.94855934E+02          3.13067109E+01          1.81675007E+01
        640.0000          5.62169158E+01          1.93530867E+02          3.17495488E+01          1.83648371E+01
        650.0000          5.67829698E+01          1.92258866E+02          3.21921610E+01          1.85612446E+01
        660.0000          5.73485759E+01          1.91037456E+02          3.26345512E+01          1.87567394E+01
        670.0000          5.79137244E+01          1.89864310E+02          3.30767230E+01          1.89513374E+01
        680.0000          5.84784069E+01          1.88737241E+02          3.35186799E+01          1.91450543E+01
        690.0000          5.90426157E+01          1.87654190E+02          3.39604253E+01          1.93379054E+01
        700.0000          5.96063445E+01          1.86613213E+02          3.44019624E+01          1.95299057E+01
        710.0000          6.01695875E+01          1.85612481E+02          3.48432945E+01          1.97210702E+01
        720.0000          6.07323400E+01          1.84650265E+02          3.52844247E+01          1.99114133E+01
        730.0000          6.12945978E+01          1.83724931E+02          3.57253560E+01          2.01009492E+01
        740.0000          6.18563573E+01          1.82834936E+02          3.61660913E+01          2.02896919E+01
        750.0000          6.24176159E+01          1.81978819E+02          3.66066337E+01          2.04776551E+01
        760.0000          6.29783712E+01          1.81155197E+02          3.70469857E+01          2.06648523E+01
        770.0000          6.35386213E+01          1.80362759E+02          3.74871503E+01          2.08512966E+01
        780.0000          6.40983649E+01          1.79600263E+02          3.79271300E+01          2.10370009E+01
        790.0000          6.46576012E+01          1.78866529E+02          3.83669274E+01          2.12219779E+01
        800.0000          6.52163295E+01          1.78160438E+02          3.88065451E+01          2.14062400E+01
        810.0000          6.57745497E+01          1.77480926E+02          3.92459855E+01          2.15897993E+01
        820.0000          6.63322619E+01          1.76826982E+02          3.96852510E+01          2.17726678E+01
        830.0000          6.68894665E+01          1.76197644E+02          4.01243439E+01          2.19548571E+01
        840.0000          6.74461643E+01          1.75591997E+02          4.05632666E+01          2.21363787E+01
        850.0000          6.80023561E+01          1.75009169E+02          4.10020213E+01          2.23172437E+01
        860.0000          6.85580431E+01          1.74448329E+02          4.14406101E+01          2.24974632E+01
        870.0000          6.91132267E+01          1.73908685E+02          4.18790351E+01          2.26770479E+01
        880.0000          6.96679084E+01          1.73389481E+02          4.23172985E+01          2.28560083E+01
        890.0000          7.02220898E+01          1.72889996E+02          4.27554022E+01          2.30343547E+01
        900.0000          7.07757729E+01          1.72409542E+02          4.31933482E+01          2.32120972E+01
        910.0000          7.13289597E+01          1.71947460E+02          4.36311385E+01          2.33892457E+01
        920.0000          7.18816522E+01          1.71503122E+02          4.40687749E+01          2.35658099E+01
        930.0000          7.24338526E+01          1.71075926E+02          4.45062593E+01          2.37417992E+01
        940.0000          7.29855634E+01          1.70665296E+02          4.49435934E+01          2.39172230E+01
        950.0000          7.35367868E+01          1.70270682E+02          4.53807791E+01          2.40920904E+01
        960.0000          7.40875255E+01          1.69891555E+02          4.58178180E+01          2.42664102E+01
        970.0000          7.46377819E+01          1.69527411E+02          4.62547118E+01          2.44401911E+01
        980.0000          7.51875588E+01          1.69177765E+02          4.66914622E+01          2.46134417E+01
        990.0000          7.57368587E+01          1.68842153E+02          4.71280707E+01          2.47861704E+01
       1000.0000          7.62856845E+01          1.68520128E+02          4.75645390E+01          2.49583854E+01
       1100.0000          8.17484915E+01          1.65960943E+02          5.19218305E+01          2.66539600E+01
       1200.0000          8.71670844E+01          1.64380429E+02          5.62666013E+01          2.83059975E+01
       1300.0000          9.25443992E+01          1.63537168E+02          6.05999786E+01          2.99203239E+01
       1400.0000          9.78832375E+01          1.63260225E+02          6.49228974E+01          3.15016880E+01
       1500.0000          1.03186196E+02          1.63425433E+02          6.92361426E+01          3.30539822E+01
       1600.0000          1.08455646E+02          1.63940601E+02          7.35403809E+01          3.45804176E+01
       1700.0000          1.13693741E+02          1.64735988E+02          7.78361839E+01          3.60836624E+01
       1736.9990          1.15624234E+02          1.65090147E+02          7.94235514E+01          3.66344295E+01
       1737.0010          1.15624338E+02          1.65090167E+02          7.94236372E+01          3.66344591E+01
       1795.9990          1.18694571E+02          1.65713281E+02          8.19526358E+01          3.75070215E+01
       1796.0010          1.18694675E+02          1.65713303E+02          8.19527214E+01          3.75070509E+01
       1800.0000          1.18902429E+02          1.65757965E+02          8.21240462E+01          3.75659499E+01
       1900.0000          1.24083470E+02          1.66964700E+02          8.64043988E+01          3.90291636E+01
       2000.0000          1.29238458E+02          1.68323153E+02          9.06776204E+01          4.04749039E+01
       2100.0000          1.34368837E+02          1.69806928E+02          9.49440454E+01          4.19045405E+01
       2196.9990          1.39322983E+02          1.71345742E+02          9.90762229E+01          4.32770061E+01
       2197.0010          1.39323085E+02          1.71345775E+02          9.90763081E+01          4.32770342E+01
       2200.0000          1.39475919E+02          1.71394733E+02          9.92039713E+01          4.33192546E+01
       2300.0000          1.44560899E+02          1.73069232E+02          1.03457664E+02          4.47200713E+01
       2400.0000          1.49624865E+02          1.74816202E+02          1.07705362E+02          4.61078868E+01
       2471.9990          1.53258422E+02          1.76112192E+02          1.10760072E+02          4.70994959E+01
       2472.0010          1.53258523E+02          1.76112229E+02          1.10760157E+02          4.70995233E+01
       2500.0000          1.54668815E+02          1.76623884E+02          1.11947281E+02          4.74834889E+01
       2600.0000          1.59693662E+02          1.78482494E+02          1.16183615E+02          4.88475751E+01
       2700.0000          1.64700246E+02          1.80383843E+02          1.20414543E+02          5.02007659E+01
       2711.9990          1.65299797E+02          1.80614519E+02          1.20921857E+02          5.03624302E+01
       2712.0010          1.65299897E+02          1.80614557E+02          1.20921942E+02          5.03624571E+01
       2800.0000          1.69689342E+02          1.82321040E+02          1.24640226E+02          5.15436166E+01
       2900.0000          1.74661663E+02          1.84288254E+02          1.28860813E+02          5.28766265E+01
       3000.0000          1.79617870E+02          1.86280535E+02          1.33076439E+02          5.42002471E+01
       3100.0000          1.84558578E+02          1.88293656E+02          1.37287231E+02          5.55148881E+01
       3200.0000          1.89484355E+02          1.90324002E+02          1.41493303E+02          5.68209230E+01
       3300.0000          1.94395732E+02          1.92368463E+02          1.45694764E+02          5.81186940E+01
       3400.0000          1.99293205E+02          1.94424362E+02          1.49891712E+02          5.94085152E+01
       3500.0000          2.04177234E+02          1.96489384E+02          1.54084242E+02          6.06906763E+01
       3600.0000          2.09048254E+02          1.98561524E+02          1.58272438E+02          6.19654456E+01
       3609.9990          2.09534608E+02          1.98769040E+02          1.58690981E+02          6.20925130E+01
       3610.0010          2.09534705E+02          1.98769081E+02          1.58691064E+02          6.20925384E+01
       3700.0000          2.13906669E+02          2.00639040E+02          1.62456383E+02          6.32330716E+01
       3800.0000          2.18752861E+02          2.02720418E+02          1.66636151E+02          6.44937860E+01
       3900.0000          2.23587188E+02          2.04804337E+02          1.70811813E+02          6.57478047E+01
       4000.0000          2.28409987E+02          2.06889645E+02          1.74983437E+02          6.69953299E+01
       4100.0000          2.33221577E+02          2.08975336E+02          1.79151084E+02          6.82365510E+01
       4200.0000          2.38022257E+02          2.11060527E+02          1.83314815E+02          6.94716463E+01
       4300.0000          2.42812311E+02          2.13144449E+02          1.87474684E+02          7.07007835E+01
       4400.0000          2.47592010E+02          2.15226426E+02          1.91630745E+02          7.19241210E+01
       4500.0000          2.52361606E+02          2.17305865E+02          1.95783047E+02          7.31418084E+01
       4600.0000          2.57121343E+02          2.19382250E+02          1.99931638E+02          7.43539874E+01
       4700.0000          2.61871449E+02          2.21455126E+02          2.04076562E+02          7.55607927E+01
       4800.0000          2.66612144E+02          2.23524095E+02          2.08217863E+02          7.67623518E+01
       4900.0000          2.71343633E+02          2.25588811E+02          2.12355581E+02          7.79587865E+01
       5000.0000          2.76066117E+02          2.27648970E+02          2.16489755E+02          7.91502125E+01
       5100.0000          2.80779783E+02          2.29704308E+02          2.20620422E+02          8.03367403E+01
       5200.0000          2.85484811E+02          2.31754596E+02          2.24747616E+02          8.15184755E+01
       5300.0000          2.90181373E+02          2.33799635E+02          2.28871372E+02          8.26955190E+01
       5400.0000          2.94869635E+02          2.35839252E+02          2.32991721E+02          8.38679674E+01
       5500.0000          2.99549752E+02          2.37873300E+02          2.37108695E+02          8.50359134E+01
       5600.0000          3.04221877E+02          2.39901654E+02          2.41222323E+02          8.61994457E+01
       5700.0000          3.08886153E+02          2.41924205E+02          2.45332633E+02          8.73586498E+01
       5800.0000          3.13542719E+02          2.43940865E+02          2.49439652E+02          8.85136074E+01
       5900.0000          3.18191708E+02          2.45951557E+02          2.53543408E+02          8.96643976E+01
       6000.0000          3.22833247E+02          2.47956222E+02          2.57643923E+02          9.08110962E+01
       6100.0000          3.27467459E+02          2.49954810E+02          2.61741224E+02          9.19537764E+01
       6200.0000          3.32094462E+02          2.51947283E+02          2.65835332E+02          9.30925087E+01
       6300.0000          3.36714369E+02          2.53933612E+02          2.69926271E+02          9.42273611E+01
       6400.0000          3.41327290E+02          2.55913777E+02          2.74014062E+02          9.53583993E+01
       6500.0000          3.45933330E+02          2.57887766E+02          2.78098726E+02          9.64856868E+01
       6600.0000          3.50532591E+02          2.59855574E+02          2.82180282E+02          9.76092849E+01
       6700.0000          3.55125169E+02          2.61817202E+02          2.86258751E+02          9.87292531E+01
       6800.0000          3.59711160E+02          2.63772655E+02          2.90334151E+02          9.98456487E+01
       6900.0000          3.64290655E+02          2.65721946E+02          2.94406501E+02          1.00958527E+02
       7000.0000          3.68863741E+02          2.67665089E+02          2.98475817E+02          1.02067943E+02
       7100.0000          3.73430505E+02          2.69602104E+02          3.02542117E+02          1.03173948E+02
       7200.0000          3.77991027E+02          2.71533014E+02          3.06605417E+02          1.04276593E+02
       7300.0000          3.82545388E+02          2.73457844E+02          3.10665734E+02          1.05375927E+02
       7400.0000          3.87093665E+02          2.75376625E+02          3.14723083E+02          1.06471998E+02
       7500.0000          3.91635932E+02          2.77289385E+02          3.18777479E+02          1.07564853E+02
       7600.0000          3.96172262E+02          2.79196159E+02          3.22828936E+02          1.08654536E+02
       7700.0000          4.00702725E+02          2.81096982E+02          3.26877469E+02          1.09741091E+02
       7800.0000          4.05227388E+02          2.82991890E+02          3.30923092E+02          1.10824560E+02
       7900.0000          4.09746317E+02          2.84880921E+02          3.34965817E+02          1.11904987E+02
       8000.0000          4.14259577E+02          2.86764115E+02          3.39005659E+02          1.12982409E+02
       8100.0000          4.18767229E+02          2.88641512E+02          3.43042630E+02          1.14056868E+02
       8200.0000          4.23269334E+02          2.90513153E+02          3.47076741E+02          1.15128401E+02
       8300.0000          4.27765949E+02          2.92379080E+02          3.51108006E+02          1.16197046E+02
       8400.0000          4.32257133E+02          2.94239336E+02          3.55136436E+02          1.17262838E+02
       8500.0000          4.36742940E+02          2.96093964E+02          3.59162042E+02          1.18325814E+02
       8600.0000          4.41223423E+02          2.97943008E+02          3.63184836E+02          1.19386008E+02
       8700.0000          4.45698636E+02          2.99786511E+02          3.67204829E+02          1.20443453E+02
       8800.0000          4.50168629E+02          3.01624518E+02          3.71222030E+02          1.21498183E+02
       8900.0000          4.54633452E+02          3.03457073E+02          3.75236451E+02          1.22550229E+02
       9000.0000          4.59093152E+02          3.05284220E+02          3.79248102E+02          1.23599623E+02
       9100.0000          4.63547777E+02          3.07106004E+02          3.83256992E+02          1.24646396E+02
       9200.0000          4.67997373E+02          3.08922470E+02          3.87263132E+02          1.25690577E+02
       9300.0000          4.72441985E+02          3.10733661E+02          3.91266531E+02          1.26732196E+02
       9400.0000          4.76881655E+02          3.12539623E+02          3.95267197E+02          1.27771282E+02
       9500.0000          4.81316426E+02          3.14340399E+02          3.99265141E+02          1.28807862E+02
