#Energy      Cr  Total
        820.0000          9.89970625E+00          9.89970625E+00
        830.0000          9.97066776E+00          9.97066776E+00
        840.0000          1.00415885E+01          1.00415885E+01
        850.0000          1.01124669E+01          1.01124669E+01
        860.0000          1.01833015E+01          1.01833015E+01
        870.0000          1.02540911E+01          1.02540911E+01
        880.0000          1.03248343E+01          1.03248343E+01
        890.0000          1.03955302E+01          1.03955302E+01
        900.0000          1.04661777E+01          1.04661777E+01
        910.0000          1.05367757E+01          1.05367757E+01
        920.0000          1.06073236E+01          1.06073236E+01
        930.0000          1.06778204E+01          1.06778204E+01
        940.0000          1.07482654E+01          1.07482654E+01
        950.0000          1.08186580E+01          1.08186580E+01
        960.0000          1.08889977E+01          1.08889977E+01
        970.0000          1.09592837E+01          1.09592837E+01
        980.0000          1.10295158E+01          1.10295158E+01
        990.0000          1.10996933E+01          1.10996933E+01
       1000.0000          1.11698159E+01          1.11698159E+01
       1100.0000          1.18679638E+01          1.18679638E+01
       1200.0000          1.25604352E+01          1.25604352E+01
       1300.0000          1.32472682E+01          1.32472682E+01
       1400.0000          1.39286156E+01          1.39286156E+01
       1500.0000          1.46046868E+01          1.46046868E+01
       1600.0000          1.52757149E+01          1.52757149E+01
       1700.0000          1.59419387E+01          1.59419387E+01
       1800.0000          1.66035933E+01          1.66035933E+01
       1900.0000          1.72609044E+01          1.72609044E+01
       2000.0000          1.79140855E+01          1.79140855E+01
       2100.0000          1.85633377E+01          1.85633377E+01
       2200.0000          1.92088485E+01          1.92088485E+01
       2300.0000          1.98507930E+01          1.98507930E+01
       2400.0000          2.04893340E+01          2.04893340E+01
       2500.0000          2.11246228E+01          2.11246228E+01
       2600.0000          2.17568004E+01          2.17568004E+01
       2700.0000          2.23859978E+01          2.23859978E+01
       2800.0000          2.30123370E+01          2.30123370E+01
       2900.0000          2.36359319E+01          2.36359319E+01
       3000.0000          2.42568887E+01          2.42568887E+01
       3100.0000          2.48753065E+01          2.48753065E+01
       3200.0000          2.54912781E+01          2.54912781E+01
       3300.0000          2.61048905E+01          2.61048905E+01
       3400.0000          2.67162251E+01          2.67162251E+01
       3500.0000          2.73253586E+01          2.73253586E+01
       3600.0000          2.79323629E+01          2.79323629E+01
       3700.0000          2.85373057E+01          2.85373057E+01
