#Energy      Cr-K-shell   Cr-L1-shell   Cr-L2-shell   Cr-L3-shell   Cr-M1-shell   Cr-M2-shell   Cr-M3-shell   Valence  Total
         60.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.02238146E+03          8.35204698E+02          9.67273528E+00          9.51699799E+00
         61.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.77730466E+03          7.42146690E+02          9.39072076E+00          9.22524620E+00
         62.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.57894673E+03          6.65582233E+02          9.11918958E+00          8.94497229E+00
         63.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.41577864E+03          6.01687992E+02          8.85854491E+00          8.67651310E+00
         64.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.27954125E+03          5.47721875E+02          8.60913324E+00          8.42013183E+00
         65.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.16452005E+03          5.01654412E+02          8.37122546E+00          8.17601653E+00
         66.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.06634973E+03          4.61958330E+02          8.14500194E+00          7.94425326E+00
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.81752152E+02          4.27470573E+02          7.93054284E+00          7.72482908E+00
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.08261209E+02          3.97283326E+02          7.72782432E+00          7.51763103E+00
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.43946749E+02          3.70684499E+02          7.53672054E+00          7.32244935E+00
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.87272300E+02          3.47098241E+02          7.35701087E+00          7.13898140E+00
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.37025259E+02          3.26073090E+02          7.18839098E+00          6.96685485E+00
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.92238973E+02          3.07233003E+02          7.03048654E+00          6.80563256E+00
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.52113256E+02          2.90275539E+02          6.88286815E+00          6.65483226E+00
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.15999908E+02          2.74945449E+02          6.74506627E+00          6.51393766E+00
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.83355524E+02          2.61036634E+02          6.61658522E+00          6.38241672E+00
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53732530E+02          2.48364762E+02          6.49691585E+00          6.25972415E+00
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.26755076E+02          2.36785932E+02          6.38554590E+00          6.14532509E+00
         78.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.02103866E+02          2.26172573E+02          6.28196893E+00          6.03869174E+00
         79.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.79504227E+02          2.16411652E+02          6.18569102E+00          5.93930966E+00
         79.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.58747895E+02          2.07423217E+02          6.09632203E+00          5.84678259E+00
         80.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.06449012E+09          4.58727664E+02          2.07414293E+02          6.09623583E+00          5.84669292E+00
         80.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.06471651E+09          4.58707233E+02          2.07405481E+02          6.09614963E+00          5.84660332E+00
         81.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.53690935E+05          4.39575959E+02          1.99097907E+02          6.01314814E+00          5.76028104E+00
         82.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.24931088E+05          4.21874202E+02          1.91393308E+02          5.93599617E+00          5.67965789E+00
         83.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.77559023E+04          4.05476370E+02          1.84239327E+02          5.86437284E+00          5.60444076E+00
         84.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.38239787E+04          3.90251340E+02          1.77582060E+02          5.79789620E+00          5.53425410E+00
         85.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.12295588E+04          3.76084379E+02          1.71375642E+02          5.73620935E+00          5.46874564E+00
         86.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.36635620E+04          3.62876119E+02          1.65577879E+02          5.67897980E+00          5.40758480E+00
         87.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.87116298E+04          3.50539808E+02          1.60152851E+02          5.62589860E+00          5.35046616E+00
         88.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.52651511E+04          3.38995610E+02          1.55067832E+02          5.57667923E+00          5.29710465E+00
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.27549224E+04          3.28176388E+02          1.50294100E+02          5.53105634E+00          5.24723792E+00
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.08608315E+04          3.18019343E+02          1.45806103E+02          5.48878446E+00          5.20062283E+00
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.39164311E+03          3.08470366E+02          1.41580695E+02          5.44963667E+00          5.15703530E+00
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.22523928E+03          2.99480107E+02          1.37596755E+02          5.41340332E+00          5.11626754E+00
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.28138787E+03          2.91004263E+02          1.33836343E+02          5.37989072E+00          5.07812941E+00
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.50478274E+03          2.83003529E+02          1.30282361E+02          5.34891995E+00          5.04244417E+00
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.85739114E+03          2.75442021E+02          1.26919456E+02          5.32032572E+00          5.00904930E+00
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.31110297E+03          2.68287514E+02          1.23734073E+02          5.29395529E+00          4.97779506E+00
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.84509539E+03          2.61510338E+02          1.20713725E+02          5.26966742E+00          4.94854274E+00
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.44389884E+03          2.55084157E+02          1.17847187E+02          5.24733150E+00          4.92116481E+00
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.09578969E+03          2.48984601E+02          1.15123465E+02          5.22682665E+00          4.89554218E+00
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.79136875E+03          2.43189890E+02          1.12533732E+02          5.20804094E+00          4.87156665E+00
        110.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.07535207E+03          1.98275525E+02          9.23896173E+01          5.09520447E+00          4.70340256E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.37097292E+03          1.69240689E+02          7.93060026E+01          5.07580995E+00          4.62405439E+00
        130.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00523759E+03          1.49544068E+02          7.04107101E+01          5.11240276E+00          4.59797790E+00
        140.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.87898016E+02          1.35737860E+02          6.41723207E+01          5.18459764E+00          4.60620660E+00
        150.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.47012594E+02          1.25837224E+02          5.97021678E+01          5.28051211E+00          4.63783771E+00
        160.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.50048361E+02          1.18625405E+02          5.64526065E+01          5.39281651E+00          4.68617277E+00
        170.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.80380217E+02          1.13321419E+02          5.40708721E+01          5.51677478E+00          4.74685684E+00
        180.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.28703043E+02          1.09406018E+02          5.23218747E+01          5.64920739E+00          4.81692482E+00
        190.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.89430649E+02          1.06523928E+02          5.10444869E+01          5.78688619E+00          4.89354887E+00
        200.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.59018505E+02          1.04425959E+02          5.01254805E+01          5.92321930E+00          4.97169666E+00
        210.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.35114389E+02          1.02933567E+02          4.94836504E+01          6.07784049E+00          5.06483296E+00
        220.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.16101429E+02          1.01916265E+02          4.90595238E+01          6.22509783E+00          5.15466665E+00
        230.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.00834804E+02          1.01276958E+02          4.88088210E+01          6.37322601E+00          5.24679602E+00
        240.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.88484960E+02          1.00942241E+02          4.86980064E+01          6.52872737E+00          5.34539340E+00
        250.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.78438831E+02          1.00855768E+02          4.87013103E+01          6.68411014E+00          5.44518537E+00
        260.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.70235314E+02          1.00973722E+02          4.87986683E+01          6.83932938E+00          5.54601722E+00
        270.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.63522759E+02          1.01261574E+02          4.89742512E+01          6.99435209E+00          5.64775371E+00
        280.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.58029240E+02          1.01691828E+02          4.92154406E+01          7.15485679E+00          5.75396540E+00
        290.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.53541957E+02          1.02242347E+02          4.95120652E+01          7.30918654E+00          5.85699452E+00
        300.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.49892621E+02          1.02895128E+02          4.98558531E+01          7.46860067E+00          5.96402259E+00
        310.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.46946980E+02          1.03635425E+02          5.02400123E+01          7.62222980E+00          6.06802299E+00
        320.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.44596439E+02          1.04451034E+02          5.06589239E+01          7.78058915E+00          6.17562001E+00
        330.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.42752864E+02          1.05331797E+02          5.11079075E+01          7.93837249E+00          6.28337752E+00
        340.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.41343900E+02          1.06269191E+02          5.15830289E+01          8.09559644E+00          6.39125901E+00
        350.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.40309785E+02          1.07256023E+02          5.20809691E+01          8.25227760E+00          6.49923258E+00
        360.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39600756E+02          1.08286179E+02          5.25989072E+01          8.40843235E+00          6.60727026E+00
        370.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39175121E+02          1.09354442E+02          5.31344312E+01          8.56849401E+00          6.71806325E+00
        380.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.38997722E+02          1.10456333E+02          5.36854691E+01          8.72352896E+00          6.82607771E+00
        390.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39038752E+02          1.11587990E+02          5.42502356E+01          8.87808754E+00          6.93409480E+00
        400.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39272764E+02          1.12746060E+02          5.48271803E+01          9.03632131E+00          7.04461242E+00
        410.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.39677959E+02          1.13927631E+02          5.54149549E+01          9.18986303E+00          7.15251369E+00
        420.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.40235561E+02          1.15130156E+02          5.60123807E+01          9.34695066E+00          7.26277795E+00
        430.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.40929298E+02          1.16351405E+02          5.66184233E+01          9.50346438E+00          7.37288431E+00
        440.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.41745040E+02          1.17589411E+02          5.72321736E+01          9.65554760E+00          7.48050299E+00
        450.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.42670446E+02          1.18842440E+02          5.78528271E+01          9.81101433E+00          7.59031617E+00
        460.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.43694695E+02          1.20108956E+02          5.84796722E+01          9.96595472E+00          7.69995766E+00
        470.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.44808288E+02          1.21387593E+02          5.91120762E+01          1.01203836E+01          7.80942478E+00
        480.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.46002818E+02          1.22677136E+02          5.97494761E+01          1.02706923E+01          7.91656320E+00
        490.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.47270849E+02          1.23976501E+02          6.03913686E+01          1.04241893E+01          8.02570975E+00
        500.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.48605781E+02          1.25284716E+02          6.10373035E+01          1.05772153E+01          8.13467649E+00
        510.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.50001716E+02          1.26600908E+02          6.16868765E+01          1.07297827E+01          8.24346271E+00
        520.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.51453402E+02          1.27924294E+02          6.23397238E+01          1.08819038E+01          8.35206810E+00
        530.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.52956120E+02          1.29254167E+02          6.29955187E+01          1.10369704E+01          8.46248007E+00
