#Energy      Al   As  Total
         85.0000          1.28797886E+01          5.45244276E+01          1.04186821E+01
         86.0000          1.29123809E+01          5.41168340E+01          1.04249643E+01
         87.0000          1.29455030E+01          5.37193864E+01          1.04316453E+01
         88.0000          1.29791360E+01          5.33317397E+01          1.04387085E+01
         89.0000          1.30132618E+01          5.29535640E+01          1.04461384E+01
         90.0000          1.30478631E+01          5.25845444E+01          1.04539200E+01
         91.0000          1.30829234E+01          5.22243796E+01          1.04620391E+01
         92.0000          1.31184269E+01          5.18727812E+01          1.04704822E+01
         93.0000          1.31543583E+01          5.15294733E+01          1.04792363E+01
         94.0000          1.31907033E+01          5.11941918E+01          1.04882891E+01
         95.0000          1.32274479E+01          5.08666833E+01          1.04976289E+01
         96.0000          1.32645788E+01          5.05467054E+01          1.05072444E+01
         97.0000          1.33020834E+01          5.02340252E+01          1.05171249E+01
         98.0000          1.33399493E+01          4.99284196E+01          1.05272603E+01
         99.0000          1.33781648E+01          4.96296742E+01          1.05376406E+01
        100.0000          1.34167187E+01          4.93375834E+01          1.05482566E+01
        110.0000          1.38186847E+01          4.67427432E+01          1.06655878E+01
        120.0000          1.42448547E+01          4.46369088E+01          1.07986963E+01
        120.9990          1.42885049E+01          4.44487306E+01          1.08126625E+01
        121.0010          1.42885925E+01          4.44483575E+01          1.08126906E+01
        130.0000          1.46890888E+01          4.29069918E+01          1.09428386E+01
        140.0000          1.51470289E+01          4.14721225E+01          1.10948226E+01
        144.9990          1.53800660E+01          4.08462635E+01          1.11730258E+01
        145.0010          1.53801597E+01          4.08460240E+01          1.11730573E+01
        150.0000          1.56155050E+01          4.02729450E+01          1.12524569E+01
        150.9990          1.56627885E+01          4.01642812E+01          1.12684518E+01
        151.0010          1.56628832E+01          4.01640655E+01          1.12684838E+01
        160.0000          1.60921634E+01          3.92649149E+01          1.14142120E+01
        170.0000          1.65752255E+01          3.84139553E+01          1.15790045E+01
        180.0000          1.70633263E+01          3.76935573E+01          1.17460569E+01
        190.0000          1.75554049E+01          3.70827930E+01          1.19148045E+01
        200.0000          1.80506264E+01          3.65649238E+01          1.20848326E+01
        207.9990          1.84485666E+01          3.62083644E+01          1.22215501E+01
        208.0010          1.84486663E+01          3.62082811E+01          1.22215844E+01
        210.0000          1.85483280E+01          3.61264044E+01          1.22558332E+01
        220.0000          1.90479781E+01          3.57561586E+01          1.24275751E+01
        230.0000          1.95491472E+01          3.54450428E+01          1.25998830E+01
        240.0000          2.00514863E+01          3.51854441E+01          1.27726223E+01
        250.0000          2.05547093E+01          3.49709741E+01          1.29456886E+01
        260.0000          2.10585813E+01          3.47962334E+01          1.31189999E+01
        270.0000          2.15629080E+01          3.46566285E+01          1.32924912E+01
        280.0000          2.20675281E+01          3.45482279E+01          1.34661098E+01
        290.0000          2.25723075E+01          3.44676473E+01          1.36398133E+01
        300.0000          2.30771342E+01          3.44119588E+01          1.38135662E+01
        310.0000          2.35819145E+01          3.43786170E+01          1.39873391E+01
        320.0000          2.40865701E+01          3.43653986E+01          1.41611070E+01
        330.0000          2.45910353E+01          3.43703540E+01          1.43348486E+01
        340.0000          2.50952547E+01          3.43917667E+01          1.45085453E+01
        350.0000          2.55991823E+01          3.44281197E+01          1.46821810E+01
        360.0000          2.61027794E+01          3.44780679E+01          1.48557414E+01
        370.0000          2.66060136E+01          3.45404144E+01          1.50292137E+01
        380.0000          2.71088581E+01          3.46140912E+01          1.52025867E+01
        390.0000          2.76112905E+01          3.46981423E+01          1.53758499E+01
        400.0000          2.81132925E+01          3.47917100E+01          1.55489942E+01
        410.0000          2.86148490E+01          3.48940221E+01          1.57220110E+01
        420.0000          2.91159479E+01          3.50043823E+01          1.58948927E+01
        430.0000          2.96165795E+01          3.51221611E+01          1.60676322E+01
        440.0000          3.01167362E+01          3.52467878E+01          1.62402231E+01
        450.0000          3.06164122E+01          3.53777444E+01          1.64126593E+01
        460.0000          3.11156035E+01          3.55145594E+01          1.65849354E+01
        470.0000          3.16143070E+01          3.56568029E+01          1.67570465E+01
        480.0000          3.21125212E+01          3.58040825E+01          1.69289878E+01
        490.0000          3.26102453E+01          3.59560388E+01          1.71007553E+01
        500.0000          3.31074796E+01          3.61123427E+01          1.72723450E+01
        510.0000          3.36042249E+01          3.62726920E+01          1.74437533E+01
        520.0000          3.41004828E+01          3.64368087E+01          1.76149770E+01
        530.0000          3.45962554E+01          3.66044371E+01          1.77860132E+01
        540.0000          3.50915451E+01          3.67753413E+01          1.79568590E+01
        550.0000          3.55863551E+01          3.69493033E+01          1.81275121E+01
        560.0000          3.60806886E+01          3.71261219E+01          1.82979703E+01
        570.0000          3.65745491E+01          3.73056107E+01          1.84682314E+01
        580.0000          3.70679405E+01          3.74875969E+01          1.86382938E+01
