#Energy      Ni  Total
       3400.0000          2.22282724E+01          2.22282724E+01
       3500.0000          2.27063341E+01          2.27063341E+01
       3600.0000          2.31824387E+01          2.31824387E+01
       3700.0000          2.36566471E+01          2.36566471E+01
       3800.0000          2.41290170E+01          2.41290170E+01
       3900.0000          2.45996031E+01          2.45996031E+01
       4000.0000          2.50684573E+01          2.50684573E+01
       4100.0000          2.55356287E+01          2.55356287E+01
       4200.0000          2.60011642E+01          2.60011642E+01
       4300.0000          2.64651081E+01          2.64651081E+01
       4400.0000          2.69275028E+01          2.69275028E+01
       4500.0000          2.73883886E+01          2.73883886E+01
       4600.0000          2.78478038E+01          2.78478038E+01
       4700.0000          2.83057851E+01          2.83057851E+01
       4800.0000          2.87623674E+01          2.87623674E+01
       4900.0000          2.92175840E+01          2.92175840E+01
       5000.0000          2.96714670E+01          2.96714670E+01
       5100.0000          3.01240468E+01          3.01240468E+01
       5200.0000          3.05753526E+01          3.05753526E+01
       5300.0000          3.10254125E+01          3.10254125E+01
       5400.0000          3.14742532E+01          3.14742532E+01
       5500.0000          3.19219006E+01          3.19219006E+01
       5600.0000          3.23683792E+01          3.23683792E+01
       5700.0000          3.28137129E+01          3.28137129E+01
       5800.0000          3.32579244E+01          3.32579244E+01
       5900.0000          3.37010356E+01          3.37010356E+01
       6000.0000          3.41430677E+01          3.41430677E+01
       6100.0000          3.45840409E+01          3.45840409E+01
       6200.0000          3.50239748E+01          3.50239748E+01
       6300.0000          3.54628882E+01          3.54628882E+01
       6400.0000          3.59007993E+01          3.59007993E+01
       6500.0000          3.63377256E+01          3.63377256E+01
       6600.0000          3.67736840E+01          3.67736840E+01
       6700.0000          3.72086910E+01          3.72086910E+01
       6800.0000          3.76427621E+01          3.76427621E+01
       6900.0000          3.80759128E+01          3.80759128E+01
       7000.0000          3.85081577E+01          3.85081577E+01
       7100.0000          3.89395111E+01          3.89395111E+01
       7200.0000          3.93699869E+01          3.93699869E+01
       7300.0000          3.97995983E+01          3.97995983E+01
       7400.0000          4.02283584E+01          4.02283584E+01
       7500.0000          4.06562797E+01          4.06562797E+01
       7600.0000          4.10833743E+01          4.10833743E+01
       7700.0000          4.15096541E+01          4.15096541E+01
       7800.0000          4.19351304E+01          4.19351304E+01
       7900.0000          4.23598145E+01          4.23598145E+01
       8000.0000          4.27837171E+01          4.27837171E+01
       8100.0000          4.32068486E+01          4.32068486E+01
       8200.0000          4.36292192E+01          4.36292192E+01
       8300.0000          4.40508389E+01          4.40508389E+01
       8337.9990          4.42108552E+01          4.42108552E+01
       8338.0010          4.42108636E+01          4.42108636E+01
       8400.0000          4.44717171E+01          4.44717171E+01
       8500.0000          4.48918634E+01          4.48918634E+01
       8600.0000          4.53112867E+01          4.53112867E+01
       8700.0000          4.57299959E+01          4.57299959E+01
       8800.0000          4.61479997E+01          4.61479997E+01
       8900.0000          4.65653064E+01          4.65653064E+01
       9000.0000          4.69819241E+01          4.69819241E+01
       9100.0000          4.73978609E+01          4.73978609E+01
       9200.0000          4.78131245E+01          4.78131245E+01
       9300.0000          4.82277224E+01          4.82277224E+01
       9400.0000          4.86416621E+01          4.86416621E+01
       9500.0000          4.90549507E+01          4.90549507E+01
       9600.0000          4.94675952E+01          4.94675952E+01
       9700.0000          4.98796024E+01          4.98796024E+01
       9800.0000          5.02909791E+01          5.02909791E+01
       9900.0000          5.07017318E+01          5.07017318E+01
      10000.0000          5.11118668E+01          5.11118668E+01
      11000.0000          5.51805461E+01          5.51805461E+01
      12000.0000          5.91934980E+01          5.91934980E+01
      13000.0000          6.31551957E+01          6.31551957E+01
      14000.0000          6.70693210E+01          6.70693210E+01
      15000.0000          7.09389524E+01          7.09389524E+01
      16000.0000          7.47666991E+01          7.47666991E+01
      17000.0000          7.85547998E+01          7.85547998E+01
      18000.0000          8.23051952E+01          8.23051952E+01
      19000.0000          8.60195839E+01          8.60195839E+01
      20000.0000          8.96994654E+01          8.96994654E+01
      21000.0000          9.33461731E+01          9.33461731E+01
      22000.0000          9.69609015E+01          9.69609015E+01
      23000.0000          1.00544727E+02          1.00544727E+02
      24000.0000          1.04098626E+02          1.04098626E+02
      25000.0000          1.07623487E+02          1.07623487E+02
      26000.0000          1.11120124E+02          1.11120124E+02
      27000.0000          1.14589288E+02          1.14589288E+02
