#Energy      Au   C  Total
        270.0000          1.11772959E+02          1.16968355E+01          1.05887429E+01
        280.0000          1.08574436E+02          1.20737845E+01          1.08655091E+01
        287.9990          1.06182821E+02          1.23751065E+01          1.10833897E+01
        288.0010          1.06182241E+02          1.23751818E+01          1.10834438E+01
        290.0000          1.05606134E+02          1.24504567E+01          1.11374096E+01
        300.0000          1.02844965E+02          1.28268590E+01          1.14044875E+01
        310.0000          1.00270819E+02          1.32029981E+01          1.16667921E+01
        320.0000          9.78661005E+01          1.35788808E+01          1.19243783E+01
        330.0000          9.56153459E+01          1.39545136E+01          1.21773054E+01
        338.9990          9.37102022E+01          1.42923372E+01          1.24009844E+01
        339.0010          9.37097907E+01          1.42924123E+01          1.24010337E+01
        340.0000          9.35049119E+01          1.43299029E+01          1.24256374E+01
        350.0000          9.15227150E+01          1.47050550E+01          1.26694419E+01
        356.9990          9.02058624E+01          1.49674861E+01          1.28374251E+01
        357.0010          9.02054940E+01          1.49675610E+01          1.28374728E+01
        360.0000          8.96580145E+01          1.50799759E+01          1.29087897E+01
        370.0000          8.79012317E+01          1.54546714E+01          1.31437549E+01
        380.0000          8.62437969E+01          1.58291473E+01          1.33744135E+01
        390.0000          8.46780200E+01          1.62034089E+01          1.36008440E+01
        400.0000          8.31969806E+01          1.65774614E+01          1.38231265E+01
        410.0000          8.17944342E+01          1.69513101E+01          1.40413425E+01
        420.0000          8.04647317E+01          1.73249596E+01          1.42555745E+01
        430.0000          7.92027504E+01          1.76984148E+01          1.44659058E+01
        440.0000          7.80038338E+01          1.80716801E+01          1.46724204E+01
        450.0000          7.68637400E+01          1.84447599E+01          1.48752024E+01
        460.0000          7.57785966E+01          1.88176584E+01          1.50743361E+01
        470.0000          7.47448616E+01          1.91903795E+01          1.52699056E+01
        480.0000          7.37592887E+01          1.95629273E+01          1.54619946E+01
        490.0000          7.28188970E+01          1.99353053E+01          1.56506865E+01
        500.0000          7.19209448E+01          2.03075172E+01          1.58360640E+01
        510.0000          7.10629062E+01          2.06795664E+01          1.60182089E+01
        520.0000          7.02424498E+01          2.10514564E+01          1.61972023E+01
        530.0000          6.94574209E+01          2.14231903E+01          1.63731243E+01
        540.0000          6.87058247E+01          2.17947712E+01          1.65460538E+01
        547.9990          6.81274432E+01          2.20918906E+01          1.66822782E+01
        548.0010          6.81273011E+01          2.20919649E+01          1.66823120E+01
        550.0000          6.79858121E+01          2.21662021E+01          1.67160686E+01
        560.0000          6.72956666E+01          2.25374859E+01          1.68832451E+01
        570.0000          6.66337923E+01          2.29086254E+01          1.70476588E+01
        580.0000          6.59987042E+01          2.32796232E+01          1.72093834E+01
        590.0000          6.53890180E+01          2.36504821E+01          1.73684915E+01
        600.0000          6.48034423E+01          2.40212044E+01          1.75250540E+01
        610.0000          6.42407707E+01          2.43917926E+01          1.76791407E+01
        620.0000          6.36998750E+01          2.47622491E+01          1.78308195E+01
        630.0000          6.31796988E+01          2.51325761E+01          1.79801572E+01
        640.0000          6.26792524E+01          2.55027758E+01          1.81272188E+01
        644.9990          6.24361835E+01          2.56877916E+01          1.81999016E+01
        645.0010          6.24360872E+01          2.56878657E+01          1.81999305E+01
        650.0000          6.21976070E+01          2.58728504E+01          1.82720680E+01
        660.0000          6.17338906E+01          2.62428019E+01          1.84147667E+01
        670.0000          6.12872834E+01          2.66126324E+01          1.85553755E+01
        680.0000          6.08570142E+01          2.69823436E+01          1.86939535E+01
        690.0000          6.04423568E+01          2.73519375E+01          1.88305582E+01
        700.0000          6.00426267E+01          2.77214160E+01          1.89652457E+01
        710.0000          5.96571781E+01          2.80907808E+01          1.90980706E+01
        720.0000          5.92854016E+01          2.84600335E+01          1.92290860E+01
        730.0000          5.89267212E+01          2.88291760E+01          1.93583436E+01
        740.0000          5.85805923E+01          2.91982096E+01          1.94858938E+01
        750.0000          5.82464995E+01          2.95671361E+01          1.96117854E+01
        760.0000          5.79239549E+01          2.99359570E+01          1.97360660E+01
        763.9990          5.77980974E+01          3.00834192E+01          1.97853253E+01
        764.0010          5.77980349E+01          3.00834929E+01          1.97853499E+01
        770.0000          5.76124961E+01          3.03046736E+01          1.98587818E+01
        780.0000          5.73116844E+01          3.06732875E+01          1.99799777E+01
        790.0000          5.70211038E+01          3.10418001E+01          2.00996972E+01
        800.0000          5.67403591E+01          3.14102126E+01          2.02179828E+01
        810.0000          5.64690747E+01          3.17785265E+01          2.03348755E+01
        820.0000          5.62068937E+01          3.21467430E+01          2.04504153E+01
        830.0000          5.59534764E+01          3.25148634E+01          2.05646409E+01
        840.0000          5.57084995E+01          3.28828888E+01          2.06775899E+01
        850.0000          5.54716551E+01          3.32508204E+01          2.07892987E+01
        860.0000          5.52426497E+01          3.36186595E+01          2.08998027E+01
        870.0000          5.50212034E+01          3.39864071E+01          2.10091363E+01
        880.0000          5.48070492E+01          3.43540644E+01          2.11173327E+01
