#Energy      Na-K-shell   Na-L1-shell   Na-L2-shell   Na-L3-shell   F-K-shell   Valence  Total
         66.0000          1.00000000E+30          4.87854390E+09          2.68687909E+02          1.34343955E+02          1.00000000E+30          5.51991740E+00          5.19946441E+00
         66.0010          1.00000000E+30          4.87880498E+09          2.68677330E+02          1.34338665E+02          1.00000000E+30          5.51991087E+00          5.19944673E+00
         67.0000          1.00000000E+30          3.10230871E+05          2.58768095E+02          1.29384048E+02          1.00000000E+30          5.51428870E+00          5.18285991E+00
         68.0000          1.00000000E+30          1.09538642E+05          2.49568227E+02          1.24784113E+02          1.00000000E+30          5.51037893E+00          5.16780875E+00
         69.0000          1.00000000E+30          5.93996393E+04          2.41016818E+02          1.20508409E+02          1.00000000E+30          5.50808304E+00          5.15422829E+00
         70.0000          1.00000000E+30          3.84338149E+04          2.33054776E+02          1.16527388E+02          1.00000000E+30          5.50730317E+00          5.14203314E+00
         71.0000          1.00000000E+30          2.73962255E+04          2.25625529E+02          1.12812764E+02          1.00000000E+30          5.50794813E+00          5.13113430E+00
         72.0000          1.00000000E+30          2.07699489E+04          2.18681907E+02          1.09340953E+02          1.00000000E+30          5.50993295E+00          5.12145231E+00
         73.0000          1.00000000E+30          1.64338838E+04          2.12181511E+02          1.06090755E+02          1.00000000E+30          5.51317843E+00          5.11291200E+00
         74.0000          1.00000000E+30          1.34159649E+04          2.06087163E+02          1.03043581E+02          1.00000000E+30          5.51761072E+00          5.10544393E+00
         75.0000          1.00000000E+30          1.12187193E+04          2.00364852E+02          1.00182426E+02          1.00000000E+30          5.52316094E+00          5.09898236E+00
         76.0000          1.00000000E+30          9.56118512E+03          1.94984874E+02          9.74924368E+01          1.00000000E+30          5.52976488E+00          5.09346733E+00
         77.0000          1.00000000E+30          8.27538829E+03          1.89920399E+02          9.49601993E+01          1.00000000E+30          5.53736254E+00          5.08884300E+00
         78.0000          1.00000000E+30          7.25464345E+03          1.85147095E+02          9.25735476E+01          1.00000000E+30          5.54589792E+00          5.08505704E+00
         79.0000          1.00000000E+30          6.42867165E+03          1.80643206E+02          9.03216032E+01          1.00000000E+30          5.55531867E+00          5.08206129E+00
         80.0000          1.00000000E+30          5.74929410E+03          1.76388981E+02          8.81944905E+01          1.00000000E+30          5.56557589E+00          5.07981081E+00
         81.0000          1.00000000E+30          5.18305338E+03          1.72366776E+02          8.61833880E+01          1.00000000E+30          5.57662381E+00          5.07826494E+00
         82.0000          1.00000000E+30          4.70466589E+03          1.68560150E+02          8.42800751E+01          1.00000000E+30          5.58841961E+00          5.07738384E+00
         83.0000          1.00000000E+30          4.29685381E+03          1.64954501E+02          8.24772504E+01          1.00000000E+30          5.60092318E+00          5.07713290E+00
         84.0000          1.00000000E+30          3.94585356E+03          1.61536269E+02          8.07681343E+01          1.00000000E+30          5.61409696E+00          5.07747856E+00
         85.0000          1.00000000E+30          3.64098196E+03          1.58293166E+02          7.91465831E+01          1.00000000E+30          5.62790570E+00          5.07838956E+00
         86.0000          1.00000000E+30          3.37445504E+03          1.55213915E+02          7.76069575E+01          1.00000000E+30          5.64231637E+00          5.07983771E+00
         87.0000          1.00000000E+30          3.13975340E+03          1.52288226E+02          7.61441129E+01          1.00000000E+30          5.65729793E+00          5.08179620E+00
         88.0000          1.00000000E+30          2.93184803E+03          1.49506438E+02          7.47532189E+01          1.00000000E+30          5.67282124E+00          5.08423979E+00
         89.0000          1.00000000E+30          2.74672161E+03          1.46859991E+02          7.34299956E+01          1.00000000E+30          5.68885892E+00          5.08714623E+00
         90.0000          1.00000000E+30          2.58101025E+03          1.44340582E+02          7.21702911E+01          1.00000000E+30          5.70538521E+00          5.09049308E+00
         91.0000          1.00000000E+30          2.43197318E+03          1.41940889E+02          7.09704446E+01          1.00000000E+30          5.72237586E+00          5.09426071E+00
         92.0000          1.00000000E+30          2.29737166E+03          1.39653893E+02          6.98269465E+01          1.00000000E+30          5.73980806E+00          5.09842999E+00
         93.0000          1.00000000E+30          2.17535056E+03          1.37473238E+02          6.87366192E+01          1.00000000E+30          5.75766030E+00          5.10298369E+00
         94.0000          1.00000000E+30          2.06429674E+03          1.35392946E+02          6.76964728E+01          1.00000000E+30          5.77591231E+00          5.10790510E+00
         95.0000          1.00000000E+30          1.96293266E+03          1.33407437E+02          6.67037184E+01          1.00000000E+30          5.79454496E+00          5.11317897E+00
         96.0000          1.00000000E+30          1.87008182E+03          1.31511573E+02          6.57557866E+01          1.00000000E+30          5.81354021E+00          5.11879065E+00
         97.0000          1.00000000E+30          1.78479543E+03          1.29700570E+02          6.48502848E+01          1.00000000E+30          5.83288100E+00          5.12472681E+00
         98.0000          1.00000000E+30          1.70622111E+03          1.27969924E+02          6.39849622E+01          1.00000000E+30          5.85255124E+00          5.13097444E+00
         99.0000          1.00000000E+30          1.63367663E+03          1.26315386E+02          6.31576928E+01          1.00000000E+30          5.87253569E+00          5.13752156E+00
        100.0000          1.00000000E+30          1.56651711E+03          1.24733127E+02          6.23665636E+01          1.00000000E+30          5.89281994E+00          5.14435711E+00
        110.0000          1.00000000E+30          1.09913255E+03          1.12175886E+02          5.60879430E+01          1.00000000E+30          6.10947592E+00          5.22647124E+00
        120.0000          1.00000000E+30          8.40353037E+02          1.03913616E+02          5.19568080E+01          1.00000000E+30          6.34476242E+00          5.32849011E+00
        130.0000          1.00000000E+30          6.80395164E+02          9.84046845E+01          4.92023422E+01          1.00000000E+30          6.59226249E+00          5.44516759E+00
        140.0000          1.00000000E+30          5.74153573E+02          9.47331768E+01          4.73665884E+01          1.00000000E+30          6.84791577E+00          5.57291147E+00
        150.0000          1.00000000E+30          5.00017081E+02          9.23304257E+01          4.61652128E+01          1.00000000E+30          7.10905895E+00          5.70914671E+00
        160.0000          1.00000000E+30          4.46428619E+02          9.08301174E+01          4.54150587E+01          1.00000000E+30          7.37389227E+00          5.85198179E+00
        170.0000          1.00000000E+30          4.06674935E+02          8.99885919E+01          4.49942960E+01          1.00000000E+30          7.64116931E+00          6.00000427E+00
        180.0000          1.00000000E+30          3.76601738E+02          8.96390635E+01          4.48195317E+01          1.00000000E+30          7.91000919E+00          6.15214323E+00
        190.0000          1.00000000E+30          3.53509654E+02          8.96643809E+01          4.48321905E+01          1.00000000E+30          8.17977902E+00          6.30757355E+00
        200.0000          1.00000000E+30          3.35576321E+02          8.99803312E+01          4.49901656E+01          1.00000000E+30          8.45001799E+00          6.46564916E+00
        210.0000          1.00000000E+30          3.21534466E+02          9.05251029E+01          4.52625514E+01          1.00000000E+30          8.71824938E+00          6.62462275E+00
        220.0000          1.00000000E+30          3.10480552E+02          9.12524758E+01          4.56262379E+01          1.00000000E+30          8.98665668E+00          6.78551625E+00
        230.0000          1.00000000E+30          3.01757243E+02          9.21273140E+01          4.60636570E+01          1.00000000E+30          9.25935323E+00          6.95040738E+00
        240.0000          1.00000000E+30          2.94877691E+02          9.31224853E+01          4.65612426E+01          1.00000000E+30          9.52492717E+00          7.11265119E+00
        250.0000          1.00000000E+30          2.89475457E+02          9.42167701E+01          4.71083851E+01          1.00000000E+30          9.79453681E+00          7.27835293E+00
        260.0000          1.00000000E+30          2.85270639E+02          9.53933551E+01          4.76966776E+01          1.00000000E+30          1.00626493E+01          7.44426579E+00
        270.0000          1.00000000E+30          2.82046996E+02          9.66387773E+01          4.83193886E+01          1.00000000E+30          1.03342959E+01          7.61300781E+00
        280.0000          1.00000000E+30          2.79634781E+02          9.79421436E+01          4.89710718E+01          1.00000000E+30          1.05994945E+01          7.77904145E+00
        290.0000          1.00000000E+30          2.77899843E+02          9.92945626E+01          4.96472813E+01          1.00000000E+30          1.08634262E+01          7.94511238E+00
        300.0000          1.00000000E+30          2.76734747E+02          1.00688710E+02          5.03443549E+01          1.00000000E+30          1.11307058E+01          8.11359478E+00
        310.0000          1.00000000E+30          2.76052700E+02          1.02118515E+02          5.10592574E+01          1.00000000E+30          1.13966063E+01          8.28187894E+00
        320.0000          1.00000000E+30          2.75782951E+02          1.03578899E+02          5.17894493E+01          1.00000000E+30          1.16611890E+01          8.44994134E+00
        330.0000          1.00000000E+30          2.75867364E+02          1.05065596E+02          5.25327982E+01          1.00000000E+30          1.19202242E+01          8.61552328E+00
        340.0000          1.00000000E+30          2.76257737E+02          1.06574997E+02          5.32874983E+01          1.00000000E+30          1.21824266E+01          8.78314357E+00
        350.0000          1.00000000E+30          2.76913880E+02          1.08104030E+02          5.40520151E+01          1.00000000E+30          1.24475865E+01          8.95262065E+00
        360.0000          1.00000000E+30          2.77802027E+02          1.09650071E+02          5.48250357E+01          1.00000000E+30          1.27074369E+01          9.11963391E+00
        370.0000          1.00000000E+30          2.78893636E+02          1.11210867E+02          5.56054333E+01          1.00000000E+30          1.29662227E+01          9.28635817E+00
        380.0000          1.00000000E+30          2.80164433E+02          1.12784471E+02          5.63922354E+01          1.00000000E+30          1.32239854E+01          9.45278695E+00
        390.0000          1.00000000E+30          2.81593667E+02          1.14369200E+02          5.71846002E+01          1.00000000E+30          1.34845924E+01          9.62086425E+00
        400.0000          1.00000000E+30          2.83163504E+02          1.15963591E+02          5.79817955E+01          1.00000000E+30          1.37403419E+01          9.78664045E+00
        410.0000          1.00000000E+30          2.84858547E+02          1.17566366E+02          5.87831828E+01          1.00000000E+30          1.39988913E+01          9.95398816E+00
        420.0000          1.00000000E+30          2.86665429E+02          1.19176407E+02          5.95882033E+01          1.00000000E+30          1.42527697E+01          1.01191063E+01
        430.0000          1.00000000E+30          2.88572513E+02          1.20792733E+02          6.03963667E+01          1.00000000E+30          1.45093965E+01          1.02857252E+01
        440.0000          1.00000000E+30          2.90569616E+02          1.22414481E+02          6.12072407E+01          1.00000000E+30          1.47650903E+01          1.04519703E+01
        450.0000          1.00000000E+30          2.92647803E+02          1.24040889E+02          6.20204446E+01          1.00000000E+30          1.50163568E+01          1.06160833E+01
        460.0000          1.00000000E+30          2.94799185E+02          1.25671282E+02          6.28356409E+01          1.00000000E+30          1.52703056E+01          1.07816112E+01
        470.0000          1.00000000E+30          2.97016803E+02          1.27305062E+02          6.36525310E+01          1.00000000E+30          1.55234034E+01          1.09467736E+01
        480.0000          1.00000000E+30          2.99294477E+02          1.28941699E+02          6.44708494E+01          1.00000000E+30          1.57756750E+01          1.11115741E+01
        490.0000          1.00000000E+30          3.01626703E+02          1.30580719E+02          6.52903593E+01          1.00000000E+30          1.60271438E+01          1.12760165E+01
        500.0000          1.00000000E+30          3.04008579E+02          1.32108398E+02          6.60541990E+01          1.00000000E+30          1.62778324E+01          1.14375585E+01
        510.0000          1.00000000E+30          3.06435718E+02          1.33864293E+02          6.69321463E+01          1.00000000E+30          1.65277622E+01          1.16038436E+01
        520.0000          1.00000000E+30          3.08904178E+02          1.35486517E+02          6.77432586E+01          1.00000000E+30          1.67769538E+01          1.17667477E+01
        530.0000          1.00000000E+30          3.11410418E+02          1.37106327E+02          6.85531637E+01          1.00000000E+30          1.70254270E+01          1.19292306E+01
        540.0000          1.00000000E+30          3.13951246E+02          1.38723768E+02          6.93618840E+01          1.00000000E+30          1.72732004E+01          1.20913035E+01
        550.0000          1.00000000E+30          3.16523783E+02          1.40338885E+02          7.01694424E+01          1.00000000E+30          1.75202922E+01          1.22529769E+01
        560.0000          1.00000000E+30          3.19125413E+02          1.42070692E+02          7.10353459E+01          1.00000000E+30          1.77667197E+01          1.24169889E+01
        570.0000          1.00000000E+30          3.21753770E+02          1.43679087E+02          7.18395435E+01          1.00000000E+30          1.80155741E+01          1.25793504E+01
        580.0000          1.00000000E+30          3.24406700E+02          1.45285340E+02          7.26426702E+01          1.00000000E+30          1.82606845E+01          1.27398223E+01
        590.0000          1.00000000E+30          3.27082245E+02          1.47003602E+02          7.35018010E+01          1.00000000E+30          1.85051785E+01          1.29025722E+01
        600.0000          1.00000000E+30          3.29778618E+02          1.48603583E+02          7.43017915E+01          1.00000000E+30          1.87490706E+01          1.30622903E+01
        610.0000          1.00000000E+30          3.32494185E+02          1.50313090E+02          7.51565449E+01          1.00000000E+30          1.89953355E+01          1.32256910E+01
        620.0000          1.00000000E+30          3.35227450E+02          1.51907100E+02          7.59535498E+01          1.00000000E+30          1.92380285E+01          1.33846698E+01
        630.0000          1.00000000E+30          3.37977044E+02          1.53499262E+02          7.67496310E+01          1.00000000E+30          1.94801607E+01          1.35433221E+01
        640.0000          1.00000000E+30          3.40741708E+02          1.55196517E+02          7.75982583E+01          1.00000000E+30          1.97246269E+01          1.37055488E+01
        650.0000          1.00000000E+30          3.43520289E+02          1.56783111E+02          7.83915555E+01          1.00000000E+30          1.99656373E+01          1.38635100E+01
        660.0000          1.00000000E+30          3.46311719E+02          1.58472433E+02          7.92362165E+01          1.00000000E+30          2.02089645E+01          1.40249897E+01
        670.0000          1.00000000E+30          3.49115020E+02          1.60157653E+02          8.00788263E+01          1.00000000E+30          2.04489003E+01          1.41847364E+01
        680.0000          1.00000000E+30          3.51929287E+02          1.61735420E+02          8.08677100E+01          1.00000000E+30          2.06911332E+01          1.43430510E+01
        690.0000          1.00000000E+30          3.54753683E+02          1.63413158E+02          8.17065792E+01          1.00000000E+30          2.09300385E+01          1.45021164E+01
        693.9990          1.00000000E+30          3.55885817E+02          1.64022040E+02          8.20110202E+01          1.00000000E+30          2.10276612E+01          1.45652588E+01
        694.0010          1.00000000E+30          3.55886384E+02          1.64022396E+02          8.20111978E+01          4.25076344E+12          2.10277101E+01          1.45652916E+01
        700.0000          1.00000000E+30          3.57587434E+02          1.64986020E+02          8.24930100E+01          5.87772183E+07          2.11712190E+01          1.46597837E+01
        710.0000          1.00000000E+30          3.60429824E+02          1.66656562E+02          8.33282811E+01          1.34202054E+07          2.14091348E+01          1.48181813E+01
        720.0000          1.00000000E+30          3.63280191E+02          1.68323356E+02          8.41616779E+01          6.41695210E+06          2.16493025E+01          1.49775587E+01
        730.0000          1.00000000E+30          3.66137918E+02          1.69888364E+02          8.49441821E+01          3.89876615E+06          2.18889740E+01          1.51342657E+01
        740.0000          1.00000000E+30          3.69002432E+02          1.71548364E+02          8.57741818E+01          2.67390782E+06          2.21254589E+01          1.52916970E+01
        750.0000          1.00000000E+30          3.71873204E+02          1.73204808E+02          8.66024039E+01          1.97303502E+06          2.23641720E+01          1.54500984E+01
        760.0000          1.00000000E+30          3.74749735E+02          1.74762494E+02          8.73812469E+01          1.52963457E+06          2.26024149E+01          1.56059033E+01
        770.0000          1.00000000E+30          3.77631568E+02          1.76412517E+02          8.82062587E+01          1.22846801E+06          2.28375475E+01          1.57624205E+01
        780.0000          1.00000000E+30          3.80518272E+02          1.78059166E+02          8.90295832E+01          1.01355225E+06          2.30748814E+01          1.59198959E+01
        790.0000          1.00000000E+30          3.83409446E+02          1.79702497E+02          8.98512486E+01          8.53970795E+05          2.33117687E+01          1.60770682E+01
        800.0000          1.00000000E+30          3.86304718E+02          1.81342565E+02          9.06712824E+01          7.31809000E+05          2.35456207E+01          1.62327083E+01
        810.0000          1.00000000E+30          3.89203737E+02          1.82887959E+02          9.14439794E+01          6.35953096E+05          2.37816446E+01          1.63870911E+01
        820.0000          1.00000000E+30          3.92106176E+02          1.84522173E+02          9.22610865E+01          5.59158464E+05          2.40172432E+01          1.65433966E+01
        830.0000          1.00000000E+30          3.95011733E+02          1.86153285E+02          9.30766423E+01          4.96548860E+05          2.42524238E+01          1.66994177E+01
        840.0000          1.00000000E+30          3.97920118E+02          1.87781344E+02          9.38906721E+01          4.44744958E+05          2.44871931E+01          1.68551587E+01
        850.0000          1.00000000E+30          4.00584415E+02          1.89406401E+02          9.47032007E+01          4.01341638E+05          2.47190291E+01          1.70089822E+01
        860.0000          1.00000000E+30          4.03539719E+02          1.91028504E+02          9.55142521E+01          3.64573496E+05          2.49530014E+01          1.71642539E+01
        870.0000          1.00000000E+30          4.06491270E+02          1.92560471E+02          9.62802356E+01          3.33108097E+05          2.51865809E+01          1.73171319E+01
