#Energy      Ca  Total
        690.0000          3.03597766E+01          3.03597766E+01
        700.0000          3.06398276E+01          3.06398276E+01
        710.0000          3.09196608E+01          3.09196608E+01
        720.0000          3.11992719E+01          3.11992719E+01
        730.0000          3.14786570E+01          3.14786570E+01
        740.0000          3.17578127E+01          3.17578127E+01
        750.0000          3.20367360E+01          3.20367360E+01
        760.0000          3.23154244E+01          3.23154244E+01
        770.0000          3.25938754E+01          3.25938754E+01
        780.0000          3.28720872E+01          3.28720872E+01
        790.0000          3.31500580E+01          3.31500580E+01
        800.0000          3.34277864E+01          3.34277864E+01
        810.0000          3.37052714E+01          3.37052714E+01
        820.0000          3.39825118E+01          3.39825118E+01
        830.0000          3.42595070E+01          3.42595070E+01
        840.0000          3.45362565E+01          3.45362565E+01
        850.0000          3.48127597E+01          3.48127597E+01
        860.0000          3.50890166E+01          3.50890166E+01
        870.0000          3.53650270E+01          3.53650270E+01
        880.0000          3.56407909E+01          3.56407909E+01
        890.0000          3.59163087E+01          3.59163087E+01
        900.0000          3.61915805E+01          3.61915805E+01
        910.0000          3.64666067E+01          3.64666067E+01
        920.0000          3.67413879E+01          3.67413879E+01
        930.0000          3.70159246E+01          3.70159246E+01
        940.0000          3.72902175E+01          3.72902175E+01
        950.0000          3.75642673E+01          3.75642673E+01
        960.0000          3.78380748E+01          3.78380748E+01
        970.0000          3.81116409E+01          3.81116409E+01
        980.0000          3.83849665E+01          3.83849665E+01
        990.0000          3.86580526E+01          3.86580526E+01
       1000.0000          3.89309001E+01          3.89309001E+01
       1100.0000          4.16465041E+01          4.16465041E+01
       1200.0000          4.43395803E+01          4.43395803E+01
       1300.0000          4.70114521E+01          4.70114521E+01
       1400.0000          4.96634427E+01          4.96634427E+01
       1500.0000          5.22968131E+01          5.22968131E+01
       1600.0000          5.49127374E+01          5.49127374E+01
       1700.0000          5.75122947E+01          5.75122947E+01
       1800.0000          6.00964713E+01          6.00964713E+01
       1900.0000          6.26661658E+01          6.26661658E+01
       2000.0000          6.52221963E+01          6.52221963E+01
       2100.0000          6.77653080E+01          6.77653080E+01
       2200.0000          7.02961805E+01          7.02961805E+01
       2300.0000          7.28154343E+01          7.28154343E+01
       2400.0000          7.53236375E+01          7.53236375E+01
       2500.0000          7.78213108E+01          7.78213108E+01
       2600.0000          8.03089329E+01          8.03089329E+01
       2700.0000          8.27869445E+01          8.27869445E+01
       2800.0000          8.52557523E+01          8.52557523E+01
       2900.0000          8.77157324E+01          8.77157324E+01
       3000.0000          9.01672333E+01          9.01672333E+01
       3100.0000          9.26105786E+01          9.26105786E+01
       3200.0000          9.50460692E+01          9.50460692E+01
       3300.0000          9.74739856E+01          9.74739856E+01
       3400.0000          9.98945897E+01          9.98945897E+01
       3500.0000          1.02308126E+02          1.02308126E+02
       3600.0000          1.04714825E+02          1.04714825E+02
       3700.0000          1.07114900E+02          1.07114900E+02
       3800.0000          1.09508555E+02          1.09508555E+02
       3900.0000          1.11895979E+02          1.11895979E+02
       4000.0000          1.14277352E+02          1.14277352E+02
       4040.9990          1.15251982E+02          1.15251982E+02
       4041.0010          1.15252029E+02          1.15252029E+02
       4100.0000          1.16652843E+02          1.16652843E+02
       4200.0000          1.19022611E+02          1.19022611E+02
       4300.0000          1.21386807E+02          1.21386807E+02
       4400.0000          1.23745575E+02          1.23745575E+02
       4500.0000          1.26099051E+02          1.26099051E+02
       4600.0000          1.28447362E+02          1.28447362E+02
       4700.0000          1.30790632E+02          1.30790632E+02
       4800.0000          1.33128976E+02          1.33128976E+02
       4900.0000          1.35462505E+02          1.35462505E+02
       5000.0000          1.37791325E+02          1.37791325E+02
       5100.0000          1.40115537E+02          1.40115537E+02
       5200.0000          1.42435236E+02          1.42435236E+02
       5300.0000          1.44750515E+02          1.44750515E+02
       5400.0000          1.47061460E+02          1.47061460E+02
       5500.0000          1.49368157E+02          1.49368157E+02
       5600.0000          1.51670685E+02          1.51670685E+02
       5700.0000          1.53969121E+02          1.53969121E+02
       5800.0000          1.56263540E+02          1.56263540E+02
       5900.0000          1.58554012E+02          1.58554012E+02
       6000.0000          1.60840606E+02          1.60840606E+02
       6100.0000          1.63123388E+02          1.63123388E+02
       6200.0000          1.65402419E+02          1.65402419E+02
       6300.0000          1.67677761E+02          1.67677761E+02
       6400.0000          1.69949472E+02          1.69949472E+02
       6500.0000          1.72217608E+02          1.72217608E+02
       6600.0000          1.74482223E+02          1.74482223E+02
       6700.0000          1.76743371E+02          1.76743371E+02
       6800.0000          1.79001101E+02          1.79001101E+02
       6900.0000          1.81255461E+02          1.81255461E+02
       7000.0000          1.83506500E+02          1.83506500E+02
       7100.0000          1.85754262E+02          1.85754262E+02
       7200.0000          1.87998792E+02          1.87998792E+02
       7300.0000          1.90240131E+02          1.90240131E+02
       7400.0000          1.92478322E+02          1.92478322E+02
       7500.0000          1.94713404E+02          1.94713404E+02
       7600.0000          1.96945415E+02          1.96945415E+02
       7700.0000          1.99174394E+02          1.99174394E+02
       7800.0000          2.01400376E+02          2.01400376E+02
       7900.0000          2.03623397E+02          2.03623397E+02
       8000.0000          2.05843490E+02          2.05843490E+02
       8100.0000          2.08060690E+02          2.08060690E+02
       8200.0000          2.10275027E+02          2.10275027E+02
       8300.0000          2.12486534E+02          2.12486534E+02
       8400.0000          2.14695241E+02          2.14695241E+02
       8500.0000          2.16901177E+02          2.16901177E+02
       8600.0000          2.19104371E+02          2.19104371E+02
       8700.0000          2.21304851E+02          2.21304851E+02
       8800.0000          2.23502645E+02          2.23502645E+02
       8900.0000          2.25697778E+02          2.25697778E+02
       9000.0000          2.27890277E+02          2.27890277E+02
       9100.0000          2.30080166E+02          2.30080166E+02
       9200.0000          2.32267470E+02          2.32267470E+02
       9300.0000          2.34452214E+02          2.34452214E+02
       9400.0000          2.36634419E+02          2.36634419E+02
       9500.0000          2.38814110E+02          2.38814110E+02
       9600.0000          2.40991307E+02          2.40991307E+02
       9700.0000          2.43166033E+02          2.43166033E+02
       9800.0000          2.45338309E+02          2.45338309E+02
       9900.0000          2.47508154E+02          2.47508154E+02
      10000.0000          2.49675590E+02          2.49675590E+02
      11000.0000          2.71221517E+02          2.71221517E+02
      12000.0000          2.92545522E+02          2.92545522E+02
      13000.0000          3.13661738E+02          3.13661738E+02
      14000.0000          3.34581833E+02          3.34581833E+02
      15000.0000          3.55315601E+02          3.55315601E+02
      16000.0000          3.75871386E+02          3.75871386E+02
      17000.0000          3.96256386E+02          3.96256386E+02
      18000.0000          4.16476880E+02          4.16476880E+02
      19000.0000          4.36538404E+02          4.36538404E+02
      20000.0000          4.56445880E+02          4.56445880E+02
      21000.0000          4.76203721E+02          4.76203721E+02
      22000.0000          4.95815913E+02          4.95815913E+02
      23000.0000          5.15286077E+02          5.15286077E+02
      24000.0000          5.34617528E+02          5.34617528E+02
      25000.0000          5.53813312E+02          5.53813312E+02
      26000.0000          5.72876247E+02          5.72876247E+02
      27000.0000          5.91808947E+02          5.91808947E+02
      28000.0000          6.10613853E+02          6.10613853E+02
      29000.0000          6.29293247E+02          6.29293247E+02
      30000.0000          6.47849275E+02          6.47849275E+02
      31000.0000          6.66283960E+02          6.66283960E+02
      32000.0000          6.84599217E+02          6.84599217E+02
      33000.0000          7.02796858E+02          7.02796858E+02
      34000.0000          7.20878611E+02          7.20878611E+02
      35000.0000          7.38846119E+02          7.38846119E+02
      36000.0000          7.56700955E+02          7.56700955E+02
      37000.0000          7.74444624E+02          7.74444624E+02
      38000.0000          7.92078569E+02          7.92078569E+02
      39000.0000          8.09604180E+02          8.09604180E+02
      40000.0000          8.27022791E+02          8.27022791E+02
      41000.0000          8.44335693E+02          8.44335693E+02
      42000.0000          8.61544130E+02          8.61544130E+02
      43000.0000          8.78649305E+02          8.78649305E+02
      44000.0000          8.95652386E+02          8.95652386E+02
      45000.0000          9.12554503E+02          9.12554503E+02
      46000.0000          9.29356753E+02          9.29356753E+02
      47000.0000          9.46060203E+02          9.46060203E+02
      48000.0000          9.62665891E+02          9.62665891E+02
      49000.0000          9.79174827E+02          9.79174827E+02
      50000.0000          9.95587997E+02          9.95587997E+02
