#Energy      Ca-K-shell   Ca-L1-shell   Ca-L2-shell   Ca-L3-shell   Ca-M1-shell   Ca-M2-shell   Ca-M3-shell   Valence  Total
         32.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.89315293E+03          2.94657647E+03          5.52622890E+00          5.51072606E+00
         33.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.24655717E+03          2.12327858E+03          5.51325835E+00          5.49186825E+00
         34.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.25537712E+03          1.62768856E+03          5.50735361E+00          5.47954321E+00
         35.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.60478962E+03          1.30239481E+03          5.50766833E+00          5.47295166E+00
         36.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.15081026E+03          1.07540513E+03          5.51346939E+00          5.47139266E+00
         37.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.81901443E+03          9.09507214E+02          5.52412131E+00          5.47424748E+00
         38.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.56789432E+03          7.83947160E+02          5.53907250E+00          5.48098269E+00
         39.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.37235261E+03          6.86176305E+02          5.55784334E+00          5.49112835E+00
         40.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.21647524E+03          6.08237618E+02          5.58001601E+00          5.50427113E+00
         41.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.08982741E+03          5.44913703E+02          5.60522561E+00          5.52005302E+00
         42.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.85222108E+02          4.92611054E+02          5.63315277E+00          5.53815708E+00
         43.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.97610877E+02          4.48805439E+02          5.66351723E+00          5.55830606E+00
         44.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.23337761E+02          4.11668880E+02          5.69607243E+00          5.58025530E+00
         45.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.59703360E+02          3.79851680E+02          5.73060092E+00          5.60378927E+00
         45.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.04712958E+02          3.52356479E+02          5.76687328E+00          5.62868962E+00
         46.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.85791505E+09          7.04662012E+02          3.52331006E+02          5.76691042E+00          5.62871524E+00
         46.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.85820271E+09          7.04610661E+02          3.52305331E+02          5.76694757E+00          5.62874079E+00
         47.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.06016794E+05          6.56664523E+02          3.28332262E+02          5.80483050E+00          5.65471042E+00
         48.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.27781944E+04          6.14500096E+02          3.07250048E+02          5.84420969E+00          5.68164734E+00
         49.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.95344930E+04          5.77209269E+02          2.88604634E+02          5.88491309E+00          5.70943237E+00
         50.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.56258168E+04          5.44032634E+02          2.72016317E+02          5.92682024E+00          5.73796103E+00
         51.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.83107547E+04          5.14355843E+02          2.57177921E+02          5.96982334E+00          5.76713591E+00
         52.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.39176643E+04          4.87676444E+02          2.43838222E+02          6.01382571E+00          5.79686713E+00
         53.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.10411056E+04          4.63586148E+02          2.31793074E+02          6.05874046E+00          5.82707571E+00
         54.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          9.03989344E+03          4.41741875E+02          2.20870938E+02          6.10448931E+00          5.85768917E+00
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.58200441E+03          4.21859784E+02          2.10929892E+02          6.15100163E+00          5.88864316E+00
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.48196378E+03          4.03703283E+02          2.01851641E+02          6.19821354E+00          5.91988205E+00
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.62788891E+03          3.87067825E+02          1.93533913E+02          6.24606720E+00          5.95135331E+00
         58.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.94958079E+03          3.71780102E+02          1.85890051E+02          6.29451010E+00          5.98301104E+00
         59.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.40028813E+03          3.57694561E+02          1.78847280E+02          6.34349447E+00          6.01481619E+00
         60.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.94816597E+03          3.44683141E+02          1.72341571E+02          6.39297686E+00          6.04673230E+00
