#Energy      Zn   S  Total
        620.0000          3.22924047E+01          3.15329247E+01          1.59540730E+01
        630.0000          3.24908573E+01          3.18936439E+01          1.60947404E+01
        640.0000          3.26902345E+01          3.22540185E+01          1.62353308E+01
        650.0000          3.28904709E+01          3.26140487E+01          1.63758383E+01
        660.0000          3.30915059E+01          3.29737346E+01          1.65162576E+01
        670.0000          3.32932825E+01          3.33330771E+01          1.66565840E+01
        680.0000          3.34957478E+01          3.36920771E+01          1.67968128E+01
        690.0000          3.36988522E+01          3.40507356E+01          1.69369400E+01
        700.0000          3.39025493E+01          3.44090540E+01          1.70769619E+01
        710.0000          3.41067958E+01          3.47670339E+01          1.72168751E+01
        720.0000          3.43115509E+01          3.51246768E+01          1.73566764E+01
        730.0000          3.45167767E+01          3.54819846E+01          1.74963630E+01
        740.0000          3.47224373E+01          3.58389592E+01          1.76359323E+01
        750.0000          3.49284993E+01          3.61956026E+01          1.77753820E+01
        760.0000          3.51349311E+01          3.65519170E+01          1.79147099E+01
        770.0000          3.53417031E+01          3.69079044E+01          1.80539140E+01
        780.0000          3.55487876E+01          3.72635673E+01          1.81929927E+01
        790.0000          3.57561585E+01          3.76189078E+01          1.83319443E+01
        800.0000          3.59637910E+01          3.79739284E+01          1.84707675E+01
        810.0000          3.61716622E+01          3.83286314E+01          1.86094610E+01
        820.0000          3.63797501E+01          3.86830194E+01          1.87480237E+01
        830.0000          3.65880342E+01          3.90370948E+01          1.88864545E+01
        840.0000          3.67964952E+01          3.93908600E+01          1.90247527E+01
        850.0000          3.70051147E+01          3.97443177E+01          1.91629174E+01
        860.0000          3.72138757E+01          4.00974702E+01          1.93009481E+01
        870.0000          3.74227618E+01          4.04503202E+01          1.94388441E+01
        880.0000          3.76317576E+01          4.08028703E+01          1.95766050E+01
        890.0000          3.78408489E+01          4.11551228E+01          1.97142304E+01
        900.0000          3.80500217E+01          4.15070805E+01          1.98517200E+01
        910.0000          3.82592633E+01          4.18587458E+01          1.99890735E+01
        920.0000          3.84685614E+01          4.22101212E+01          2.01262909E+01
        930.0000          3.86779046E+01          4.25612092E+01          2.02633721E+01
        940.0000          3.88872818E+01          4.29120125E+01          2.04003168E+01
