#Energy      V  Total
       6100.0000          4.84144921E+01          4.84144921E+01
       6200.0000          4.90678270E+01          4.90678270E+01
       6300.0000          4.97199332E+01          4.97199332E+01
       6400.0000          5.03708312E+01          5.03708312E+01
       6500.0000          5.10205411E+01          5.10205411E+01
       6600.0000          5.16690819E+01          5.16690819E+01
       6700.0000          5.23164723E+01          5.23164723E+01
       6800.0000          5.29627301E+01          5.29627301E+01
       6900.0000          5.36078727E+01          5.36078727E+01
       7000.0000          5.42519167E+01          5.42519167E+01
       7100.0000          5.48948782E+01          5.48948782E+01
       7200.0000          5.55367730E+01          5.55367730E+01
       7300.0000          5.61776161E+01          5.61776161E+01
       7400.0000          5.68174221E+01          5.68174221E+01
       7500.0000          5.74562052E+01          5.74562052E+01
       7600.0000          5.80939791E+01          5.80939791E+01
       7700.0000          5.87307571E+01          5.87307571E+01
       7800.0000          5.93665521E+01          5.93665521E+01
       7900.0000          6.00013767E+01          6.00013767E+01
       8000.0000          6.06352430E+01          6.06352430E+01
       8100.0000          6.12681628E+01          6.12681628E+01
       8200.0000          6.19001474E+01          6.19001474E+01
       8300.0000          6.25312081E+01          6.25312081E+01
       8400.0000          6.31613557E+01          6.31613557E+01
       8500.0000          6.37906006E+01          6.37906006E+01
       8600.0000          6.44189531E+01          6.44189531E+01
       8700.0000          6.50464231E+01          6.50464231E+01
       8800.0000          6.56730203E+01          6.56730203E+01
       8900.0000          6.62987541E+01          6.62987541E+01
       9000.0000          6.69236337E+01          6.69236337E+01
       9100.0000          6.75476680E+01          6.75476680E+01
       9200.0000          6.81708657E+01          6.81708657E+01
       9300.0000          6.87932353E+01          6.87932353E+01
       9400.0000          6.94147851E+01          6.94147851E+01
       9500.0000          7.00355231E+01          7.00355231E+01
       9600.0000          7.06554572E+01          7.06554572E+01
       9700.0000          7.12745950E+01          7.12745950E+01
       9800.0000          7.18929441E+01          7.18929441E+01
       9900.0000          7.25105118E+01          7.25105118E+01
      10000.0000          7.31273052E+01          7.31273052E+01
      11000.0000          7.92541109E+01          7.92541109E+01
      12000.0000          8.53102552E+01          8.53102552E+01
      13000.0000          9.13007526E+01          9.13007526E+01
      14000.0000          9.72297346E+01          9.72297346E+01
      15000.0000          1.03100661E+02          1.03100661E+02
      16000.0000          1.08916471E+02          1.08916471E+02
      17000.0000          1.14679694E+02          1.14679694E+02
      18000.0000          1.20392526E+02          1.20392526E+02
      19000.0000          1.26056901E+02          1.26056901E+02
      20000.0000          1.31674527E+02          1.31674527E+02
      21000.0000          1.37246934E+02          1.37246934E+02
      22000.0000          1.42775495E+02          1.42775495E+02
      23000.0000          1.48261453E+02          1.48261453E+02
      24000.0000          1.53705943E+02          1.53705943E+02
      25000.0000          1.59110000E+02          1.59110000E+02
      26000.0000          1.64474581E+02          1.64474581E+02
      27000.0000          1.69800567E+02          1.69800567E+02
      28000.0000          1.75088777E+02          1.75088777E+02
      29000.0000          1.80339977E+02          1.80339977E+02
      30000.0000          1.85554879E+02          1.85554879E+02
      31000.0000          1.90734156E+02          1.90734156E+02
      32000.0000          1.95878438E+02          1.95878438E+02
      33000.0000          2.00988322E+02          2.00988322E+02
      34000.0000          2.06064373E+02          2.06064373E+02
      35000.0000          2.11107127E+02          2.11107127E+02
      36000.0000          2.16117095E+02          2.16117095E+02
      37000.0000          2.21094762E+02          2.21094762E+02
      38000.0000          2.26040595E+02          2.26040595E+02
      39000.0000          2.30955038E+02          2.30955038E+02
      40000.0000          2.35838519E+02          2.35838519E+02
      41000.0000          2.40691448E+02          2.40691448E+02
      42000.0000          2.45514219E+02          2.45514219E+02
      43000.0000          2.50307215E+02          2.50307215E+02
      44000.0000          2.55070803E+02          2.55070803E+02
      45000.0000          2.59805337E+02          2.59805337E+02
      46000.0000          2.64511161E+02          2.64511161E+02
      47000.0000          2.69188609E+02          2.69188609E+02
      48000.0000          2.73838003E+02          2.73838003E+02
      49000.0000          2.78459657E+02          2.78459657E+02
      50000.0000          2.83053876E+02          2.83053876E+02
