#Energy      Cd  Total
       3000.0000          4.21164405E+01          4.21164405E+01
       3100.0000          4.28605202E+01          4.28605202E+01
       3200.0000          4.36010453E+01          4.36010453E+01
       3300.0000          4.43379948E+01          4.43379948E+01
       3400.0000          4.50713641E+01          4.50713641E+01
       3500.0000          4.58011616E+01          4.58011616E+01
       3541.9990          4.61066085E+01          4.61066085E+01
       3542.0010          4.61066231E+01          4.61066231E+01
       3600.0000          4.65274065E+01          4.65274065E+01
       3700.0000          4.72501260E+01          4.72501260E+01
       3731.9990          4.74806499E+01          4.74806499E+01
       3732.0010          4.74806643E+01          4.74806643E+01
       3800.0000          4.79693539E+01          4.79693539E+01
       3900.0000          4.86851291E+01          4.86851291E+01
       4000.0000          4.93974944E+01          4.93974944E+01
       4021.9990          4.95537545E+01          4.95537545E+01
       4022.0010          4.95537687E+01          4.95537687E+01
       4100.0000          5.01064956E+01          5.01064956E+01
       4200.0000          5.08121808E+01          5.08121808E+01
       4300.0000          5.15145997E+01          5.15145997E+01
       4400.0000          5.22138028E+01          5.22138028E+01
       4500.0000          5.29098415E+01          5.29098415E+01
       4600.0000          5.36027675E+01          5.36027675E+01
       4700.0000          5.42926325E+01          5.42926325E+01
       4800.0000          5.49794878E+01          5.49794878E+01
       4900.0000          5.56633845E+01          5.56633845E+01
       5000.0000          5.63443732E+01          5.63443732E+01
       5100.0000          5.70225037E+01          5.70225037E+01
       5200.0000          5.76978251E+01          5.76978251E+01
       5300.0000          5.83703857E+01          5.83703857E+01
       5400.0000          5.90402329E+01          5.90402329E+01
       5500.0000          5.97074132E+01          5.97074132E+01
       5600.0000          6.03719723E+01          6.03719723E+01
       5700.0000          6.10339545E+01          6.10339545E+01
       5800.0000          6.16934037E+01          6.16934037E+01
       5900.0000          6.23503624E+01          6.23503624E+01
       6000.0000          6.30048722E+01          6.30048722E+01
       6100.0000          6.36569739E+01          6.36569739E+01
       6200.0000          6.43067071E+01          6.43067071E+01
       6300.0000          6.49541107E+01          6.49541107E+01
       6400.0000          6.55992223E+01          6.55992223E+01
       6500.0000          6.62420791E+01          6.62420791E+01
       6600.0000          6.68827168E+01          6.68827168E+01
       6700.0000          6.75211707E+01          6.75211707E+01
       6800.0000          6.81574750E+01          6.81574750E+01
       6900.0000          6.87916630E+01          6.87916630E+01
       7000.0000          6.94237674E+01          6.94237674E+01
       7100.0000          7.00538200E+01          7.00538200E+01
       7200.0000          7.06818516E+01          7.06818516E+01
       7300.0000          7.13078926E+01          7.13078926E+01
       7400.0000          7.19319724E+01          7.19319724E+01
       7500.0000          7.25541198E+01          7.25541198E+01
       7600.0000          7.31743628E+01          7.31743628E+01
       7700.0000          7.37927289E+01          7.37927289E+01
       7800.0000          7.44092446E+01          7.44092446E+01
       7900.0000          7.50239362E+01          7.50239362E+01
       8000.0000          7.56368290E+01          7.56368290E+01
       8100.0000          7.62479478E+01          7.62479478E+01
       8200.0000          7.68573170E+01          7.68573170E+01
       8300.0000          7.74649602E+01          7.74649602E+01
       8400.0000          7.80709005E+01          7.80709005E+01
       8500.0000          7.86751606E+01          7.86751606E+01
       8600.0000          7.92777624E+01          7.92777624E+01
       8700.0000          7.98787275E+01          7.98787275E+01
       8800.0000          8.04780771E+01          8.04780771E+01
       8900.0000          8.10758316E+01          8.10758316E+01
       9000.0000          8.16720112E+01          8.16720112E+01
       9100.0000          8.22666355E+01          8.22666355E+01
       9200.0000          8.28597238E+01          8.28597238E+01
       9300.0000          8.34512949E+01          8.34512949E+01
       9400.0000          8.40413672E+01          8.40413672E+01
       9500.0000          8.46299587E+01          8.46299587E+01
       9600.0000          8.52170869E+01          8.52170869E+01
       9700.0000          8.58027691E+01          8.58027691E+01
       9800.0000          8.63870221E+01          8.63870221E+01
       9900.0000          8.69698625E+01          8.69698625E+01
      10000.0000          8.75513063E+01          8.75513063E+01
      11000.0000          9.32922579E+01          9.32922579E+01
      12000.0000          9.89090743E+01          9.89090743E+01
      13000.0000          1.04413431E+02          1.04413431E+02
      14000.0000          1.09815051E+02          1.09815051E+02
      15000.0000          1.15122131E+02          1.15122131E+02
      16000.0000          1.20341653E+02          1.20341653E+02
      17000.0000          1.25479628E+02          1.25479628E+02
      18000.0000          1.30541272E+02          1.30541272E+02
      19000.0000          1.35531151E+02          1.35531151E+02
      20000.0000          1.40453289E+02          1.40453289E+02
      21000.0000          1.45311255E+02          1.45311255E+02
      22000.0000          1.50108238E+02          1.50108238E+02
      23000.0000          1.54847096E+02          1.54847096E+02
      24000.0000          1.59530411E+02          1.59530411E+02
      25000.0000          1.64160520E+02          1.64160520E+02
      26000.0000          1.68739554E+02          1.68739554E+02
      26714.9990          1.71983329E+02          1.71983329E+02
      26715.0010          1.71983338E+02          1.71983338E+02
      27000.0000          1.73269457E+02          1.73269457E+02
      28000.0000          1.77752015E+02          1.77752015E+02
      29000.0000          1.82188871E+02          1.82188871E+02
      30000.0000          1.86581542E+02          1.86581542E+02
      31000.0000          1.90931436E+02          1.90931436E+02
      32000.0000          1.95239858E+02          1.95239858E+02
      33000.0000          1.99508026E+02          1.99508026E+02
      34000.0000          2.03737077E+02          2.03737077E+02
      35000.0000          2.07928074E+02          2.07928074E+02
      36000.0000          2.12082017E+02          2.12082017E+02
      37000.0000          2.16199845E+02          2.16199845E+02
      38000.0000          2.20282442E+02          2.20282442E+02
      39000.0000          2.24330645E+02          2.24330645E+02
      40000.0000          2.28345244E+02          2.28345244E+02
      41000.0000          2.32326986E+02          2.32326986E+02
      42000.0000          2.36276584E+02          2.36276584E+02
      43000.0000          2.40194711E+02          2.40194711E+02
      44000.0000          2.44082012E+02          2.44082012E+02
      45000.0000          2.47939099E+02          2.47939099E+02
      46000.0000          2.51766557E+02          2.51766557E+02
      47000.0000          2.55564945E+02          2.55564945E+02
      48000.0000          2.59334799E+02          2.59334799E+02
      49000.0000          2.63076632E+02          2.63076632E+02
      50000.0000          2.66790935E+02          2.66790935E+02
