#Energy      Li-K-shell   Cl-K-shell   Cl-L1-shell   Cl-L2-shell   Cl-L3-shell   Valence  Total
         82.0000          1.54000354E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53774101E+00          5.51789904E+00
         83.0000          1.45252984E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.54577201E+00          5.52467874E+00
         84.0000          1.37351356E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.55458535E+00          5.53221269E+00
         85.0000          1.30184456E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.56414031E+00          5.54046014E+00
         86.0000          1.23661298E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.57439867E+00          5.54938318E+00
         87.0000          1.17703479E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.58532452E+00          5.55894593E+00
         88.0000          1.12245866E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.59688409E+00          5.56911497E+00
         89.0000          1.07229301E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.60904565E+00          5.57985803E+00
         90.0000          1.02608733E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.62177929E+00          5.59114624E+00
         91.0000          9.83395991E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.63505689E+00          5.60295086E+00
         92.0000          9.43867187E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.64885194E+00          5.61524585E+00
         93.0000          9.07183419E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.66313946E+00          5.62800634E+00
         94.0000          8.73054506E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.67789588E+00          5.64120837E+00
         95.0000          8.41260271E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.69309898E+00          5.65483078E+00
         96.0000          8.11570069E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.70872775E+00          5.66885204E+00
         97.0000          7.83797609E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.72476237E+00          5.68325259E+00
         98.0000          7.57774426E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.74118411E+00          5.69801381E+00
         99.0000          7.33353832E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.75797523E+00          5.71311831E+00
        100.0000          7.10399111E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.77511897E+00          5.72854930E+00
        110.0000          5.40302684E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.96283578E+00          5.89774763E+00
        120.0000          4.37080459E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.17260239E+00          6.08664467E+00
        130.0000          3.69536283E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.39695080E+00          6.28809907E+00
        140.0000          3.23050069E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.63115747E+00          6.49777939E+00
        150.0000          2.89909414E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.87212389E+00          6.71299645E+00
