#Energy      Li   Cl  Total
        100.0000          2.00953639E+01          1.16152913E+01          7.36072794E+00
        110.0000          2.18486552E+01          1.16904267E+01          7.61559612E+00
        120.0000          2.36009936E+01          1.18073906E+01          7.87006117E+00
        130.0000          2.53523871E+01          1.19561289E+01          8.12459033E+00
        140.0000          2.71028592E+01          1.21294695E+01          8.37939819E+00
        150.0000          2.88524413E+01          1.23221652E+01          8.63455847E+00
        160.0000          3.06011684E+01          1.25302938E+01          8.89006798E+00
        170.0000          3.23490762E+01          1.27508693E+01          9.14588340E+00
        180.0000          3.40962000E+01          1.29815812E+01          9.40194245E+00
        190.0000          3.58425739E+01          1.32206168E+01          9.65817606E+00
        200.0000          3.75882304E+01          1.34665357E+01          9.91451506E+00
        205.9990          3.86351182E+01          1.36168750E+01          1.00683159E+01
        206.0010          3.86354672E+01          1.36169255E+01          1.00683672E+01
        207.9990          3.89840851E+01          1.36674166E+01          1.01195923E+01
        208.0010          3.89844341E+01          1.36674672E+01          1.01196436E+01
        210.0000          3.93332000E+01          1.37181814E+01          1.01708939E+01
        220.0000          4.10775113E+01          1.39746155E+01          1.04272525E+01
        230.0000          4.28211913E+01          1.42350701E+01          1.06835366E+01
        240.0000          4.45642650E+01          1.44989119E+01          1.09396986E+01
        250.0000          4.63067558E+01          1.47656146E+01          1.11956963E+01
        260.0000          4.80486856E+01          1.50347384E+01          1.14514935E+01
        270.0000          4.97900749E+01          1.53059129E+01          1.17070587E+01
        276.9990          5.10085619E+01          1.54967583E+01          1.18857763E+01
        277.0010          5.10089100E+01          1.54968130E+01          1.18858273E+01
        280.0000          5.15309426E+01          1.55788252E+01          1.19623651E+01
        290.0000          5.32713066E+01          1.58532091E+01          1.22173900E+01
        300.0000          5.50111836E+01          1.61288377E+01          1.24721139E+01
        310.0000          5.67505893E+01          1.64055160E+01          1.27265209E+01
        320.0000          5.84895381E+01          1.66830766E+01          1.29805974E+01
        330.0000          6.02280440E+01          1.69613748E+01          1.32343324E+01
        340.0000          6.19661198E+01          1.72402853E+01          1.34877171E+01
        350.0000          6.37037778E+01          1.75196993E+01          1.37407443E+01
        360.0000          6.54410293E+01          1.77995219E+01          1.39934084E+01
        370.0000          6.71778851E+01          1.80796704E+01          1.42457054E+01
        380.0000          6.89143556E+01          1.83600724E+01          1.44976322E+01
