#Energy      H  Total
         35.0000          6.08562095E-01          6.08562095E-01
         36.0000          6.23685682E-01          6.23685682E-01
         37.0000          6.38808993E-01          6.38808993E-01
         38.0000          6.53932011E-01          6.53932011E-01
         39.0000          6.69054722E-01          6.69054722E-01
         40.0000          6.84177115E-01          6.84177115E-01
         41.0000          6.99299180E-01          6.99299180E-01
         42.0000          7.14420909E-01          7.14420909E-01
         43.0000          7.29542296E-01          7.29542296E-01
         44.0000          7.44663335E-01          7.44663335E-01
         45.0000          7.59784022E-01          7.59784022E-01
         46.0000          7.74904354E-01          7.74904354E-01
         47.0000          7.90024329E-01          7.90024329E-01
         48.0000          8.05143944E-01          8.05143944E-01
         49.0000          8.20263199E-01          8.20263199E-01
         50.0000          8.35382093E-01          8.35382093E-01
         51.0000          8.50500626E-01          8.50500626E-01
         52.0000          8.65618798E-01          8.65618798E-01
         53.0000          8.80736610E-01          8.80736610E-01
         54.0000          8.95854063E-01          8.95854063E-01
         55.0000          9.10971157E-01          9.10971157E-01
         56.0000          9.26087895E-01          9.26087895E-01
         57.0000          9.41204278E-01          9.41204278E-01
         58.0000          9.56320307E-01          9.56320307E-01
         59.0000          9.71435985E-01          9.71435985E-01
         60.0000          9.86551314E-01          9.86551314E-01
         61.0000          1.00166630E+00          1.00166630E+00
         62.0000          1.01678093E+00          1.01678093E+00
         63.0000          1.03189523E+00          1.03189523E+00
         64.0000          1.04700918E+00          1.04700918E+00
         65.0000          1.06212280E+00          1.06212280E+00
         66.0000          1.07723608E+00          1.07723608E+00
         67.0000          1.09234903E+00          1.09234903E+00
         68.0000          1.10746164E+00          1.10746164E+00
         69.0000          1.12257393E+00          1.12257393E+00
         70.0000          1.13768590E+00          1.13768590E+00
         71.0000          1.15279754E+00          1.15279754E+00
         72.0000          1.16790886E+00          1.16790886E+00
         73.0000          1.18301986E+00          1.18301986E+00
         74.0000          1.19813055E+00          1.19813055E+00
         75.0000          1.21324093E+00          1.21324093E+00
         76.0000          1.22835099E+00          1.22835099E+00
         77.0000          1.24346075E+00          1.24346075E+00
         78.0000          1.25857020E+00          1.25857020E+00
         79.0000          1.27367935E+00          1.27367935E+00
         80.0000          1.28878820E+00          1.28878820E+00
         81.0000          1.30389676E+00          1.30389676E+00
         82.0000          1.31900501E+00          1.31900501E+00
         83.0000          1.33411297E+00          1.33411297E+00
         84.0000          1.34922064E+00          1.34922064E+00
         85.0000          1.36432803E+00          1.36432803E+00
         86.0000          1.37943512E+00          1.37943512E+00
         87.0000          1.39454194E+00          1.39454194E+00
         88.0000          1.40964847E+00          1.40964847E+00
         89.0000          1.42475472E+00          1.42475472E+00
         90.0000          1.43986069E+00          1.43986069E+00
         91.0000          1.45496638E+00          1.45496638E+00
         92.0000          1.47007181E+00          1.47007181E+00
         93.0000          1.48517696E+00          1.48517696E+00
         94.0000          1.50028184E+00          1.50028184E+00
         95.0000          1.51538645E+00          1.51538645E+00
         96.0000          1.53049080E+00          1.53049080E+00
         97.0000          1.54559489E+00          1.54559489E+00
         98.0000          1.56069871E+00          1.56069871E+00
         99.0000          1.57580227E+00          1.57580227E+00
        100.0000          1.59090558E+00          1.59090558E+00
        110.0000          1.74192483E+00          1.74192483E+00
        120.0000          1.89292012E+00          1.89292012E+00
        130.0000          2.04389288E+00          2.04389288E+00
        140.0000          2.19484436E+00          2.19484436E+00
        150.0000          2.34577564E+00          2.34577564E+00
        160.0000          2.49668764E+00          2.49668764E+00
        170.0000          2.64758119E+00          2.64758119E+00
        180.0000          2.79845700E+00          2.79845700E+00
        190.0000          2.94931572E+00          2.94931572E+00
        200.0000          3.10015791E+00          3.10015791E+00
        210.0000          3.25098406E+00          3.25098406E+00
        220.0000          3.40179464E+00          3.40179464E+00
        230.0000          3.55259006E+00          3.55259006E+00
        240.0000          3.70337067E+00          3.70337067E+00
        250.0000          3.85413683E+00          3.85413683E+00
        260.0000          4.00488882E+00          4.00488882E+00
        270.0000          4.15562694E+00          4.15562694E+00
        280.0000          4.30635144E+00          4.30635144E+00
        290.0000          4.45706255E+00          4.45706255E+00
        300.0000          4.60776049E+00          4.60776049E+00
        310.0000          4.75844546E+00          4.75844546E+00
        320.0000          4.90911764E+00          4.90911764E+00
        330.0000          5.05977721E+00          5.05977721E+00
        340.0000          5.21042434E+00          5.21042434E+00
        350.0000          5.36105915E+00          5.36105915E+00
        360.0000          5.51168181E+00          5.51168181E+00
        370.0000          5.66229243E+00          5.66229243E+00
        380.0000          5.81289115E+00          5.81289115E+00
        390.0000          5.96347806E+00          5.96347806E+00
        400.0000          6.11405330E+00          6.11405330E+00
        410.0000          6.26461694E+00          6.26461694E+00
        420.0000          6.41516910E+00          6.41516910E+00
        430.0000          6.56570986E+00          6.56570986E+00
        440.0000          6.71623931E+00          6.71623931E+00
        450.0000          6.86675752E+00          6.86675752E+00
        460.0000          7.01726459E+00          7.01726459E+00
        470.0000          7.16776057E+00          7.16776057E+00
        480.0000          7.31824553E+00          7.31824553E+00
        490.0000          7.46871955E+00          7.46871955E+00
        500.0000          7.61918269E+00          7.61918269E+00
        510.0000          7.76963501E+00          7.76963501E+00
        520.0000          7.92007656E+00          7.92007656E+00
        530.0000          8.07050739E+00          8.07050739E+00
        540.0000          8.22092757E+00          8.22092757E+00
        550.0000          8.37133714E+00          8.37133714E+00
        560.0000          8.52173614E+00          8.52173614E+00
        570.0000          8.67212463E+00          8.67212463E+00
        580.0000          8.82250265E+00          8.82250265E+00
        590.0000          8.97287023E+00          8.97287023E+00
        600.0000          9.12322742E+00          9.12322742E+00
        610.0000          9.27357427E+00          9.27357427E+00
        620.0000          9.42391079E+00          9.42391079E+00
        630.0000          9.57423704E+00          9.57423704E+00
        640.0000          9.72455305E+00          9.72455305E+00
        650.0000          9.87485884E+00          9.87485884E+00
        660.0000          1.00251545E+01          1.00251545E+01
        670.0000          1.01754399E+01          1.01754399E+01
        680.0000          1.03257153E+01          1.03257153E+01
        690.0000          1.04759805E+01          1.04759805E+01
        700.0000          1.06262357E+01          1.06262357E+01
        710.0000          1.07764809E+01          1.07764809E+01
        720.0000          1.09267160E+01          1.09267160E+01
        730.0000          1.10769412E+01          1.10769412E+01
        740.0000          1.12271564E+01          1.12271564E+01
        750.0000          1.13773617E+01          1.13773617E+01
        760.0000          1.15275570E+01          1.15275570E+01
        770.0000          1.16777425E+01          1.16777425E+01
        780.0000          1.18279181E+01          1.18279181E+01
        790.0000          1.19780839E+01          1.19780839E+01
        800.0000          1.21282398E+01          1.21282398E+01
        810.0000          1.22783859E+01          1.22783859E+01
        820.0000          1.24285222E+01          1.24285222E+01
        830.0000          1.25786488E+01          1.25786488E+01
        840.0000          1.27287655E+01          1.27287655E+01
        850.0000          1.28788726E+01          1.28788726E+01
        860.0000          1.30289699E+01          1.30289699E+01
        870.0000          1.31790576E+01          1.31790576E+01
        880.0000          1.33291355E+01          1.33291355E+01
        890.0000          1.34792038E+01          1.34792038E+01
        900.0000          1.36292624E+01          1.36292624E+01
        910.0000          1.37793114E+01          1.37793114E+01
        920.0000          1.39293507E+01          1.39293507E+01
        930.0000          1.40793805E+01          1.40793805E+01
        940.0000          1.42294006E+01          1.42294006E+01
        950.0000          1.43794111E+01          1.43794111E+01
        960.0000          1.45294121E+01          1.45294121E+01
        970.0000          1.46794035E+01          1.46794035E+01
        980.0000          1.48293854E+01          1.48293854E+01
        990.0000          1.49793577E+01          1.49793577E+01
       1000.0000          1.51293205E+01          1.51293205E+01
       1100.0000          1.66284272E+01          1.66284272E+01
       1200.0000          1.81265928E+01          1.81265928E+01
       1300.0000          1.96238256E+01          1.96238256E+01
       1400.0000          2.11201327E+01          2.11201327E+01
       1500.0000          2.26155199E+01          2.26155199E+01
       1600.0000          2.41099922E+01          2.41099922E+01
       1700.0000          2.56035541E+01          2.56035541E+01
       1800.0000          2.70962092E+01          2.70962092E+01
       1900.0000          2.85879612E+01          2.85879612E+01
       2000.0000          3.00788129E+01          3.00788129E+01
       2100.0000          3.15687672E+01          3.15687672E+01
       2200.0000          3.30578266E+01          3.30578266E+01
       2300.0000          3.45459935E+01          3.45459935E+01
       2400.0000          3.60332699E+01          3.60332699E+01
       2500.0000          3.75196578E+01          3.75196578E+01
       2600.0000          3.90051592E+01          3.90051592E+01
       2700.0000          4.04897757E+01          4.04897757E+01
       2800.0000          4.19735091E+01          4.19735091E+01
       2900.0000          4.34563608E+01          4.34563608E+01
       3000.0000          4.49383324E+01          4.49383324E+01
       3100.0000          4.64194253E+01          4.64194253E+01
       3200.0000          4.78996408E+01          4.78996408E+01
       3300.0000          4.93789803E+01          4.93789803E+01
       3400.0000          5.08574449E+01          5.08574449E+01
       3500.0000          5.23350361E+01          5.23350361E+01
       3600.0000          5.38117548E+01          5.38117548E+01
       3700.0000          5.52876022E+01          5.52876022E+01
       3800.0000          5.67625795E+01          5.67625795E+01
       3900.0000          5.82366878E+01          5.82366878E+01
       4000.0000          5.97099280E+01          5.97099280E+01
       4100.0000          6.11823013E+01          6.11823013E+01
       4200.0000          6.26538086E+01          6.26538086E+01
       4300.0000          6.41244508E+01          6.41244508E+01
       4400.0000          6.55942291E+01          6.55942291E+01
       4500.0000          6.70631442E+01          6.70631442E+01
       4600.0000          6.85311973E+01          6.85311973E+01
       4700.0000          6.99983891E+01          6.99983891E+01
       4800.0000          7.14647205E+01          7.14647205E+01
       4900.0000          7.29301926E+01          7.29301926E+01
       5000.0000          7.43948061E+01          7.43948061E+01
       5100.0000          7.58585618E+01          7.58585618E+01
       5200.0000          7.73214608E+01          7.73214608E+01
       5300.0000          7.87835038E+01          7.87835038E+01
       5400.0000          8.02446916E+01          8.02446916E+01
       5500.0000          8.17050250E+01          8.17050250E+01
       5600.0000          8.31645050E+01          8.31645050E+01
       5700.0000          8.46231323E+01          8.46231323E+01
       5800.0000          8.60809077E+01          8.60809077E+01
       5900.0000          8.75378320E+01          8.75378320E+01
       6000.0000          8.89939060E+01          8.89939060E+01
       6100.0000          9.04491305E+01          9.04491305E+01
       6200.0000          9.19035063E+01          9.19035063E+01
       6300.0000          9.33570340E+01          9.33570340E+01
       6400.0000          9.48097146E+01          9.48097146E+01
       6500.0000          9.62615488E+01          9.62615488E+01
       6600.0000          9.77125372E+01          9.77125372E+01
       6700.0000          9.91626808E+01          9.91626808E+01
       6800.0000          1.00611980E+02          1.00611980E+02
       6900.0000          1.02060436E+02          1.02060436E+02
       7000.0000          1.03508049E+02          1.03508049E+02
       7100.0000          1.04954821E+02          1.04954821E+02
       7200.0000          1.06400751E+02          1.06400751E+02
       7300.0000          1.07845840E+02          1.07845840E+02
       7400.0000          1.09290090E+02          1.09290090E+02
       7500.0000          1.10733501E+02          1.10733501E+02
       7600.0000          1.12176073E+02          1.12176073E+02
       7700.0000          1.13617808E+02          1.13617808E+02
       7800.0000          1.15058706E+02          1.15058706E+02
       7900.0000          1.16498768E+02          1.16498768E+02
       8000.0000          1.17937994E+02          1.17937994E+02
       8100.0000          1.19376385E+02          1.19376385E+02
       8200.0000          1.20813943E+02          1.20813943E+02
       8300.0000          1.22250667E+02          1.22250667E+02
       8400.0000          1.23686558E+02          1.23686558E+02
       8500.0000          1.25121617E+02          1.25121617E+02
       8600.0000          1.26555845E+02          1.26555845E+02
       8700.0000          1.27989243E+02          1.27989243E+02
       8800.0000          1.29421810E+02          1.29421810E+02
       8900.0000          1.30853549E+02          1.30853549E+02
       9000.0000          1.32284458E+02          1.32284458E+02
       9100.0000          1.33714540E+02          1.33714540E+02
       9200.0000          1.35143795E+02          1.35143795E+02
       9300.0000          1.36572223E+02          1.36572223E+02
       9400.0000          1.37999825E+02          1.37999825E+02
       9500.0000          1.39426603E+02          1.39426603E+02
       9600.0000          1.40852555E+02          1.40852555E+02
       9700.0000          1.42277684E+02          1.42277684E+02
       9800.0000          1.43701990E+02          1.43701990E+02
       9900.0000          1.45125474E+02          1.45125474E+02
      10000.0000          1.46548135E+02          1.46548135E+02
      11000.0000          1.60729698E+02          1.60729698E+02
      12000.0000          1.74829803E+02          1.74829803E+02
      13000.0000          1.88849097E+02          1.88849097E+02
      14000.0000          2.02788214E+02          2.02788214E+02
      15000.0000          2.16647778E+02          2.16647778E+02
      16000.0000          2.30428407E+02          2.30428407E+02
      17000.0000          2.44130710E+02          2.44130710E+02
      18000.0000          2.57755286E+02          2.57755286E+02
      19000.0000          2.71302731E+02          2.71302731E+02
      20000.0000          2.84773632E+02          2.84773632E+02
      21000.0000          2.98168570E+02          2.98168570E+02
      22000.0000          3.11488120E+02          3.11488120E+02
      23000.0000          3.24732851E+02          3.24732851E+02
      24000.0000          3.37903326E+02          3.37903326E+02
      25000.0000          3.51000103E+02          3.51000103E+02
      26000.0000          3.64023734E+02          3.64023734E+02
      27000.0000          3.76974764E+02          3.76974764E+02
      28000.0000          3.89853735E+02          3.89853735E+02
      29000.0000          4.02661183E+02          4.02661183E+02
      30000.0000          4.15397639E+02          4.15397639E+02
      31000.0000          4.28063627E+02          4.28063627E+02
      32000.0000          4.40659669E+02          4.40659669E+02
      33000.0000          4.53186280E+02          4.53186280E+02
      34000.0000          4.65643970E+02          4.65643970E+02
      35000.0000          4.78033247E+02          4.78033247E+02
      36000.0000          4.90354610E+02          4.90354610E+02
      37000.0000          5.02608556E+02          5.02608556E+02
      38000.0000          5.14795579E+02          5.14795579E+02
      39000.0000          5.26916164E+02          5.26916164E+02
      40000.0000          5.38970794E+02          5.38970794E+02
      41000.0000          5.50959949E+02          5.50959949E+02
      42000.0000          5.62884102E+02          5.62884102E+02
      43000.0000          5.74743723E+02          5.74743723E+02
      44000.0000          5.86539278E+02          5.86539278E+02
      45000.0000          5.98271227E+02          5.98271227E+02
      46000.0000          6.09940028E+02          6.09940028E+02
      47000.0000          6.21546133E+02          6.21546133E+02
      48000.0000          6.33089993E+02          6.33089993E+02
      49000.0000          6.44572050E+02          6.44572050E+02
      50000.0000          6.55992747E+02          6.55992747E+02
