#Energy      Valence  Total
         79.0000          7.47156234E+01          7.47156234E+01
         80.0000          7.57367175E+01          7.57367175E+01
         81.0000          7.67716279E+01          7.67716279E+01
         82.0000          7.77922829E+01          7.77922829E+01
         83.0000          7.88151663E+01          7.88151663E+01
         84.0000          7.98389721E+01          7.98389721E+01
         85.0000          8.08695288E+01          8.08695288E+01
         86.0000          8.18874355E+01          8.18874355E+01
         87.0000          8.29179746E+01          8.29179746E+01
         88.0000          8.39351526E+01          8.39351526E+01
         89.0000          8.49560051E+01          8.49560051E+01
         90.0000          8.59834483E+01          8.59834483E+01
         91.0000          8.70006012E+01          8.70006012E+01
         92.0000          8.80283174E+01          8.80283174E+01
         93.0000          8.90427110E+01          8.90427110E+01
         94.0000          9.00623049E+01          9.00623049E+01
         95.0000          9.10821227E+01          9.10821227E+01
         96.0000          9.21057420E+01          9.21057420E+01
         97.0000          9.31243819E+01          9.31243819E+01
         98.0000          9.41491183E+01          9.41491183E+01
         99.0000          9.51624533E+01          9.51624533E+01
        100.0000          9.61867879E+01          9.61867879E+01
        110.0000          9.76098055E+01          9.76098055E+01
        120.0000          9.89144540E+01          9.89144540E+01
        130.0000          1.08978781E+02          1.08978781E+02
        140.0000          1.19036386E+02          1.19036386E+02
        150.0000          1.29086359E+02          1.29086359E+02
        160.0000          1.39132779E+02          1.39132779E+02
        170.0000          1.49178326E+02          1.49178326E+02
        180.0000          1.59219547E+02          1.59219547E+02
        190.0000          1.69257111E+02          1.69257111E+02
        200.0000          1.79291769E+02          1.79291769E+02
        210.0000          1.89327266E+02          1.89327266E+02
        220.0000          1.99355447E+02          1.99355447E+02
        230.0000          2.09385241E+02          2.09385241E+02
        240.0000          2.19408990E+02          2.19408990E+02
        250.0000          2.29433934E+02          2.29433934E+02
        260.0000          2.39455911E+02          2.39455911E+02
        270.0000          2.49477631E+02          2.49477631E+02
        280.0000          2.59496814E+02          2.59496814E+02
        290.0000          2.69515766E+02          2.69515766E+02
        300.0000          2.79533375E+02          2.79533375E+02
        310.0000          2.89548686E+02          2.89548686E+02
        320.0000          2.99564903E+02          2.99564903E+02
        330.0000          3.09579148E+02          3.09579148E+02
        340.0000          3.19592986E+02          3.19592986E+02
        350.0000          3.29606314E+02          3.29606314E+02
        360.0000          3.39619774E+02          3.39619774E+02
        370.0000          3.49629835E+02          3.49629835E+02
        380.0000          3.59640637E+02          3.59640637E+02
        390.0000          3.69651370E+02          3.69651370E+02
        400.0000          3.79661883E+02          3.79661883E+02
        410.0000          3.89670565E+02          3.89670565E+02
        420.0000          3.99679829E+02          3.99679829E+02
        430.0000          4.09689112E+02          4.09689112E+02
        440.0000          4.19696666E+02          4.19696666E+02
        450.0000          4.29705102E+02          4.29705102E+02
        460.0000          4.39712324E+02          4.39712324E+02
        470.0000          4.49720219E+02          4.49720219E+02
        480.0000          4.59727284E+02          4.59727284E+02
        490.0000          4.69733876E+02          4.69733876E+02
        500.0000          4.79739325E+02          4.79739325E+02
        510.0000          4.89745683E+02          4.89745683E+02
        520.0000          4.99751408E+02          4.99751408E+02
        530.0000          5.09757045E+02          5.09757045E+02
        540.0000          5.19762671E+02          5.19762671E+02
