#Energy      Cr  Total
        480.0000          7.26996783E+00          7.26996783E+00
        490.0000          7.33735312E+00          7.33735312E+00
        500.0000          7.40496882E+00          7.40496882E+00
        510.0000          7.47279176E+00          7.47279176E+00
        520.0000          7.54080079E+00          7.54080079E+00
        530.0000          7.60897658E+00          7.60897658E+00
        540.0000          7.67730146E+00          7.67730146E+00
        550.0000          7.74575921E+00          7.74575921E+00
        560.0000          7.81433498E+00          7.81433498E+00
        570.0000          7.88301515E+00          7.88301515E+00
        579.9990          7.95178030E+00          7.95178030E+00
        580.0000          7.95178718E+00          7.95178718E+00
        580.0010          7.95179407E+00          7.95179407E+00
        588.9990          8.01374413E+00          8.01374413E+00
        589.0010          8.01375791E+00          8.01375791E+00
        590.0000          8.02063956E+00          8.02063956E+00
        600.0000          8.08956168E+00          8.08956168E+00
        610.0000          8.15854378E+00          8.15854378E+00
        620.0000          8.22757687E+00          8.22757687E+00
        630.0000          8.29665263E+00          8.29665263E+00
        640.0000          8.36576341E+00          8.36576341E+00
        650.0000          8.43490214E+00          8.43490214E+00
        660.0000          8.50406229E+00          8.50406229E+00
        670.0000          8.57323781E+00          8.57323781E+00
        680.0000          8.64242311E+00          8.64242311E+00
        690.0000          8.71161304E+00          8.71161304E+00
        700.0000          8.78080280E+00          8.78080280E+00
        701.9990          8.79463342E+00          8.79463342E+00
        702.0010          8.79464726E+00          8.79464726E+00
        710.0000          8.84998798E+00          8.84998798E+00
        720.0000          8.91916447E+00          8.91916447E+00
        730.0000          8.98832848E+00          8.98832848E+00
        740.0000          9.05747650E+00          9.05747650E+00
        750.0000          9.12660527E+00          9.12660527E+00
        760.0000          9.19571177E+00          9.19571177E+00
        770.0000          9.26479322E+00          9.26479322E+00
        780.0000          9.33384702E+00          9.33384702E+00
        790.0000          9.40287078E+00          9.40287078E+00
        800.0000          9.47186228E+00          9.47186228E+00
        810.0000          9.54081948E+00          9.54081948E+00
        820.0000          9.60974046E+00          9.60974046E+00
        830.0000          9.67862348E+00          9.67862348E+00
        840.0000          9.74746691E+00          9.74746691E+00
        850.0000          9.81626924E+00          9.81626924E+00
        860.0000          9.88502911E+00          9.88502911E+00
        870.0000          9.95374522E+00          9.95374522E+00
        880.0000          1.00224164E+01          1.00224164E+01
        890.0000          1.00910416E+01          1.00910416E+01
        900.0000          1.01596197E+01          1.01596197E+01
        910.0000          1.02281499E+01          1.02281499E+01
        920.0000          1.02966314E+01          1.02966314E+01
        930.0000          1.03650633E+01          1.03650633E+01
        940.0000          1.04334450E+01          1.04334450E+01
        950.0000          1.05017758E+01          1.05017758E+01
        960.0000          1.05700552E+01          1.05700552E+01
        970.0000          1.06382826E+01          1.06382826E+01
        980.0000          1.07064575E+01          1.07064575E+01
        990.0000          1.07745795E+01          1.07745795E+01
       1000.0000          1.08426482E+01          1.08426482E+01
       1100.0000          1.15203471E+01          1.15203471E+01
       1200.0000          1.21925358E+01          1.21925358E+01
       1300.0000          1.28592511E+01          1.28592511E+01
       1400.0000          1.35206417E+01          1.35206417E+01
       1500.0000          1.41769105E+01          1.41769105E+01
       1600.0000          1.48282839E+01          1.48282839E+01
       1700.0000          1.54749939E+01          1.54749939E+01
       1800.0000          1.61172684E+01          1.61172684E+01
       1900.0000          1.67553265E+01          1.67553265E+01
       2000.0000          1.73893758E+01          1.73893758E+01
       2100.0000          1.80196112E+01          1.80196112E+01
       2200.0000          1.86462148E+01          1.86462148E+01
       2300.0000          1.92693565E+01          1.92693565E+01
       2400.0000          1.98891944E+01          1.98891944E+01
       2500.0000          2.05058754E+01          2.05058754E+01
       2600.0000          2.11195362E+01          2.11195362E+01
       2700.0000          2.17303042E+01          2.17303042E+01
       2800.0000          2.23382978E+01          2.23382978E+01
       2900.0000          2.29436274E+01          2.29436274E+01
       3000.0000          2.35463961E+01          2.35463961E+01
       3100.0000          2.41467002E+01          2.41467002E+01
       3200.0000          2.47446298E+01          2.47446298E+01
       3300.0000          2.53402693E+01          2.53402693E+01
       3400.0000          2.59336977E+01          2.59336977E+01
       3500.0000          2.65249895E+01          2.65249895E+01
       3600.0000          2.71142144E+01          2.71142144E+01
       3700.0000          2.77014382E+01          2.77014382E+01
       3800.0000          2.82867230E+01          2.82867230E+01
       3900.0000          2.88701271E+01          2.88701271E+01
       4000.0000          2.94517059E+01          2.94517059E+01
       4100.0000          3.00315116E+01          3.00315116E+01
       4200.0000          3.06095937E+01          3.06095937E+01
       4300.0000          3.11859991E+01          3.11859991E+01
       4400.0000          3.17607723E+01          3.17607723E+01
       4500.0000          3.23339555E+01          3.23339555E+01
       4600.0000          3.29055890E+01          3.29055890E+01
       4700.0000          3.34757110E+01          3.34757110E+01
       4800.0000          3.40443578E+01          3.40443578E+01
       4900.0000          3.46115643E+01          3.46115643E+01
       5000.0000          3.51773635E+01          3.51773635E+01
       5100.0000          3.57417871E+01          3.57417871E+01
       5200.0000          3.63048653E+01          3.63048653E+01
       5300.0000          3.68666269E+01          3.68666269E+01
       5400.0000          3.74270998E+01          3.74270998E+01
       5500.0000          3.79863104E+01          3.79863104E+01
       5600.0000          3.85442840E+01          3.85442840E+01
       5700.0000          3.91010452E+01          3.91010452E+01
       5800.0000          3.96566172E+01          3.96566172E+01
       5900.0000          4.02110225E+01          4.02110225E+01
       5994.9990          4.07366411E+01          4.07366411E+01
       5995.0010          4.07366522E+01          4.07366522E+01
       6000.0000          4.07642828E+01          4.07642828E+01
       6100.0000          4.13164188E+01          4.13164188E+01
       6200.0000          4.18674504E+01          4.18674504E+01
       6300.0000          4.24173970E+01          4.24173970E+01
       6400.0000          4.29662771E+01          4.29662771E+01
       6500.0000          4.35141085E+01          4.35141085E+01
       6600.0000          4.40609085E+01          4.40609085E+01
       6700.0000          4.46066936E+01          4.46066936E+01
       6800.0000          4.51514801E+01          4.51514801E+01
       6900.0000          4.56952833E+01          4.56952833E+01
       7000.0000          4.62381182E+01          4.62381182E+01
       7100.0000          4.67799994E+01          4.67799994E+01
       7200.0000          4.73209408E+01          4.73209408E+01
       7300.0000          4.78609560E+01          4.78609560E+01
       7400.0000          4.84000582E+01          4.84000582E+01
       7500.0000          4.89382600E+01          4.89382600E+01
       7600.0000          4.94755739E+01          4.94755739E+01
       7700.0000          5.00120116E+01          5.00120116E+01
       7800.0000          5.05475849E+01          5.05475849E+01
       7900.0000          5.10823049E+01          5.10823049E+01
       8000.0000          5.16161825E+01          5.16161825E+01
       8100.0000          5.21492284E+01          5.21492284E+01
       8200.0000          5.26814529E+01          5.26814529E+01
       8300.0000          5.32128658E+01          5.32128658E+01
       8400.0000          5.37434770E+01          5.37434770E+01
       8500.0000          5.42732958E+01          5.42732958E+01
       8600.0000          5.48023315E+01          5.48023315E+01
       8700.0000          5.53305929E+01          5.53305929E+01
       8800.0000          5.58580888E+01          5.58580888E+01
       8900.0000          5.63848276E+01          5.63848276E+01
       9000.0000          5.69108176E+01          5.69108176E+01
       9100.0000          5.74360668E+01          5.74360668E+01
       9200.0000          5.79605830E+01          5.79605830E+01
       9300.0000          5.84843738E+01          5.84843738E+01
       9400.0000          5.90074467E+01          5.90074467E+01
       9500.0000          5.95298088E+01          5.95298088E+01
       9600.0000          6.00514674E+01          6.00514674E+01
       9700.0000          6.05724292E+01          6.05724292E+01
       9800.0000          6.10927009E+01          6.10927009E+01
       9900.0000          6.16122893E+01          6.16122893E+01
      10000.0000          6.21312006E+01          6.21312006E+01
      11000.0000          6.72843873E+01          6.72843873E+01
      12000.0000          7.23759522E+01          7.23759522E+01
      13000.0000          7.74103996E+01          7.74103996E+01
      14000.0000          8.23914388E+01          8.23914388E+01
      15000.0000          8.73221751E+01          8.73221751E+01
      16000.0000          9.22052446E+01          9.22052446E+01
      17000.0000          9.70429130E+01          9.70429130E+01
      18000.0000          1.01837149E+02          1.01837149E+02
      19000.0000          1.06589681E+02          1.06589681E+02
      20000.0000          1.11302037E+02          1.11302037E+02
      21000.0000          1.15975581E+02          1.15975581E+02
      22000.0000          1.20611540E+02          1.20611540E+02
      23000.0000          1.25211022E+02          1.25211022E+02
      24000.0000          1.29775034E+02          1.29775034E+02
      25000.0000          1.34304499E+02          1.34304499E+02
      26000.0000          1.38800265E+02          1.38800265E+02
      27000.0000          1.43263114E+02          1.43263114E+02
      28000.0000          1.47693773E+02          1.47693773E+02
      29000.0000          1.52092916E+02          1.52092916E+02
      30000.0000          1.56461175E+02          1.56461175E+02
      31000.0000          1.60799143E+02          1.60799143E+02
      32000.0000          1.65107376E+02          1.65107376E+02
      33000.0000          1.69386399E+02          1.69386399E+02
      34000.0000          1.73636709E+02          1.73636709E+02
      35000.0000          1.77858776E+02          1.77858776E+02
      36000.0000          1.82053049E+02          1.82053049E+02
      37000.0000          1.86219953E+02          1.86219953E+02
      38000.0000          1.90359897E+02          1.90359897E+02
      39000.0000          1.94473268E+02          1.94473268E+02
      40000.0000          1.98560441E+02          1.98560441E+02
      41000.0000          2.02621772E+02          2.02621772E+02
      42000.0000          2.06657608E+02          2.06657608E+02
      43000.0000          2.10668278E+02          2.10668278E+02
      44000.0000          2.14654102E+02          2.14654102E+02
      45000.0000          2.18615390E+02          2.18615390E+02
      46000.0000          2.22552440E+02          2.22552440E+02
      47000.0000          2.26465539E+02          2.26465539E+02
      48000.0000          2.30354969E+02          2.30354969E+02
      49000.0000          2.34221000E+02          2.34221000E+02
      50000.0000          2.38063895E+02          2.38063895E+02
