#Energy      Ag  Total
        100.0000          4.48003325E+01          4.48003325E+01
        100.9990          4.44482703E+01          4.44482703E+01
        101.0010          4.44475726E+01          4.44475726E+01
        110.0000          4.15738678E+01          4.15738678E+01
        120.0000          3.89042437E+01          3.89042437E+01
        130.0000          3.66630662E+01          3.66630662E+01
        140.0000          3.47585452E+01          3.47585452E+01
        150.0000          3.31233174E+01          3.31233174E+01
        160.0000          3.17068282E+01          3.17068282E+01
        170.0000          3.04703979E+01          3.04703979E+01
        180.0000          2.93839293E+01          2.93839293E+01
        190.0000          2.84236534E+01          2.84236534E+01
        200.0000          2.75705499E+01          2.75705499E+01
        210.0000          2.68092192E+01          2.68092192E+01
        220.0000          2.61270602E+01          2.61270602E+01
        230.0000          2.55136628E+01          2.55136628E+01
        240.0000          2.49603527E+01          2.49603527E+01
        250.0000          2.44598440E+01          2.44598440E+01
        260.0000          2.40059729E+01          2.40059729E+01
        270.0000          2.35934898E+01          2.35934898E+01
        280.0000          2.32178967E+01          2.32178967E+01
        290.0000          2.28753171E+01          2.28753171E+01
        300.0000          2.25623926E+01          2.25623926E+01
        310.0000          2.22761998E+01          2.22761998E+01
        320.0000          2.20141818E+01          2.20141818E+01
        330.0000          2.17740929E+01          2.17740929E+01
        340.0000          2.15539528E+01          2.15539528E+01
        350.0000          2.13520086E+01          2.13520086E+01
        360.0000          2.11667035E+01          2.11667035E+01
        370.0000          2.09966496E+01          2.09966496E+01
        372.9990          2.09484344E+01          2.09484344E+01
        373.0010          2.09484027E+01          2.09484027E+01
        378.9990          2.08556281E+01          2.08556281E+01
        379.0010          2.08555979E+01          2.08555979E+01
        380.0000          2.08406065E+01          2.08406065E+01
        390.0000          2.06974617E+01          2.06974617E+01
        400.0000          2.05662149E+01          2.05662149E+01
        410.0000          2.04459641E+01          2.04459641E+01
        420.0000          2.03358940E+01          2.03358940E+01
        430.0000          2.02352661E+01          2.02352661E+01
        440.0000          2.01434094E+01          2.01434094E+01
        450.0000          2.00597135E+01          2.00597135E+01
        460.0000          1.99836214E+01          1.99836214E+01
        470.0000          1.99146242E+01          1.99146242E+01
        480.0000          1.98522561E+01          1.98522561E+01
        490.0000          1.97960897E+01          1.97960897E+01
        500.0000          1.97457322E+01          1.97457322E+01
        510.0000          1.97008223E+01          1.97008223E+01
        520.0000          1.96610268E+01          1.96610268E+01
        530.0000          1.96260380E+01          1.96260380E+01
        540.0000          1.95955715E+01          1.95955715E+01
        550.0000          1.95693640E+01          1.95693640E+01
        560.0000          1.95471711E+01          1.95471711E+01
        570.0000          1.95287662E+01          1.95287662E+01
        576.9990          1.95180245E+01          1.95180245E+01
        577.0010          1.95180217E+01          1.95180217E+01
        580.0000          1.95139384E+01          1.95139384E+01
        590.0000          1.95024917E+01          1.95024917E+01
        600.0000          1.94942431E+01          1.94942431E+01
        607.9990          1.94898324E+01          1.94898324E+01
        608.0010          1.94898315E+01          1.94898315E+01
        610.0000          1.94890221E+01          1.94890221E+01
        620.0000          1.94866695E+01          1.94866695E+01
        630.0000          1.94870363E+01          1.94870363E+01
        640.0000          1.94899831E+01          1.94899831E+01
        650.0000          1.94953794E+01          1.94953794E+01
        660.0000          1.95031026E+01          1.95031026E+01
        670.0000          1.95130380E+01          1.95130380E+01
        680.0000          1.95250775E+01          1.95250775E+01
        690.0000          1.95391195E+01          1.95391195E+01
        700.0000          1.95550687E+01          1.95550687E+01
        710.0000          1.95728349E+01          1.95728349E+01
        720.0000          1.95923334E+01          1.95923334E+01
        723.9990          1.96005976E+01          1.96005976E+01
        724.0010          1.96006018E+01          1.96006018E+01
        730.0000          1.96134841E+01          1.96134841E+01
        740.0000          1.96362116E+01          1.96362116E+01
        750.0000          1.96604444E+01          1.96604444E+01
        760.0000          1.96861151E+01          1.96861151E+01
        770.0000          1.97131599E+01          1.97131599E+01
        780.0000          1.97415184E+01          1.97415184E+01
        790.0000          1.97711333E+01          1.97711333E+01
        800.0000          1.98019503E+01          1.98019503E+01
        810.0000          1.98339180E+01          1.98339180E+01
        820.0000          1.98669876E+01          1.98669876E+01
        830.0000          1.99011126E+01          1.99011126E+01
        840.0000          1.99362491E+01          1.99362491E+01
        850.0000          1.99723550E+01          1.99723550E+01
        860.0000          2.00093906E+01          2.00093906E+01
        870.0000          2.00473179E+01          2.00473179E+01
        880.0000          2.00861007E+01          2.00861007E+01
        890.0000          2.01257048E+01          2.01257048E+01
        900.0000          2.01660972E+01          2.01660972E+01
        910.0000          2.02072466E+01          2.02072466E+01
        920.0000          2.02491233E+01          2.02491233E+01
        930.0000          2.02916988E+01          2.02916988E+01
        940.0000          2.03349458E+01          2.03349458E+01
        950.0000          2.03788384E+01          2.03788384E+01
        960.0000          2.04233516E+01          2.04233516E+01
        970.0000          2.04684618E+01          2.04684618E+01
        980.0000          2.05141463E+01          2.05141463E+01
        990.0000          2.05603832E+01          2.05603832E+01
       1000.0000          2.06071518E+01          2.06071518E+01
       1100.0000          2.11000767E+01          2.11000767E+01
       1200.0000          2.16286474E+01          2.16286474E+01
       1300.0000          2.21819788E+01          2.21819788E+01
       1400.0000          2.27525609E+01          2.27525609E+01
       1500.0000          2.33350914E+01          2.33350914E+01
       1600.0000          2.39257556E+01          2.39257556E+01
       1700.0000          2.45217662E+01          2.45217662E+01
       1800.0000          2.51210608E+01          2.51210608E+01
       1900.0000          2.57220977E+01          2.57220977E+01
       2000.0000          2.63237152E+01          2.63237152E+01
       2100.0000          2.69250332E+01          2.69250332E+01
       2200.0000          2.75253824E+01          2.75253824E+01
       2300.0000          2.81242531E+01          2.81242531E+01
       2400.0000          2.87212577E+01          2.87212577E+01
       2500.0000          2.93161026E+01          2.93161026E+01
       2600.0000          2.99085674E+01          2.99085674E+01
       2700.0000          3.04984883E+01          3.04984883E+01
       2800.0000          3.10857463E+01          3.10857463E+01
       2900.0000          3.16702578E+01          3.16702578E+01
       3000.0000          3.22519666E+01          3.22519666E+01
       3100.0000          3.28308389E+01          3.28308389E+01
       3200.0000          3.34068581E+01          3.34068581E+01
       3300.0000          3.39800214E+01          3.39800214E+01
       3356.9990          3.43054438E+01          3.43054438E+01
       3357.0010          3.43054552E+01          3.43054552E+01
       3400.0000          3.45503372E+01          3.45503372E+01
       3500.0000          3.51178222E+01          3.51178222E+01
       3529.9990          3.52875134E+01          3.52875134E+01
       3530.0010          3.52875247E+01          3.52875247E+01
       3600.0000          3.56825001E+01          3.56825001E+01
       3700.0000          3.62443998E+01          3.62443998E+01
       3800.0000          3.68035545E+01          3.68035545E+01
       3811.9990          3.68704647E+01          3.68704647E+01
       3812.0010          3.68704758E+01          3.68704758E+01
       3900.0000          3.73600001E+01          3.73600001E+01
       4000.0000          3.79137753E+01          3.79137753E+01
       4100.0000          3.84649202E+01          3.84649202E+01
       4200.0000          3.90134762E+01          3.90134762E+01
       4300.0000          3.95594853E+01          3.95594853E+01
       4400.0000          4.01029902E+01          4.01029902E+01
       4500.0000          4.06440335E+01          4.06440335E+01
       4600.0000          4.11826577E+01          4.11826577E+01
       4700.0000          4.17189051E+01          4.17189051E+01
       4800.0000          4.22528176E+01          4.22528176E+01
       4900.0000          4.27844367E+01          4.27844367E+01
       5000.0000          4.33138030E+01          4.33138030E+01
       5100.0000          4.38409566E+01          4.38409566E+01
       5200.0000          4.43659369E+01          4.43659369E+01
       5300.0000          4.48887823E+01          4.48887823E+01
       5400.0000          4.54095307E+01          4.54095307E+01
       5500.0000          4.59282190E+01          4.59282190E+01
       5600.0000          4.64448833E+01          4.64448833E+01
       5700.0000          4.69595588E+01          4.69595588E+01
       5800.0000          4.74722800E+01          4.74722800E+01
       5900.0000          4.79830804E+01          4.79830804E+01
       6000.0000          4.84919928E+01          4.84919928E+01
       6100.0000          4.89990493E+01          4.89990493E+01
       6200.0000          4.95042808E+01          4.95042808E+01
       6300.0000          5.00077179E+01          5.00077179E+01
       6400.0000          5.05093901E+01          5.05093901E+01
       6500.0000          5.10093262E+01          5.10093262E+01
       6600.0000          5.15075543E+01          5.15075543E+01
       6700.0000          5.20041019E+01          5.20041019E+01
       6800.0000          5.24989957E+01          5.24989957E+01
       6900.0000          5.29922616E+01          5.29922616E+01
       7000.0000          5.34839250E+01          5.34839250E+01
       7100.0000          5.39740105E+01          5.39740105E+01
       7200.0000          5.44625424E+01          5.44625424E+01
       7300.0000          5.49495440E+01          5.49495440E+01
       7400.0000          5.54350382E+01          5.54350382E+01
       7500.0000          5.59190473E+01          5.59190473E+01
       7600.0000          5.64015931E+01          5.64015931E+01
       7700.0000          5.68826968E+01          5.68826968E+01
       7800.0000          5.73623790E+01          5.73623790E+01
       7900.0000          5.78406599E+01          5.78406599E+01
       8000.0000          5.83175593E+01          5.83175593E+01
       8100.0000          5.87930962E+01          5.87930962E+01
       8200.0000          5.92672895E+01          5.92672895E+01
       8300.0000          5.97401575E+01          5.97401575E+01
       8400.0000          6.02117179E+01          6.02117179E+01
       8500.0000          6.06819883E+01          6.06819883E+01
       8600.0000          6.11509856E+01          6.11509856E+01
       8700.0000          6.16187265E+01          6.16187265E+01
       8800.0000          6.20852273E+01          6.20852273E+01
       8900.0000          6.25505037E+01          6.25505037E+01
       9000.0000          6.30145712E+01          6.30145712E+01
       9100.0000          6.34774451E+01          6.34774451E+01
       9200.0000          6.39391402E+01          6.39391402E+01
