#Energy      Te  Total
       1700.0000          5.95427919E+01          5.95427919E+01
       1800.0000          6.07896938E+01          6.07896938E+01
       1900.0000          6.20505963E+01          6.20505963E+01
       2000.0000          6.33212202E+01          6.33212202E+01
       2100.0000          6.45982470E+01          6.45982470E+01
       2200.0000          6.58790851E+01          6.58790851E+01
       2300.0000          6.71616982E+01          6.71616982E+01
       2400.0000          6.84444797E+01          6.84444797E+01
       2500.0000          6.97261576E+01          6.97261576E+01
       2600.0000          7.10057232E+01          7.10057232E+01
       2700.0000          7.22823762E+01          7.22823762E+01
       2800.0000          7.35554824E+01          7.35554824E+01
       2900.0000          7.48245405E+01          7.48245405E+01
       3000.0000          7.60891567E+01          7.60891567E+01
       3100.0000          7.73490238E+01          7.73490238E+01
       3200.0000          7.86039051E+01          7.86039051E+01
       3300.0000          7.98536214E+01          7.98536214E+01
       3400.0000          8.10980403E+01          8.10980403E+01
       3500.0000          8.23370678E+01          8.23370678E+01
       3600.0000          8.35706416E+01          8.35706416E+01
       3700.0000          8.47987251E+01          8.47987251E+01
       3800.0000          8.60213030E+01          8.60213030E+01
       3900.0000          8.72383774E+01          8.72383774E+01
       4000.0000          8.84499645E+01          8.84499645E+01
       4100.0000          8.96560925E+01          8.96560925E+01
       4200.0000          9.08567989E+01          9.08567989E+01
       4300.0000          9.20521288E+01          9.20521288E+01
       4346.9990          9.26120791E+01          9.26120791E+01
       4347.0010          9.26121029E+01          9.26121029E+01
       4400.0000          9.32421338E+01          9.32421338E+01
       4500.0000          9.44268702E+01          9.44268702E+01
       4600.0000          9.56063985E+01          9.56063985E+01
       4617.9990          9.58181535E+01          9.58181535E+01
       4618.0010          9.58181770E+01          9.58181770E+01
       4700.0000          9.67807818E+01          9.67807818E+01
       4800.0000          9.79500859E+01          9.79500859E+01
       4900.0000          9.91143782E+01          9.91143782E+01
       4944.9990          9.96366812E+01          9.96366812E+01
       4945.0010          9.96367044E+01          9.96367044E+01
       5000.0000          1.00273727E+02          1.00273727E+02
       5100.0000          1.01428202E+02          1.01428202E+02
       5200.0000          1.02577872E+02          1.02577872E+02
       5300.0000          1.03722808E+02          1.03722808E+02
       5400.0000          1.04863078E+02          1.04863078E+02
       5500.0000          1.05998753E+02          1.05998753E+02
       5600.0000          1.07129900E+02          1.07129900E+02
       5700.0000          1.08256588E+02          1.08256588E+02
       5800.0000          1.09378884E+02          1.09378884E+02
       5900.0000          1.10496854E+02          1.10496854E+02
       6000.0000          1.11610564E+02          1.11610564E+02
       6100.0000          1.12720077E+02          1.12720077E+02
       6200.0000          1.13825457E+02          1.13825457E+02
       6300.0000          1.14926766E+02          1.14926766E+02
       6400.0000          1.16024065E+02          1.16024065E+02
       6500.0000          1.17117414E+02          1.17117414E+02
       6600.0000          1.18206871E+02          1.18206871E+02
       6700.0000          1.19292494E+02          1.19292494E+02
       6800.0000          1.20374339E+02          1.20374339E+02
       6900.0000          1.21452462E+02          1.21452462E+02
       7000.0000          1.22526916E+02          1.22526916E+02
