#Energy      Cu   O  Total
         58.0000          2.80261339E+01          1.13120389E+01          8.05916224E+00
         59.0000          2.77032827E+01          1.13952293E+01          8.07409908E+00
         60.0000          2.73918036E+01          1.14788695E+01          8.08905311E+00
         61.0000          2.70911406E+01          1.15629357E+01          8.10401248E+00
         62.0000          2.68007732E+01          1.16474058E+01          8.11896658E+00
         63.0000          2.65202140E+01          1.17322589E+01          8.13390594E+00
         64.0000          2.62490057E+01          1.18174756E+01          8.14882211E+00
         65.0000          2.59867189E+01          1.19030377E+01          8.16370761E+00
         66.0000          2.57329503E+01          1.19889279E+01          8.17855579E+00
         67.0000          2.54873204E+01          1.20751300E+01          8.19336078E+00
         68.0000          2.52494717E+01          1.21616290E+01          8.20811743E+00
         69.0000          2.50190677E+01          1.22484105E+01          8.22282123E+00
         70.0000          2.47957907E+01          1.23354609E+01          8.23746825E+00
         71.0000          2.45793408E+01          1.24227675E+01          8.25205510E+00
         72.0000          2.43694349E+01          1.25103184E+01          8.26657888E+00
         73.0000          2.41658050E+01          1.25981021E+01          8.28103711E+00
         74.0000          2.39681977E+01          1.26861080E+01          8.29542774E+00
         75.0000          2.37763731E+01          1.27743258E+01          8.30974906E+00
         76.0000          2.35901037E+01          1.28627459E+01          8.32399972E+00
         77.0000          2.34091738E+01          1.29513593E+01          8.33817863E+00
         78.0000          2.32333786E+01          1.30401572E+01          8.35228501E+00
         79.0000          2.30625238E+01          1.31291315E+01          8.36631831E+00
         79.9990          2.28965885E+01          1.32181852E+01          8.38026427E+00
         80.0000          2.28964247E+01          1.32182745E+01          8.38027819E+00
         80.0010          2.28962609E+01          1.32183637E+01          8.38029212E+00
         81.0000          2.27349055E+01          1.33075786E+01          8.39416455E+00
         81.9990          2.25779541E+01          1.33969475E+01          8.40796366E+00
         82.0000          2.25777992E+01          1.33970370E+01          8.40797743E+00
         82.0010          2.25776442E+01          1.33971265E+01          8.40799121E+00
         83.0000          2.24249465E+01          1.34866429E+01          8.42171707E+00
         84.0000          2.22761960E+01          1.35763900E+01          8.43538382E+00
         85.0000          2.21314030E+01          1.36662722E+01          8.44897820E+00
         86.0000          2.19904298E+01          1.37562838E+01          8.46250082E+00
         87.0000          2.18531449E+01          1.38464193E+01          8.47595241E+00
         88.0000          2.17194226E+01          1.39366735E+01          8.48933379E+00
         89.0000          2.15891430E+01          1.40270414E+01          8.50264586E+00
         90.0000          2.14621915E+01          1.41175182E+01          8.51588960E+00
         91.0000          2.13384584E+01          1.42080995E+01          8.52906605E+00
         92.0000          2.12178389E+01          1.42987808E+01          8.54217632E+00
         93.0000          2.11002324E+01          1.43895581E+01          8.55522154E+00
         94.0000          2.09855429E+01          1.44804274E+01          8.56820291E+00
         95.0000          2.08736781E+01          1.45713848E+01          8.58112164E+00
         96.0000          2.07645499E+01          1.46624269E+01          8.59397901E+00
         97.0000          2.06580735E+01          1.47535501E+01          8.60677627E+00
         98.0000          2.05541676E+01          1.48447511E+01          8.61951474E+00
         99.0000          2.04527543E+01          1.49360267E+01          8.63219573E+00
        100.0000          2.03537587E+01          1.50273739E+01          8.64482056E+00
        110.0000          1.94822411E+01          1.59441993E+01          8.76827398E+00
        120.0000          1.87882653E+01          1.68656210E+01          8.88755180E+00
        126.9990          1.83856085E+01          1.75123815E+01          8.96918716E+00
        127.0010          1.83855019E+01          1.75125665E+01          8.96921031E+00
        130.0000          1.82306636E+01          1.77900425E+01          9.00382905E+00
        140.0000          1.77799973E+01          1.87163629E+01          9.11808412E+00
        150.0000          1.74146612E+01          1.96438079E+01          9.23109529E+00
        160.0000          1.71184440E+01          2.05718242E+01          9.34346284E+00
        170.0000          1.68789471E+01          2.15000116E+01          9.45563846E+00
        180.0000          1.66865283E+01          2.24280784E+01          9.56795420E+00
        190.0000          1.65335786E+01          2.33558109E+01          9.68064790E+00
        200.0000          1.64140145E+01          2.42830519E+01          9.79388444E+00
        210.0000          1.63229157E+01          2.52096863E+01          9.90777279E+00
        220.0000          1.62562610E+01          2.61356305E+01          1.00223796E+01
        230.0000          1.62107329E+01          2.70608239E+01          1.01377399E+01
        240.0000          1.61835710E+01          2.79852244E+01          1.02538650E+01
        250.0000          1.61724608E+01          2.89088030E+01          1.03707493E+01
        260.0000          1.61754473E+01          2.98315414E+01          1.04883745E+01
        270.0000          1.61908690E+01          3.07534293E+01          1.06067140E+01
        280.0000          1.62173047E+01          3.16744626E+01          1.07257351E+01
        290.0000          1.62535325E+01          3.25946417E+01          1.08454016E+01
        300.0000          1.62984960E+01          3.35139710E+01          1.09656750E+01
        310.0000          1.63512779E+01          3.44324575E+01          1.10865157E+01
        320.0000          1.64110778E+01          3.53501103E+01          1.12078844E+01
        330.0000          1.64771947E+01          3.62669401E+01          1.13297419E+01
        340.0000          1.65490118E+01          3.71829590E+01          1.14520502E+01
        350.0000          1.66259850E+01          3.80981797E+01          1.15747727E+01
        360.0000          1.67076323E+01          3.90126156E+01          1.16978739E+01
        370.0000          1.67935253E+01          3.99262804E+01          1.18213205E+01
        380.0000          1.68832823E+01          4.08391882E+01          1.19450803E+01
        390.0000          1.69765622E+01          4.17513530E+01          1.20691232E+01
        400.0000          1.70730592E+01          4.26627889E+01          1.21934206E+01
        410.0000          1.71724986E+01          4.35735100E+01          1.23179458E+01
        420.0000          1.72746330E+01          4.44835300E+01          1.24426734E+01
        430.0000          1.73792389E+01          4.53928628E+01          1.25675799E+01
        440.0000          1.74861143E+01          4.63015217E+01          1.26926431E+01
        450.0000          1.75950759E+01          4.72095200E+01          1.28178423E+01
        460.0000          1.77059574E+01          4.81168705E+01          1.29431580E+01
        470.0000          1.78186072E+01          4.90235859E+01          1.30685721E+01
        480.0000          1.79328874E+01          4.99296785E+01          1.31940679E+01
        490.0000          1.80486716E+01          5.08351604E+01          1.33196294E+01
        500.0000          1.81658447E+01          5.17400433E+01          1.34452421E+01
        510.0000          1.82843008E+01          5.26443385E+01          1.35708922E+01
        520.0000          1.84039430E+01          5.35480572E+01          1.36965670E+01
        530.0000          1.85246822E+01          5.44512103E+01          1.38222546E+01
        537.9990          1.86219959E+01          5.51732422E+01          1.39227939E+01
        538.0010          1.86220203E+01          5.51734227E+01          1.39228190E+01
        540.0000          1.86464364E+01          5.53538081E+01          1.39479439E+01
        550.0000          1.87691300E+01          5.62558610E+01          1.40736247E+01
        560.0000          1.88926933E+01          5.71573789E+01          1.41992874E+01
        570.0000          1.90170620E+01          5.80583713E+01          1.43249230E+01
        580.0000          1.91421766E+01          5.89588477E+01          1.44505234E+01
        590.0000          1.92679820E+01          5.98588173E+01          1.45760807E+01
        600.0000          1.93944271E+01          6.07582888E+01          1.47015880E+01
        610.0000          1.95214647E+01          6.16572708E+01          1.48270385E+01
        620.0000          1.96490507E+01          6.25557718E+01          1.49524261E+01
        630.0000          1.97771443E+01          6.34537998E+01          1.50777451E+01
        640.0000          1.99057076E+01          6.43513628E+01          1.52029901E+01
        650.0000          2.00347051E+01          6.52484684E+01          1.53281564E+01
        660.0000          2.01641039E+01          6.61451241E+01          1.54532393E+01
        670.0000          2.02938733E+01          6.70413371E+01          1.55782346E+01
        680.0000          2.04239846E+01          6.79371145E+01          1.57031385E+01
        690.0000          2.05544110E+01          6.88324632E+01          1.58279473E+01
        700.0000          2.06851275E+01          6.97273898E+01          1.59526578E+01
        710.0000          2.08161108E+01          7.06219008E+01          1.60772669E+01
        720.0000          2.09473389E+01          7.15160026E+01          1.62017717E+01
        730.0000          2.10787914E+01          7.24097013E+01          1.63261696E+01
        740.0000          2.12104490E+01          7.33030029E+01          1.64504584E+01
        750.0000          2.13422937E+01          7.41959132E+01          1.65746357E+01
        760.0000          2.14743088E+01          7.50884379E+01          1.66986996E+01
        770.0000          2.16064782E+01          7.59805825E+01          1.68226483E+01
        780.0000          2.17387873E+01          7.68723524E+01          1.69464801E+01
        790.0000          2.18712219E+01          7.77637529E+01          1.70701935E+01
        800.0000          2.20037691E+01          7.86547891E+01          1.71937871E+01
        810.0000          2.21364164E+01          7.95454660E+01          1.73172596E+01
        820.0000          2.22691523E+01          8.04357883E+01          1.74406100E+01
        830.0000          2.24019658E+01          8.13257610E+01          1.75638373E+01
        840.0000          2.25348467E+01          8.22153886E+01          1.76869405E+01
        850.0000          2.26677854E+01          8.31046755E+01          1.78099189E+01
        860.0000          2.28007726E+01          8.39936263E+01          1.79327717E+01
        870.0000          2.29337999E+01          8.48822452E+01          1.80554984E+01
        880.0000          2.30668592E+01          8.57705364E+01          1.81780984E+01
        890.0000          2.31999429E+01          8.66585040E+01          1.83005713E+01
        900.0000          2.33330437E+01          8.75461520E+01          1.84229168E+01
        910.0000          2.34661550E+01          8.84334844E+01          1.85451344E+01
        920.0000          2.35992703E+01          8.93205048E+01          1.86672240E+01
        930.0000          2.37323836E+01          9.02072171E+01          1.87891854E+01
        937.9990          2.38388556E+01          9.09162789E+01          1.88866499E+01
        938.0010          2.38388822E+01          9.09164562E+01          1.88866742E+01
        940.0000          2.38654892E+01          9.10936249E+01          1.89110184E+01
        950.0000          2.39985818E+01          9.19797318E+01          1.90327230E+01
        957.9990          2.41050298E+01          9.26883144E+01          1.91299821E+01
        958.0010          2.41050564E+01          9.26884915E+01          1.91300064E+01
        960.0000          2.41316563E+01          9.28655412E+01          1.91542992E+01
        970.0000          2.42647080E+01          9.37510565E+01          1.92757469E+01
        980.0000          2.43977324E+01          9.46362811E+01          1.93970664E+01
        990.0000          2.45307251E+01          9.55212183E+01          1.95182575E+01
       1000.0000          2.46636822E+01          9.64058712E+01          1.96393206E+01
       1100.0000          2.59905590E+01          1.05237419E+02          2.08429588E+01
       1102.9990          2.60302600E+01          1.05501872E+02          2.08788615E+01
       1103.0010          2.60302865E+01          1.05502049E+02          2.08788854E+01
       1200.0000          2.73108113E+01          1.14043589E+02          2.20341421E+01
       1300.0000          2.86228667E+01          1.22826666E+02          2.32133518E+01
       1400.0000          2.99259114E+01          1.31588545E+02          2.43811435E+01
       1500.0000          3.12195875E+01          1.40330817E+02          2.55380933E+01
       1600.0000          3.25038144E+01          1.49054834E+02          2.66847694E+01
       1700.0000          3.37786802E+01          1.57761754E+02          2.78217174E+01
       1800.0000          3.50443747E+01          1.66452580E+02          2.89494528E+01
       1900.0000          3.63011472E+01          1.75128184E+02          3.00684581E+01
       2000.0000          3.75492792E+01          1.83789335E+02          3.11791825E+01
       2100.0000          3.87890672E+01          1.92436710E+02          3.22820430E+01
       2200.0000          4.00208121E+01          2.01070913E+02          3.33774261E+01
       2300.0000          4.12448115E+01          2.09692482E+02          3.44656897E+01
       2400.0000          4.24613556E+01          2.18301900E+02          3.55471655E+01
       2500.0000          4.36707245E+01          2.26899605E+02          3.66221609E+01
       2600.0000          4.48731869E+01          2.35485992E+02          3.76909612E+01
       2700.0000          4.60689991E+01          2.44061420E+02          3.87538314E+01
       2800.0000          4.72584049E+01          2.52626218E+02          3.98110179E+01
       2900.0000          4.84416356E+01          2.61180686E+02          4.08627503E+01
       3000.0000          4.96189107E+01          2.69725100E+02          4.19092427E+01
       3100.0000          5.07904378E+01          2.78259715E+02          4.29506950E+01
       3200.0000          5.19564136E+01          2.86784765E+02          4.39872942E+01
       3300.0000          5.31170243E+01          2.95300467E+02          4.50192154E+01
       3400.0000          5.42724461E+01          3.03807025E+02          4.60466229E+01
       3500.0000          5.54228458E+01          3.12304625E+02          4.70696710E+01
       3600.0000          5.65683815E+01          3.20793444E+02          4.80885047E+01
       3700.0000          5.77092032E+01          3.29273644E+02          4.91032607E+01
       3800.0000          5.88454528E+01          3.37745379E+02          5.01140676E+01
       3900.0000          5.99772653E+01          3.46208793E+02          5.11210471E+01
       4000.0000          6.11047687E+01          3.54664021E+02          5.21243141E+01
       4100.0000          6.22280847E+01          3.63111190E+02          5.31239771E+01
       4200.0000          6.33473291E+01          3.71550419E+02          5.41201392E+01
       4300.0000          6.44626120E+01          3.79981822E+02          5.51128980E+01
       4400.0000          6.55740382E+01          3.88405506E+02          5.61023461E+01
       4500.0000          6.66817078E+01          3.96821573E+02          5.70885715E+01
       4600.0000          6.77857162E+01          4.05230117E+02          5.80716580E+01
       4700.0000          6.88861542E+01          4.13631230E+02          5.90516852E+01
       4800.0000          6.99831089E+01          4.22024998E+02          6.00287291E+01
       4900.0000          7.10766632E+01          4.30411505E+02          6.10028621E+01
       5000.0000          7.21668968E+01          4.38790828E+02          6.19741533E+01
       5100.0000          7.32538855E+01          4.47163042E+02          6.29426688E+01
       5200.0000          7.43377024E+01          4.55528218E+02          6.39084715E+01
       5300.0000          7.54184171E+01          4.63886425E+02          6.48716220E+01
       5400.0000          7.64960966E+01          4.72237728E+02          6.58321780E+01
       5500.0000          7.75708051E+01          4.80582189E+02          6.67901950E+01
       5600.0000          7.86426044E+01          4.88919868E+02          6.77457260E+01
       5700.0000          7.97115536E+01          4.97250823E+02          6.86988221E+01
       5800.0000          8.07777098E+01          5.05575109E+02          6.96495320E+01
       5900.0000          8.18411277E+01          5.13892778E+02          7.05979030E+01
       6000.0000          8.29018601E+01          5.22203881E+02          7.15439801E+01
       6100.0000          8.39599578E+01          5.30508467E+02          7.24878069E+01
       6200.0000          8.50154696E+01          5.38806584E+02          7.34294251E+01
       6300.0000          8.60684428E+01          5.47098276E+02          7.43688752E+01
       6400.0000          8.71189227E+01          5.55383588E+02          7.53061958E+01
       6500.0000          8.81669534E+01          5.63662562E+02          7.62414245E+01
       6600.0000          8.92125770E+01          5.71935238E+02          7.71745975E+01
       6700.0000          9.02558347E+01          5.80201656E+02          7.81057494E+01
       6800.0000          9.12967659E+01          5.88461853E+02          7.90349141E+01
       6900.0000          9.23354088E+01          5.96715867E+02          7.99621239E+01
       7000.0000          9.33718004E+01          6.04963734E+02          8.08874104E+01
       7100.0000          9.44059764E+01          6.13205487E+02          8.18108040E+01
       7200.0000          9.54379716E+01          6.21441161E+02          8.27323340E+01
       7300.0000          9.64678193E+01          6.29670788E+02          8.36520289E+01
       7400.0000          9.74955522E+01          6.37894398E+02          8.45699163E+01
       7500.0000          9.85212016E+01          6.46112023E+02          8.54860229E+01
       7600.0000          9.95447981E+01          6.54323693E+02          8.64003744E+01
       7700.0000          1.00566371E+02          6.62529435E+02          8.73129961E+01
       7800.0000          1.01585950E+02          6.70729278E+02          8.82239122E+01
       7900.0000          1.02603562E+02          6.78923250E+02          8.91331464E+01
       8000.0000          1.03619234E+02          6.87111377E+02          9.00407214E+01
       8100.0000          1.04632993E+02          6.95293684E+02          9.09466597E+01
       8200.0000          1.05644864E+02          7.03470196E+02          9.18509827E+01
       8300.0000          1.06654872E+02          7.11640939E+02          9.27537114E+01
       8400.0000          1.07663042E+02          7.19805935E+02          9.36548664E+01
       8500.0000          1.08669396E+02          7.27965209E+02          9.45544673E+01
       8600.0000          1.09673957E+02          7.36118782E+02          9.54525335E+01
       8700.0000          1.10676748E+02          7.44266677E+02          9.63490837E+01
       8800.0000          1.11677791E+02          7.52408915E+02          9.72441363E+01
       8900.0000          1.12677106E+02          7.60545518E+02          9.81377090E+01
       8985.9990          1.13535140E+02          7.67538423E+02          9.89050021E+01
       8986.0010          1.13535160E+02          7.67538586E+02          9.89050200E+01
       9000.0000          1.13674714E+02          7.68676506E+02          9.90298190E+01
       9100.0000          1.14670634E+02          7.76801899E+02          9.99204834E+01
       9200.0000          1.15664887E+02          7.84921716E+02          1.00809718E+02
       9300.0000          1.16657492E+02          7.93035978E+02          1.01697540E+02
       9400.0000          1.17648467E+02          8.01144703E+02          1.02583964E+02
       9500.0000          1.18637829E+02          8.09247909E+02          1.03469006E+02
       9600.0000          1.19625597E+02          8.17345614E+02          1.04352680E+02
       9700.0000          1.20611788E+02          8.25437835E+02          1.05235001E+02
       9800.0000          1.21596419E+02          8.33524592E+02          1.06115984E+02
       9900.0000          1.22579506E+02          8.41605899E+02          1.06995641E+02
      10000.0000          1.23561064E+02          8.49681773E+02          1.07873986E+02
      11000.0000          1.33295883E+02          9.30145172E+02          1.16588053E+02
      12000.0000          1.42893092E+02          1.01008147E+03          1.25183737E+02
      13000.0000          1.52363940E+02          1.08950311E+03          1.33670498E+02
      14000.0000          1.61717688E+02          1.16842083E+03          1.42056119E+02
      15000.0000          1.70962079E+02          1.24684406E+03          1.50347108E+02
      16000.0000          1.80103675E+02          1.32478121E+03          1.58548980E+02
      17000.0000          1.89148101E+02          1.40223989E+03          1.66666466E+02
      18000.0000          1.98100235E+02          1.47922706E+03          1.74703666E+02
      19000.0000          2.06964344E+02          1.55574916E+03          1.82664173E+02
      20000.0000          2.15744192E+02          1.63181218E+03          1.90551155E+02
      21000.0000          2.24443125E+02          1.70742175E+03          1.98367432E+02
      22000.0000          2.33064139E+02          1.78258318E+03          2.06115530E+02
      23000.0000          2.41609932E+02          1.85730152E+03          2.13797725E+02
      24000.0000          2.50082947E+02          1.93158158E+03          2.21416083E+02
      25000.0000          2.58485411E+02          2.00542797E+03          2.28972485E+02
      26000.0000          2.66819360E+02          2.07884513E+03          2.36468655E+02
      27000.0000          2.75086667E+02          2.15183732E+03          2.43906179E+02
      28000.0000          2.83289060E+02          2.22440868E+03          2.51286523E+02
      29000.0000          2.91428142E+02          2.29656322E+03          2.58611046E+02
      30000.0000          2.99505401E+02          2.36830482E+03          2.65881013E+02
      31000.0000          3.07522227E+02          2.43963727E+03          2.73097608E+02
      32000.0000          3.15479921E+02          2.51056427E+03          2.80261937E+02
      33000.0000          3.23379705E+02          2.58108941E+03          2.87375041E+02
      34000.0000          3.31222726E+02          2.65121621E+03          2.94437901E+02
      35000.0000          3.39010071E+02          2.72094811E+03          3.01451444E+02
      36000.0000          3.46742764E+02          2.79028851E+03          3.08416546E+02
      37000.0000          3.54421780E+02          2.85924069E+03          3.15334042E+02
      38000.0000          3.62048042E+02          2.92780791E+03          3.22204721E+02
      39000.0000          3.69622429E+02          2.99599337E+03          3.29029341E+02
      40000.0000          3.77145783E+02          3.06380018E+03          3.35808620E+02
      41000.0000          3.84618903E+02          3.13123145E+03          3.42543250E+02
      42000.0000          3.92042558E+02          3.19829019E+03          3.49233889E+02
      43000.0000          3.99417484E+02          3.26497940E+03          3.55881172E+02
      44000.0000          4.06744387E+02          3.33130202E+03          3.62485708E+02
      45000.0000          4.14023947E+02          3.39726094E+03          3.69048083E+02
      46000.0000          4.21256817E+02          3.46285902E+03          3.75568863E+02
      47000.0000          4.28443627E+02          3.52809908E+03          3.82048591E+02
      48000.0000          4.35584986E+02          3.59298391E+03          3.88487794E+02
      49000.0000          4.42681481E+02          3.65751623E+03          3.94886983E+02
      50000.0000          4.49733682E+02          3.72169877E+03          4.01246648E+02
