#Energy      Li   Mn   O  Total
        290.0000          1.03204665E+02          1.80076518E+01          1.03601381E+01          6.18256204E+00
        300.0000          1.06575400E+02          1.81421069E+01          1.06523450E+01          6.31395000E+00
        310.0000          1.09945221E+02          1.82823192E+01          1.09442840E+01          6.44475268E+00
        320.0000          1.13314157E+02          1.84276685E+01          1.12359580E+01          6.57500132E+00
        330.0000          1.16682235E+02          1.85776124E+01          1.15273704E+01          6.70472408E+00
        340.0000          1.20049480E+02          1.87316750E+01          1.18185251E+01          6.83394645E+00
        350.0000          1.23415915E+02          1.88894371E+01          1.21094261E+01          6.96269155E+00
        360.0000          1.26781563E+02          1.90505282E+01          1.24000776E+01          7.09098046E+00
        370.0000          1.30146445E+02          1.92146200E+01          1.26904840E+01          7.21883239E+00
        380.0000          1.33510579E+02          1.93814202E+01          1.29806498E+01          7.34626499E+00
        390.0000          1.36873986E+02          1.95506687E+01          1.32705795E+01          7.47329443E+00
        400.0000          1.40236683E+02          1.97221326E+01          1.35602775E+01          7.59993565E+00
        410.0000          1.43598686E+02          1.98956034E+01          1.38497482E+01          7.72620244E+00
        420.0000          1.46960011E+02          2.00708936E+01          1.41389962E+01          7.85210757E+00
        430.0000          1.50320674E+02          2.02478348E+01          1.44280257E+01          7.97766293E+00
        440.0000          1.53680688E+02          2.04262746E+01          1.47168410E+01          8.10287957E+00
        450.0000          1.57040068E+02          2.06060756E+01          1.50054463E+01          8.22776781E+00
        460.0000          1.60398827E+02          2.07871133E+01          1.52938458E+01          8.35233734E+00
        470.0000          1.63756976E+02          2.09692746E+01          1.55820434E+01          8.47659720E+00
        480.0000          1.67114527E+02          2.11524569E+01          1.58700430E+01          8.60055592E+00
        490.0000          1.70471493E+02          2.13365668E+01          1.61578485E+01          8.72422152E+00
        500.0000          1.73827882E+02          2.15215191E+01          1.64454636E+01          8.84760159E+00
        510.0000          1.77183707E+02          2.17072360E+01          1.67328919E+01          8.97070328E+00
        520.0000          1.80538976E+02          2.18936464E+01          1.70201370E+01          9.09353337E+00
        530.0000          1.83893699E+02          2.20806853E+01          1.73072023E+01          9.21609830E+00
        537.9990          1.86576755E+02          2.22307100E+01          1.75366987E+01          9.31395123E+00
        538.0010          1.86577426E+02          2.22307476E+01          1.75367560E+01          9.31397567E+00
        540.0000          1.87247885E+02          2.22682932E+01          1.75940912E+01          9.33840419E+00
        550.0000          1.90601543E+02          2.24564151E+01          1.78808068E+01          9.46045685E+00
        560.0000          1.93954681E+02          2.26450011E+01          1.81673523E+01          9.58226184E+00
        570.0000          1.97307306E+02          2.28340047E+01          1.84537309E+01          9.70382444E+00
        580.0000          2.00659427E+02          2.30233836E+01          1.87399454E+01          9.82514973E+00
        590.0000          2.04011050E+02          2.32130984E+01          1.90259988E+01          9.94624254E+00
