#Energy      Al   O  Total
         47.0000          5.84978667E+00          2.97571671E+00          1.97238698E+00
         48.0000          5.84019438E+00          2.99741193E+00          1.98079295E+00
         49.0000          5.83208217E+00          3.01935246E+00          1.98940764E+00
         50.0000          5.82536179E+00          3.04152316E+00          1.99821841E+00
         51.0000          5.81995177E+00          3.06391005E+00          2.00721365E+00
         52.0000          5.81577684E+00          3.08650024E+00          2.01638260E+00
         53.0000          5.81276728E+00          3.10928175E+00          2.02571530E+00
         54.0000          5.81085849E+00          3.13224351E+00          2.03520253E+00
         55.0000          5.80999046E+00          3.15537523E+00          2.04483572E+00
         56.0000          5.81010742E+00          3.17866734E+00          2.05460691E+00
         57.0000          5.81115745E+00          3.20211094E+00          2.06450868E+00
         58.0000          5.81309216E+00          3.22569775E+00          2.07453415E+00
         59.0000          5.81586638E+00          3.24942002E+00          2.08467685E+00
         60.0000          5.81943792E+00          3.27327053E+00          2.09493076E+00
         61.0000          5.82376731E+00          3.29724253E+00          2.10529027E+00
         62.0000          5.82881761E+00          3.32132968E+00          2.11575009E+00
         63.0000          5.83455417E+00          3.34552608E+00          2.12630528E+00
         64.0000          5.84094449E+00          3.36982615E+00          2.13695121E+00
         65.0000          5.84795804E+00          3.39422470E+00          2.14768353E+00
         66.0000          5.85556613E+00          3.41871682E+00          2.15849813E+00
         67.0000          5.86374175E+00          3.44329791E+00          2.16939117E+00
         68.0000          5.87245946E+00          3.46796362E+00          2.18035903E+00
         69.0000          5.88169528E+00          3.49270989E+00          2.19139827E+00
         70.0000          5.89142660E+00          3.51753285E+00          2.20250568E+00
         71.0000          5.90163205E+00          3.54242888E+00          2.21367820E+00
         72.0000          5.91229145E+00          3.56739455E+00          2.22491297E+00
         73.0000          5.92338571E+00          3.59242663E+00          2.23620725E+00
         74.0000          5.93489675E+00          3.61752203E+00          2.24755847E+00
         75.0000          5.94680748E+00          3.64267788E+00          2.25896419E+00
         76.0000          5.95910166E+00          3.66789143E+00          2.27042210E+00
         76.9990          5.97175107E+00          3.69313478E+00          2.28191848E+00
         77.0000          5.97176391E+00          3.69316008E+00          2.28193001E+00
         77.0010          5.97177676E+00          3.69318537E+00          2.28194154E+00
         78.0000          5.98477965E+00          3.71848136E+00          2.29348582E+00
         79.0000          5.99813499E+00          3.74385294E+00          2.30508757E+00
         80.0000          6.01181677E+00          3.76927260E+00          2.31673338E+00
         81.0000          6.02581245E+00          3.79473823E+00          2.32842145E+00
         82.0000          6.04011012E+00          3.82024784E+00          2.34015010E+00
         83.0000          6.05469842E+00          3.84579951E+00          2.35191769E+00
         84.0000          6.06956654E+00          3.87139144E+00          2.36372269E+00
         85.0000          6.08470418E+00          3.89702191E+00          2.37556363E+00
         86.0000          6.10010150E+00          3.92268928E+00          2.38743912E+00
         87.0000          6.11574914E+00          3.94839198E+00          2.39934780E+00
         88.0000          6.13163813E+00          3.97412852E+00          2.41128841E+00
         89.0000          6.14775993E+00          3.99989748E+00          2.42325972E+00
         90.0000          6.16410638E+00          4.02569751E+00          2.43526058E+00
         91.0000          6.18066965E+00          4.05152732E+00          2.44728986E+00
         92.0000          6.19744227E+00          4.07738566E+00          2.45934651E+00
         93.0000          6.21441710E+00          4.10327136E+00          2.47142951E+00
         94.0000          6.23158729E+00          4.12918329E+00          2.48353787E+00
         95.0000          6.24894628E+00          4.15512038E+00          2.49567067E+00
         96.0000          6.26648778E+00          4.18108158E+00          2.50782701E+00
         97.0000          6.28420578E+00          4.20706592E+00          2.52000603E+00
         98.0000          6.30209449E+00          4.23307244E+00          2.53220691E+00
         99.0000          6.32014838E+00          4.25910025E+00          2.54442886E+00
        100.0000          6.33836211E+00          4.28514848E+00          2.55667112E+00
        110.0000          6.52825995E+00          4.54658691E+00          2.68006426E+00
        120.0000          6.72959232E+00          4.80933598E+00          2.80484198E+00
        120.9990          6.75021367E+00          4.83563769E+00          2.81736634E+00
        121.0010          6.75025504E+00          4.83569036E+00          2.81739142E+00
        130.0000          6.93945861E+00          5.07294048E+00          2.93059365E+00
        140.0000          7.15579988E+00          5.33708648E+00          3.05702955E+00
        150.0000          7.37711861E+00          5.60155315E+00          3.18394076E+00
        160.0000          7.60230286E+00          5.86618271E+00          3.31117388E+00
        170.0000          7.83051232E+00          6.13086108E+00          3.43861466E+00
        180.0000          8.06110223E+00          6.39550507E+00          3.56617698E+00
        190.0000          8.29357128E+00          6.66005371E+00          3.69379533E+00
        200.0000          8.52752518E+00          6.92446221E+00          3.82141950E+00
        210.0000          8.76265069E+00          7.18869775E+00          3.94901080E+00
        220.0000          8.99869671E+00          7.45273643E+00          4.07653937E+00
        230.0000          9.23546039E+00          7.71656107E+00          4.20398206E+00
        240.0000          9.47277673E+00          7.98015956E+00          4.33132102E+00
        250.0000          9.71051071E+00          8.24352371E+00          4.45854249E+00
        260.0000          9.94855127E+00          8.50664827E+00          4.58563595E+00
        270.0000          1.01868066E+01          8.76953030E+00          4.71259345E+00
        280.0000          1.04252006E+01          9.03216862E+00          4.83940910E+00
        290.0000          1.06636698E+01          9.29456338E+00          4.96607861E+00
        300.0000          1.09021614E+01          9.55671581E+00          5.09259903E+00
        310.0000          1.11406311E+01          9.81862789E+00          5.21896844E+00
        320.0000          1.13790418E+01          1.00803023E+01          5.34518579E+00
        330.0000          1.16173626E+01          1.03417420E+01          5.47125070E+00
        340.0000          1.18555673E+01          1.06029504E+01          5.59716335E+00
        350.0000          1.20936341E+01          1.08639312E+01          5.72292434E+00
        360.0000          1.23315448E+01          1.11246883E+01          5.84853465E+00
        370.0000          1.25692841E+01          1.13852254E+01          5.97399553E+00
        380.0000          1.28068392E+01          1.16455467E+01          6.09930845E+00
        390.0000          1.30441996E+01          1.19056561E+01          6.22447508E+00
        400.0000          1.32813568E+01          1.21655577E+01          6.34949720E+00
        410.0000          1.35183034E+01          1.24252555E+01          6.47437671E+00
        420.0000          1.37550339E+01          1.26847533E+01          6.59911559E+00
        430.0000          1.39915436E+01          1.29440552E+01          6.72371585E+00
        440.0000          1.42278290E+01          1.32031649E+01          6.84817958E+00
        450.0000          1.44638873E+01          1.34620862E+01          6.97250885E+00
        460.0000          1.46997165E+01          1.37208228E+01          7.09670578E+00
        470.0000          1.49353154E+01          1.39793783E+01          7.22077246E+00
        480.0000          1.51706831E+01          1.42377562E+01          7.34471099E+00
        490.0000          1.54058193E+01          1.44959599E+01          7.46852344E+00
        500.0000          1.56407240E+01          1.47539929E+01          7.59221188E+00
        510.0000          1.58753977E+01          1.50118582E+01          7.71577833E+00
        520.0000          1.61098412E+01          1.52695592E+01          7.83922481E+00
        530.0000          1.63440554E+01          1.55270989E+01          7.96255329E+00
        537.9990          1.65312391E+01          1.57329908E+01          8.06112011E+00
        538.0010          1.65312859E+01          1.57330422E+01          8.06114474E+00
        540.0000          1.65780415E+01          1.57844802E+01          8.08576572E+00
        550.0000          1.68118010E+01          1.60417062E+01          8.20886399E+00
        560.0000          1.70453353E+01          1.62987796E+01          8.33184999E+00
        570.0000          1.72786462E+01          1.65557031E+01          8.45472554E+00
        580.0000          1.75117355E+01          1.68124796E+01          8.57749244E+00
        590.0000          1.77446051E+01          1.70691114E+01          8.70015246E+00
        600.0000          1.79772569E+01          1.73256013E+01          8.82270732E+00
        610.0000          1.82096930E+01          1.75819516E+01          8.94515870E+00
        620.0000          1.84419155E+01          1.78381647E+01          9.06750824E+00
        630.0000          1.86739266E+01          1.80942429E+01          9.18975756E+00
        640.0000          1.89057283E+01          1.83501885E+01          9.31190823E+00
        650.0000          1.91373229E+01          1.86060037E+01          9.43396180E+00
        660.0000          1.93687126E+01          1.88616906E+01          9.55591975E+00
        670.0000          1.95998996E+01          1.91172513E+01          9.67778357E+00
        680.0000          1.98308862E+01          1.93726878E+01          9.79955467E+00
        690.0000          2.00616745E+01          1.96280020E+01          9.92123447E+00
        700.0000          2.02922667E+01          1.98831958E+01          1.00428243E+01
        710.0000          2.05226651E+01          2.01382712E+01          1.01643256E+01
        720.0000          2.07528718E+01          2.03932298E+01          1.02857395E+01
        730.0000          2.09828891E+01          2.06480735E+01          1.04070675E+01
        740.0000          2.12127191E+01          2.09028040E+01          1.05283106E+01
        750.0000          2.14423639E+01          2.11574229E+01          1.06494702E+01
        760.0000          2.16718256E+01          2.14119318E+01          1.07705474E+01
        770.0000          2.19011064E+01          2.16663323E+01          1.08915434E+01
        780.0000          2.21302083E+01          2.19206260E+01          1.10124593E+01
        790.0000          2.23591333E+01          2.21748144E+01          1.11332962E+01
        800.0000          2.25878836E+01          2.24288989E+01          1.12540552E+01
        810.0000          2.28164610E+01          2.26828809E+01          1.13747374E+01
        820.0000          2.30448676E+01          2.29367618E+01          1.14953438E+01
        830.0000          2.32731052E+01          2.31905430E+01          1.16158754E+01
        840.0000          2.35011759E+01          2.34442258E+01          1.17363332E+01
        850.0000          2.37290815E+01          2.36978115E+01          1.18567181E+01
        860.0000          2.39568239E+01          2.39513013E+01          1.19770311E+01
        870.0000          2.41844049E+01          2.42046964E+01          1.20972732E+01
        880.0000          2.44118262E+01          2.44579982E+01          1.22174452E+01
        890.0000          2.46390897E+01          2.47112076E+01          1.23375480E+01
        900.0000          2.48661972E+01          2.49643259E+01          1.24575825E+01
        910.0000          2.50931503E+01          2.52173542E+01          1.25775495E+01
        920.0000          2.53199507E+01          2.54702936E+01          1.26974498E+01
        930.0000          2.55466002E+01          2.57231451E+01          1.28172843E+01
        940.0000          2.57731003E+01          2.59759097E+01          1.29370538E+01
        950.0000          2.59994526E+01          2.62285886E+01          1.30567590E+01
        960.0000          2.62256589E+01          2.64811826E+01          1.31764007E+01
        970.0000          2.64517205E+01          2.67336928E+01          1.32959796E+01
        980.0000          2.66776391E+01          2.69861200E+01          1.34154965E+01
        990.0000          2.69034161E+01          2.72384653E+01          1.35349520E+01
       1000.0000          2.71290531E+01          2.74907296E+01          1.36543469E+01
       1100.0000          2.93780305E+01          3.00090999E+01          1.48451061E+01
       1200.0000          3.16144698E+01          3.25202336E+01          1.60304779E+01
       1300.0000          3.38395097E+01          3.50247823E+01          1.72109728E+01
       1400.0000          3.60541216E+01          3.75232862E+01          1.83870180E+01
       1500.0000          3.82591400E+01          4.00161992E+01          1.95589746E+01
       1563.9990          3.96656320E+01          4.16088849E+01          2.03070136E+01
       1564.0010          3.96656759E+01          4.16089346E+01          2.03070369E+01
       1600.0000          4.04552855E+01          4.25039066E+01          2.07271507E+01
       1700.0000          4.26431853E+01          4.49867386E+01          2.18918121E+01
       1800.0000          4.48233880E+01          4.74649811E+01          2.30531895E+01
       1900.0000          4.69963769E+01          4.99388832E+01          2.42114848E+01
       2000.0000          4.91625796E+01          5.24086639E+01          2.53668757E+01
       2100.0000          5.13223770E+01          5.48745164E+01          2.65195198E+01
       2200.0000          5.34761095E+01          5.73366126E+01          2.76695574E+01
       2300.0000          5.56240831E+01          5.97951062E+01          2.88171142E+01
       2400.0000          5.77665738E+01          6.22501351E+01          2.99623032E+01
       2500.0000          5.99038314E+01          6.47018237E+01          3.11052266E+01
       2600.0000          6.20360832E+01          6.71502850E+01          3.22459771E+01
       2700.0000          6.41635365E+01          6.95956213E+01          3.33846389E+01
       2800.0000          6.62863809E+01          7.20379263E+01          3.45212893E+01
       2900.0000          6.84047905E+01          7.44772857E+01          3.56559987E+01
       3000.0000          7.05189256E+01          7.69137781E+01          3.67888322E+01
       3100.0000          7.26289339E+01          7.93474762E+01          3.79198495E+01
       3200.0000          7.47349522E+01          8.17784468E+01          3.90491060E+01
       3300.0000          7.68371075E+01          8.42067520E+01          4.01766530E+01
       3400.0000          7.89355176E+01          8.66324495E+01          4.13025379E+01
       3500.0000          8.10302922E+01          8.90555927E+01          4.24268052E+01
       3600.0000          8.31215339E+01          9.14762317E+01          4.35494960E+01
       3700.0000          8.52093384E+01          9.38944131E+01          4.46706490E+01
       3800.0000          8.72937955E+01          9.63101807E+01          4.57903004E+01
       3900.0000          8.93749894E+01          9.87235755E+01          4.69084840E+01
       4000.0000          9.14529991E+01          1.01134636E+02          4.80252316E+01
       4100.0000          9.35278991E+01          1.03543398E+02          4.91405732E+01
       4200.0000          9.55997596E+01          1.05949897E+02          5.02545370E+01
       4300.0000          9.76686469E+01          1.08354163E+02          5.13671496E+01
       4400.0000          9.97346235E+01          1.10756229E+02          5.24784363E+01
       4500.0000          1.01797749E+02          1.13156122E+02          5.35884208E+01
       4600.0000          1.03858079E+02          1.15553870E+02          5.46971258E+01
       4700.0000          1.05915667E+02          1.17949500E+02          5.58045725E+01
       4800.0000          1.07970564E+02          1.20343035E+02          5.69107814E+01
       4900.0000          1.10022817E+02          1.22734499E+02          5.80157718E+01
       5000.0000          1.12072474E+02          1.25123914E+02          5.91195621E+01
       5100.0000          1.14119576E+02          1.27511303E+02          6.02221698E+01
       5200.0000          1.16164166E+02          1.29896685E+02          6.13236117E+01
       5300.0000          1.18206284E+02          1.32280079E+02          6.24239036E+01
       5400.0000          1.20245967E+02          1.34661505E+02          6.35230610E+01
       5500.0000          1.22283253E+02          1.37040979E+02          6.46210983E+01
       5600.0000          1.24318174E+02          1.39418520E+02          6.57180296E+01
       5700.0000          1.26350766E+02          1.41794143E+02          6.68138682E+01
       5800.0000          1.28381059E+02          1.44167865E+02          6.79086269E+01
       5900.0000          1.30409085E+02          1.46539699E+02          6.90023181E+01
       6000.0000          1.32434873E+02          1.48909662E+02          7.00949537E+01
       6100.0000          1.34458451E+02          1.51277766E+02          7.11865449E+01
       6200.0000          1.36479845E+02          1.53644025E+02          7.22771027E+01
       6300.0000          1.38499083E+02          1.56008452E+02          7.33666376E+01
       6400.0000          1.40516190E+02          1.58371060E+02          7.44551598E+01
       6500.0000          1.42531189E+02          1.60731861E+02          7.55426791E+01
       6600.0000          1.44544105E+02          1.63090865E+02          7.66292047E+01
       6700.0000          1.46554958E+02          1.65448085E+02          7.77147459E+01
       6800.0000          1.48563773E+02          1.67803532E+02          7.87993114E+01
       6900.0000          1.50570568E+02          1.70157215E+02          7.98829096E+01
       7000.0000          1.52575365E+02          1.72509145E+02          8.09655488E+01
       7100.0000          1.54578183E+02          1.74859332E+02          8.20472369E+01
       7200.0000          1.56579042E+02          1.77207785E+02          8.31279815E+01
       7300.0000          1.58577959E+02          1.79554514E+02          8.42077901E+01
       7400.0000          1.60574952E+02          1.81899527E+02          8.52866698E+01
       7500.0000          1.62570038E+02          1.84242834E+02          8.63646276E+01
       7600.0000          1.64563235E+02          1.86584442E+02          8.74416702E+01
       7700.0000          1.66554558E+02          1.88924360E+02          8.85178043E+01
       7800.0000          1.68544023E+02          1.91262596E+02          8.95930361E+01
       7900.0000          1.70531645E+02          1.93599158E+02          9.06673718E+01
       8000.0000          1.72517439E+02          1.95934053E+02          9.17408174E+01
       8100.0000          1.74501420E+02          1.98267288E+02          9.28133788E+01
       8200.0000          1.76483601E+02          2.00598871E+02          9.38850615E+01
       8300.0000          1.78463995E+02          2.02928809E+02          9.49558712E+01
       8400.0000          1.80442617E+02          2.05257108E+02          9.60258131E+01
       8500.0000          1.82419478E+02          2.07583775E+02          9.70948924E+01
       8600.0000          1.84394592E+02          2.09908817E+02          9.81631143E+01
       8700.0000          1.86367970E+02          2.12232239E+02          9.92304837E+01
       8800.0000          1.88339624E+02          2.14554049E+02          1.00297005E+02
       8900.0000          1.90309566E+02          2.16874251E+02          1.01362684E+02
       9000.0000          1.92277807E+02          2.19192853E+02          1.02427524E+02
       9100.0000          1.94244357E+02          2.21509859E+02          1.03491531E+02
       9200.0000          1.96209229E+02          2.23825275E+02          1.04554707E+02
       9300.0000          1.98172431E+02          2.26139107E+02          1.05617059E+02
       9400.0000          2.00133974E+02          2.28451360E+02          1.06678589E+02
       9500.0000          2.02093869E+02          2.30762039E+02          1.07739302E+02
       9600.0000          2.04052123E+02          2.33071150E+02          1.08799201E+02
       9700.0000          2.06008749E+02          2.35378697E+02          1.09858292E+02
       9800.0000          2.07963753E+02          2.37684685E+02          1.10916577E+02
       9900.0000          2.09917146E+02          2.39989120E+02          1.11974060E+02
      10000.0000          2.11868936E+02          2.42292005E+02          1.13030744E+02
      11000.0000          2.31300484E+02          2.65236640E+02          1.23554434E+02
      12000.0000          2.50580164E+02          2.88030969E+02          1.34001774E+02
      13000.0000          2.69714289E+02          3.10678541E+02          1.44375391E+02
      14000.0000          2.88708138E+02          3.33182417E+02          1.54677498E+02
      15000.0000          3.07566208E+02          3.55545285E+02          1.64909998E+02
      16000.0000          3.26292386E+02          3.77769544E+02          1.75074550E+02
      17000.0000          3.44890084E+02          3.99857364E+02          1.85172625E+02
      18000.0000          3.63362325E+02          4.21810732E+02          1.95205537E+02
      19000.0000          3.81711824E+02          4.43631481E+02          2.05174478E+02
      20000.0000          3.99941035E+02          4.65321321E+02          2.15080535E+02
      21000.0000          4.18052201E+02          4.86881857E+02          2.24924712E+02
      22000.0000          4.36047383E+02          5.08314603E+02          2.34707936E+02
      23000.0000          4.53928488E+02          5.29620999E+02          2.44431076E+02
      24000.0000          4.71697293E+02          5.50802417E+02          2.54094946E+02
      25000.0000          4.89355461E+02          5.71860171E+02          2.63700316E+02
      26000.0000          5.06904556E+02          5.92795526E+02          2.73247914E+02
      27000.0000          5.24346057E+02          6.13609701E+02          2.82738432E+02
      28000.0000          5.41681364E+02          6.34303873E+02          2.92172534E+02
      29000.0000          5.58911812E+02          6.54879185E+02          3.01550854E+02
      30000.0000          5.76038676E+02          6.75336746E+02          3.10874002E+02
      31000.0000          5.93063174E+02          6.95677636E+02          3.20142564E+02
      32000.0000          6.09986477E+02          7.15902906E+02          3.29357107E+02
      33000.0000          6.26809714E+02          7.36013584E+02          3.38518181E+02
      34000.0000          6.43533970E+02          7.56010675E+02          3.47626317E+02
      35000.0000          6.60160297E+02          7.75895159E+02          3.56682032E+02
      36000.0000          6.76689711E+02          7.95668000E+02          3.65685828E+02
      37000.0000          6.93123199E+02          8.15330141E+02          3.74638194E+02
      38000.0000          7.09461720E+02          8.34882508E+02          3.83539608E+02
      39000.0000          7.25706203E+02          8.54326011E+02          3.92390535E+02
      40000.0000          7.41857558E+02          8.73661544E+02          4.01191430E+02
      41000.0000          7.57916668E+02          8.92889985E+02          4.09942740E+02
      42000.0000          7.73884396E+02          9.12012200E+02          4.18644899E+02
      43000.0000          7.89761587E+02          9.31029040E+02          4.27298336E+02
      44000.0000          8.05549064E+02          9.49941343E+02          4.35903470E+02
      45000.0000          8.21247635E+02          9.68749937E+02          4.44460712E+02
      46000.0000          8.36858090E+02          9.87455636E+02          4.52970465E+02
      47000.0000          8.52381204E+02          1.00605924E+03          4.61433128E+02
      48000.0000          8.67817736E+02          1.02456155E+03          4.69849090E+02
      49000.0000          8.83168434E+02          1.04296334E+03          4.78218735E+02
      50000.0000          8.98434028E+02          1.06126539E+03          4.86542441E+02
