#Energy      Ga-K-shell   Ga-L1-shell   Ga-L2-shell   Ga-L3-shell   Ga-M1-shell   Ga-M2-shell   Ga-M3-shell   Ga-M4-shell   Ga-M5-shell   O-K-shell   Valence  Total
         49.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.63184165E+01          1.52130143E+01          1.00000000E+30          1.28092348E+01          5.50060828E+00
         50.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.53186402E+01          1.46686152E+01          1.00000000E+30          1.24359367E+01          5.31684487E+00
         51.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.43988573E+01          1.41664976E+01          1.00000000E+30          1.20704732E+01          5.14346678E+00
         52.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.35506002E+01          1.37023632E+01          1.00000000E+30          1.17129483E+01          4.97964630E+00
         53.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.27665201E+01          1.32724699E+01          1.00000000E+30          1.13635454E+01          4.82465331E+00
         54.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.20402827E+01          1.28735869E+01          1.00000000E+30          1.10225247E+01          4.67785453E+00
         55.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.13663686E+01          1.25028500E+01          1.00000000E+30          1.06902172E+01          4.53869276E+00
         56.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.07399166E+01          1.21577456E+01          1.00000000E+30          1.03670172E+01          4.40668302E+00
         57.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.01566568E+01          1.18360811E+01          1.00000000E+30          1.00533703E+01          4.28140922E+00
         58.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.96128366E+01          1.15358624E+01          1.00000000E+30          9.74975560E+00          4.16250620E+00
         59.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.91051328E+01          1.12553383E+01          1.00000000E+30          9.45666668E+00          4.04966197E+00
         60.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.86305431E+01          1.09929432E+01          1.00000000E+30          9.17458900E+00          3.94260423E+00
         61.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.81864296E+01          1.07472684E+01          1.00000000E+30          8.90397312E+00          3.84109591E+00
         62.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.77704093E+01          1.05170457E+01          1.00000000E+30          8.64521099E+00          3.74492511E+00
         63.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.73803293E+01          1.03011195E+01          1.00000000E+30          8.39861306E+00          3.65389682E+00
         64.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.70142594E+01          1.00984650E+01          1.00000000E+30          8.16439013E+00          3.56783138E+00
         65.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.66704576E+01          9.90812959E+00          1.00000000E+30          7.94264128E+00          3.48655243E+00
         66.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.63473200E+01          9.72925171E+00          1.00000000E+30          7.73334877E+00          3.40988502E+00
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.60434022E+01          9.56104582E+00          1.00000000E+30          7.53637990E+00          3.33765349E+00
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.57573870E+01          9.40279697E+00          1.00000000E+30          7.35149506E+00          3.26967938E+00
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.54880635E+01          9.25384060E+00          1.00000000E+30          7.17836052E+00          3.20577895E+00
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.52343273E+01          9.11356889E+00          1.00000000E+30          7.01656436E+00          3.14576577E+00
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.49951546E+01          8.98142452E+00          1.00000000E+30          6.86563376E+00          3.08945105E+00
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.47696147E+01          8.85688951E+00          1.00000000E+30          6.72505221E+00          3.03664540E+00
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.45568419E+01          8.73949569E+00          1.00000000E+30          6.59427563E+00          2.98716139E+00
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.43560384E+01          8.62879296E+00          1.00000000E+30          6.47274657E+00          2.94081245E+00
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.41664732E+01          8.52437279E+00          1.00000000E+30          6.35990613E+00          2.89741772E+00
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.39874550E+01          8.42586958E+00          1.00000000E+30          6.25520375E+00          2.85680297E+00
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.38183507E+01          8.33291524E+00          1.00000000E+30          6.15810435E+00          2.81879761E+00
         78.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.36585810E+01          8.24519549E+00          1.00000000E+30          6.06809392E+00          2.78324226E+00
         79.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.35075909E+01          8.16239509E+00          1.00000000E+30          5.98468309E+00          2.74998209E+00
         80.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.33648810E+01          8.08424154E+00          1.00000000E+30          5.90740944E+00          2.71887380E+00
         81.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.32299642E+01          8.01046085E+00          1.00000000E+30          5.83583857E+00          2.68977914E+00
         82.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.31024138E+01          7.94081543E+00          1.00000000E+30          5.76956442E+00          2.66257145E+00
         83.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.29818033E+01          7.87507183E+00          1.00000000E+30          5.70820881E+00          2.63712960E+00
         84.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.28677632E+01          7.81301295E+00          1.00000000E+30          5.65142067E+00          2.61334168E+00
         85.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.27599192E+01          7.75444025E+00          1.00000000E+30          5.59887478E+00          2.59110257E+00
         86.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.26579499E+01          7.69916371E+00          1.00000000E+30          5.55027045E+00          2.57031500E+00
         87.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.25615331E+01          7.64701180E+00          1.00000000E+30          5.50533006E+00          2.55088828E+00
         88.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.24703704E+01          7.59781547E+00          1.00000000E+30          5.46379747E+00          2.53273722E+00
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.23841929E+01          7.55142053E+00          1.00000000E+30          5.42543656E+00          2.51578354E+00
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.23027379E+01          7.50768472E+00          1.00000000E+30          5.39002969E+00          2.49995431E+00
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.22257640E+01          7.46646988E+00          1.00000000E+30          5.35737630E+00          2.48518140E+00
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.21530425E+01          7.42764754E+00          1.00000000E+30          5.32729155E+00          2.47140157E+00
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.20843586E+01          7.39110024E+00          1.00000000E+30          5.29960503E+00          2.45855636E+00
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.20195125E+01          7.35671310E+00          1.00000000E+30          5.27415959E+00          2.44659100E+00
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.19583134E+01          7.32438075E+00          1.00000000E+30          5.25081025E+00          2.43545470E+00
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.19005835E+01          7.29400333E+00          1.00000000E+30          5.22942314E+00          2.42510019E+00
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.18461556E+01          7.26548630E+00          1.00000000E+30          5.20987459E+00          2.41548340E+00
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.17948713E+01          7.23874195E+00          1.00000000E+30          5.19205029E+00          2.40656334E+00
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.17465810E+01          7.21368533E+00          1.00000000E+30          5.17584445E+00          2.39830158E+00
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.17011443E+01          7.19023894E+00          1.00000000E+30          5.16115917E+00          2.39066253E+00
        106.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.14527735E+01          7.06544033E+00          1.00000000E+30          5.09408474E+00          2.35208221E+00
        107.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.82084028E+09          1.14527179E+01          7.06541338E+00          1.00000000E+30          5.09407321E+00          2.35207442E+00
        110.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.44768432E+04          1.13779137E+01          7.02980262E+00          1.00000000E+30          5.08083940E+00          2.34207187E+00
        110.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.82006517E+04          1.13565634E+01          7.01995809E+00          1.00000000E+30          5.07810600E+00          2.33945293E+00
        111.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.06885992E+10          4.81607977E+04          1.13565224E+01          7.01993933E+00          1.00000000E+30          5.07810130E+00          2.33944802E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.16410190E+04          7.97557315E+03          1.12314860E+01          6.96934976E+00          1.00000000E+30          5.08379386E+00          2.32893235E+00
        130.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00620424E+04          3.33048949E+03          1.12022915E+01          6.97535498E+00          1.00000000E+30          5.13699335E+00          2.33811276E+00
