#Energy      Ga   O  Total
         21.0010          7.39746781E+01          2.95747944E+00          2.84378596E+00
         22.0000          7.09952452E+01          2.95586493E+00          2.83771745E+00
         23.0000          6.82712310E+01          2.95704897E+00          2.83428680E+00
         24.0000          6.57736563E+01          2.96069648E+00          2.83316602E+00
         25.0000          6.34755307E+01          2.96652155E+00          2.83407154E+00
         26.0000          6.13539964E+01          2.97428079E+00          2.83676201E+00
         27.0000          5.93895660E+01          2.98376568E+00          2.84103068E+00
         28.0000          5.75655226E+01          2.99479652E+00          2.84669945E+00
         29.0000          5.58674435E+01          3.00721760E+00          2.85361403E+00
         30.0000          5.42828197E+01          3.02089327E+00          2.86164013E+00
         31.0000          5.28007480E+01          3.03570487E+00          2.87066029E+00
         32.0000          5.14116813E+01          3.05154810E+00          2.88057135E+00
         33.0000          5.01072235E+01          3.06833088E+00          2.89128234E+00
         34.0000          4.88799614E+01          3.08597168E+00          2.90271275E+00
         35.0000          4.77233246E+01          3.10439797E+00          2.91479108E+00
         36.0000          4.66314688E+01          3.12354508E+00          2.92745361E+00
         37.0000          4.55991781E+01          3.14335510E+00          2.94064341E+00
         38.0000          4.46217827E+01          3.16377606E+00          2.95430945E+00
         39.0000          4.36950895E+01          3.18476118E+00          2.96840588E+00
         40.0000          4.28153219E+01          3.20626820E+00          2.98289140E+00
         41.0000          4.19790702E+01          3.22825892E+00          2.99772870E+00
         42.0000          4.11832473E+01          3.25069865E+00          3.01288404E+00
         43.0000          4.04250520E+01          3.27355587E+00          3.02832682E+00
         44.0000          3.97019362E+01          3.29680184E+00          3.04402925E+00
         45.0000          3.90115769E+01          3.32041033E+00          3.05996603E+00
         46.0000          3.83518523E+01          3.34435732E+00          3.07611410E+00
         47.0000          3.77208198E+01          3.36862082E+00          3.09245240E+00
         48.0000          3.71166981E+01          3.39318061E+00          3.10896168E+00
         49.0000          3.65378502E+01          3.41801810E+00          3.12562431E+00
         50.0000          3.59827696E+01          3.44311615E+00          3.14242414E+00
         51.0000          3.54500672E+01          3.46845894E+00          3.15934632E+00
         52.0000          3.49384600E+01          3.49403186E+00          3.17637724E+00
         53.0000          3.44467614E+01          3.51982137E+00          3.19350434E+00
         54.0000          3.39738723E+01          3.54581492E+00          3.21071609E+00
         55.0000          3.35187729E+01          3.57200088E+00          3.22800185E+00
         56.0000          3.30805159E+01          3.59836841E+00          3.24535180E+00
         57.0000          3.26582201E+01          3.62490743E+00          3.26275690E+00
         58.0000          3.22510648E+01          3.65160856E+00          3.28020878E+00
         59.0000          3.18582845E+01          3.67846305E+00          3.29769972E+00
         60.0000          3.14791645E+01          3.70546270E+00          3.31522256E+00
         61.0000          3.11130367E+01          3.73259988E+00          3.33277072E+00
         62.0000          3.07592759E+01          3.75986743E+00          3.35033806E+00
         63.0000          3.04172963E+01          3.78725864E+00          3.36791893E+00
         64.0000          3.00865486E+01          3.81476722E+00          3.38550810E+00
         65.0000          2.97665170E+01          3.84238728E+00          3.40310071E+00
         66.0000          2.94567168E+01          3.87011326E+00          3.42069228E+00
         67.0000          2.91566922E+01          3.89793995E+00          3.43827863E+00
         68.0000          2.88660139E+01          3.92586245E+00          3.45585592E+00
         69.0000          2.85842775E+01          3.95387613E+00          3.47342058E+00
         70.0000          2.83111015E+01          3.98197664E+00          3.49096931E+00
         71.0000          2.80461257E+01          4.01015986E+00          3.50849905E+00
         72.0000          2.77890099E+01          4.03842192E+00          3.52600698E+00
         73.0000          2.75394325E+01          4.06675915E+00          3.54349047E+00
         74.0000          2.72970890E+01          4.09516807E+00          3.56094712E+00
         75.0000          2.70616912E+01          4.12364542E+00          3.57837468E+00
         76.0000          2.68329660E+01          4.15218808E+00          3.59577110E+00
         77.0000          2.66106543E+01          4.18079312E+00          3.61313448E+00
         78.0000          2.63945103E+01          4.20945774E+00          3.63046307E+00
         79.0000          2.61843005E+01          4.23817931E+00          3.64775525E+00
         80.0000          2.59798031E+01          4.26695530E+00          3.66500955E+00
         81.0000          2.57808072E+01          4.29578333E+00          3.68222461E+00
         82.0000          2.55871120E+01          4.32466114E+00          3.69939918E+00
         83.0000          2.53985265E+01          4.35358658E+00          3.71653212E+00
         84.0000          2.52148686E+01          4.38255759E+00          3.73362241E+00
         85.0000          2.50359649E+01          4.41157222E+00          3.75066909E+00
         86.0000          2.48616498E+01          4.44062862E+00          3.76767131E+00
         87.0000          2.46917654E+01          4.46972503E+00          3.78462829E+00
         88.0000          2.45261610E+01          4.49885974E+00          3.80153934E+00
         89.0000          2.43646926E+01          4.52803115E+00          3.81840383E+00
         90.0000          2.42072224E+01          4.55723774E+00          3.83522120E+00
         91.0000          2.40536189E+01          4.58647803E+00          3.85199096E+00
         92.0000          2.39037561E+01          4.61575062E+00          3.86871267E+00
         93.0000          2.37575134E+01          4.64505419E+00          3.88538595E+00
         94.0000          2.36147755E+01          4.67438745E+00          3.90201048E+00
         95.0000          2.34754317E+01          4.70374918E+00          3.91858596E+00
         96.0000          2.33393759E+01          4.73313822E+00          3.93511217E+00
         97.0000          2.32065066E+01          4.76255344E+00          3.95158893E+00
         98.0000          2.30767262E+01          4.79199379E+00          3.96801606E+00
         99.0000          2.29499410E+01          4.82145823E+00          3.98439347E+00
        100.0000          2.28260612E+01          4.85094578E+00          4.00072108E+00
        106.9990          2.20335099E+01          5.05790195E+00          4.11360373E+00
        107.0010          2.20333006E+01          5.05796122E+00          4.11363563E+00
        110.0000          2.17296111E+01          5.14690370E+00          4.16126186E+00
        110.9990          2.16327555E+01          5.17656150E+00          4.17702880E+00
        111.0010          2.16325637E+01          5.17662089E+00          4.17706032E+00
        120.0000          2.08465997E+01          5.44434532E+00          4.31692689E+00
        130.0000          2.01276111E+01          5.74275531E+00          4.46796709E+00
        140.0000          1.95373075E+01          6.04177831E+00          4.61471069E+00
        150.0000          1.90497529E+01          6.34116431E+00          4.75751278E+00
        160.0000          1.86454843E+01          6.64073471E+00          4.89672714E+00
        161.9990          1.85732856E+01          6.70062891E+00          4.92415586E+00
        162.0010          1.85732147E+01          6.70068883E+00          4.92418324E+00
        170.0000          1.83096140E+01          6.94036037E+00          5.03269102E+00
        180.0000          1.80305620E+01          7.23994711E+00          5.16571766E+00
        190.0000          1.77991879E+01          7.53942590E+00          5.29609313E+00
        200.0000          1.76081823E+01          7.83874605E+00          5.42407585E+00
        210.0000          1.74516313E+01          8.13787041E+00          5.54989760E+00
        220.0000          1.73247005E+01          8.43677191E+00          5.67376524E+00
        230.0000          1.72233999E+01          8.73543111E+00          5.79586281E+00
        240.0000          1.71444083E+01          9.03383431E+00          5.91635375E+00
        250.0000          1.70849397E+01          9.33197221E+00          6.03538305E+00
        260.0000          1.70426402E+01          9.62983890E+00          6.15307931E+00
        270.0000          1.70155079E+01          9.92743103E+00          6.26955662E+00
        280.0000          1.70018300E+01          1.02247473E+01          6.38491622E+00
        290.0000          1.70001328E+01          1.05217878E+01          6.49924809E+00
        300.0000          1.70091418E+01          1.08185540E+01          6.61263226E+00
        310.0000          1.70277495E+01          1.11150481E+01          6.72514003E+00
        320.0000          1.70549890E+01          1.14112731E+01          6.83683501E+00
        330.0000          1.70900127E+01          1.17072325E+01          6.94777402E+00
        340.0000          1.71320750E+01          1.20029301E+01          7.05800798E+00
        350.0000          1.71805171E+01          1.22983700E+01          7.16758252E+00
        360.0000          1.72347551E+01          1.25935565E+01          7.27653866E+00
        370.0000          1.72942699E+01          1.28884942E+01          7.38491335E+00
        380.0000          1.73585985E+01          1.31831875E+01          7.49273990E+00
        390.0000          1.74273267E+01          1.34776409E+01          7.60004846E+00
        400.0000          1.75000831E+01          1.37718591E+01          7.70686633E+00
        410.0000          1.75765336E+01          1.40658465E+01          7.81321829E+00
        420.0000          1.76563770E+01          1.43596076E+01          7.91912690E+00
        430.0000          1.77393413E+01          1.46531468E+01          8.02461273E+00
        440.0000          1.78251801E+01          1.49464685E+01          8.12969455E+00
        450.0000          1.79136698E+01          1.52395770E+01          8.23438958E+00
        460.0000          1.80046071E+01          1.55324763E+01          8.33871361E+00
        470.0000          1.80978069E+01          1.58251707E+01          8.44268114E+00
        480.0000          1.81931000E+01          1.61176640E+01          8.54630555E+00
        490.0000          1.82903320E+01          1.64099601E+01          8.64959919E+00
        500.0000          1.83893613E+01          1.67020629E+01          8.75257349E+00
        510.0000          1.84900582E+01          1.69939760E+01          8.85523904E+00
        520.0000          1.85923034E+01          1.72857030E+01          8.95760569E+00
        530.0000          1.86959872E+01          1.75772474E+01          9.05968258E+00
        537.9990          1.87798913E+01          1.78103245E+01          9.14113107E+00
        538.0010          1.87799124E+01          1.78103828E+01          9.14115141E+00
        540.0000          1.88010085E+01          1.78686125E+01          9.16147827E+00
        550.0000          1.89072742E+01          1.81598018E+01          9.26300073E+00
        560.0000          1.90146982E+01          1.84508183E+01          9.36425745E+00
        570.0000          1.91232009E+01          1.87416652E+01          9.46525542E+00
        580.0000          1.92327085E+01          1.90323456E+01          9.56600123E+00
        590.0000          1.93431527E+01          1.93228623E+01          9.66650108E+00
        600.0000          1.94544701E+01          1.96132183E+01          9.76676082E+00
        610.0000          1.95666018E+01          1.99034162E+01          9.86678596E+00
        620.0000          1.96794931E+01          2.01934589E+01          9.96658173E+00
        630.0000          1.97930930E+01          2.04833489E+01          1.00661531E+01
        640.0000          1.99073540E+01          2.07730887E+01          1.01655047E+01
        650.0000          2.00222318E+01          2.10626810E+01          1.02646410E+01
        660.0000          2.01376852E+01          2.13521279E+01          1.03635663E+01
        670.0000          2.02536755E+01          2.16414320E+01          1.04622847E+01
        680.0000          2.03701667E+01          2.19305955E+01          1.05607999E+01
        690.0000          2.04871250E+01          2.22196206E+01          1.06591157E+01
        700.0000          2.06045188E+01          2.25085094E+01          1.07572357E+01
        710.0000          2.07223185E+01          2.27972641E+01          1.08551631E+01
        720.0000          2.08404965E+01          2.30858867E+01          1.09529013E+01
        730.0000          2.09590265E+01          2.33743791E+01          1.10504534E+01
        740.0000          2.10778843E+01          2.36627434E+01          1.11478223E+01
        750.0000          2.11970468E+01          2.39509813E+01          1.12450110E+01
        760.0000          2.13164926E+01          2.42390948E+01          1.13420222E+01
        770.0000          2.14362012E+01          2.45270856E+01          1.14388587E+01
        780.0000          2.15561537E+01          2.48149554E+01          1.15355229E+01
        790.0000          2.16763319E+01          2.51027060E+01          1.16320175E+01
        800.0000          2.17967191E+01          2.53903389E+01          1.17283448E+01
        810.0000          2.19172993E+01          2.56778559E+01          1.18245072E+01
        820.0000          2.20380574E+01          2.59652585E+01          1.19205069E+01
        830.0000          2.21589792E+01          2.62525481E+01          1.20163461E+01
        840.0000          2.22800514E+01          2.65397264E+01          1.21120270E+01
        850.0000          2.24012613E+01          2.68267947E+01          1.22075517E+01
        860.0000          2.25225969E+01          2.71137545E+01          1.23029221E+01
        870.0000          2.26440471E+01          2.74006071E+01          1.23981402E+01
        880.0000          2.27656011E+01          2.76873540E+01          1.24932079E+01
        890.0000          2.28872489E+01          2.79739964E+01          1.25881271E+01
        900.0000          2.30089809E+01          2.82605357E+01          1.26828995E+01
        910.0000          2.31307882E+01          2.85469730E+01          1.27775269E+01
        920.0000          2.32526621E+01          2.88333097E+01          1.28720111E+01
        930.0000          2.33745946E+01          2.91195469E+01          1.29663537E+01
        940.0000          2.34965782E+01          2.94056858E+01          1.30605563E+01
        950.0000          2.36186054E+01          2.96917275E+01          1.31546204E+01
        960.0000          2.37406695E+01          2.99776732E+01          1.32485478E+01
        970.0000          2.38627639E+01          3.02635240E+01          1.33423399E+01
        980.0000          2.39848825E+01          3.05492810E+01          1.34359981E+01
        990.0000          2.41070195E+01          3.08349452E+01          1.35295239E+01
       1000.0000          2.42291693E+01          3.11205176E+01          1.36229188E+01
       1100.0000          2.54503388E+01          3.39714054E+01          1.45499562E+01
       1118.9990          2.56820907E+01          3.45120950E+01          1.47247237E+01
       1119.0010          2.56821151E+01          3.45121519E+01          1.47247421E+01
       1145.9990          2.60112014E+01          3.52799866E+01          1.49723780E+01
       1146.0010          2.60112257E+01          3.52800435E+01          1.49723963E+01
       1200.0000          2.66684171E+01          3.68141012E+01          1.54652624E+01
       1300.0000          2.78809968E+01          3.96493425E+01          1.63698747E+01
       1301.9990          2.79051693E+01          3.97059474E+01          1.63878551E+01
       1302.0010          2.79051935E+01          3.97060040E+01          1.63878731E+01
       1400.0000          2.90866703E+01          4.24777409E+01          1.72646714E+01
       1500.0000          3.02846463E+01          4.52998102E+01          1.81504081E+01
       1600.0000          3.14745206E+01          4.81159864E+01          1.90277417E+01
       1700.0000          3.26561355E+01          5.09266436E+01          1.98972491E+01
       1800.0000          3.38294907E+01          5.37321053E+01          2.07594407E+01
       1900.0000          3.49946861E+01          5.65326536E+01          2.16147708E+01
       2000.0000          3.61518849E+01          5.93285362E+01          2.24636463E+01
       2100.0000          3.73012885E+01          6.21199720E+01          2.33064335E+01
       2200.0000          3.84431203E+01          6.49071555E+01          2.41434633E+01
       2300.0000          3.95776147E+01          6.76902607E+01          2.49750361E+01
       2400.0000          4.07050097E+01          7.04694438E+01          2.58014256E+01
       2500.0000          4.18255419E+01          7.32448456E+01          2.66228821E+01
       2600.0000          4.29394435E+01          7.60165938E+01          2.74396349E+01
       2700.0000          4.40469400E+01          7.87848045E+01          2.82518951E+01
       2800.0000          4.51482490E+01          8.15495837E+01          2.90598571E+01
       2900.0000          4.62435799E+01          8.43110283E+01          2.98637009E+01
       3000.0000          4.73331328E+01          8.70692274E+01          3.06635932E+01
       3100.0000          4.84170992E+01          8.98242631E+01          3.14596889E+01
       3200.0000          4.94956614E+01          9.25762113E+01          3.22521321E+01
       3300.0000          5.05689933E+01          9.53251422E+01          3.30410572E+01
       3400.0000          5.16372604E+01          9.80711210E+01          3.38265899E+01
       3500.0000          5.27006204E+01          1.00814208E+02          3.46088477E+01
       3600.0000          5.37592229E+01          1.03554461E+02          3.53879409E+01
       3700.0000          5.48132108E+01          1.06291931E+02          3.61639731E+01
       3800.0000          5.58627196E+01          1.09026669E+02          3.69370418E+01
       3900.0000          5.69078787E+01          1.11758721E+02          3.77072387E+01
       4000.0000          5.79488112E+01          1.14488130E+02          3.84746504E+01
       4100.0000          5.89856343E+01          1.17214937E+02          3.92393587E+01
       4200.0000          6.00184599E+01          1.19939182E+02          4.00014410E+01
       4300.0000          6.10473946E+01          1.22660901E+02          4.07609705E+01
       4400.0000          6.20725401E+01          1.25380127E+02          4.15180167E+01
       4500.0000          6.30939937E+01          1.28096895E+02          4.22726456E+01
       4600.0000          6.41118482E+01          1.30811234E+02          4.30249198E+01
       4700.0000          6.51261923E+01          1.33523174E+02          4.37748988E+01
       4800.0000          6.61371110E+01          1.36232744E+02          4.45226395E+01
       4900.0000          6.71446855E+01          1.38939969E+02          4.52681960E+01
       5000.0000          6.81489936E+01          1.41644876E+02          4.60116197E+01
       5100.0000          6.91501100E+01          1.44347488E+02          4.67529600E+01
       5200.0000          7.01481062E+01          1.47047827E+02          4.74922640E+01
       5300.0000          7.11430507E+01          1.49745917E+02          4.82295765E+01
       5400.0000          7.21350094E+01          1.52441779E+02          4.89649409E+01
       5500.0000          7.31240457E+01          1.55135432E+02          4.96983982E+01
       5600.0000          7.41102202E+01          1.57826895E+02          5.04299881E+01
       5700.0000          7.50935914E+01          1.60516188E+02          5.11597484E+01
       5800.0000          7.60742157E+01          1.63203328E+02          5.18877158E+01
       5900.0000          7.70521470E+01          1.65888332E+02          5.26139251E+01
       6000.0000          7.80274376E+01          1.68571217E+02          5.33384099E+01
       6100.0000          7.90001378E+01          1.71251998E+02          5.40612027E+01
       6200.0000          7.99702959E+01          1.73930691E+02          5.47823346E+01
       6300.0000          8.09379586E+01          1.76607309E+02          5.55018355E+01
       6400.0000          8.19031711E+01          1.79281868E+02          5.62197344E+01
       6500.0000          8.28659768E+01          1.81954381E+02          5.69360591E+01
       6600.0000          8.38264179E+01          1.84624861E+02          5.76508364E+01
       6700.0000          8.47845349E+01          1.87293321E+02          5.83640924E+01
       6800.0000          8.57403671E+01          1.89959773E+02          5.90758520E+01
       6900.0000          8.66939525E+01          1.92624229E+02          5.97861395E+01
       7000.0000          8.76453278E+01          1.95286701E+02          6.04949782E+01
       7100.0000          8.85945287E+01          1.97947199E+02          6.12023908E+01
       7200.0000          8.95415895E+01          2.00605734E+02          6.19083991E+01
       7300.0000          9.04865436E+01          2.03262318E+02          6.26130242E+01
       7400.0000          9.14294235E+01          2.05916959E+02          6.33162868E+01
       7500.0000          9.23702603E+01          2.08569668E+02          6.40182067E+01
       7600.0000          9.33090846E+01          2.11220455E+02          6.47188031E+01
       7700.0000          9.42459259E+01          2.13869328E+02          6.54180947E+01
       7800.0000          9.51808128E+01          2.16516298E+02          6.61160996E+01
       7900.0000          9.61137730E+01          2.19161371E+02          6.68128353E+01
       8000.0000          9.70448336E+01          2.21804558E+02          6.75083190E+01
       8100.0000          9.79740209E+01          2.24445866E+02          6.82025671E+01
       8200.0000          9.89013602E+01          2.27085304E+02          6.88955958E+01
       8300.0000          9.98268765E+01          2.29722880E+02          6.95874207E+01
       8400.0000          1.00750594E+02          2.32358600E+02          7.02780570E+01
       8500.0000          1.01672535E+02          2.34992473E+02          7.09675195E+01
       8600.0000          1.02592724E+02          2.37624506E+02          7.16558224E+01
       8700.0000          1.03511183E+02          2.40254705E+02          7.23429799E+01
       8800.0000          1.04427933E+02          2.42883079E+02          7.30290056E+01
       8900.0000          1.05342994E+02          2.45509634E+02          7.37139126E+01
       9000.0000          1.06256389E+02          2.48134376E+02          7.43977139E+01
       9100.0000          1.07168136E+02          2.50757312E+02          7.50804220E+01
       9200.0000          1.08078255E+02          2.53378448E+02          7.57620493E+01
       9300.0000          1.08986765E+02          2.55997791E+02          7.64426076E+01
       9400.0000          1.09893686E+02          2.58615347E+02          7.71221086E+01
       9500.0000          1.10799034E+02          2.61231120E+02          7.78005636E+01
       9600.0000          1.11702827E+02          2.63845119E+02          7.84779838E+01
       9700.0000          1.12605083E+02          2.66457347E+02          7.91543800E+01
       9800.0000          1.13505818E+02          2.69067811E+02          7.98297626E+01
       9900.0000          1.14405049E+02          2.71676515E+02          8.05041421E+01
      10000.0000          1.15302792E+02          2.74283467E+02          8.11775284E+01
      10370.9990          1.18620665E+02          2.83939994E+02          8.36672689E+01
      10371.0010          1.18620683E+02          2.83940046E+02          8.36672823E+01
      11000.0000          1.24201652E+02          3.00257638E+02          8.78588256E+01
      12000.0000          1.32966912E+02          3.26061657E+02          9.44503557E+01
      13000.0000          1.41609848E+02          3.51699542E+02          1.00959195E+02
      14000.0000          1.50139745E+02          3.77174757E+02          1.07391171E+02
      15000.0000          1.58564365E+02          4.02490347E+02          1.13751164E+02
      16000.0000          1.66890286E+02          4.27649026E+02          1.20043312E+02
      17000.0000          1.75123145E+02          4.52653252E+02          1.26271171E+02
      18000.0000          1.83267827E+02          4.77505272E+02          1.32437827E+02
      19000.0000          1.91328603E+02          5.02207163E+02          1.38545983E+02
      20000.0000          1.99309235E+02          5.26760860E+02          1.44598028E+02
      21000.0000          2.07213069E+02          5.51168180E+02          1.50596089E+02
      22000.0000          2.15043094E+02          5.75430837E+02          1.56542073E+02
      23000.0000          2.22802000E+02          5.99550462E+02          1.62437699E+02
      24000.0000          2.30492220E+02          6.23528606E+02          1.68284529E+02
      25000.0000          2.38115971E+02          6.47366759E+02          1.74083988E+02
      26000.0000          2.45675276E+02          6.71066352E+02          1.79837378E+02
      27000.0000          2.53171992E+02          6.94628763E+02          1.85545904E+02
      28000.0000          2.60607834E+02          7.18055327E+02          1.91210675E+02
      29000.0000          2.67984385E+02          7.41347338E+02          1.96832722E+02
      30000.0000          2.75303118E+02          7.64506050E+02          2.02413006E+02
      31000.0000          2.82565405E+02          7.87532685E+02          2.07952425E+02
      32000.0000          2.89772528E+02          8.10428436E+02          2.13451819E+02
      33000.0000          2.96925688E+02          8.33194464E+02          2.18911979E+02
      34000.0000          3.04026014E+02          8.55831906E+02          2.24333652E+02
      35000.0000          3.11074571E+02          8.78341874E+02          2.29717542E+02
      36000.0000          3.18072365E+02          9.00725458E+02          2.35064316E+02
      37000.0000          3.25020347E+02          9.22983725E+02          2.40374609E+02
      38000.0000          3.31919419E+02          9.45117724E+02          2.45649023E+02
      39000.0000          3.38770441E+02          9.67128485E+02          2.50888133E+02
      40000.0000          3.45574230E+02          9.89017020E+02          2.56092489E+02
      41000.0000          3.52331566E+02          1.01078432E+03          2.61262616E+02
      42000.0000          3.59043194E+02          1.03243137E+03          2.66399018E+02
      43000.0000          3.65709829E+02          1.05395914E+03          2.71502177E+02
      44000.0000          3.72332153E+02          1.07536856E+03          2.76572559E+02
      45000.0000          3.78910825E+02          1.09666058E+03          2.81610611E+02
      46000.0000          3.85446475E+02          1.11783612E+03          2.86616763E+02
      47000.0000          3.91939712E+02          1.13889609E+03          2.91591433E+02
      48000.0000          3.98391121E+02          1.15984138E+03          2.96535021E+02
      49000.0000          4.04801269E+02          1.18067289E+03          3.01447917E+02
      50000.0000          4.11170700E+02          1.20139147E+03          3.06330498E+02
