#Energy      In   O  Total
         24.0000          4.19962618E+02          4.56328626E+00          4.51423488E+00
         25.0000          4.03967317E+02          4.57226436E+00          4.52109282E+00
         26.0000          3.89198828E+02          4.58422359E+00          4.53085637E+00
         27.0000          3.75521258E+02          4.59884254E+00          4.54320393E+00
         28.0000          3.62818087E+02          4.61584425E+00          4.55785826E+00
         29.0000          3.50988833E+02          4.63498870E+00          4.57457902E+00
         30.0000          3.39946382E+02          4.65606685E+00          4.59315680E+00
         31.0000          3.29614838E+02          4.67889580E+00          4.61340829E+00
         32.0000          3.19927768E+02          4.70331477E+00          4.63517228E+00
         33.0000          3.10826774E+02          4.72918187E+00          4.65830645E+00
         34.0000          3.02260315E+02          4.75637142E+00          4.68268465E+00
         35.0000          2.94182723E+02          4.78477166E+00          4.70819464E+00
         36.0000          2.86553396E+02          4.81428286E+00          4.73473623E+00
         37.0000          2.79336109E+02          4.84481581E+00          4.76221970E+00
         38.0000          2.72498442E+02          4.87629040E+00          4.79056447E+00
         39.0000          2.66011291E+02          4.90863450E+00          4.81969792E+00
         40.0000          2.59848456E+02          4.94178303E+00          4.84955448E+00
         41.0000          2.53986288E+02          4.97567706E+00          4.88007475E+00
         42.0000          2.48403382E+02          5.01026315E+00          4.91120480E+00
         43.0000          2.43080323E+02          5.04549271E+00          4.94289558E+00
         44.0000          2.37999452E+02          5.08132145E+00          4.97510232E+00
         45.0000          2.33144680E+02          5.11770893E+00          5.00778413E+00
         46.0000          2.28501311E+02          5.15461815E+00          5.04090356E+00
         47.0000          2.24055897E+02          5.19201519E+00          5.07442624E+00
         48.0000          2.19796108E+02          5.22986890E+00          5.10832059E+00
         49.0000          2.15710619E+02          5.26815062E+00          5.14255751E+00
         50.0000          2.11789006E+02          5.30683394E+00          5.17711019E+00
         51.0000          2.08021662E+02          5.34589449E+00          5.21195384E+00
         52.0000          2.04399718E+02          5.38530972E+00          5.24706553E+00
         53.0000          2.00914972E+02          5.42505879E+00          5.28242402E+00
         54.0000          1.97559826E+02          5.46512235E+00          5.31800958E+00
         55.0000          1.94327235E+02          5.50548245E+00          5.35380390E+00
         56.0000          1.91210657E+02          5.54612241E+00          5.38978993E+00
         57.0000          1.88204005E+02          5.58702669E+00          5.42595181E+00
         58.0000          1.85301613E+02          5.62818083E+00          5.46227472E+00
         59.0000          1.82498197E+02          5.66957133E+00          5.49874484E+00
         60.0000          1.79788824E+02          5.71118557E+00          5.53534924E+00
         61.0000          1.77168884E+02          5.75301179E+00          5.57207585E+00
         62.0000          1.74634064E+02          5.79503893E+00          5.60891332E+00
         63.0000          1.72180324E+02          5.83725667E+00          5.64585105E+00
         64.0000          1.69803876E+02          5.87965532E+00          5.68287907E+00
         65.0000          1.67501163E+02          5.92222579E+00          5.71998802E+00
         66.0000          1.65268845E+02          5.96495951E+00          5.75716910E+00
         67.0000          1.63103780E+02          6.00784846E+00          5.79441404E+00
         68.0000          1.61003010E+02          6.05088508E+00          5.83171503E+00
         69.0000          1.58963747E+02          6.09406223E+00          5.86906473E+00
         70.0000          1.56983365E+02          6.13737321E+00          5.90645622E+00
         71.0000          1.55059383E+02          6.18081168E+00          5.94388296E+00
         72.0000          1.53189458E+02          6.22437165E+00          5.98133877E+00
         73.0000          1.51371375E+02          6.26804748E+00          6.01881782E+00
         74.0000          1.49603038E+02          6.31183382E+00          6.05631460E+00
         75.0000          1.47882465E+02          6.35572562E+00          6.09382389E+00
         76.0000          1.46207774E+02          6.39971809E+00          6.13134075E+00
         77.0000          1.44577183E+02          6.44380669E+00          6.16886051E+00
         78.0000          1.42989002E+02          6.48798713E+00          6.20637872E+00
         79.0000          1.41441624E+02          6.53225533E+00          6.24389120E+00
         80.0000          1.39933522E+02          6.57660742E+00          6.28139394E+00
         81.0000          1.38463248E+02          6.62103973E+00          6.31888318E+00
         81.9990          1.37030835E+02          6.66550421E+00          6.35631786E+00
         82.0000          1.37029419E+02          6.66554875E+00          6.35635532E+00
         82.0010          1.37028003E+02          6.66559330E+00          6.35639279E+00
         83.0000          1.35630723E+02          6.71013119E+00          6.39380696E+00
         84.0000          1.34265909E+02          6.75478386E+00          6.43123485E+00
         85.0000          1.32933782E+02          6.79950377E+00          6.46863592E+00
         86.0000          1.31633207E+02          6.84428806E+00          6.50600725E+00
         87.0000          1.30363097E+02          6.88913399E+00          6.54334605E+00
         88.0000          1.29122417E+02          6.93403898E+00          6.58064967E+00
         89.0000          1.27910178E+02          6.97900053E+00          6.61791561E+00
         89.9990          1.26726604E+02          7.02397125E+00          6.65510426E+00
         90.0000          1.26725432E+02          7.02401630E+00          6.65514147E+00
         90.0010          1.26724261E+02          7.02406134E+00          6.65517867E+00
         91.0000          1.25567277E+02          7.06908401E+00          6.69232496E+00
         92.0000          1.24434847E+02          7.11420151E+00          6.72946393E+00
         93.0000          1.23327314E+02          7.15936675E+00          6.76655629E+00
         94.0000          1.22243886E+02          7.20457775E+00          6.80360010E+00
         95.0000          1.21183802E+02          7.24983264E+00          6.84059347E+00
         96.0000          1.20146335E+02          7.29512961E+00          6.87753463E+00
         97.0000          1.19130787E+02          7.34046695E+00          6.91442187E+00
         98.0000          1.18136488E+02          7.38584300E+00          6.95125358E+00
         99.0000          1.17162795E+02          7.43125619E+00          6.98802822E+00
        100.0000          1.16209092E+02          7.47670501E+00          7.02474432E+00
        110.0000          1.07651749E+02          7.93286143E+00          7.38840927E+00
        120.0000          1.00564359E+02          8.39130466E+00          7.74504184E+00
        125.9990          9.68726414E+01          8.66708042E+00          7.95532676E+00
        126.0010          9.68714718E+01          8.66717243E+00          7.95539640E+00
        130.0000          9.46080266E+01          8.85124043E+00          8.09399113E+00
        140.0000          8.95404818E+01          9.31212101E+00          8.43489982E+00
        150.0000          8.51839312E+01          9.77356110E+00          8.76761102E+00
        160.0000          8.14049479E+01          1.02352854E+01          9.09210774E+00
        170.0000          7.81014465E+01          1.06970948E+01          9.40847190E+00
        180.0000          7.51939933E+01          1.11588443E+01          9.71685573E+00
        190.0000          7.26198555E+01          1.16204274E+01          1.00174611E+01
        200.0000          7.03288337E+01          1.20817660E+01          1.03105246E+01
        210.0000          6.82802822E+01          1.25428028E+01          1.05963057E+01
        220.0000          6.64409412E+01          1.30034962E+01          1.08750789E+01
        230.0000          6.47833336E+01          1.34638160E+01          1.11471266E+01
        240.0000          6.32845620E+01          1.39237413E+01          1.14127345E+01
        250.0000          6.19253936E+01          1.43832577E+01          1.16721876E+01
        260.0000          6.06895565E+01          1.48423561E+01          1.19257672E+01
        270.0000          5.95631920E+01          1.53010313E+01          1.21737490E+01
        280.0000          5.85344237E+01          1.57592813E+01          1.24164012E+01
        290.0000          5.75930163E+01          1.62171063E+01          1.26539834E+01
        300.0000          5.67301020E+01          1.66745085E+01          1.28867460E+01
        310.0000          5.59379603E+01          1.71314914E+01          1.31149292E+01
        320.0000          5.52098385E+01          1.75880595E+01          1.33387632E+01
        330.0000          5.45398052E+01          1.80442181E+01          1.35584678E+01
        340.0000          5.39226294E+01          1.84999733E+01          1.37742523E+01
        350.0000          5.33536806E+01          1.89553313E+01          1.39863160E+01
        360.0000          5.28288451E+01          1.94102988E+01          1.41948480E+01
        370.0000          5.23444565E+01          1.98648827E+01          1.44000278E+01
        380.0000          5.18972362E+01          2.03190900E+01          1.46020252E+01
        390.0000          5.14842443E+01          2.07729276E+01          1.48010011E+01
        400.0000          5.11028366E+01          2.12264025E+01          1.49971076E+01
        410.0000          5.07506288E+01          2.16795218E+01          1.51904884E+01
        420.0000          5.04254657E+01          2.21322923E+01          1.53812794E+01
        430.0000          5.01253939E+01          2.25847208E+01          1.55696086E+01
        440.0000          4.98486394E+01          2.30368141E+01          1.57555971E+01
        446.9990          4.96679395E+01          2.33530383E+01          1.58844393E+01
        447.0010          4.96678893E+01          2.33531286E+01          1.58844760E+01
        450.0000          4.95935873E+01          2.34885787E+01          1.59393590E+01
        454.9990          4.94737577E+01          2.37142946E+01          1.60304206E+01
        455.0010          4.94737107E+01          2.37143848E+01          1.60304570E+01
        460.0000          4.93587646E+01          2.39400210E+01          1.61210019E+01
        470.0000          4.91428249E+01          2.43911473E+01          1.63006274E+01
        480.0000          4.89445353E+01          2.48419637E+01          1.64783312E+01
        490.0000          4.87627649E+01          2.52924763E+01          1.66542037E+01
        500.0000          4.85964742E+01          2.57426908E+01          1.68283301E+01
        510.0000          4.84447064E+01          2.61926130E+01          1.70007907E+01
        520.0000          4.83065793E+01          2.66422483E+01          1.71716613E+01
        530.0000          4.81812783E+01          2.70916022E+01          1.73410133E+01
        537.9990          4.80897750E+01          2.74508413E+01          1.74754304E+01
        538.0010          4.80897531E+01          2.74509311E+01          1.74754639E+01
        540.0000          4.80680499E+01          2.75406799E+01          1.75089144E+01
        550.0000          4.79661965E+01          2.79894864E+01          1.76754280E+01
        560.0000          4.78750710E+01          2.84380267E+01          1.78406144E+01
        570.0000          4.77940724E+01          2.88863056E+01          1.80045302E+01
        580.0000          4.77226422E+01          2.93343278E+01          1.81672291E+01
        590.0000          4.76602602E+01          2.97820977E+01          1.83287617E+01
        600.0000          4.76064417E+01          3.02296199E+01          1.84891759E+01
        610.0000          4.75607343E+01          3.06768986E+01          1.86485169E+01
        620.0000          4.75227156E+01          3.11239379E+01          1.88068275E+01
        630.0000          4.74919903E+01          3.15707419E+01          1.89641482E+01
        640.0000          4.74681887E+01          3.20173145E+01          1.91205171E+01
        650.0000          4.74509641E+01          3.24636595E+01          1.92759707E+01
        660.0000          4.74399915E+01          3.29097807E+01          1.94305432E+01
        668.9990          4.74352094E+01          3.33110568E+01          1.95689167E+01
        669.0010          4.74352088E+01          3.33111460E+01          1.95689473E+01
        670.0000          4.74349658E+01          3.33556817E+01          1.95842671E+01
        680.0000          4.74356001E+01          3.38013659E+01          1.97371733E+01
        690.0000          4.74416248E+01          3.42468368E+01          1.98892910E+01
        700.0000          4.74527861E+01          3.46920977E+01          2.00406479E+01
        706.9990          4.74635248E+01          3.50036126E+01          2.01461441E+01
        707.0010          4.74635282E+01          3.50037016E+01          2.01461742E+01
        710.0000          4.74688447E+01          3.51371519E+01          2.01912703E+01
        720.0000          4.74895752E+01          3.55820024E+01          2.03411832E+01
        730.0000          4.75147648E+01          3.60266524E+01          2.04904103E+01
        740.0000          4.75442127E+01          3.64711048E+01          2.06389741E+01
        750.0000          4.75777290E+01          3.69153625E+01          2.07868961E+01
        760.0000          4.76151343E+01          3.73594284E+01          2.09341966E+01
        770.0000          4.76562585E+01          3.78033051E+01          2.10808949E+01
        780.0000          4.77009409E+01          3.82469955E+01          2.12270096E+01
        790.0000          4.77490290E+01          3.86905020E+01          2.13725581E+01
        800.0000          4.78003784E+01          3.91338273E+01          2.15175573E+01
        810.0000          4.78548518E+01          3.95769738E+01          2.16620230E+01
        820.0000          4.79123191E+01          4.00199439E+01          2.18059704E+01
        829.9990          4.79726505E+01          4.04626958E+01          2.19493997E+01
        830.0000          4.79726567E+01          4.04627400E+01          2.19494140E+01
        830.0010          4.79726629E+01          4.04627843E+01          2.19494283E+01
        840.0000          4.80357470E+01          4.09053645E+01          2.20923677E+01
        850.0000          4.81014783E+01          4.13478194E+01          2.22348446E+01
        860.0000          4.81697441E+01          4.17901072E+01          2.23768575E+01
        870.0000          4.82404434E+01          4.22322297E+01          2.25184182E+01
        880.0000          4.83134796E+01          4.26741893E+01          2.26595384E+01
        890.0000          4.83887608E+01          4.31159878E+01          2.28002290E+01
        900.0000          4.84661995E+01          4.35576274E+01          2.29405006E+01
        910.0000          4.85457119E+01          4.39991098E+01          2.30803633E+01
        920.0000          4.86272184E+01          4.44404371E+01          2.32198268E+01
        930.0000          4.87106428E+01          4.48816111E+01          2.33589003E+01
        940.0000          4.87959123E+01          4.53226336E+01          2.34975927E+01
        950.0000          4.88829573E+01          4.57635063E+01          2.36359124E+01
        960.0000          4.89717114E+01          4.62042310E+01          2.37738678E+01
        970.0000          4.90621110E+01          4.66448095E+01          2.39114665E+01
        980.0000          4.91540953E+01          4.70852433E+01          2.40487161E+01
        990.0000          4.92476059E+01          4.75255341E+01          2.41856239E+01
       1000.0000          4.93425871E+01          4.79656834E+01          2.43221968E+01
       1100.0000          5.03625417E+01          5.23597229E+01          2.56708586E+01
       1200.0000          5.14824948E+01          5.67411361E+01          2.69920277E+01
       1300.0000          5.26731013E+01          6.11110598E+01          2.82896056E+01
       1400.0000          5.39140231E+01          6.54704366E+01          2.95664498E+01
       1500.0000          5.51908292E+01          6.98200584E+01          3.08247305E+01
       1600.0000          5.64930782E+01          7.41605973E+01          3.20661505E+01
       1700.0000          5.78130915E+01          7.84926298E+01          3.32920845E+01
       1800.0000          5.91451456E+01          8.28166546E+01          3.45036699E+01
       1900.0000          6.04849256E+01          8.71331064E+01          3.57018678E+01
       2000.0000          6.18291494E+01          9.14423669E+01          3.68875046E+01
       2100.0000          6.31753020E+01          9.57447736E+01          3.80613020E+01
       2200.0000          6.45214454E+01          1.00040626E+02          3.92238974E+01
       2300.0000          6.58660811E+01          1.04330193E+02          4.03758602E+01
       2400.0000          6.72080478E+01          1.08613715E+02          4.15177031E+01
       2500.0000          6.85464456E+01          1.12891409E+02          4.26498916E+01
       2600.0000          6.98805789E+01          1.17163472E+02          4.37728503E+01
       2700.0000          7.12099123E+01          1.21430082E+02          4.48869692E+01
       2800.0000          7.25340373E+01          1.25691403E+02          4.59926077E+01
       2900.0000          7.38526460E+01          1.29947585E+02          4.70900987E+01
       3000.0000          7.51655110E+01          1.34198764E+02          4.81797512E+01
       3100.0000          7.64724691E+01          1.38445068E+02          4.92618533E+01
       3200.0000          7.77734086E+01          1.42686613E+02          5.03366741E+01
       3300.0000          7.90682594E+01          1.46923507E+02          5.14044656E+01
       3400.0000          8.03569846E+01          1.51155852E+02          5.24654643E+01
       3500.0000          8.16395742E+01          1.55383740E+02          5.35198928E+01
       3600.0000          8.29160399E+01          1.59607258E+02          5.45679606E+01
       3700.0000          8.41864105E+01          1.63826489E+02          5.56098658E+01
       3734.9990          8.46295952E+01          1.65302178E+02          5.59731012E+01
       3735.0010          8.46296205E+01          1.65302263E+02          5.59731219E+01
       3800.0000          8.54507289E+01          1.68041508E+02          5.66457952E+01
       3900.0000          8.67090488E+01          1.72252386E+02          5.76759260E+01
       3942.9990          8.72482849E+01          1.74061766E+02          5.81171313E+01
       3943.0010          8.72483099E+01          1.74061850E+02          5.81171518E+01
       4000.0000          8.79614326E+01          1.76459192E+02          5.87004261E+01
       4100.0000          8.92079495E+01          1.80661988E+02          5.97194547E+01
       4200.0000          9.04486741E+01          1.84860834E+02          6.07331634E+01
       4241.9990          9.09680576E+01          1.86623143E+02          6.11573594E+01
       4242.0010          9.09680823E+01          1.86623227E+02          6.11573796E+01
       4300.0000          9.16836848E+01          1.89055786E+02          6.17416961E+01
       4400.0000          9.29130628E+01          1.93246898E+02          6.27451902E+01
       4500.0000          9.41368915E+01          1.97434219E+02          6.37437763E+01
       4600.0000          9.53552555E+01          2.01617798E+02          6.47375795E+01
       4700.0000          9.65682403E+01          2.05797680E+02          6.57267188E+01
       4800.0000          9.77759315E+01          2.09973907E+02          6.67113083E+01
       4900.0000          9.89784145E+01          2.14146522E+02          6.76914571E+01
       5000.0000          1.00175774E+02          2.18315562E+02          6.86672696E+01
       5100.0000          1.01368095E+02          2.22481065E+02          6.96388461E+01
       5200.0000          1.02555461E+02          2.26643067E+02          7.06062823E+01
       5300.0000          1.03737953E+02          2.30801601E+02          7.15696706E+01
       5400.0000          1.04915654E+02          2.34956700E+02          7.25290995E+01
       5500.0000          1.06088641E+02          2.39108395E+02          7.34846539E+01
       5600.0000          1.07256995E+02          2.43256716E+02          7.44364157E+01
       5700.0000          1.08420790E+02          2.47401691E+02          7.53844636E+01
       5800.0000          1.09580104E+02          2.51543348E+02          7.63288733E+01
       5900.0000          1.10735009E+02          2.55681713E+02          7.72697180E+01
       6000.0000          1.11885577E+02          2.59816811E+02          7.82070679E+01
       6100.0000          1.13031880E+02          2.63948667E+02          7.91409910E+01
       6200.0000          1.14173986E+02          2.68077304E+02          8.00715527E+01
       6300.0000          1.15311962E+02          2.72202744E+02          8.09988164E+01
       6400.0000          1.16445875E+02          2.76325010E+02          8.19228431E+01
       6500.0000          1.17575788E+02          2.80444123E+02          8.28436918E+01
       6600.0000          1.18701766E+02          2.84560102E+02          8.37614197E+01
       6700.0000          1.19823868E+02          2.88672967E+02          8.46760819E+01
       6800.0000          1.20942155E+02          2.92782738E+02          8.55877319E+01
       6900.0000          1.22056685E+02          2.96889432E+02          8.64964215E+01
       7000.0000          1.23167516E+02          3.00993068E+02          8.74022008E+01
       7100.0000          1.24274703E+02          3.05093662E+02          8.83051183E+01
       7200.0000          1.25378301E+02          3.09191231E+02          8.92052211E+01
       7300.0000          1.26478362E+02          3.13285791E+02          9.01025550E+01
       7400.0000          1.27574939E+02          3.17377358E+02          9.09971640E+01
       7500.0000          1.28668082E+02          3.21465948E+02          9.18890914E+01
       7600.0000          1.29757841E+02          3.25551574E+02          9.27783787E+01
       7700.0000          1.30844263E+02          3.29634251E+02          9.36650666E+01
       7800.0000          1.31927396E+02          3.33713993E+02          9.45491944E+01
       7900.0000          1.33007286E+02          3.37790814E+02          9.54308003E+01
       8000.0000          1.34083978E+02          3.41864726E+02          9.63099216E+01
       8100.0000          1.35157515E+02          3.45935743E+02          9.71865945E+01
       8200.0000          1.36227940E+02          3.50003877E+02          9.80608541E+01
       8300.0000          1.37295296E+02          3.54069141E+02          9.89327347E+01
       8400.0000          1.38359623E+02          3.58131545E+02          9.98022697E+01
       8500.0000          1.39420960E+02          3.62191102E+02          1.00669491E+02
       8600.0000          1.40479348E+02          3.66247823E+02          1.01534432E+02
       8700.0000          1.41534823E+02          3.70301719E+02          1.02397121E+02
       8800.0000          1.42587424E+02          3.74352800E+02          1.03257590E+02
       8900.0000          1.43637187E+02          3.78401077E+02          1.04115867E+02
       9000.0000          1.44684148E+02          3.82446561E+02          1.04971981E+02
       9100.0000          1.45728340E+02          3.86489261E+02          1.05825960E+02
       9200.0000          1.46769799E+02          3.90529187E+02          1.06677831E+02
       9300.0000          1.47808558E+02          3.94566349E+02          1.07527621E+02
       9400.0000          1.48844650E+02          3.98600756E+02          1.08375354E+02
       9500.0000          1.49878105E+02          4.02632417E+02          1.09221058E+02
       9600.0000          1.50908956E+02          4.06661342E+02          1.10064756E+02
       9700.0000          1.51937233E+02          4.10687538E+02          1.10906472E+02
       9800.0000          1.52962966E+02          4.14711015E+02          1.11746229E+02
       9900.0000          1.53986184E+02          4.18731780E+02          1.12584052E+02
      10000.0000          1.55006916E+02          4.22749843E+02          1.13419962E+02
      11000.0000          1.65083409E+02          4.62783524E+02          1.21678460E+02
      12000.0000          1.74938889E+02          5.02554951E+02          1.29767091E+02
      13000.0000          1.84594152E+02          5.42070318E+02          1.37701807E+02
      14000.0000          1.94066534E+02          5.81334965E+02          1.45495801E+02
      15000.0000          2.03370664E+02          6.20353582E+02          1.53160139E+02
      16000.0000          2.12519014E+02          6.59130355E+02          1.60704221E+02
      17000.0000          2.21522323E+02          6.97669071E+02          1.68136119E+02
      18000.0000          2.30389918E+02          7.35973193E+02          1.75462827E+02
      19000.0000          2.39129963E+02          7.74045924E+02          1.82690464E+02
      20000.0000          2.47749656E+02          8.11890245E+02          1.89824420E+02
      21000.0000          2.56255385E+02          8.49508957E+02          1.96869474E+02
      22000.0000          2.64652851E+02          8.86904702E+02          2.03829897E+02
      23000.0000          2.72947173E+02          9.24079992E+02          2.10709522E+02
      24000.0000          2.81142969E+02          9.61037221E+02          2.17511807E+02
      25000.0000          2.89244424E+02          9.97778683E+02          2.24239891E+02
      26000.0000          2.97255349E+02          1.03430658E+03          2.30896631E+02
      27000.0000          3.05179224E+02          1.07062305E+03          2.37484643E+02
      27943.9990          3.12582360E+02          1.10471360E+03          2.43642820E+02
      27944.0010          3.12582376E+02          1.10471367E+03          2.43642833E+02
      28000.0000          3.13019244E+02          1.10673013E+03          2.44006326E+02
      29000.0000          3.20778350E+02          1.14262983E+03          2.50463894E+02
      30000.0000          3.28459257E+02          1.17832408E+03          2.56859392E+02
      31000.0000          3.36064479E+02          1.21381476E+03          2.63194715E+02
      32000.0000          3.43596355E+02          1.24910370E+03          2.69471629E+02
      33000.0000          3.51057061E+02          1.28419271E+03          2.75691779E+02
      34000.0000          3.58448629E+02          1.31908353E+03          2.81856703E+02
      35000.0000          3.65772963E+02          1.35377788E+03          2.87967842E+02
      36000.0000          3.73031847E+02          1.38827743E+03          2.94026552E+02
      37000.0000          3.80226960E+02          1.42258383E+03          3.00034107E+02
      38000.0000          3.87359883E+02          1.45669870E+03          3.05991709E+02
      39000.0000          3.94432109E+02          1.49062363E+03          3.11900497E+02
      40000.0000          4.01445049E+02          1.52436016E+03          3.17761545E+02
      41000.0000          4.08400040E+02          1.55790985E+03          3.23575876E+02
      42000.0000          4.15298351E+02          1.59127419E+03          3.29344458E+02
      43000.0000          4.22141186E+02          1.62445468E+03          3.35068216E+02
      44000.0000          4.28929694E+02          1.65745277E+03          3.40748028E+02
      45000.0000          4.35664968E+02          1.69026990E+03          3.46384733E+02
      46000.0000          4.42348051E+02          1.72290751E+03          3.51979135E+02
      47000.0000          4.48979940E+02          1.75536699E+03          3.57532000E+02
      48000.0000          4.55561591E+02          1.78764972E+03          3.63044064E+02
      49000.0000          4.62093916E+02          1.81975707E+03          3.68516032E+02
      50000.0000          4.68577792E+02          1.85169038E+03          3.73948581E+02
