#Energy      C   H   N   O   P  Total
         32.0000          5.13582450E+01          7.22563434E+01          1.33859513E+02          8.51823256E+01          1.01368644E+03          1.86890641E+01
         33.0000          5.19738288E+01          7.41967646E+01          1.35026171E+02          8.56508081E+01          1.00152222E+03          1.89401493E+01
         34.0000          5.25964648E+01          7.61371592E+01          1.36220157E+02          8.61432414E+01          9.90242744E+02          1.91915158E+01
         35.0000          5.32255454E+01          7.80775238E+01          1.37439146E+02          8.66576016E+01          9.79773471E+02          1.94431428E+01
         36.0000          5.38605284E+01          8.00178554E+01          1.38681062E+02          8.71920828E+01          9.70048009E+02          1.96950106E+01
         37.0000          5.45009287E+01          8.19581515E+01          1.39944049E+02          8.77450689E+01          9.61007028E+02          1.99471003E+01
         38.0000          5.51463106E+01          8.38984100E+01          1.41226439E+02          8.83151091E+01          9.52597344E+02          2.01993940E+01
         39.0000          5.57962821E+01          8.58386291E+01          1.42526732E+02          8.89008972E+01          9.44771137E+02          2.04518747E+01
         40.0000          5.64504890E+01          8.77788075E+01          1.43843572E+02          8.95012543E+01          9.37485293E+02          2.07045264E+01
         41.0000          5.71086113E+01          8.97189437E+01          1.45175732E+02          9.01151133E+01          9.30700839E+02          2.09573341E+01
         42.0000          5.77703583E+01          9.16590369E+01          1.46522102E+02          9.07415064E+01          9.24382453E+02          2.12102836E+01
         43.0000          5.84354660E+01          9.35990861E+01          1.47881668E+02          9.13795533E+01          9.18498046E+02          2.14633614E+01
         44.0000          5.91036939E+01          9.55390908E+01          1.49253509E+02          9.20284521E+01          9.13018401E+02          2.17165552E+01
         45.0000          5.97748225E+01          9.74790503E+01          1.50636784E+02          9.26874704E+01          9.07916859E+02          2.19698530E+01
         46.0000          6.04486509E+01          9.94189642E+01          1.52030723E+02          9.33559380E+01          9.03169041E+02          2.22232439E+01
         47.0000          6.11249951E+01          1.01358832E+02          1.53434619E+02          9.40332405E+01          8.98752611E+02          2.24767174E+01
         48.0000          6.18036863E+01          1.03298654E+02          1.54847826E+02          9.47188138E+01          8.94647066E+02          2.27302639E+01
         49.0000          6.24845692E+01          1.05238430E+02          1.56269746E+02          9.54121389E+01          8.90833553E+02          2.29838743E+01
         50.0000          6.31675009E+01          1.07178159E+02          1.57699831E+02          9.61127374E+01          8.87294702E+02          2.32375401E+01
         51.0000          6.38523494E+01          1.09117843E+02          1.59137573E+02          9.68201678E+01          8.84014486E+02          2.34912532E+01
         52.0000          6.45389931E+01          1.11057479E+02          1.60582506E+02          9.75340221E+01          8.80978094E+02          2.37450063E+01
         53.0000          6.52273192E+01          1.12997070E+02          1.62034194E+02          9.82539224E+01          8.78171814E+02          2.39987923E+01
         54.0000          6.59172233E+01          1.14936614E+02          1.63492237E+02          9.89795186E+01          8.75582938E+02          2.42526048E+01
         55.0000          6.66086089E+01          1.16876113E+02          1.64956262E+02          9.97104854E+01          8.73199666E+02          2.45064375E+01
         56.0000          6.73013859E+01          1.18815566E+02          1.66425921E+02          1.00446521E+02          8.71011032E+02          2.47602848E+01
         57.0000          6.79954708E+01          1.20754973E+02          1.67900895E+02          1.01187343E+02          8.69006826E+02          2.50141414E+01
         58.0000          6.86907859E+01          1.22694335E+02          1.69380881E+02          1.01932691E+02          8.67177534E+02          2.52680021E+01
         59.0000          6.93872588E+01          1.24633652E+02          1.70865600E+02          1.02682320E+02          8.65514279E+02          2.55218624E+01
         60.0000          7.00848218E+01          1.26572924E+02          1.72354791E+02          1.03436001E+02          8.64008767E+02          2.57757179E+01
         61.0000          7.07834118E+01          1.28512151E+02          1.73848209E+02          1.04193520E+02          8.62653241E+02          2.60295645E+01
         62.0000          7.14829699E+01          1.30451335E+02          1.75345627E+02          1.04954679E+02          8.61440437E+02          2.62833983E+01
         63.0000          7.21834408E+01          1.32390474E+02          1.76846831E+02          1.05719290E+02          8.60363548E+02          2.65372158E+01
         64.0000          7.28847730E+01          1.34329569E+02          1.78351619E+02          1.06487177E+02          8.59416187E+02          2.67910137E+01
         65.0000          7.35869178E+01          1.36268622E+02          1.79859804E+02          1.07258176E+02          8.58592354E+02          2.70447888E+01
         66.0000          7.42898300E+01          1.38207631E+02          1.81371210E+02          1.08032132E+02          8.57886409E+02          2.72985382E+01
         67.0000          7.49934668E+01          1.40146598E+02          1.82885669E+02          1.08808900E+02          8.57293046E+02          2.75522592E+01
         68.0000          7.56977881E+01          1.42085522E+02          1.84403027E+02          1.09588341E+02          8.56807265E+02          2.78059492E+01
         69.0000          7.64027562E+01          1.44024404E+02          1.85923136E+02          1.10370328E+02          8.56424355E+02          2.80596060E+01
         70.0000          7.71083357E+01          1.45963244E+02          1.87445858E+02          1.11154739E+02          8.56139870E+02          2.83132272E+01
         71.0000          7.78144930E+01          1.47902043E+02          1.88971063E+02          1.11941458E+02          8.55949613E+02          2.85668108E+01
         72.0000          7.85211969E+01          1.49840801E+02          1.90498626E+02          1.12730378E+02          8.55849615E+02          2.88203550E+01
         73.0000          7.92284174E+01          1.51779518E+02          1.92028432E+02          1.13521397E+02          8.55836126E+02          2.90738578E+01
         74.0000          7.99361266E+01          1.53718195E+02          1.93560372E+02          1.14314417E+02          8.55905594E+02          2.93273176E+01
         75.0000          8.06442981E+01          1.55656831E+02          1.95094340E+02          1.15109346E+02          8.56054656E+02          2.95807330E+01
         76.0000          8.13529068E+01          1.57595428E+02          1.96630239E+02          1.15906100E+02          8.56280124E+02          2.98341024E+01
         77.0000          8.20619290E+01          1.59533985E+02          1.98167976E+02          1.16704594E+02          8.56578974E+02          3.00874245E+01
         78.0000          8.27713424E+01          1.61472504E+02          1.99707463E+02          1.17504751E+02          8.56948336E+02          3.03406980E+01
         79.0000          8.34811258E+01          1.63410983E+02          2.01248616E+02          1.18306498E+02          8.57385483E+02          3.05939218E+01
         80.0000          8.41912592E+01          1.65349424E+02          2.02791356E+02          1.19109765E+02          8.57887826E+02          3.08470949E+01
         81.0000          8.49017235E+01          1.67287826E+02          2.04335608E+02          1.19914484E+02          8.58452900E+02          3.11002162E+01
         82.0000          8.56125007E+01          1.69226191E+02          2.05881301E+02          1.20720592E+02          8.59078360E+02          3.13532848E+01
         83.0000          8.63235737E+01          1.71164518E+02          2.07428366E+02          1.21528030E+02          8.59761975E+02          3.16062999E+01
         84.0000          8.70349263E+01          1.73102807E+02          2.08976739E+02          1.22336740E+02          8.60501617E+02          3.18592607E+01
         85.0000          8.77465431E+01          1.75041060E+02          2.10526360E+02          1.23146668E+02          8.61295259E+02          3.21121665E+01
         86.0000          8.84584095E+01          1.76979276E+02          2.12077169E+02          1.23957762E+02          8.62140968E+02          3.23650166E+01
         87.0000          8.91705115E+01          1.78917455E+02          2.13629112E+02          1.24769973E+02          8.63036899E+02          3.26178104E+01
         88.0000          8.98828360E+01          1.80855598E+02          2.15182135E+02          1.25583253E+02          8.63981290E+02          3.28705473E+01
         89.0000          9.05953703E+01          1.82793705E+02          2.16736188E+02          1.26397557E+02          8.64972458E+02          3.31232270E+01
         90.0000          9.13081026E+01          1.84731777E+02          2.18291223E+02          1.27212843E+02          8.66008794E+02          3.33758488E+01
         91.0000          9.20210213E+01          1.86669813E+02          2.19847195E+02          1.28029070E+02          8.67088761E+02          3.36284124E+01
         92.0000          9.27341157E+01          1.88607814E+02          2.21404059E+02          1.28846199E+02          8.68210887E+02          3.38809173E+01
         93.0000          9.34473754E+01          1.90545780E+02          2.22961775E+02          1.29664192E+02          8.69373763E+02          3.41333634E+01
         94.0000          9.41607906E+01          1.92483712E+02          2.24520302E+02          1.30483014E+02          8.70576042E+02          3.43857502E+01
         95.0000          9.48743519E+01          1.94421609E+02          2.26079602E+02          1.31302631E+02          8.71816430E+02          3.46380776E+01
         96.0000          9.55880503E+01          1.96359473E+02          2.27639640E+02          1.32123010E+02          8.73093691E+02          3.48903451E+01
         97.0000          9.63018774E+01          1.98297302E+02          2.29200380E+02          1.32944121E+02          8.74406636E+02          3.51425528E+01
         98.0000          9.70158249E+01          2.00235098E+02          2.30761790E+02          1.33765932E+02          8.75754127E+02          3.53947003E+01
         99.0000          9.77298851E+01          2.02172861E+02          2.32323838E+02          1.34588416E+02          8.77135070E+02          3.56467876E+01
        100.0000          9.84440505E+01          2.04110590E+02          2.33886492E+02          1.35411545E+02          8.78548417E+02          3.58988144E+01
        110.0000          1.05590079E+02          2.23486113E+02          2.49540629E+02          1.43673052E+02          8.94260537E+02          3.84157484E+01
        120.0000          1.12740501E+02          2.42858562E+02          2.65230118E+02          1.51975975E+02          9.12314283E+02          4.09266420E+01
        130.0000          1.19891645E+02          2.62228121E+02          2.80939375E+02          1.60305929E+02          9.32135331E+02          4.34316132E+01
        133.9990          1.22751020E+02          2.69973236E+02          2.87224553E+02          1.63642312E+02          9.40460727E+02          4.44317334E+01
        134.0010          1.22752450E+02          2.69977109E+02          2.87227696E+02          1.63643981E+02          9.40464942E+02          4.44322333E+01
        134.9990          1.23465985E+02          2.71909931E+02          2.88796403E+02          1.64476981E+02          9.42573881E+02          4.46816841E+01
        135.0010          1.23467415E+02          2.71913805E+02          2.88799547E+02          1.64478650E+02          9.42578119E+02          4.46821839E+01
        140.0000          1.27041103E+02          2.81594950E+02          2.96657845E+02          1.68652995E+02          9.53314715E+02          4.59308465E+01
        150.0000          1.34187281E+02          3.00959186E+02          3.12378257E+02          1.77010195E+02          9.75553874E+02          4.84245585E+01
        160.0000          1.41329130E+02          3.20320950E+02          3.28095550E+02          1.85372542E+02          9.98630192E+02          5.09129779E+01
        170.0000          1.48465962E+02          3.39680346E+02          3.43806179E+02          1.93736431E+02          1.02237464E+03          5.33963346E+01
        180.0000          1.55597341E+02          3.59037467E+02          3.59507656E+02          2.02099234E+02          1.04665684E+03          5.58748528E+01
        190.0000          1.62723005E+02          3.78392395E+02          3.75198249E+02          2.10459023E+02          1.07137484E+03          5.83487478E+01
        190.9990          1.63434539E+02          3.80325834E+02          3.76765091E+02          2.11293943E+02          1.07386485E+03          5.85956439E+01
        191.0010          1.63435963E+02          3.80329705E+02          3.76768228E+02          2.11295614E+02          1.07386984E+03          5.85961382E+01
        200.0000          1.69842814E+02          3.97745201E+02          3.90876764E+02          2.18814385E+02          1.09644794E+03          6.08182244E+01
        210.0000          1.76956712E+02          4.17095950E+02          4.06542402E+02          2.27164280E+02          1.12181159E+03          6.32834760E+01
        220.0000          1.84064706E+02          4.36444702E+02          4.22194651E+02          2.35507955E+02          1.14741365E+03          6.57446844E+01
        230.0000          1.91166843E+02          4.55791507E+02          4.37833211E+02          2.43844866E+02          1.17321165E+03          6.82020207E+01
        240.0000          1.98263200E+02          4.75136415E+02          4.53457939E+02          2.52174631E+02          1.19917074E+03          7.06556450E+01
        250.0000          2.05353877E+02          4.94479466E+02          4.69068808E+02          2.60496991E+02          1.22526213E+03          7.31057076E+01
        260.0000          2.12438985E+02          5.13820701E+02          4.84665878E+02          2.68811779E+02          1.25146187E+03          7.55523494E+01
        270.0000          2.19518645E+02          5.33160156E+02          5.00249272E+02          2.77118904E+02          1.27774994E+03          7.79957026E+01
        280.0000          2.26592981E+02          5.52497863E+02          5.15819156E+02          2.85418327E+02          1.30410953E+03          8.04358912E+01
        287.9990          2.32247996E+02          5.67964857E+02          5.28263918E+02          2.92051494E+02          1.32523645E+03          8.23855986E+01
        288.0010          2.32249410E+02          5.67968724E+02          5.28267028E+02          2.92053151E+02          1.32524173E+03          8.23860858E+01
        290.0000          2.33662122E+02          5.71833852E+02          5.31375735E+02          2.93710054E+02          1.33052646E+03          8.28730318E+01
        300.0000          2.40726196E+02          5.91168152E+02          5.46919233E+02          3.01994122E+02          1.35698870E+03          8.53072340E+01
        310.0000          2.47785332E+02          6.10500788E+02          5.62449892E+02          3.10270597E+02          1.38348603E+03          8.77386008E+01
        320.0000          2.54839654E+02          6.29831783E+02          5.77967964E+02          3.18539558E+02          1.41000974E+03          9.01672295E+01
        330.0000          2.61889288E+02          6.49161161E+02          5.93473708E+02          3.26801105E+02          1.43655238E+03          9.25932117E+01
        340.0000          2.68934352E+02          6.68488940E+02          6.08967384E+02          3.35055344E+02          1.46310755E+03          9.50166339E+01
        350.0000          2.75974964E+02          6.87815142E+02          6.24449252E+02          3.43302390E+02          1.48966976E+03          9.74375780E+01
        360.0000          2.83011236E+02          7.07139783E+02          6.39919572E+02          3.51542365E+02          1.51623429E+03          9.98561213E+01
        370.0000          2.90043280E+02          7.26462880E+02          6.55378599E+02          3.59775391E+02          1.54279707E+03          1.02272337E+02
        380.0000          2.97071201E+02          7.45784449E+02          6.70826585E+02          3.68001595E+02          1.56935459E+03          1.04686295E+02
        390.0000          3.04095100E+02          7.65104505E+02          6.86263776E+02          3.76221105E+02          1.59590381E+03          1.07098061E+02
        400.0000          3.11115077E+02          7.84423062E+02          7.01690412E+02          3.84434047E+02          1.62244211E+03          1.09507697E+02
        402.9990          3.13219618E+02          7.90216407E+02          7.06314838E+02          3.86895847E+02          1.63039848E+03          1.10229941E+02
        403.0010          3.13221021E+02          7.90220270E+02          7.06317922E+02          3.86897488E+02          1.63040378E+03          1.10230423E+02
        410.0000          3.18131226E+02          8.03740132E+02          7.17106728E+02          3.92640547E+02          1.64896725E+03          1.11915264E+02
        420.0000          3.25143640E+02          8.23055728E+02          7.32512951E+02          4.00840731E+02          1.67547725E+03          1.14320818E+02
        430.0000          3.32152405E+02          8.42369862E+02          7.47909303E+02          4.09034721E+02          1.70197045E+03          1.16724412E+02
        440.0000          3.39157607E+02          8.61682544E+02          7.63296000E+02          4.17222639E+02          1.72844540E+03          1.19126099E+02
        450.0000          3.46159328E+02          8.80993786E+02          7.78673249E+02          4.25404604E+02          1.75490084E+03          1.21525928E+02
        460.0000          3.53157645E+02          9.00303596E+02          7.94041253E+02          4.33580732E+02          1.78133572E+03          1.23923945E+02
        470.0000          3.60152634E+02          9.19611985E+02          8.09400208E+02          4.41751137E+02          1.80774912E+03          1.26320195E+02
        480.0000          3.67144369E+02          9.38918961E+02          8.24750303E+02          4.49915931E+02          1.83414027E+03          1.28714722E+02
        490.0000          3.74132919E+02          9.58224532E+02          8.40091722E+02          4.58075221E+02          1.86050852E+03          1.31107566E+02
        500.0000          3.81118351E+02          9.77528707E+02          8.55424642E+02          4.66229113E+02          1.88685331E+03          1.33498767E+02
        510.0000          3.88100731E+02          9.96831494E+02          8.70749235E+02          4.74377710E+02          1.91317419E+03          1.35888363E+02
        520.0000          3.95080122E+02          1.01613290E+03          8.86065667E+02          4.82521112E+02          1.93947079E+03          1.38276389E+02
        530.0000          4.02056583E+02          1.03543293E+03          9.01374099E+02          4.90659417E+02          1.96574281E+03          1.40662880E+02
        537.9990          4.07634984E+02          1.05087004E+03          9.13613660E+02          4.97165641E+02          1.98673993E+03          1.42570752E+02
        538.0010          4.07636379E+02          1.05087390E+03          9.13616719E+02          4.97167267E+02          1.98674518E+03          1.42571229E+02
        540.0000          4.09030173E+02          1.05473159E+03          9.16674687E+02          4.98792719E+02          1.99199000E+03          1.43047870E+02
        550.0000          4.16000948E+02          1.07402890E+03          9.31967581E+02          5.06921110E+02          2.01821218E+03          1.45431391E+02
        560.0000          4.22968962E+02          1.09332484E+03          9.47252928E+02          5.15044680E+02          2.04440922E+03          1.47813473E+02
        570.0000          4.29934268E+02          1.11261944E+03          9.62530868E+02          5.23163516E+02          2.07058102E+03          1.50194147E+02
        580.0000          4.36896916E+02          1.13191269E+03          9.77801538E+02          5.31277702E+02          2.09672755E+03          1.52573440E+02
        590.0000          4.43856955E+02          1.15120461E+03          9.93065071E+02          5.39387320E+02          2.12284876E+03          1.54951381E+02
        600.0000          4.50814431E+02          1.17049519E+03          1.00832159E+03          5.47492450E+02          2.14894469E+03          1.57327996E+02
        610.0000          4.57769391E+02          1.18978445E+03          1.02357123E+03          5.55593170E+02          2.17501537E+03          1.59703310E+02
        620.0000          4.64721879E+02          1.20907238E+03          1.03881411E+03          5.63689556E+02          2.20106086E+03          1.62077348E+02
        630.0000          4.71671937E+02          1.22835899E+03          1.05405033E+03          5.71781679E+02          2.22708123E+03          1.64450134E+02
        640.0000          4.78619607E+02          1.24764429E+03          1.06928002E+03          5.79869612E+02          2.25307660E+03          1.66821691E+02
        650.0000          4.85564927E+02          1.26692828E+03          1.08450329E+03          5.87953423E+02          2.27904708E+03          1.69192042E+02
        660.0000          4.92507938E+02          1.28621096E+03          1.09972023E+03          5.96033180E+02          2.30499280E+03          1.71561207E+02
        670.0000          4.99448676E+02          1.30549234E+03          1.11493096E+03          6.04108948E+02          2.33091389E+03          1.73929208E+02
        680.0000          5.06387177E+02          1.32477242E+03          1.13013558E+03          6.12180791E+02          2.35681052E+03          1.76296064E+02
        690.0000          5.13323478E+02          1.34405121E+03          1.14533417E+03          6.20248771E+02          2.38268284E+03          1.78661795E+02
        700.0000          5.20257611E+02          1.36332870E+03          1.16052684E+03          6.28312947E+02          2.40853103E+03          1.81026421E+02
        710.0000          5.27189610E+02          1.38260491E+03          1.17571368E+03          6.36373379E+02          2.43435525E+03          1.83389958E+02
        720.0000          5.34119507E+02          1.40187984E+03          1.19089478E+03          6.44430123E+02          2.46015570E+03          1.85752425E+02
        730.0000          5.41047333E+02          1.42115348E+03          1.20607022E+03          6.52483235E+02          2.48593255E+03          1.88113840E+02
        740.0000          5.47973118E+02          1.44042585E+03          1.22124008E+03          6.60532768E+02          2.51168600E+03          1.90474218E+02
        750.0000          5.54896892E+02          1.45969694E+03          1.23640446E+03          6.68578775E+02          2.53741624E+03          1.92833576E+02
        760.0000          5.61818683E+02          1.47896676E+03          1.25156342E+03          6.76621308E+02          2.56312346E+03          1.95191930E+02
        770.0000          5.68738519E+02          1.49823531E+03          1.26671705E+03          6.84660416E+02          2.58880788E+03          1.97549294E+02
        780.0000          5.75656427E+02          1.51750259E+03          1.28186542E+03          6.92696148E+02          2.61446968E+03          1.99905684E+02
        790.0000          5.82572432E+02          1.53676861E+03          1.29700861E+03          7.00728551E+02          2.64010908E+03          2.02261114E+02
        800.0000          5.89486561E+02          1.55603337E+03          1.31214668E+03          7.08757671E+02          2.66572626E+03          2.04615598E+02
        810.0000          5.96398837E+02          1.57529687E+03          1.32727970E+03          7.16783552E+02          2.69132144E+03          2.06969150E+02
        820.0000          6.03309286E+02          1.59455912E+03          1.34240775E+03          7.24806240E+02          2.71689481E+03          2.09321782E+02
        830.0000          6.10217931E+02          1.61382011E+03          1.35753089E+03          7.32825777E+02          2.74244659E+03          2.11673508E+02
        840.0000          6.17124794E+02          1.63307985E+03          1.37264918E+03          7.40842203E+02          2.76797696E+03          2.14024339E+02
        850.0000          6.24029897E+02          1.65233834E+03          1.38776269E+03          7.48855561E+02          2.79348614E+03          2.16374289E+02
        860.0000          6.30933263E+02          1.67159558E+03          1.40287147E+03          7.56865890E+02          2.81897432E+03          2.18723369E+02
        870.0000          6.37834913E+02          1.69085158E+03          1.41797559E+03          7.64873227E+02          2.84444171E+03          2.21071591E+02
        880.0000          6.44734866E+02          1.71010634E+03          1.43307511E+03          7.72877612E+02          2.86988849E+03          2.23418965E+02
        890.0000          6.51633143E+02          1.72935985E+03          1.44817007E+03          7.80879081E+02          2.89531488E+03          2.25765504E+02
        900.0000          6.58529764E+02          1.74861213E+03          1.46326054E+03          7.88877670E+02          2.92072105E+03          2.28111216E+02
        910.0000          6.65424748E+02          1.76786317E+03          1.47834657E+03          7.96873415E+02          2.94610722E+03          2.30456114E+02
        920.0000          6.72318113E+02          1.78711297E+03          1.49342822E+03          8.04866349E+02          2.97147356E+03          2.32800207E+02
        930.0000          6.79209877E+02          1.80636154E+03          1.50850552E+03          8.12856506E+02          2.99682027E+03          2.35143504E+02
        940.0000          6.86100059E+02          1.82560888E+03          1.52357854E+03          8.20843920E+02          3.02214754E+03          2.37486017E+02
        950.0000          6.92988674E+02          1.84485499E+03          1.53864732E+03          8.28828621E+02          3.04745555E+03          2.39827753E+02
        960.0000          6.99875741E+02          1.86409987E+03          1.55371192E+03          8.36810643E+02          3.07274449E+03          2.42168723E+02
        970.0000          7.06761276E+02          1.88334352E+03          1.56877237E+03          8.44790015E+02          3.09801454E+03          2.44508935E+02
        980.0000          7.13645295E+02          1.90258595E+03          1.58382872E+03          8.52766766E+02          3.12326588E+03          2.46848398E+02
        990.0000          7.20527813E+02          1.92182715E+03          1.59888103E+03          8.60740928E+02          3.14849869E+03          2.49187121E+02
       1000.0000          7.27408847E+02          1.94106714E+03          1.61392932E+03          8.68712528E+02          3.17371314E+03          2.51525111E+02
       1100.0000          7.96140652E+02          2.13340008E+03          1.76420076E+03          9.48293531E+02          3.42488548E+03          2.74866477E+02
       1200.0000          8.64738594E+02          2.32561228E+03          1.91411306E+03          1.02764586E+03          3.67440063E+03          2.98142624E+02
       1300.0000          9.33213551E+02          2.51770481E+03          2.06369732E+03          1.10679009E+03          3.92240096E+03          3.21359479E+02
       1400.0000          1.00157449E+03          2.70967856E+03          2.21297926E+03          1.18574332E+03          4.16901054E+03          3.44521926E+02
       1500.0000          1.06982890E+03          2.90153430E+03          2.36198039E+03          1.26451986E+03          4.41433758E+03          3.67634051E+02
       1600.0000          1.13798313E+03          3.09327266E+03          2.51071897E+03          1.34313191E+03          4.65847675E+03          3.90699310E+02
       1700.0000          1.20604257E+03          3.28489421E+03          2.65921060E+03          1.42158990E+03          4.90151114E+03          4.13720657E+02
       1800.0000          1.27401192E+03          3.47639943E+03          2.80746877E+03          1.49990285E+03          5.14351408E+03          4.36700645E+02
       1900.0000          1.34189523E+03          3.66778877E+03          2.95550524E+03          1.57807865E+03          5.38455050E+03          4.59641495E+02
       2000.0000          1.40969607E+03          3.85906262E+03          3.10333029E+03          1.65612421E+03          5.62467823E+03          4.82545155E+02
       2100.0000          1.47741757E+03          4.05022132E+03          3.25095304E+03          1.73404564E+03          5.86394894E+03          5.05413346E+02
       2147.9990          1.50989587E+03          4.14193479E+03          3.32174103E+03          1.77140468E+03          5.97850590E+03          5.16377705E+02
       2148.0010          1.50989722E+03          4.14193861E+03          3.32174397E+03          1.77140623E+03          5.97851067E+03          5.16378162E+02
       2200.0000          1.54506253E+03          4.24126522E+03          3.39838155E+03          1.81184837E+03          6.10240905E+03          5.28247595E+02
       2300.0000          1.61263345E+03          4.43219460E+03          3.54562305E+03          1.88953726E+03          6.34010036E+03          5.51049266E+02
       2400.0000          1.68013255E+03          4.62300973E+03          3.69268402E+03          1.96711666E+03          6.57706074E+03          5.73819587E+02
       2500.0000          1.74756186E+03          4.81371088E+03          3.83957030E+03          2.04459051E+03          6.81332452E+03          5.96559661E+02
       2600.0000          1.81492319E+03          5.00429828E+03          3.98628719E+03          2.12196238E+03          7.04892303E+03          6.19270489E+02
       2700.0000          1.88221822E+03          5.19477216E+03          4.13283948E+03          2.19923549E+03          7.28388486E+03          6.41952981E+02
       2800.0000          1.94944844E+03          5.38513273E+03          4.27923158E+03          2.27641282E+03          7.51823624E+03          6.64607969E+02
       2900.0000          2.01661526E+03          5.57538018E+03          4.42546750E+03          2.35349706E+03          7.75200128E+03          6.87236211E+02
