#Energy      Rh  Total
         57.0000          5.37345427E+01          5.37345427E+01
         57.9990          5.29267147E+01          5.29267147E+01
         58.0000          5.29259201E+01          5.29259201E+01
         58.0010          5.29251256E+01          5.29251256E+01
         59.0000          5.21449503E+01          5.21449503E+01
         60.0000          5.13902558E+01          5.13902558E+01
         61.0000          5.06605490E+01          5.06605490E+01
         62.0000          4.99546253E+01          4.99546253E+01
         63.0000          4.92713564E+01          4.92713564E+01
         64.0000          4.86096840E+01          4.86096840E+01
         65.0000          4.79686150E+01          4.79686150E+01
         66.0000          4.73472162E+01          4.73472162E+01
         67.0000          4.67446099E+01          4.67446099E+01
         68.0000          4.61599698E+01          4.61599698E+01
         69.0000          4.55925176E+01          4.55925176E+01
         70.0000          4.50415192E+01          4.50415192E+01
         71.0000          4.45062816E+01          4.45062816E+01
         72.0000          4.39861503E+01          4.39861503E+01
         73.0000          4.34805065E+01          4.34805065E+01
         74.0000          4.29887650E+01          4.29887650E+01
         75.0000          4.25103712E+01          4.25103712E+01
         76.0000          4.20448001E+01          4.20448001E+01
         77.0000          4.15915536E+01          4.15915536E+01
         78.0000          4.11501591E+01          4.11501591E+01
         79.0000          4.07201679E+01          4.07201679E+01
         80.0000          4.03011538E+01          4.03011538E+01
         81.0000          3.98927112E+01          3.98927112E+01
         82.0000          3.94944547E+01          3.94944547E+01
         83.0000          3.91060170E+01          3.91060170E+01
         84.0000          3.87270484E+01          3.87270484E+01
         85.0000          3.83572158E+01          3.83572158E+01
         86.0000          3.79962012E+01          3.79962012E+01
         86.9990          3.76440498E+01          3.76440498E+01
         87.0000          3.76437014E+01          3.76437014E+01
         87.0010          3.76433531E+01          3.76433531E+01
         88.0000          3.72994269E+01          3.72994269E+01
         89.0000          3.69631010E+01          3.69631010E+01
         90.0000          3.66344596E+01          3.66344596E+01
         91.0000          3.63132499E+01          3.63132499E+01
         92.0000          3.59992301E+01          3.59992301E+01
         93.0000          3.56921688E+01          3.56921688E+01
         94.0000          3.53918445E+01          3.53918445E+01
         95.0000          3.50980449E+01          3.50980449E+01
         96.0000          3.48105665E+01          3.48105665E+01
         97.0000          3.45292142E+01          3.45292142E+01
         98.0000          3.42538008E+01          3.42538008E+01
         99.0000          3.39841468E+01          3.39841468E+01
        100.0000          3.37200797E+01          3.37200797E+01
        110.0000          3.13532190E+01          3.13532190E+01
        120.0000          2.93971775E+01          2.93971775E+01
        130.0000          2.77572154E+01          2.77572154E+01
        140.0000          2.63655993E+01          2.63655993E+01
        150.0000          2.51726194E+01          2.51726194E+01
        160.0000          2.41409690E+01          2.41409690E+01
        170.0000          2.32421042E+01          2.32421042E+01
        180.0000          2.24538148E+01          2.24538148E+01
        190.0000          2.17585605E+01          2.17585605E+01
        200.0000          2.11423060E+01          2.11423060E+01
        210.0000          2.05936876E+01          2.05936876E+01
        220.0000          2.01034072E+01          2.01034072E+01
        230.0000          1.96637839E+01          1.96637839E+01
        240.0000          1.92684177E+01          1.92684177E+01
        250.0000          1.89119333E+01          1.89119333E+01
        260.0000          1.85897836E+01          1.85897836E+01
        270.0000          1.82980963E+01          1.82980963E+01
        280.0000          1.80335533E+01          1.80335533E+01
        290.0000          1.77932957E+01          1.77932957E+01
        300.0000          1.75748469E+01          1.75748469E+01
        310.0000          1.73760509E+01          1.73760509E+01
        312.9990          1.73199746E+01          1.73199746E+01
        313.0010          1.73199378E+01          1.73199378E+01
        317.9990          1.72299068E+01          1.72299068E+01
        318.0010          1.72298716E+01          1.72298716E+01
        320.0000          1.71950225E+01          1.71950225E+01
        330.0000          1.70301060E+01          1.70301060E+01
        340.0000          1.68798417E+01          1.68798417E+01
        350.0000          1.67429376E+01          1.67429376E+01
        360.0000          1.66182460E+01          1.66182460E+01
        370.0000          1.65047446E+01          1.65047446E+01
        380.0000          1.64015191E+01          1.64015191E+01
        390.0000          1.63077500E+01          1.63077500E+01
        400.0000          1.62227005E+01          1.62227005E+01
        410.0000          1.61457063E+01          1.61457063E+01
        420.0000          1.60761671E+01          1.60761671E+01
        430.0000          1.60135390E+01          1.60135390E+01
        440.0000          1.59573282E+01          1.59573282E+01
        450.0000          1.59070851E+01          1.59070851E+01
        460.0000          1.58624002E+01          1.58624002E+01
        470.0000          1.58228989E+01          1.58228989E+01
        480.0000          1.57882385E+01          1.57882385E+01
        490.0000          1.57581045E+01          1.57581045E+01
        500.0000          1.57322084E+01          1.57322084E+01
        500.9990          1.57298438E+01          1.57298438E+01
        501.0010          1.57298391E+01          1.57298391E+01
        510.0000          1.57102842E+01          1.57102842E+01
        520.0000          1.56920872E+01          1.56920872E+01
        525.9990          1.56828646E+01          1.56828646E+01
        526.0010          1.56828617E+01          1.56828617E+01
        530.0000          1.56773911E+01          1.56773911E+01
        540.0000          1.56659870E+01          1.56659870E+01
        550.0000          1.56576814E+01          1.56576814E+01
        560.0000          1.56522949E+01          1.56522949E+01
        570.0000          1.56496610E+01          1.56496610E+01
        580.0000          1.56496249E+01          1.56496249E+01
        590.0000          1.56520427E+01          1.56520427E+01
        600.0000          1.56567801E+01          1.56567801E+01
        610.0000          1.56637122E+01          1.56637122E+01
        620.0000          1.56727219E+01          1.56727219E+01
        630.0000          1.56837001E+01          1.56837001E+01
        633.9990          1.56886182E+01          1.56886182E+01
        634.0010          1.56886207E+01          1.56886207E+01
        640.0000          1.56965447E+01          1.56965447E+01
        650.0000          1.57111598E+01          1.57111598E+01
        660.0000          1.57274558E+01          1.57274558E+01
        670.0000          1.57453486E+01          1.57453486E+01
        680.0000          1.57647589E+01          1.57647589E+01
        690.0000          1.57856125E+01          1.57856125E+01
        700.0000          1.58078395E+01          1.58078395E+01
        710.0000          1.58313740E+01          1.58313740E+01
        720.0000          1.58561539E+01          1.58561539E+01
        730.0000          1.58821207E+01          1.58821207E+01
        740.0000          1.59092193E+01          1.59092193E+01
        750.0000          1.59373974E+01          1.59373974E+01
        760.0000          1.59666057E+01          1.59666057E+01
        770.0000          1.59967977E+01          1.59967977E+01
        780.0000          1.60279291E+01          1.60279291E+01
        790.0000          1.60599582E+01          1.60599582E+01
        800.0000          1.60928455E+01          1.60928455E+01
        810.0000          1.61265533E+01          1.61265533E+01
        820.0000          1.61610460E+01          1.61610460E+01
        830.0000          1.61962898E+01          1.61962898E+01
        840.0000          1.62322526E+01          1.62322526E+01
        850.0000          1.62689039E+01          1.62689039E+01
        860.0000          1.63062145E+01          1.63062145E+01
        870.0000          1.63441570E+01          1.63441570E+01
        880.0000          1.63827050E+01          1.63827050E+01
        890.0000          1.64218334E+01          1.64218334E+01
        900.0000          1.64615184E+01          1.64615184E+01
        910.0000          1.65017373E+01          1.65017373E+01
        920.0000          1.65424684E+01          1.65424684E+01
        930.0000          1.65836909E+01          1.65836909E+01
        940.0000          1.66253851E+01          1.66253851E+01
        950.0000          1.66675322E+01          1.66675322E+01
        960.0000          1.67101140E+01          1.67101140E+01
        970.0000          1.67531135E+01          1.67531135E+01
        980.0000          1.67965140E+01          1.67965140E+01
        990.0000          1.68402999E+01          1.68402999E+01
       1000.0000          1.68844560E+01          1.68844560E+01
       1100.0000          1.73434850E+01          1.73434850E+01
       1200.0000          1.78268784E+01          1.78268784E+01
       1300.0000          1.83268070E+01          1.83268070E+01
       1400.0000          1.88378983E+01          1.88378983E+01
       1500.0000          1.93563828E+01          1.93563828E+01
       1600.0000          1.98795682E+01          1.98795682E+01
       1700.0000          2.04055034E+01          2.04055034E+01
       1800.0000          2.09327580E+01          2.09327580E+01
       1900.0000          2.14602749E+01          2.14602749E+01
       2000.0000          2.19872677E+01          2.19872677E+01
       2100.0000          2.25131498E+01          2.25131498E+01
       2200.0000          2.30374833E+01          2.30374833E+01
       2300.0000          2.35599423E+01          2.35599423E+01
       2400.0000          2.40802861E+01          2.40802861E+01
       2500.0000          2.45983389E+01          2.45983389E+01
       2600.0000          2.51139751E+01          2.51139751E+01
       2700.0000          2.56271076E+01          2.56271076E+01
       2800.0000          2.61376797E+01          2.61376797E+01
       2900.0000          2.66456577E+01          2.66456577E+01
       3000.0000          2.71510265E+01          2.71510265E+01
       3009.9990          2.72014147E+01          2.72014147E+01
       3010.0010          2.72014248E+01          2.72014248E+01
       3100.0000          2.76537850E+01          2.76537850E+01
       3151.9990          2.79141857E+01          2.79141857E+01
       3152.0010          2.79141957E+01          2.79141957E+01
       3200.0000          2.81539431E+01          2.81539431E+01
       3300.0000          2.86515195E+01          2.86515195E+01
       3400.0000          2.91465393E+01          2.91465393E+01
       3417.9990          2.92353686E+01          2.92353686E+01
       3418.0010          2.92353785E+01          2.92353785E+01
       3500.0000          2.96390327E+01          2.96390327E+01
       3600.0000          3.01290338E+01          3.01290338E+01
       3700.0000          3.06165794E+01          3.06165794E+01
       3800.0000          3.11017084E+01          3.11017084E+01
       3900.0000          3.15844611E+01          3.15844611E+01
       4000.0000          3.20648787E+01          3.20648787E+01
       4100.0000          3.25430029E+01          3.25430029E+01
       4200.0000          3.30188754E+01          3.30188754E+01
       4300.0000          3.34925381E+01          3.34925381E+01
       4400.0000          3.39640323E+01          3.39640323E+01
       4500.0000          3.44333992E+01          3.44333992E+01
       4600.0000          3.49006792E+01          3.49006792E+01
       4700.0000          3.53659120E+01          3.53659120E+01
       4800.0000          3.58291367E+01          3.58291367E+01
       4900.0000          3.62903915E+01          3.62903915E+01
       5000.0000          3.67497140E+01          3.67497140E+01
       5100.0000          3.72071405E+01          3.72071405E+01
       5200.0000          3.76627069E+01          3.76627069E+01
       5300.0000          3.81164480E+01          3.81164480E+01
       5400.0000          3.85683976E+01          3.85683976E+01
       5500.0000          3.90185888E+01          3.90185888E+01
       5600.0000          3.94670538E+01          3.94670538E+01
       5700.0000          3.99138240E+01          3.99138240E+01
       5800.0000          4.03589298E+01          4.03589298E+01
       5900.0000          4.08024010E+01          4.08024010E+01
       6000.0000          4.12442663E+01          4.12442663E+01
       6100.0000          4.16845538E+01          4.16845538E+01
       6200.0000          4.21232909E+01          4.21232909E+01
       6300.0000          4.25605041E+01          4.25605041E+01
       6400.0000          4.29962192E+01          4.29962192E+01
       6500.0000          4.34304614E+01          4.34304614E+01
       6600.0000          4.38632551E+01          4.38632551E+01
       6700.0000          4.42946240E+01          4.42946240E+01
       6800.0000          4.47245914E+01          4.47245914E+01
       6900.0000          4.51531796E+01          4.51531796E+01
       7000.0000          4.55804107E+01          4.55804107E+01
       7100.0000          4.60063059E+01          4.60063059E+01
       7200.0000          4.64308860E+01          4.64308860E+01
       7300.0000          4.68541711E+01          4.68541711E+01
       7400.0000          4.72761810E+01          4.72761810E+01
       7500.0000          4.76969348E+01          4.76969348E+01
       7600.0000          4.81164512E+01          4.81164512E+01
       7700.0000          4.85347483E+01          4.85347483E+01
       7800.0000          4.89518438E+01          4.89518438E+01
       7900.0000          4.93677550E+01          4.93677550E+01
       8000.0000          4.97824987E+01          4.97824987E+01
       8100.0000          5.01960914E+01          5.01960914E+01
       8200.0000          5.06085490E+01          5.06085490E+01
       8300.0000          5.10198871E+01          5.10198871E+01
       8400.0000          5.14301209E+01          5.14301209E+01
       8500.0000          5.18392653E+01          5.18392653E+01
       8600.0000          5.22473347E+01          5.22473347E+01
       8700.0000          5.26543434E+01          5.26543434E+01
       8800.0000          5.30603050E+01          5.30603050E+01
       8900.0000          5.34652331E+01          5.34652331E+01
       9000.0000          5.38691409E+01          5.38691409E+01
       9100.0000          5.42720411E+01          5.42720411E+01
       9200.0000          5.46739464E+01          5.46739464E+01
       9300.0000          5.50748690E+01          5.50748690E+01
       9400.0000          5.54748209E+01          5.54748209E+01
       9500.0000          5.58738139E+01          5.58738139E+01
       9600.0000          5.62718593E+01          5.62718593E+01
       9700.0000          5.66689684E+01          5.66689684E+01
       9800.0000          5.70651522E+01          5.70651522E+01
       9900.0000          5.74604214E+01          5.74604214E+01
      10000.0000          5.78547864E+01          5.78547864E+01
      11000.0000          6.17508628E+01          6.17508628E+01
      12000.0000          6.55665702E+01          6.55665702E+01
      13000.0000          6.93094360E+01          6.93094360E+01
      14000.0000          7.29857090E+01          7.29857090E+01
      15000.0000          7.66006434E+01          7.66006434E+01
      16000.0000          8.01587083E+01          8.01587083E+01
      17000.0000          8.36637438E+01          8.36637438E+01
      18000.0000          8.71190801E+01          8.71190801E+01
      19000.0000          9.05276288E+01          9.05276288E+01
      20000.0000          9.38919548E+01          9.38919548E+01
      21000.0000          9.72143329E+01          9.72143329E+01
      22000.0000          1.00496793E+02          1.00496793E+02
      23000.0000          1.03741157E+02          1.03741157E+02
      23224.9990          1.04466056E+02          1.04466056E+02
      23225.0010          1.04466063E+02          1.04466063E+02
      24000.0000          1.06949067E+02          1.06949067E+02
      25000.0000          1.10122015E+02          1.10122015E+02
      26000.0000          1.13261355E+02          1.13261355E+02
      27000.0000          1.16368328E+02          1.16368328E+02
      28000.0000          1.19444071E+02          1.19444071E+02
      29000.0000          1.22489631E+02          1.22489631E+02
      30000.0000          1.25505978E+02          1.25505978E+02
      31000.0000          1.28494009E+02          1.28494009E+02
      32000.0000          1.31454557E+02          1.31454557E+02
      33000.0000          1.34388400E+02          1.34388400E+02
      34000.0000          1.37296265E+02          1.37296265E+02
      35000.0000          1.40178833E+02          1.40178833E+02
      36000.0000          1.43036742E+02          1.43036742E+02
      37000.0000          1.45870594E+02          1.45870594E+02
      38000.0000          1.48680957E+02          1.48680957E+02
      39000.0000          1.51468366E+02          1.51468366E+02
      40000.0000          1.54233328E+02          1.54233328E+02
      41000.0000          1.56976324E+02          1.56976324E+02
      42000.0000          1.59697811E+02          1.59697811E+02
      43000.0000          1.62398223E+02          1.62398223E+02
      44000.0000          1.65077974E+02          1.65077974E+02
      45000.0000          1.67737459E+02          1.67737459E+02
      46000.0000          1.70377056E+02          1.70377056E+02
      47000.0000          1.72997125E+02          1.72997125E+02
      48000.0000          1.75598011E+02          1.75598011E+02
      49000.0000          1.78180047E+02          1.78180047E+02
      50000.0000          1.80743550E+02          1.80743550E+02
