#Energy      C   O   H  Total
        790.0000          6.03217498E+01          1.13485152E+02          2.18793886E+02          3.33778310E+01
        800.0000          6.10376648E+01          1.14785492E+02          2.21536662E+02          3.37733385E+01
        810.0000          6.17533880E+01          1.16085309E+02          2.24279258E+02          3.41687302E+01
        820.0000          6.24689220E+01          1.17384608E+02          2.27021676E+02          3.45640077E+01
        830.0000          6.31842691E+01          1.18683396E+02          2.29763915E+02          3.49591724E+01
        840.0000          6.38994318E+01          1.19981682E+02          2.32505976E+02          3.53542259E+01
        850.0000          6.46144123E+01          1.21279470E+02          2.35247859E+02          3.57491696E+01
        860.0000          6.53292129E+01          1.22576767E+02          2.37989565E+02          3.61440049E+01
        870.0000          6.60438357E+01          1.23873580E+02          2.40731093E+02          3.65387332E+01
        880.0000          6.67582830E+01          1.25169915E+02          2.43472444E+02          3.69333558E+01
        890.0000          6.74725567E+01          1.26465777E+02          2.46213619E+02          3.73278740E+01
        900.0000          6.81866588E+01          1.27761174E+02          2.48954617E+02          3.77222891E+01
        910.0000          6.89005915E+01          1.29056109E+02          2.51695440E+02          3.81166024E+01
        920.0000          6.96143565E+01          1.30350589E+02          2.54436086E+02          3.85108150E+01
        930.0000          7.03279558E+01          1.31644620E+02          2.57176557E+02          3.89049281E+01
        940.0000          7.10413912E+01          1.32938206E+02          2.59916852E+02          3.92989429E+01
        950.0000          7.17546645E+01          1.34231353E+02          2.62656972E+02          3.96928604E+01
        960.0000          7.24677775E+01          1.35524066E+02          2.65396918E+02          4.00866818E+01
        970.0000          7.31807317E+01          1.36816350E+02          2.68136689E+02          4.04804082E+01
        980.0000          7.38935290E+01          1.38108210E+02          2.70876285E+02          4.08740405E+01
        990.0000          7.46061710E+01          1.39399650E+02          2.73615707E+02          4.12675798E+01
       1000.0000          7.53186591E+01          1.40690675E+02          2.76354955E+02          4.16610271E+01
       1100.0000          8.24354099E+01          1.53579064E+02          3.03737914E+02          4.55906426E+01
       1200.0000          8.95382998E+01          1.66430418E+02          3.31103682E+02          4.95119997E+01
       1300.0000          9.66284555E+01          1.79248072E+02          3.58452413E+02          5.34257969E+01
       1400.0000          1.03706805E+02          1.92034790E+02          3.85784234E+02          5.73326083E+01
       1500.0000          1.10774125E+02          2.04792895E+02          4.13099252E+02          6.12329128E+01
       1600.0000          1.17831071E+02          2.17524359E+02          4.40397559E+02          6.51271145E+01
       1700.0000          1.24878203E+02          2.30230872E+02          4.67679234E+02          6.90155586E+01
       1800.0000          1.31916006E+02          2.42913897E+02          4.94944349E+02          7.28985422E+01
       1900.0000          1.38944900E+02          2.55574709E+02          5.22192964E+02          7.67763238E+01
       2000.0000          1.45965255E+02          2.68214428E+02          5.49425137E+02          8.06491296E+01
       2100.0000          1.52977395E+02          2.80834044E+02          5.76640917E+02          8.45171592E+01
       2200.0000          1.59981610E+02          2.93434437E+02          6.03840350E+02          8.83805895E+01
       2300.0000          1.66978157E+02          3.06016392E+02          6.31023480E+02          9.22395785E+01
       2400.0000          1.73967269E+02          3.18580615E+02          6.58190345E+02          9.60942679E+01
       2500.0000          1.80949154E+02          3.31127744E+02          6.85340981E+02          9.99447852E+01
       2600.0000          1.87924002E+02          3.43658356E+02          7.12475423E+02          1.03791246E+02
       2700.0000          1.94891982E+02          3.56172976E+02          7.39593702E+02          1.07633755E+02
       2800.0000          2.01853254E+02          3.68672082E+02          7.66695848E+02          1.11472409E+02
       2900.0000          2.08807960E+02          3.81156113E+02          7.93781891E+02          1.15307294E+02
       3000.0000          2.15756232E+02          3.93625471E+02          8.20851857E+02          1.19138491E+02
       3100.0000          2.22698192E+02          4.06080529E+02          8.47905772E+02          1.22966075E+02
       3200.0000          2.29633951E+02          4.18521628E+02          8.74943661E+02          1.26790114E+02
       3300.0000          2.36563615E+02          4.30949087E+02          9.01965549E+02          1.30610671E+02
       3400.0000          2.43487279E+02          4.43363199E+02          9.28971457E+02          1.34427804E+02
       3500.0000          2.50405033E+02          4.55764240E+02          9.55961408E+02          1.38241570E+02
       3600.0000          2.57316962E+02          4.68152465E+02          9.82935424E+02          1.42052019E+02
       3700.0000          2.64223143E+02          4.80528113E+02          1.00989353E+03          1.45859198E+02
       3800.0000          2.71123651E+02          4.92891407E+02          1.03683573E+03          1.49663152E+02
       3900.0000          2.78018554E+02          5.05242557E+02          1.06376207E+03          1.53463924E+02
       4000.0000          2.84907917E+02          5.17581761E+02          1.09067254E+03          1.57261552E+02
       4100.0000          2.91791802E+02          5.29909204E+02          1.11756718E+03          1.61056074E+02
       4200.0000          2.98670265E+02          5.42225061E+02          1.14444601E+03          1.64847525E+02
       4300.0000          3.05543361E+02          5.54529496E+02          1.17130903E+03          1.68635937E+02
       4400.0000          3.12411143E+02          5.66822667E+02          1.19815627E+03          1.72421343E+02
       4500.0000          3.19273658E+02          5.79104720E+02          1.22498775E+03          1.76203771E+02
       4600.0000          3.26130953E+02          5.91375795E+02          1.25180347E+03          1.79983251E+02
       4700.0000          3.32983072E+02          6.03636026E+02          1.27860347E+03          1.83759808E+02
       4800.0000          3.39830057E+02          6.15885539E+02          1.30538775E+03          1.87533468E+02
       4900.0000          3.46671948E+02          6.28124454E+02          1.33215633E+03          1.91304255E+02
       5000.0000          3.53508784E+02          6.40352886E+02          1.35890923E+03          1.95072192E+02
       5100.0000          3.60340599E+02          6.52570943E+02          1.38564646E+03          1.98837302E+02
       5200.0000          3.67167430E+02          6.64778730E+02          1.41236804E+03          2.02599605E+02
       5300.0000          3.73989310E+02          6.76976346E+02          1.43907399E+03          2.06359121E+02
       5400.0000          3.80806270E+02          6.89163886E+02          1.46576432E+03          2.10115870E+02
       5500.0000          3.87618341E+02          7.01341442E+02          1.49243904E+03          2.13869870E+02
       5600.0000          3.94425552E+02          7.13509100E+02          1.51909817E+03          2.17621139E+02
       5700.0000          4.01227932E+02          7.25666946E+02          1.54574172E+03          2.21369694E+02
       5800.0000          4.08025507E+02          7.37815058E+02          1.57236972E+03          2.25115552E+02
       5900.0000          4.14818304E+02          7.49953514E+02          1.59898216E+03          2.28858727E+02
       6000.0000          4.21606348E+02          7.62082389E+02          1.62557908E+03          2.32599235E+02
       6100.0000          4.28389662E+02          7.74201753E+02          1.65216048E+03          2.36337091E+02
       6200.0000          4.35168271E+02          7.86311676E+02          1.67872637E+03          2.40072309E+02
       6300.0000          4.41942197E+02          7.98412223E+02          1.70527678E+03          2.43804902E+02
       6400.0000          4.48711461E+02          8.10503459E+02          1.73181171E+03          2.47534883E+02
       6500.0000          4.55476085E+02          8.22585445E+02          1.75833118E+03          2.51262266E+02
       6600.0000          4.62236089E+02          8.34658240E+02          1.78483520E+03          2.54987061E+02
       6700.0000          4.68991492E+02          8.46721903E+02          1.81132379E+03          2.58709282E+02
       6800.0000          4.75742315E+02          8.58776488E+02          1.83779696E+03          2.62428940E+02
       6900.0000          4.82488575E+02          8.70822049E+02          1.86425472E+03          2.66146045E+02
       7000.0000          4.89230290E+02          8.82858639E+02          1.89069709E+03          2.69860609E+02
       7100.0000          4.95967478E+02          8.94886308E+02          1.91712408E+03          2.73572642E+02
       7200.0000          5.02700155E+02          9.06905104E+02          1.94353571E+03          2.77282154E+02
       7300.0000          5.09428339E+02          9.18915074E+02          1.96993198E+03          2.80989154E+02
       7400.0000          5.16152044E+02          9.30916266E+02          1.99631291E+03          2.84693654E+02
       7500.0000          5.22871288E+02          9.42908722E+02          2.02267852E+03          2.88395661E+02
       7600.0000          5.29586084E+02          9.54892487E+02          2.04902881E+03          2.92095185E+02
       7700.0000          5.36296447E+02          9.66867603E+02          2.07536381E+03          2.95792235E+02
       7800.0000          5.43002392E+02          9.78834110E+02          2.10168351E+03          2.99486819E+02
       7900.0000          5.49703934E+02          9.90792048E+02          2.12798795E+03          3.03178945E+02
       8000.0000          5.56401084E+02          1.00274146E+03          2.15427712E+03          3.06868623E+02
       8100.0000          5.63093858E+02          1.01468237E+03          2.18055104E+03          3.10555859E+02
       8200.0000          5.69782267E+02          1.02661483E+03          2.20680973E+03          3.14240662E+02
       8300.0000          5.76466325E+02          1.03853887E+03          2.23305319E+03          3.17923038E+02
       8400.0000          5.83146044E+02          1.05045452E+03          2.25928145E+03          3.21602996E+02
       8500.0000          5.89821435E+02          1.06236182E+03          2.28549451E+03          3.25280543E+02
       8600.0000          5.96492512E+02          1.07426080E+03          2.31169238E+03          3.28955685E+02
       8700.0000          6.03159285E+02          1.08615150E+03          2.33787508E+03          3.32628430E+02
       8800.0000          6.09821766E+02          1.09803394E+03          2.36404262E+03          3.36298785E+02
       8900.0000          6.16479966E+02          1.10990815E+03          2.39019502E+03          3.39966755E+02
       9000.0000          6.23133895E+02          1.12177418E+03          2.41633228E+03          3.43632348E+02
       9100.0000          6.29783565E+02          1.13363203E+03          2.44245442E+03          3.47295569E+02
       9200.0000          6.36428986E+02          1.14548175E+03          2.46856145E+03          3.50956425E+02
       9300.0000          6.43070168E+02          1.15732337E+03          2.49465338E+03          3.54614922E+02
       9400.0000          6.49707121E+02          1.16915690E+03          2.52073023E+03          3.58271067E+02
       9500.0000          6.56339856E+02          1.18098237E+03          2.54679201E+03          3.61924863E+02
       9600.0000          6.62968381E+02          1.19279983E+03          2.57283872E+03          3.65576319E+02
       9700.0000          6.69592706E+02          1.20460927E+03          2.59887039E+03          3.69225438E+02
       9800.0000          6.76212840E+02          1.21641075E+03          2.62488702E+03          3.72872227E+02
       9900.0000          6.82828794E+02          1.22820426E+03          2.65088863E+03          3.76516691E+02
      10000.0000          6.89440575E+02          1.23998986E+03          2.67687523E+03          3.80158836E+02
      11000.0000          7.55330784E+02          1.35741476E+03          2.93591826E+03          4.16453804E+02
      12000.0000          8.20812662E+02          1.47407043E+03          3.19347338E+03          4.52522044E+02
      13000.0000          8.85893254E+02          1.58997503E+03          3.44955239E+03          4.88367681E+02
      14000.0000          9.50578792E+02          1.70514424E+03          3.70416686E+03          5.23994346E+02
      15000.0000          1.01487489E+03          1.81959180E+03          3.95732822E+03          5.59405294E+02
      16000.0000          1.07878667E+03          1.93333000E+03          4.20904773E+03          5.94603485E+02
      17000.0000          1.14231887E+03          2.04636994E+03          4.45933651E+03          6.29591646E+02
      18000.0000          1.20547592E+03          2.15872178E+03          4.70820553E+03          6.64372314E+02
      19000.0000          1.26826200E+03          2.27039492E+03          4.95566565E+03          6.98947871E+02
      20000.0000          1.33068105E+03          2.38139809E+03          5.20172761E+03          7.33320569E+02
      21000.0000          1.39273684E+03          2.49173952E+03          5.44640201E+03          7.67492549E+02
      22000.0000          1.45443299E+03          2.60142695E+03          5.68969937E+03          8.01465860E+02
      23000.0000          1.51577299E+03          2.71046775E+03          5.93163006E+03          8.35242468E+02
      24000.0000          1.57676018E+03          2.81886895E+03          6.17220439E+03          8.68824269E+02
      25000.0000          1.63739783E+03          2.92663727E+03          6.41143253E+03          9.02213097E+02
      26000.0000          1.69768909E+03          3.03377918E+03          6.64932457E+03          9.35410730E+02
      27000.0000          1.75763705E+03          3.14030091E+03          6.88589047E+03          9.68418895E+02
      28000.0000          1.81724471E+03          3.24620851E+03          7.12114014E+03          1.00123928E+03
