#Energy      Si   C  Total
         62.0000          6.10708847E+00          5.31652992E+00          2.84222717E+00
         63.0000          6.10609842E+00          5.36862729E+00          2.85683226E+00
         64.0000          6.10590969E+00          5.42078871E+00          2.87149409E+00
         65.0000          6.10648502E+00          5.47301058E+00          2.88621010E+00
         66.0000          6.10778942E+00          5.52528951E+00          2.90097789E+00
         67.0000          6.10978992E+00          5.57762234E+00          2.91579522E+00
         68.0000          6.11245550E+00          5.63000608E+00          2.93065993E+00
         69.0000          6.11575691E+00          5.68243793E+00          2.94557002E+00
         70.0000          6.11966655E+00          5.73491524E+00          2.96052359E+00
         71.0000          6.12415836E+00          5.78743554E+00          2.97551881E+00
         72.0000          6.12920772E+00          5.83999648E+00          2.99055400E+00
         73.0000          6.13479132E+00          5.89259585E+00          3.00562752E+00
         74.0000          6.14088713E+00          5.94523157E+00          3.02073784E+00
         75.0000          6.14747427E+00          5.99790166E+00          3.03588348E+00
         76.0000          6.15453295E+00          6.05060427E+00          3.05106306E+00
         77.0000          6.16204440E+00          6.10333764E+00          3.06627526E+00
         78.0000          6.16999080E+00          6.15610011E+00          3.08151881E+00
         79.0000          6.17835523E+00          6.20889009E+00          3.09679251E+00
         80.0000          6.18712161E+00          6.26170610E+00          3.11209521E+00
         81.0000          6.19627465E+00          6.31454672E+00          3.12742582E+00
         82.0000          6.20579980E+00          6.36741062E+00          3.14278328E+00
         83.0000          6.21568319E+00          6.42029651E+00          3.15816661E+00
         84.0000          6.22591165E+00          6.47320321E+00          3.17357483E+00
         85.0000          6.23647257E+00          6.52612955E+00          3.18900703E+00
         86.0000          6.24735397E+00          6.57907445E+00          3.20446234E+00
         87.0000          6.25854439E+00          6.63203688E+00          3.21993992E+00
         88.0000          6.27003291E+00          6.68501585E+00          3.23543895E+00
         89.0000          6.28180909E+00          6.73801044E+00          3.25095867E+00
         90.0000          6.29386293E+00          6.79101974E+00          3.26649833E+00
         91.0000          6.30618491E+00          6.84404291E+00          3.28205722E+00
         92.0000          6.31876590E+00          6.89707914E+00          3.29763465E+00
         93.0000          6.33159715E+00          6.95012768E+00          3.31322996E+00
         94.0000          6.34467031E+00          7.00318777E+00          3.32884252E+00
         95.0000          6.35797736E+00          7.05625873E+00          3.34447172E+00
         96.0000          6.37151063E+00          7.10933990E+00          3.36011698E+00
         97.0000          6.38526274E+00          7.16243062E+00          3.37577772E+00
         98.0000          6.39922665E+00          7.21553031E+00          3.39145340E+00
         99.0000          6.41339556E+00          7.26863838E+00          3.40714351E+00
        100.0000          6.42776299E+00          7.32175427E+00          3.42284753E+00
        103.9990          6.48708127E+00          7.53423279E+00          3.48577745E+00
        104.0010          6.48711165E+00          7.53433908E+00          3.48580898E+00
        110.0000          6.58109374E+00          7.85323855E+00          3.58055350E+00
        120.0000          6.74870711E+00          8.38504961E+00          3.73920666E+00
        130.0000          6.92704862E+00          8.91691435E+00          3.89851323E+00
        140.0000          7.11359063E+00          9.44865364E+00          4.05825762E+00
        150.0000          7.30649080E+00          9.98014909E+00          4.21827885E+00
        153.9990          7.38509192E+00          1.01926073E+01          4.28232051E+00
        154.0010          7.38513141E+00          1.01927136E+01          4.28235254E+00
        160.0000          7.50437788E+00          1.05113225E+01          4.37845514E+00
        170.0000          7.70621283E+00          1.10421228E+01          4.53869346E+00
        180.0000          7.91119599E+00          1.15725175E+01          4.69892221E+00
        190.0000          8.11870360E+00          1.21024872E+01          4.85908606E+00
        200.0000          8.32824327E+00          1.26320214E+01          5.01914211E+00
        210.0000          8.53942228E+00          1.31611160E+01          5.17905711E+00
        220.0000          8.75192444E+00          1.36897714E+01          5.33880531E+00
        230.0000          8.96549313E+00          1.42179912E+01          5.49836688E+00
        240.0000          9.17991853E+00          1.47457813E+01          5.65772671E+00
        250.0000          9.39502798E+00          1.52731488E+01          5.81687336E+00
        260.0000          9.61067856E+00          1.58001021E+01          5.97579840E+00
        270.0000          9.82675136E+00          1.63266502E+01          6.13449579E+00
        280.0000          1.00431470E+01          1.68528023E+01          6.29296141E+00
        287.9990          1.02164178E+01          1.72733928E+01          6.41954944E+00
        288.0010          1.02164612E+01          1.72734980E+01          6.41958107E+00
        290.0000          1.02597821E+01          1.73785681E+01          6.45119268E+00
        300.0000          1.04765865E+01          1.79039571E+01          6.60918826E+00
        310.0000          1.06935009E+01          1.84289787E+01          6.76694784E+00
        320.0000          1.09104751E+01          1.89536424E+01          6.92447191E+00
        330.0000          1.11274664E+01          1.94779573E+01          7.08176162E+00
        340.0000          1.13444386E+01          2.00019324E+01          7.23881862E+00
        350.0000          1.15613610E+01          2.05255763E+01          7.39564500E+00
        360.0000          1.17782073E+01          2.10488975E+01          7.55224318E+00
        370.0000          1.19949552E+01          2.15719042E+01          7.70861584E+00
        380.0000          1.22115855E+01          2.20946042E+01          7.86476584E+00
        390.0000          1.24280822E+01          2.26170052E+01          8.02069622E+00
        400.0000          1.26444315E+01          2.31391144E+01          8.17641012E+00
        410.0000          1.28606217E+01          2.36609389E+01          8.33191076E+00
        420.0000          1.30766428E+01          2.41824856E+01          8.48720140E+00
        430.0000          1.32924868E+01          2.47037610E+01          8.64228536E+00
        440.0000          1.35081464E+01          2.52247713E+01          8.79716594E+00
        450.0000          1.37236161E+01          2.57455227E+01          8.95184646E+00
        460.0000          1.39388911E+01          2.62660210E+01          9.10633020E+00
        470.0000          1.41539673E+01          2.67862718E+01          9.26062045E+00
        480.0000          1.43688418E+01          2.73062805E+01          9.41472042E+00
        490.0000          1.45835121E+01          2.78260523E+01          9.56863331E+00
        500.0000          1.47979763E+01          2.83455923E+01          9.72236227E+00
        510.0000          1.50122332E+01          2.88649052E+01          9.87591040E+00
        520.0000          1.52262817E+01          2.93839958E+01          1.00292807E+01
        530.0000          1.54401213E+01          2.99028686E+01          1.01824763E+01
        540.0000          1.56537520E+01          3.04215278E+01          1.03354999E+01
        550.0000          1.58671738E+01          3.09399776E+01          1.04883546E+01
        560.0000          1.60803870E+01          3.14582221E+01          1.06410431E+01
        570.0000          1.62933924E+01          3.19762652E+01          1.07935681E+01
        580.0000          1.65061906E+01          3.24941105E+01          1.09459324E+01
        590.0000          1.67187826E+01          3.30117619E+01          1.10981385E+01
        600.0000          1.69311697E+01          3.35292226E+01          1.12501891E+01
        610.0000          1.71433529E+01          3.40464963E+01          1.14020867E+01
        620.0000          1.73553336E+01          3.45635860E+01          1.15538337E+01
        630.0000          1.75671133E+01          3.50804950E+01          1.17054326E+01
        640.0000          1.77786935E+01          3.55972264E+01          1.18568856E+01
        650.0000          1.79900757E+01          3.61137830E+01          1.20081951E+01
        660.0000          1.82012617E+01          3.66301679E+01          1.21593633E+01
        670.0000          1.84122531E+01          3.71463837E+01          1.23103924E+01
        680.0000          1.86230516E+01          3.76624332E+01          1.24612844E+01
        690.0000          1.88336589E+01          3.81783190E+01          1.26120416E+01
        700.0000          1.90440770E+01          3.86940436E+01          1.27626659E+01
        710.0000          1.92543075E+01          3.92096095E+01          1.29131594E+01
        720.0000          1.94643523E+01          3.97250191E+01          1.30635239E+01
        730.0000          1.96742131E+01          4.02402746E+01          1.32137613E+01
        740.0000          1.98838919E+01          4.07553783E+01          1.33638735E+01
        750.0000          2.00933905E+01          4.12703324E+01          1.35138624E+01
        760.0000          2.03027106E+01          4.17851391E+01          1.36637296E+01
        770.0000          2.05118542E+01          4.22998003E+01          1.38134769E+01
        780.0000          2.07208229E+01          4.28143182E+01          1.39631059E+01
        790.0000          2.09296187E+01          4.33286945E+01          1.41126184E+01
        800.0000          2.11382433E+01          4.38429313E+01          1.42620159E+01
        810.0000          2.13466984E+01          4.43570303E+01          1.44113001E+01
        820.0000          2.15549860E+01          4.48709934E+01          1.45604723E+01
        830.0000          2.17631076E+01          4.53848223E+01          1.47095342E+01
        840.0000          2.19710651E+01          4.58985187E+01          1.48584872E+01
        850.0000          2.21788602E+01          4.64120843E+01          1.50073327E+01
        860.0000          2.23864945E+01          4.69255206E+01          1.51560722E+01
        870.0000          2.25939697E+01          4.74388292E+01          1.53047070E+01
        880.0000          2.28012876E+01          4.79520117E+01          1.54532385E+01
        890.0000          2.30084497E+01          4.84650695E+01          1.56016680E+01
        900.0000          2.32154577E+01          4.89780042E+01          1.57499967E+01
        910.0000          2.34223131E+01          4.94908170E+01          1.58982259E+01
        920.0000          2.36290176E+01          5.00035095E+01          1.60463569E+01
        930.0000          2.38355727E+01          5.05160829E+01          1.61943908E+01
        940.0000          2.40419800E+01          5.10285386E+01          1.63423289E+01
        950.0000          2.42482409E+01          5.15408779E+01          1.64901723E+01
        960.0000          2.44543570E+01          5.20531020E+01          1.66379221E+01
        970.0000          2.46603297E+01          5.25652121E+01          1.67855794E+01
        980.0000          2.48661606E+01          5.30772094E+01          1.69331453E+01
        990.0000          2.50718509E+01          5.35890952E+01          1.70806210E+01
       1000.0000          2.52774022E+01          5.41008705E+01          1.72280073E+01
       1100.0000          2.73255637E+01          5.92127832E+01          1.86971757E+01
       1200.0000          2.93612296E+01          6.43147398E+01          2.01584233E+01
       1300.0000          3.13855083E+01          6.94075494E+01          2.16125125E+01
       1400.0000          3.33993545E+01          7.44918790E+01          2.30600819E+01
       1500.0000          3.54035941E+01          7.95682857E+01          2.45016720E+01
       1600.0000          3.73989444E+01          8.46372408E+01          2.59377451E+01
       1700.0000          3.93860322E+01          8.96991471E+01          2.73686996E+01
       1800.0000          4.13654079E+01          9.47543522E+01          2.87948820E+01
       1843.9990          4.22339977E+01          9.69765482E+01          2.94209558E+01
       1844.0010          4.22340371E+01          9.69766492E+01          2.94209842E+01
       1900.0000          4.33375578E+01          9.98031581E+01          3.02165956E+01
       2000.0000          4.53029132E+01          1.04845830E+02          3.16341078E+01
       2100.0000          4.72618590E+01          1.09882602E+02          3.30476557E+01
       2200.0000          4.92147399E+01          1.14913681E+02          3.44574504E+01
       2300.0000          5.11618662E+01          1.19939253E+02          3.58636813E+01
       2400.0000          5.31035182E+01          1.24959483E+02          3.72665188E+01
       2500.0000          5.50399498E+01          1.29974523E+02          3.86661168E+01
       2600.0000          5.69713925E+01          1.34984507E+02          4.00626151E+01
       2700.0000          5.88980572E+01          1.39989559E+02          4.14561410E+01
       2800.0000          6.08201374E+01          1.44989793E+02          4.28468107E+01
       2900.0000          6.27378107E+01          1.49985310E+02          4.42347308E+01
       3000.0000          6.46512405E+01          1.54976205E+02          4.56199993E+01
       3100.0000          6.65605780E+01          1.59962567E+02          4.70027066E+01
       3200.0000          6.84659630E+01          1.64944475E+02          4.83829361E+01
       3300.0000          7.03675252E+01          1.69922004E+02          4.97607654E+01
       3400.0000          7.22653850E+01          1.74895224E+02          5.11362662E+01
       3500.0000          7.41596551E+01          1.79864199E+02          5.25095054E+01
       3600.0000          7.60504401E+01          1.84828989E+02          5.38805455E+01
       3700.0000          7.79378382E+01          1.89789652E+02          5.52494448E+01
       3800.0000          7.98219413E+01          1.94746238E+02          5.66162577E+01
       3900.0000          8.17028358E+01          1.99698799E+02          5.79810355E+01
       4000.0000          8.35806025E+01          2.04647381E+02          5.93438264E+01
       4100.0000          8.54553180E+01          2.09592028E+02          6.07046755E+01
       4200.0000          8.73270541E+01          2.14532780E+02          6.20636254E+01
       4300.0000          8.91958787E+01          2.19469677E+02          6.34207165E+01
       4400.0000          9.10618562E+01          2.24402757E+02          6.47759867E+01
       4500.0000          9.29250472E+01          2.29332054E+02          6.61294720E+01
       4600.0000          9.47855094E+01          2.34257602E+02          6.74812064E+01
       4700.0000          9.66432975E+01          2.39179431E+02          6.88312224E+01
       4800.0000          9.84984634E+01          2.44097573E+02          7.01795506E+01
       4900.0000          1.00351056E+02          2.49012056E+02          7.15262201E+01
       5000.0000          1.02201124E+02          2.53922908E+02          7.28712588E+01
       5100.0000          1.04048710E+02          2.58830154E+02          7.42146932E+01
       5200.0000          1.05893857E+02          2.63733819E+02          7.55565484E+01
       5300.0000          1.07736608E+02          2.68633928E+02          7.68968485E+01
       5400.0000          1.09576999E+02          2.73530503E+02          7.82356166E+01
       5500.0000          1.11415069E+02          2.78423566E+02          7.95728747E+01
       5600.0000          1.13250854E+02          2.83313139E+02          8.09086438E+01
       5700.0000          1.15084387E+02          2.88199241E+02          8.22429441E+01
       5800.0000          1.16915701E+02          2.93081892E+02          8.35757950E+01
       5900.0000          1.18744827E+02          2.97961111E+02          8.49072150E+01
       6000.0000          1.20571797E+02          3.02836916E+02          8.62372219E+01
       6100.0000          1.22396638E+02          3.07709323E+02          8.75658328E+01
       6200.0000          1.24219379E+02          3.12578351E+02          8.88930642E+01
       6300.0000          1.26040046E+02          3.17444015E+02          9.02189320E+01
       6400.0000          1.27858666E+02          3.22306331E+02          9.15434513E+01
       6500.0000          1.29675262E+02          3.27165313E+02          9.28666369E+01
       6600.0000          1.31489860E+02          3.32020977E+02          9.41885029E+01
       6700.0000          1.33302482E+02          3.36873337E+02          9.55090630E+01
       6800.0000          1.35113150E+02          3.41722406E+02          9.68283303E+01
       6900.0000          1.36921886E+02          3.46568197E+02          9.81463176E+01
       7000.0000          1.38728711E+02          3.51410724E+02          9.94630372E+01
       7100.0000          1.40533645E+02          3.56250000E+02          1.00778501E+02
       7200.0000          1.42336707E+02          3.61086035E+02          1.02092720E+02
       7300.0000          1.44137916E+02          3.65918843E+02          1.03405707E+02
       7400.0000          1.45937291E+02          3.70748434E+02          1.04717470E+02
       7500.0000          1.47734848E+02          3.75574820E+02          1.06028022E+02
       7600.0000          1.49530606E+02          3.80398011E+02          1.07337372E+02
       7700.0000          1.51324580E+02          3.85218019E+02          1.08645530E+02
       7800.0000          1.53116787E+02          3.90034853E+02          1.09952505E+02
       7900.0000          1.54907241E+02          3.94848523E+02          1.11258307E+02
       8000.0000          1.56695960E+02          3.99659040E+02          1.12562944E+02
       8100.0000          1.58482956E+02          4.04466413E+02          1.13866426E+02
       8200.0000          1.60268245E+02          4.09270651E+02          1.15168761E+02
       8300.0000          1.62051840E+02          4.14071763E+02          1.16469956E+02
       8400.0000          1.63833754E+02          4.18869759E+02          1.17770021E+02
       8500.0000          1.65614001E+02          4.23664646E+02          1.19068963E+02
       8600.0000          1.67392594E+02          4.28456434E+02          1.20366788E+02
       8700.0000          1.69169544E+02          4.33245131E+02          1.21663506E+02
       8800.0000          1.70944865E+02          4.38030745E+02          1.22959122E+02
       8900.0000          1.72718567E+02          4.42813284E+02          1.24253645E+02
       9000.0000          1.74490663E+02          4.47592755E+02          1.25547080E+02
       9100.0000          1.76261163E+02          4.52369167E+02          1.26839434E+02
       9200.0000          1.78030078E+02          4.57142527E+02          1.28130715E+02
       9300.0000          1.79797419E+02          4.61912842E+02          1.29420927E+02
       9400.0000          1.81563197E+02          4.66680119E+02          1.30710078E+02
       9500.0000          1.83327421E+02          4.71444366E+02          1.31998173E+02
       9600.0000          1.85090101E+02          4.76205590E+02          1.33285219E+02
       9700.0000          1.86851247E+02          4.80963797E+02          1.34571220E+02
       9800.0000          1.88610868E+02          4.85718994E+02          1.35856183E+02
       9900.0000          1.90368974E+02          4.90471187E+02          1.37140113E+02
      10000.0000          1.92125573E+02          4.95220384E+02          1.38423016E+02
      11000.0000          2.09610548E+02          5.42548864E+02          1.51196625E+02
      12000.0000          2.26953437E+02          5.89584042E+02          1.63872606E+02
      13000.0000          2.44160649E+02          6.36330980E+02          1.76454812E+02
      14000.0000          2.61237528E+02          6.82794154E+02          1.88946473E+02
      15000.0000          2.78188608E+02          7.28977593E+02          2.01350345E+02
      16000.0000          2.95017799E+02          7.74884981E+02          2.13668817E+02
      17000.0000          3.11728515E+02          8.20519721E+02          2.25903990E+02
      18000.0000          3.28323775E+02          8.65884995E+02          2.38057731E+02
      19000.0000          3.44806278E+02          9.10983797E+02          2.50131721E+02
      20000.0000          3.61178455E+02          9.55818966E+02          2.62127482E+02
      21000.0000          3.77442519E+02          1.00039321E+03          2.74046409E+02
      22000.0000          3.93600497E+02          1.04470913E+03          2.85889787E+02
      23000.0000          4.09654259E+02          1.08876922E+03          2.97658809E+02
      24000.0000          4.25605537E+02          1.13257590E+03          3.09354587E+02
      25000.0000          4.41455952E+02          1.17613150E+03          3.20978164E+02
      26000.0000          4.57207019E+02          1.21943830E+03          3.32530526E+02
      27000.0000          4.72860167E+02          1.26249850E+03          3.44012603E+02
      28000.0000          4.88416748E+02          1.30531427E+03          3.55425281E+02
      29000.0000          5.03878042E+02          1.34788771E+03          3.66769403E+02
      30000.0000          5.19245270E+02          1.39022087E+03          3.78045777E+02
      31000.0000          5.34519597E+02          1.43231579E+03          3.89255178E+02
      32000.0000          5.49702140E+02          1.47417443E+03          4.00398350E+02
      33000.0000          5.64793970E+02          1.51579876E+03          4.11476012E+02
      34000.0000          5.79796116E+02          1.55719066E+03          4.22488855E+02
      35000.0000          5.94709573E+02          1.59835203E+03          4.33437552E+02
      36000.0000          6.09535302E+02          1.63928471E+03          4.44322753E+02
      37000.0000          6.24274230E+02          1.67999051E+03          4.55145090E+02
      38000.0000          6.38927259E+02          1.72047124E+03          4.65905176E+02
      39000.0000          6.53495262E+02          1.76072866E+03          4.76603610E+02
      40000.0000          6.67979090E+02          1.80076451E+03          4.87240975E+02
      41000.0000          6.82379569E+02          1.84058051E+03          4.97817839E+02
      42000.0000          6.96697506E+02          1.88017835E+03          5.08334759E+02
      43000.0000          7.10933685E+02          1.91955971E+03          5.18792277E+02
      44000.0000          7.25088876E+02          1.95872623E+03          5.29190926E+02
      45000.0000          7.39163827E+02          1.99767957E+03          5.39531226E+02
      46000.0000          7.53159272E+02          2.03642131E+03          5.49813689E+02
      47000.0000          7.67075929E+02          2.07495306E+03          5.60038815E+02
      48000.0000          7.80914502E+02          2.11327640E+03          5.70207095E+02
      49000.0000          7.94675680E+02          2.15139287E+03          5.80319013E+02
      50000.0000          8.08360140E+02          2.18930403E+03          5.90375042E+02
