#Energy      Al-K-shell   Al-L1-shell   Al-L2-shell   Al-L3-shell   Valence  Total
       1800.0000          3.63090608E+06          1.35165797E+03          7.88490092E+02          3.94245046E+02          5.11893223E+01          4.15279428E+01
       1900.0000          2.09377505E+06          1.40206554E+03          8.20386875E+02          4.10193437E+02          5.35679276E+01          4.34057752E+01
       2000.0000          1.39964844E+06          1.45213200E+03          8.52403549E+02          4.26201774E+02          5.59305757E+01          4.52731953E+01
       2100.0000          1.02150162E+06          1.50291599E+03          8.84526145E+02          4.42263072E+02          5.82782342E+01          4.71318757E+01
       2200.0000          7.90429812E+05          1.55233372E+03          9.16084203E+02          4.58042101E+02          6.06117838E+01          4.89746984E+01
       2300.0000          6.37814848E+05          1.60244901E+03          9.47762241E+02          4.73881121E+02          6.29337752E+01          5.08112461E+01
       2400.0000          5.31187016E+05          1.65224934E+03          9.79235439E+02          4.89617719E+02          6.52431633E+01          5.26370943E+01
       2500.0000          4.53458789E+05          1.70175407E+03          1.01051591E+03          5.05257953E+02          6.75389073E+01          5.44517127E+01
       2600.0000          3.94888130E+05          1.75098100E+03          1.04161469E+03          5.20807347E+02          6.98250030E+01          5.62578348E+01
       2700.0000          3.49573805E+05          1.80082705E+03          1.07254192E+03          5.36270958E+02          7.21020044E+01          5.80568563E+01
       2800.0000          3.13753491E+05          1.84952172E+03          1.10359739E+03          5.51798695E+02          7.43668806E+01          5.98476411E+01
       2900.0000          2.84931953E+05          1.89882722E+03          1.13420162E+03          5.67100809E+02          7.66234910E+01          6.16294425E+01
       3000.0000          2.61396127E+05          1.94787601E+03          1.16494003E+03          5.82470013E+02          7.88692543E+01          6.34048778E+01
       3100.0000          2.41933493E+05          1.99586409E+03          1.19552915E+03          5.97764576E+02          8.11076263E+01          6.51728383E+01
       3200.0000          2.25666363E+05          2.04444872E+03          1.22597561E+03          6.12987807E+02          8.33368643E+01          6.69340323E+01
       3300.0000          2.11944532E+05          2.09281080E+03          1.25628558E+03          6.28142792E+02          8.55580070E+01          6.86883321E+01
       3400.0000          2.00276254E+05          2.14096022E+03          1.28646481E+03          6.43232407E+02          8.77711141E+01          7.04358521E+01
       3500.0000          1.90284699E+05          2.18966775E+03          1.31651867E+03          6.58259337E+02          8.99763956E+01          7.21776271E+01
