#Energy      Sn   O  Total
         93.0010          1.36581507E+02          1.12108465E+01          1.03604433E+01
         94.0000          1.35371996E+02          1.12815711E+01          1.04137174E+01
         95.0000          1.34187307E+02          1.13524353E+01          1.04669192E+01
         96.0000          1.33027851E+02          1.14233653E+01          1.05199927E+01
         97.0000          1.31892850E+02          1.14943586E+01          1.05729355E+01
         98.0000          1.30781557E+02          1.15654124E+01          1.06257453E+01
         99.0000          1.29693255E+02          1.16365245E+01          1.06784199E+01
        100.0000          1.28627254E+02          1.17076923E+01          1.07309573E+01
        101.9990          1.26560555E+02          1.18501150E+01          1.08355601E+01
        102.0010          1.26558528E+02          1.18502576E+01          1.08356645E+01
        110.0000          1.19060286E+02          1.24219828E+01          1.12483975E+01
        120.0000          1.11133351E+02          1.31398541E+01          1.17505299E+01
        130.0000          1.04468360E+02          1.38600626E+01          1.22366037E+01
        140.0000          9.87950285E+01          1.45817506E+01          1.27063449E+01
        140.9990          9.82746308E+01          1.46539036E+01          1.27523745E+01
        141.0010          9.82735967E+01          1.46540480E+01          1.27524665E+01
        150.0000          9.39150074E+01          1.53043146E+01          1.31598036E+01
        160.0000          8.96794454E+01          1.60273238E+01          1.35972513E+01
        170.0000          8.59744564E+01          1.67504663E+01          1.40191123E+01
        180.0000          8.27114244E+01          1.74735148E+01          1.44259138E+01
        190.0000          7.98203651E+01          1.81963028E+01          1.48182505E+01
        200.0000          7.72452756E+01          1.89187080E+01          1.51967583E+01
        210.0000          7.49408111E+01          1.96406406E+01          1.55620950E+01
        220.0000          7.28698662E+01          2.03620354E+01          1.59149258E+01
        230.0000          7.10017863E+01          2.10828453E+01          1.62559121E+01
        240.0000          6.93110254E+01          2.18030374E+01          1.65857040E+01
        250.0000          6.77761261E+01          2.25225892E+01          1.69049343E+01
        260.0000          6.63789336E+01          2.32414865E+01          1.72142140E+01
        270.0000          6.51039850E+01          2.39597211E+01          1.75141299E+01
        280.0000          6.39380293E+01          2.46772898E+01          1.78052429E+01
        290.0000          6.28696458E+01          2.53941931E+01          1.80880862E+01
        300.0000          6.18889396E+01          2.61104343E+01          1.83631658E+01
        310.0000          6.09872955E+01          2.68260189E+01          1.86309599E+01
        320.0000          6.01571780E+01          2.75409540E+01          1.88919197E+01
        330.0000          5.93919679E+01          2.82552479E+01          1.91464699E+01
        340.0000          5.86858276E+01          2.89689100E+01          1.93950094E+01
        350.0000          5.80335890E+01          2.96819502E+01          1.96379127E+01
        360.0000          5.74306609E+01          3.03943790E+01          1.98755307E+01
        370.0000          5.68729510E+01          3.11062071E+01          2.01081919E+01
        380.0000          5.63567998E+01          3.18174453E+01          2.03362035E+01
        390.0000          5.58789254E+01          3.25281048E+01          2.05598529E+01
        400.0000          5.54363762E+01          3.32381963E+01          2.07794084E+01
        410.0000          5.50264904E+01          3.39477309E+01          2.09951204E+01
        420.0000          5.46468617E+01          3.46567194E+01          2.12072229E+01
        430.0000          5.42953094E+01          3.53651724E+01          2.14159342E+01
        440.0000          5.39698524E+01          3.60731005E+01          2.16214578E+01
        450.0000          5.36686876E+01          3.67805138E+01          2.18239838E+01
        460.0000          5.33901701E+01          3.74874224E+01          2.20236893E+01
        470.0000          5.31327962E+01          3.81938362E+01          2.22207396E+01
        480.0000          5.28951890E+01          3.88997649E+01          2.24152889E+01
        488.9990          5.26972180E+01          3.95346230E+01          2.25883450E+01
        489.0010          5.26971756E+01          3.95347641E+01          2.25883833E+01
        490.0000          5.26760852E+01          3.96052177E+01          2.26074812E+01
        496.9990          5.25331165E+01          4.00986860E+01          2.27406666E+01
        497.0010          5.25330768E+01          4.00988269E+01          2.27407045E+01
        500.0000          5.24743239E+01          4.03102038E+01          2.27974506E+01
        510.0000          5.22888361E+01          4.10147321E+01          2.29853225E+01
        520.0000          5.21186364E+01          4.17188113E+01          2.31712137E+01
        530.0000          5.19628145E+01          4.24224497E+01          2.33552335E+01
        537.9990          5.18479550E+01          4.29849784E+01          2.35011524E+01
        538.0010          5.18479273E+01          4.29851190E+01          2.35011888E+01
        540.0000          5.18205286E+01          4.31256556E+01          2.35374838E+01
        550.0000          5.16909992E+01          4.38284369E+01          2.37180598E+01
        560.0000          5.15735030E+01          4.45308014E+01          2.38970505E+01
        570.0000          5.14673687E+01          4.52327565E+01          2.40745392E+01
        580.0000          5.13719717E+01          4.59343097E+01          2.42506036E+01
        590.0000          5.12867306E+01          4.66354679E+01          2.44253164E+01
        600.0000          5.12111037E+01          4.73362380E+01          2.45987457E+01
        610.0000          5.11445852E+01          4.80366269E+01          2.47709552E+01
        620.0000          5.10867027E+01          4.87366410E+01          2.49420045E+01
        630.0000          5.10370143E+01          4.94362865E+01          2.51119496E+01
        640.0000          5.09951066E+01          5.01355698E+01          2.52808427E+01
        650.0000          5.09605918E+01          5.08344967E+01          2.54487331E+01
        660.0000          5.09331065E+01          5.15330731E+01          2.56156667E+01
        670.0000          5.09123092E+01          5.22313047E+01          2.57816866E+01
        680.0000          5.08978791E+01          5.29291968E+01          2.59468336E+01
        690.0000          5.08895146E+01          5.36267549E+01          2.61111456E+01
        700.0000          5.08869315E+01          5.43239842E+01          2.62746583E+01
        710.0000          5.08898623E+01          5.50208898E+01          2.64374056E+01
        718.9990          5.08970045E+01          5.56477623E+01          2.65832335E+01
        719.0010          5.08970066E+01          5.56479016E+01          2.65832658E+01
        720.0000          5.08980547E+01          5.57174764E+01          2.65994188E+01
        730.0000          5.09112704E+01          5.64137491E+01          2.67607278E+01
        740.0000          5.09292846E+01          5.71097123E+01          2.69213606E+01
        750.0000          5.09518849E+01          5.78053707E+01          2.70813435E+01
        760.0000          5.09788702E+01          5.85007287E+01          2.72407013E+01
        760.9990          5.09817995E+01          5.85701786E+01          2.72565877E+01
        761.0010          5.09818054E+01          5.85703177E+01          2.72566195E+01
        770.0000          5.10100502E+01          5.91957906E+01          2.73994575E+01
        780.0000          5.10452449E+01          5.98905606E+01          2.75576341E+01
        790.0000          5.10842836E+01          6.05850427E+01          2.77152518E+01
        800.0000          5.11270042E+01          6.12792410E+01          2.78723305E+01
        810.0000          5.11732533E+01          6.19731593E+01          2.80288885E+01
        820.0000          5.12228850E+01          6.26668015E+01          2.81849434E+01
        830.0000          5.12757607E+01          6.33601712E+01          2.83405118E+01
        840.0000          5.13317487E+01          6.40532721E+01          2.84956092E+01
        850.0000          5.13907237E+01          6.47461076E+01          2.86502507E+01
        860.0000          5.14525666E+01          6.54386812E+01          2.88044500E+01
        870.0000          5.15171638E+01          6.61309962E+01          2.89582205E+01
        880.0000          5.15844072E+01          6.68230559E+01          2.91115749E+01
        887.9990          5.16400307E+01          6.73764529E+01          2.92339514E+01
        888.0010          5.16400448E+01          6.73765912E+01          2.92339819E+01
        890.0000          5.16541937E+01          6.75148635E+01          2.92645249E+01
        900.0000          5.17264252E+01          6.82064221E+01          2.94170819E+01
        910.0000          5.18010077E+01          6.88977348E+01          2.95692566E+01
        920.0000          5.18778519E+01          6.95888045E+01          2.97210592E+01
        930.0000          5.19568722E+01          7.02796341E+01          2.98724994E+01
        940.0000          5.20379870E+01          7.09702264E+01          3.00235864E+01
        950.0000          5.21211183E+01          7.16605844E+01          3.01743288E+01
        960.0000          5.22061914E+01          7.23507105E+01          3.03247350E+01
        970.0000          5.22931349E+01          7.30406076E+01          3.04748128E+01
        980.0000          5.23818806E+01          7.37302782E+01          3.06245699E+01
        990.0000          5.24723629E+01          7.44197248E+01          3.07740134E+01
       1000.0000          5.25645193E+01          7.51089499E+01          3.09231500E+01
       1100.0000          5.35660876E+01          8.19895293E+01          3.23989401E+01
       1200.0000          5.46821552E+01          8.88503373E+01          3.38496730E+01
       1300.0000          5.58796786E+01          9.56931540E+01          3.52787673E+01
       1400.0000          5.71357128E+01          1.02519456E+02          3.66885847E+01
       1500.0000          5.84339417E+01          1.09330482E+02          3.80808449E+01
       1600.0000          5.97625316E+01          1.16127285E+02          3.94568638E+01
       1700.0000          6.11127562E+01          1.22910768E+02          4.08176935E+01
       1800.0000          6.24780909E+01          1.29681712E+02          4.21642075E+01
       1900.0000          6.38536004E+01          1.36440798E+02          4.34971535E+01
       2000.0000          6.52355153E+01          1.43188623E+02          4.48171871E+01
       2100.0000          6.66209345E+01          1.49925716E+02          4.61248940E+01
       2200.0000          6.80076107E+01          1.56652545E+02          4.74208044E+01
       2300.0000          6.93937958E+01          1.63369532E+02          4.87054041E+01
       2400.0000          7.07781255E+01          1.70077053E+02          4.99791413E+01
       2500.0000          7.21595336E+01          1.76775448E+02          5.12424321E+01
       2600.0000          7.35371876E+01          1.83465025E+02          5.24956647E+01
       2700.0000          7.49104388E+01          1.90146064E+02          5.37392026E+01
       2800.0000          7.62787844E+01          1.96818822E+02          5.49733873E+01
       2900.0000          7.76418377E+01          2.03483531E+02          5.61985400E+01
       3000.0000          7.89993053E+01          2.10140407E+02          5.74149640E+01
       3100.0000          8.03509685E+01          2.16789649E+02          5.86229456E+01
       3200.0000          8.16966689E+01          2.23431439E+02          5.98227558E+01
       3300.0000          8.30362967E+01          2.30065947E+02          6.10146513E+01
       3400.0000          8.43697819E+01          2.36693329E+02          6.21988758E+01
       3500.0000          8.56970862E+01          2.43313734E+02          6.33756604E+01
       3600.0000          8.70181971E+01          2.49927296E+02          6.45452251E+01
       3700.0000          8.83331233E+01          2.56534144E+02          6.57077789E+01
       3800.0000          8.96418903E+01          2.63134397E+02          6.68635211E+01
       3900.0000          9.09445373E+01          2.69728167E+02          6.80126415E+01
       3932.9990          9.13730631E+01          2.71902640E+02          6.83904178E+01
       3933.0010          9.13730891E+01          2.71902772E+02          6.83904406E+01
       4000.0000          9.22411146E+01          2.76315559E+02          6.91553212E+01
       4100.0000          9.35316809E+01          2.82896672E+02          7.02917330E+01
       4159.9990          9.43031498E+01          2.86842300E+02          7.09706292E+01
       4160.0010          9.43031755E+01          2.86842431E+02          7.09706518E+01
       4200.0000          9.48163022E+01          2.89471600E+02          7.14220420E+01
       4300.0000          9.60950494E+01          2.96040431E+02          7.25464062E+01
       4400.0000          9.73679980E+01          3.02603248E+02          7.36649765E+01
       4468.9990          9.82429799E+01          3.07128061E+02          7.44334767E+01
       4469.0010          9.82430052E+01          3.07128192E+02          7.44334989E+01
       4500.0000          9.86352264E+01          3.09160129E+02          7.47778976E+01
       4600.0000          9.98968152E+01          3.15711151E+02          7.58853079E+01
       4700.0000          1.01152846E+02          3.22256383E+02          7.69873403E+01
       4800.0000          1.02403403E+02          3.28795892E+02          7.80841220E+01
       4900.0000          1.03648570E+02          3.35329744E+02          7.91757753E+01
       5000.0000          1.04888429E+02          3.41858000E+02          8.02624176E+01
       5100.0000          1.06123064E+02          3.48380716E+02          8.13441617E+01
       5200.0000          1.07352558E+02          3.54897950E+02          8.24211160E+01
       5300.0000          1.08576993E+02          3.61409755E+02          8.34933849E+01
       5400.0000          1.09796450E+02          3.67916180E+02          8.45610688E+01
       5500.0000          1.11011010E+02          3.74417275E+02          8.56242643E+01
       5600.0000          1.12220750E+02          3.80913086E+02          8.66830647E+01
       5700.0000          1.13425749E+02          3.87403658E+02          8.77375597E+01
       5800.0000          1.14626082E+02          3.93889034E+02          8.87878360E+01
       5900.0000          1.15821825E+02          4.00369256E+02          8.98339772E+01
       6000.0000          1.17013050E+02          4.06844362E+02          9.08760640E+01
       6100.0000          1.18199830E+02          4.13314390E+02          9.19141743E+01
       6200.0000          1.19382235E+02          4.19779379E+02          9.29483834E+01
       6300.0000          1.20560333E+02          4.26239362E+02          9.39787641E+01
       6400.0000          1.21734193E+02          4.32694374E+02          9.50053868E+01
       6500.0000          1.22903880E+02          4.39144448E+02          9.60283196E+01
       6600.0000          1.24069458E+02          4.45589616E+02          9.70476285E+01
       6700.0000          1.25230991E+02          4.52029908E+02          9.80633773E+01
       6800.0000          1.26388540E+02          4.58465354E+02          9.90756279E+01
       6900.0000          1.27542166E+02          4.64895982E+02          1.00084440E+02
       7000.0000          1.28691926E+02          4.71321821E+02          1.01089872E+02
       7100.0000          1.29837879E+02          4.77742897E+02          1.02091980E+02
       7200.0000          1.30980081E+02          4.84159237E+02          1.03090819E+02
       7300.0000          1.32118586E+02          4.90570865E+02          1.04086441E+02
       7400.0000          1.33253449E+02          4.96977806E+02          1.05078899E+02
       7500.0000          1.34384720E+02          5.03380084E+02          1.06068242E+02
       7600.0000          1.35512453E+02          5.09777722E+02          1.07054519E+02
       7700.0000          1.36636696E+02          5.16170743E+02          1.08037777E+02
       7800.0000          1.37757497E+02          5.22559167E+02          1.09018062E+02
       7900.0000          1.38874906E+02          5.28943017E+02          1.09995418E+02
       8000.0000          1.39988969E+02          5.35322313E+02          1.10969890E+02
       8100.0000          1.41099730E+02          5.41697075E+02          1.11941518E+02
       8200.0000          1.42207234E+02          5.48067323E+02          1.12910345E+02
       8300.0000          1.43311526E+02          5.54433075E+02          1.13876409E+02
       8400.0000          1.44412646E+02          5.60794350E+02          1.14839751E+02
       8500.0000          1.45510638E+02          5.67151167E+02          1.15800408E+02
       8600.0000          1.46605541E+02          5.73503543E+02          1.16758418E+02
       8700.0000          1.47697395E+02          5.79851495E+02          1.17713815E+02
       8800.0000          1.48786239E+02          5.86195040E+02          1.18666635E+02
       8900.0000          1.49872111E+02          5.92534194E+02          1.19616913E+02
       9000.0000          1.50955047E+02          5.98868974E+02          1.20564682E+02
       9100.0000          1.52035086E+02          6.05199395E+02          1.21509974E+02
       9200.0000          1.53112260E+02          6.11525472E+02          1.22452821E+02
       9300.0000          1.54186607E+02          6.17847220E+02          1.23393254E+02
       9400.0000          1.55258159E+02          6.24164655E+02          1.24331305E+02
       9500.0000          1.56326950E+02          6.30477790E+02          1.25267001E+02
       9600.0000          1.57393013E+02          6.36786639E+02          1.26200372E+02
       9700.0000          1.58456378E+02          6.43091217E+02          1.27131446E+02
       9800.0000          1.59517079E+02          6.49391536E+02          1.28060252E+02
       9900.0000          1.60575145E+02          6.55687610E+02          1.28986815E+02
      10000.0000          1.61630605E+02          6.61979452E+02          1.29911162E+02
      11000.0000          1.72048122E+02          7.24667764E+02          1.39038161E+02
      12000.0000          1.82234022E+02          7.86945416E+02          1.47968707E+02
      13000.0000          1.92210095E+02          8.48822106E+02          1.56721548E+02
      14000.0000          2.01994530E+02          9.10306195E+02          1.65312193E+02
      15000.0000          2.11602687E+02          9.71405030E+02          1.73753654E+02
      16000.0000          2.21047673E+02          1.03212516E+03          1.82056983E+02
      17000.0000          2.30340783E+02          1.09247253E+03          1.90231664E+02
      18000.0000          2.39491826E+02          1.15245254E+03          1.98285916E+02
      19000.0000          2.48509396E+02          1.21207022E+03          2.06226922E+02
      20000.0000          2.57401068E+02          1.27133024E+03          2.14061006E+02
      21000.0000          2.66173567E+02          1.33023698E+03          2.21793775E+02
      22000.0000          2.74832899E+02          1.38879457E+03          2.29430233E+02
      23000.0000          2.83384455E+02          1.44700696E+03          2.36974869E+02
      24000.0000          2.91833096E+02          1.50487789E+03          2.44431730E+02
      25000.0000          3.00183233E+02          1.56241095E+03          2.51804486E+02
      26000.0000          3.08438877E+02          1.61960960E+03          2.59096476E+02
      27000.0000          3.16603695E+02          1.67647716E+03          2.66310753E+02
      28000.0000          3.24681053E+02          1.73301686E+03          2.73450119E+02
      29000.0000          3.32674045E+02          1.78923181E+03          2.80517151E+02
      29203.9990          3.34294509E+02          1.80066000E+03          2.81950153E+02
      29204.0010          3.34294525E+02          1.80066011E+03          2.81950167E+02
      30000.0000          3.40585533E+02          1.84512505E+03          2.87514231E+02
      31000.0000          3.48418163E+02          1.90069953E+03          2.94443568E+02
      32000.0000          3.56174397E+02          1.95595811E+03          3.01307212E+02
      33000.0000          3.63856525E+02          2.01090361E+03          3.08107075E+02
      34000.0000          3.71466687E+02          2.06553878E+03          3.14844943E+02
      35000.0000          3.79006886E+02          2.11986628E+03          3.21522488E+02
      36000.0000          3.86478999E+02          2.17388876E+03          3.28141280E+02
      37000.0000          3.93884793E+02          2.22760879E+03          3.34702794E+02
      38000.0000          4.01225931E+02          2.28102890E+03          3.41208424E+02
      39000.0000          4.08503982E+02          2.33415157E+03          3.47659483E+02
      40000.0000          4.15720429E+02          2.38697925E+03          3.54057214E+02
      41000.0000          4.22876679E+02          2.43951435E+03          3.60402795E+02
      42000.0000          4.29974065E+02          2.49175921E+03          3.66697346E+02
      43000.0000          4.37013853E+02          2.54371618E+03          3.72941929E+02
      44000.0000          4.43997248E+02          2.59538753E+03          3.79137558E+02
      45000.0000          4.50925399E+02          2.64677554E+03          3.85285197E+02
      46000.0000          4.57799402E+02          2.69788242E+03          3.91385770E+02
      47000.0000          4.64620303E+02          2.74871036E+03          3.97440156E+02
      48000.0000          4.71389105E+02          2.79926155E+03          4.03449202E+02
      49000.0000          4.78106765E+02          2.84953810E+03          4.09413714E+02
      50000.0000          4.84774204E+02          2.89954214E+03          4.15334469E+02
