#Energy      Tc  Total
       1800.0000          2.05859336E+01          2.05859336E+01
       1900.0000          2.11310397E+01          2.11310397E+01
       2000.0000          2.16747234E+01          2.16747234E+01
       2100.0000          2.22165419E+01          2.22165419E+01
       2200.0000          2.27561738E+01          2.27561738E+01
       2300.0000          2.32933888E+01          2.32933888E+01
       2400.0000          2.38280248E+01          2.38280248E+01
       2500.0000          2.43599715E+01          2.43599715E+01
       2600.0000          2.48891581E+01          2.48891581E+01
       2682.9990          2.53262516E+01          2.53262516E+01
       2683.0010          2.53262621E+01          2.53262621E+01
       2700.0000          2.54155438E+01          2.54155438E+01
       2799.9990          2.59391056E+01          2.59391056E+01
       2800.0000          2.59391108E+01          2.59391108E+01
       2800.0010          2.59391161E+01          2.59391161E+01
       2900.0000          2.64598591E+01          2.64598591E+01
       3000.0000          2.69778018E+01          2.69778018E+01
       3047.9990          2.72254192E+01          2.72254192E+01
       3048.0010          2.72254295E+01          2.72254295E+01
       3100.0000          2.74929625E+01          2.74929625E+01
       3200.0000          2.80053724E+01          2.80053724E+01
       3300.0000          2.85150683E+01          2.85150683E+01
       3400.0000          2.90220914E+01          2.90220914E+01
       3500.0000          2.95264859E+01          2.95264859E+01
       3600.0000          3.00282981E+01          3.00282981E+01
       3700.0000          3.05275755E+01          3.05275755E+01
       3800.0000          3.10243664E+01          3.10243664E+01
       3900.0000          3.15187195E+01          3.15187195E+01
       4000.0000          3.20106832E+01          3.20106832E+01
       4100.0000          3.25003058E+01          3.25003058E+01
       4200.0000          3.29876349E+01          3.29876349E+01
       4300.0000          3.34727174E+01          3.34727174E+01
       4400.0000          3.39555994E+01          3.39555994E+01
       4500.0000          3.44363260E+01          3.44363260E+01
       4600.0000          3.49149414E+01          3.49149414E+01
       4700.0000          3.53914885E+01          3.53914885E+01
       4800.0000          3.58660093E+01          3.58660093E+01
       4900.0000          3.63385448E+01          3.63385448E+01
       5000.0000          3.68091348E+01          3.68091348E+01
       5100.0000          3.72778178E+01          3.72778178E+01
       5200.0000          3.77446316E+01          3.77446316E+01
       5300.0000          3.82096126E+01          3.82096126E+01
       5400.0000          3.86727963E+01          3.86727963E+01
       5500.0000          3.91342172E+01          3.91342172E+01
       5600.0000          3.95939087E+01          3.95939087E+01
       5700.0000          4.00519033E+01          4.00519033E+01
       5800.0000          4.05082324E+01          4.05082324E+01
       5900.0000          4.09629267E+01          4.09629267E+01
       6000.0000          4.14160158E+01          4.14160158E+01
       6100.0000          4.18675285E+01          4.18675285E+01
       6200.0000          4.23174929E+01          4.23174929E+01
       6300.0000          4.27659360E+01          4.27659360E+01
       6400.0000          4.32128843E+01          4.32128843E+01
       6500.0000          4.36583632E+01          4.36583632E+01
       6600.0000          4.41023977E+01          4.41023977E+01
       6700.0000          4.45450120E+01          4.45450120E+01
       6800.0000          4.49862295E+01          4.49862295E+01
       6900.0000          4.54260730E+01          4.54260730E+01
       7000.0000          4.58645646E+01          4.58645646E+01
       7100.0000          4.63017260E+01          4.63017260E+01
       7200.0000          4.67375780E+01          4.67375780E+01
       7300.0000          4.71721410E+01          4.71721410E+01
       7400.0000          4.76054349E+01          4.76054349E+01
       7500.0000          4.80374790E+01          4.80374790E+01
       7600.0000          4.84682920E+01          4.84682920E+01
       7700.0000          4.88978921E+01          4.88978921E+01
       7800.0000          4.93262972E+01          4.93262972E+01
       7900.0000          4.97535245E+01          4.97535245E+01
       8000.0000          5.01795910E+01          5.01795910E+01
       8100.0000          5.06045130E+01          5.06045130E+01
       8200.0000          5.10283067E+01          5.10283067E+01
       8300.0000          5.14509875E+01          5.14509875E+01
       8400.0000          5.18725707E+01          5.18725707E+01
       8500.0000          5.22930711E+01          5.22930711E+01
       8600.0000          5.27125033E+01          5.27125033E+01
       8700.0000          5.31308812E+01          5.31308812E+01
       8800.0000          5.35482187E+01          5.35482187E+01
       8900.0000          5.39645293E+01          5.39645293E+01
       9000.0000          5.43798259E+01          5.43798259E+01
       9100.0000          5.47941215E+01          5.47941215E+01
       9200.0000          5.52074286E+01          5.52074286E+01
       9300.0000          5.56197592E+01          5.56197592E+01
       9400.0000          5.60311255E+01          5.60311255E+01
       9500.0000          5.64415390E+01          5.64415390E+01
       9600.0000          5.68510111E+01          5.68510111E+01
       9700.0000          5.72595530E+01          5.72595530E+01
       9800.0000          5.76671755E+01          5.76671755E+01
       9900.0000          5.80738893E+01          5.80738893E+01
      10000.0000          5.84797048E+01          5.84797048E+01
      11000.0000          6.24905884E+01          6.24905884E+01
      12000.0000          6.64215920E+01          6.64215920E+01
      13000.0000          7.02801551E+01          7.02801551E+01
      14000.0000          7.40724422E+01          7.40724422E+01
      15000.0000          7.78036296E+01          7.78036296E+01
      16000.0000          8.14781155E+01          8.14781155E+01
      17000.0000          8.50996763E+01          8.50996763E+01
      18000.0000          8.86715848E+01          8.86715848E+01
      19000.0000          9.21967016E+01          9.21967016E+01
      20000.0000          9.56775458E+01          9.56775458E+01
      21000.0000          9.91163511E+01          9.91163511E+01
      21049.9990          9.92872211E+01          9.92872211E+01
      21050.0010          9.92872280E+01          9.92872280E+01
      22000.0000          1.02515111E+02          1.02515111E+02
      23000.0000          1.05875614E+02          1.05875614E+02
      24000.0000          1.09199474E+02          1.09199474E+02
      25000.0000          1.12488154E+02          1.12488154E+02
      26000.0000          1.15742987E+02          1.15742987E+02
      27000.0000          1.18965191E+02          1.18965191E+02
      28000.0000          1.22155883E+02          1.22155883E+02
      29000.0000          1.25316095E+02          1.25316095E+02
      30000.0000          1.28446778E+02          1.28446778E+02
      31000.0000          1.31548816E+02          1.31548816E+02
      32000.0000          1.34623029E+02          1.34623029E+02
      33000.0000          1.37670184E+02          1.37670184E+02
      34000.0000          1.40690996E+02          1.40690996E+02
      35000.0000          1.43686137E+02          1.43686137E+02
      36000.0000          1.46656237E+02          1.46656237E+02
      37000.0000          1.49601890E+02          1.49601890E+02
      38000.0000          1.52523656E+02          1.52523656E+02
      39000.0000          1.55422064E+02          1.55422064E+02
      40000.0000          1.58297615E+02          1.58297615E+02
      41000.0000          1.61150786E+02          1.61150786E+02
      42000.0000          1.63982027E+02          1.63982027E+02
      43000.0000          1.66791771E+02          1.66791771E+02
      44000.0000          1.69580425E+02          1.69580425E+02
      45000.0000          1.72348383E+02          1.72348383E+02
      46000.0000          1.75096019E+02          1.75096019E+02
      47000.0000          1.77823690E+02          1.77823690E+02
      48000.0000          1.80531740E+02          1.80531740E+02
      49000.0000          1.83220499E+02          1.83220499E+02
      50000.0000          1.85890283E+02          1.85890283E+02
