#Energy      C   H   O  Total
        260.0000          3.42111540E+03          2.86063487E+04          2.97920031E+04          2.77142153E+03
        270.0000          3.53512616E+03          2.96830496E+04          3.07126692E+04          2.86430813E+03
        280.0000          3.64905120E+03          3.07596531E+04          3.16324817E+04          2.95711853E+03
        287.9990          3.74011952E+03          3.16207594E+04          3.23676256E+04          3.03130431E+03
        288.0010          3.74014228E+03          3.16209747E+04          3.23678093E+04          3.03132285E+03
        290.0000          3.76289258E+03          3.18361611E+04          3.25514413E+04          3.04985509E+03
        300.0000          3.87665237E+03          3.29125749E+04          3.34695521E+04          3.14252009E+03
        310.0000          3.99033262E+03          3.39888961E+04          3.43868212E+04          3.23511569E+03
        320.0000          4.10393537E+03          3.50651260E+04          3.53032578E+04          3.32764400E+03
        330.0000          4.21746260E+03          3.61412658E+04          3.62188725E+04          3.42010702E+03
        340.0000          4.33091624E+03          3.72173167E+04          3.71336773E+04          3.51250666E+03
        350.0000          4.44429819E+03          3.82932797E+04          3.80476850E+04          3.60484477E+03
        360.0000          4.55761026E+03          3.93691558E+04          3.89609089E+04          3.69712309E+03
        370.0000          4.67085422E+03          4.04449459E+04          3.98733627E+04          3.78934330E+03
        380.0000          4.78403179E+03          4.15206510E+04          4.07850605E+04          3.88150700E+03
        390.0000          4.89714460E+03          4.25962719E+04          4.16960164E+04          3.97361572E+03
        400.0000          5.01019424E+03          4.36718093E+04          4.26062443E+04          4.06567091E+03
        410.0000          5.12318224E+03          4.47472639E+04          4.35157583E+04          4.15767399E+03
        420.0000          5.23611008E+03          4.58226364E+04          4.44245723E+04          4.24962628E+03
        430.0000          5.34897917E+03          4.68979276E+04          4.53326998E+04          4.34152907E+03
        440.0000          5.46179088E+03          4.79731379E+04          4.62401544E+04          4.43338357E+03
        450.0000          5.57454652E+03          4.90482680E+04          4.71469492E+04          4.52519097E+03
        460.0000          5.68724735E+03          5.01233185E+04          4.80530971E+04          4.61695238E+03
        470.0000          5.79989460E+03          5.11982898E+04          4.89586108E+04          4.70866889E+03
        480.0000          5.91248943E+03          5.22731824E+04          4.98635025E+04          4.80034152E+03
        490.0000          6.02503296E+03          5.33479968E+04          5.07677843E+04          4.89197126E+03
        500.0000          6.13752630E+03          5.44227335E+04          5.16714678E+04          4.98355908E+03
        510.0000          6.24997048E+03          5.54973929E+04          5.25745645E+04          5.07510587E+03
        520.0000          6.36236652E+03          5.65719754E+04          5.34770855E+04          5.16661252E+03
        530.0000          6.47471538E+03          5.76464814E+04          5.43790415E+04          5.25807987E+03
        537.9990          6.56454991E+03          5.85059239E+04          5.51001165E+04          5.33121686E+03
        538.0010          6.56457237E+03          5.85061388E+04          5.51002967E+04          5.33123515E+03
        540.0000          6.58701801E+03          5.87209112E+04          5.52804430E+04          5.34950874E+03
        550.0000          6.69927531E+03          5.97952653E+04          5.61813003E+04          5.44089990E+03
        560.0000          6.81148814E+03          6.08695439E+04          5.70816233E+04          5.53225411E+03
        570.0000          6.92365736E+03          6.19437474E+04          5.79814216E+04          5.62357209E+03
        580.0000          7.03578378E+03          6.30178760E+04          5.88807046E+04          5.71485454E+03
        590.0000          7.14786817E+03          6.40919302E+04          5.97794813E+04          5.80610213E+03
        600.0000          7.25991131E+03          6.51659102E+04          6.06777607E+04          5.89731551E+03
        610.0000          7.37191393E+03          6.62398162E+04          6.15755512E+04          5.98849531E+03
        620.0000          7.48387672E+03          6.73136485E+04          6.24728614E+04          6.07964213E+03
        630.0000          7.59580039E+03          6.83874074E+04          6.33696991E+04          6.17075656E+03
        640.0000          7.70768559E+03          6.94610932E+04          6.42660725E+04          6.26183917E+03
        650.0000          7.81953297E+03          7.05347060E+04          6.51619891E+04          6.35289049E+03
        660.0000          7.93134315E+03          7.16082461E+04          6.60574563E+04          6.44391105E+03
        670.0000          8.04311672E+03          7.26817137E+04          6.69524815E+04          6.53490137E+03
        680.0000          8.15485429E+03          7.37551091E+04          6.78470717E+04          6.62586194E+03
        690.0000          8.26655640E+03          7.48284323E+04          6.87412337E+04          6.71679324E+03
        700.0000          8.37822362E+03          7.59016838E+04          6.96349742E+04          6.80769573E+03
        710.0000          8.48985646E+03          7.69748635E+04          7.05282996E+04          6.89856986E+03
        720.0000          8.60145546E+03          7.80479717E+04          7.14212164E+04          6.98941607E+03
        730.0000          8.71302110E+03          7.91210086E+04          7.23137306E+04          7.08023477E+03
        740.0000          8.82455389E+03          8.01939744E+04          7.32058482E+04          7.17102638E+03
        750.0000          8.93605427E+03          8.12668692E+04          7.40975750E+04          7.26179130E+03
        760.0000          9.04752273E+03          8.23396932E+04          7.49889168E+04          7.35252991E+03
        770.0000          9.15895970E+03          8.34124465E+04          7.58798790E+04          7.44324258E+03
        780.0000          9.27036562E+03          8.44851294E+04          7.67704670E+04          7.53392968E+03
        790.0000          9.38174090E+03          8.55577418E+04          7.76606860E+04          7.62459156E+03
        800.0000          9.49308597E+03          8.66302841E+04          7.85505413E+04          7.71522857E+03
        810.0000          9.60440120E+03          8.77027563E+04          7.94400376E+04          7.80584104E+03
        820.0000          9.71568701E+03          8.87751586E+04          8.03291800E+04          7.89642929E+03
        830.0000          9.82694375E+03          8.98474911E+04          8.12179731E+04          7.98699364E+03
        840.0000          9.93817181E+03          9.09197539E+04          8.21064215E+04          8.07753440E+03
        850.0000          1.00493715E+04          9.19919471E+04          8.29945299E+04          8.16805186E+03
        860.0000          1.01605433E+04          9.30640710E+04          8.38823024E+04          8.25854632E+03
        870.0000          1.02716874E+04          9.41361255E+04          8.47697436E+04          8.34901806E+03
        880.0000          1.03828041E+04          9.52081108E+04          8.56568575E+04          8.43946736E+03
        890.0000          1.04938939E+04          9.62800270E+04          8.65436482E+04          8.52989449E+03
        900.0000          1.06049571E+04          9.73518743E+04          8.74301197E+04          8.62029970E+03
        910.0000          1.07159938E+04          9.84236527E+04          8.83162760E+04          8.71068326E+03
        920.0000          1.08270045E+04          9.94953623E+04          8.92021208E+04          8.80104542E+03
        930.0000          1.09379894E+04          1.00567003E+05          9.00876578E+04          8.89138641E+03
        940.0000          1.10489488E+04          1.01638576E+05          9.09728908E+04          8.98170647E+03
        950.0000          1.11598830E+04          1.02710080E+05          9.18578232E+04          9.07200585E+03
        960.0000          1.12707923E+04          1.03781515E+05          9.27424586E+04          9.16228475E+03
        970.0000          1.13816769E+04          1.04852882E+05          9.36268003E+04          9.25254341E+03
        980.0000          1.14925370E+04          1.05924181E+05          9.45108517E+04          9.34278204E+03
        990.0000          1.16033730E+04          1.06995412E+05          9.53946159E+04          9.43300084E+03
       1000.0000          1.17141851E+04          1.08066575E+05          9.62780963E+04          9.52320004E+03
       1100.0000          1.28210415E+04          1.18774480E+05          1.05097939E+05          1.04241552E+04
       1200.0000          1.39257421E+04          1.29475663E+05          1.13892437E+05          1.13233443E+04
       1300.0000          1.50284621E+04          1.40170183E+05          1.22663873E+05          1.22209122E+04
       1400.0000          1.61293461E+04          1.50858091E+05          1.31414139E+05          1.31169782E+04
       1500.0000          1.72285145E+04          1.61539428E+05          1.40144825E+05          1.40116417E+04
       1600.0000          1.83260694E+04          1.72214230E+05          1.48857279E+05          1.49049867E+04
       1700.0000          1.94220981E+04          1.82882529E+05          1.57552659E+05          1.57970850E+04
       1800.0000          2.05166759E+04          1.93544352E+05          1.66231966E+05          1.66879984E+04
       1900.0000          2.16098680E+04          2.04199723E+05          1.74896072E+05          1.75777808E+04
       2000.0000          2.27017320E+04          2.14848664E+05          1.83545743E+05          1.84664791E+04
       2100.0000          2.37923185E+04          2.25491194E+05          1.92181657E+05          1.93541350E+04
       2200.0000          2.48816723E+04          2.36127333E+05          2.00804416E+05          2.02407852E+04
       2300.0000          2.59698337E+04          2.46757096E+05          2.09414558E+05          2.11264628E+04
       2400.0000          2.70568386E+04          2.57380499E+05          2.18012566E+05          2.20111971E+04
       2500.0000          2.81427195E+04          2.67997556E+05          2.26598876E+05          2.28950148E+04
       2600.0000          2.92275058E+04          2.78608280E+05          2.35173883E+05          2.37779400E+04
       2700.0000          3.03112242E+04          2.89212684E+05          2.43737945E+05          2.46599946E+04
       2800.0000          3.13938992E+04          2.99810779E+05          2.52291391E+05          2.55411985E+04
       2900.0000          3.24755530E+04          3.10402577E+05          2.60834521E+05          2.64215700E+04
       3000.0000          3.35562061E+04          3.20988089E+05          2.69367611E+05          2.73011259E+04
       3100.0000          3.46358775E+04          3.31567323E+05          2.77890914E+05          2.81798816E+04
       3200.0000          3.57145846E+04          3.42140291E+05          2.86404664E+05          2.90578515E+04
       3300.0000          3.67923435E+04          3.52707002E+05          2.94909081E+05          2.99350487E+04
       3400.0000          3.78691694E+04          3.63267464E+05          3.03404364E+05          3.08114856E+04
       3500.0000          3.89450762E+04          3.73821686E+05          3.11890702E+05          3.16871736E+04
       3600.0000          4.00200769E+04          3.84369677E+05          3.20368269E+05          3.25621233E+04
       3700.0000          4.10941838E+04          3.94911445E+05          3.28837230E+05          3.34363447E+04
       3800.0000          4.21674082E+04          4.05446997E+05          3.37297737E+05          3.43098473E+04
       3900.0000          4.32397610E+04          4.15976341E+05          3.45749933E+05          3.51826396E+04
       4000.0000          4.43112521E+04          4.26499486E+05          3.54193955E+05          3.60547301E+04
       4100.0000          4.53818911E+04          4.37016438E+05          3.62629928E+05          3.69261264E+04
       4200.0000          4.64516870E+04          4.47527204E+05          3.71057972E+05          3.77968358E+04
       4300.0000          4.75206482E+04          4.58031792E+05          3.79478200E+05          3.86668654E+04
       4400.0000          4.85887827E+04          4.68530208E+05          3.87890720E+05          3.95362216E+04
       4500.0000          4.96560982E+04          4.79022459E+05          3.96295631E+05          4.04049107E+04
       4600.0000          5.07226019E+04          4.89508552E+05          4.04693031E+05          4.12729385E+04
       4700.0000          5.17883005E+04          4.99988493E+05          4.13083009E+05          4.21403106E+04
       4800.0000          5.28532007E+04          5.10462290E+05          4.21465653E+05          4.30070325E+04
       4900.0000          5.39173086E+04          5.20929947E+05          4.29841044E+05          4.38731090E+04
       5000.0000          5.49806301E+04          5.31391472E+05          4.38209261E+05          4.47385452E+04
       5100.0000          5.60431710E+04          5.41846870E+05          4.46570378E+05          4.56033455E+04
       5200.0000          5.71049367E+04          5.52296149E+05          4.54924468E+05          4.64675145E+04
       5300.0000          5.81659322E+04          5.62739313E+05          4.63271597E+05          4.73310564E+04
       5400.0000          5.92261626E+04          5.73176368E+05          4.71611831E+05          4.81939751E+04
       5500.0000          6.02856326E+04          5.83607322E+05          4.79945233E+05          4.90562746E+04
       5600.0000          6.13443467E+04          5.94032179E+05          4.88271861E+05          4.99179586E+04
       5700.0000          6.24023095E+04          6.04450945E+05          4.96591775E+05          5.07790307E+04
       5800.0000          6.34595250E+04          6.14863627E+05          5.04905027E+05          5.16394943E+04
       5900.0000          6.45159973E+04          6.25270229E+05          5.13211672E+05          5.24993527E+04
       6000.0000          6.55717304E+04          6.35670757E+05          5.21511760E+05          5.33586091E+04
       6100.0000          6.66267280E+04          6.46065218E+05          5.29805339E+05          5.42172667E+04
       6200.0000          6.76809937E+04          6.56453616E+05          5.38092458E+05          5.50753283E+04
