#Energy      C-K-shell   O-K-shell   Valence  Total
       6700.0000          1.44851839E+06          3.20244692E+06          1.43011244E+03          1.42806479E+03
       6800.0000          1.46502323E+06          3.23113150E+06          1.44932823E+03          1.44724733E+03
       6900.0000          1.48083868E+06          3.26314872E+06          1.46858139E+03          1.46646707E+03
       7000.0000          1.49727067E+06          3.29509633E+06          1.48775579E+03          1.48560887E+03
       7100.0000          1.51366632E+06          3.32370097E+06          1.50690070E+03          1.50472049E+03
       7200.0000          1.52938906E+06          3.35553225E+06          1.52611733E+03          1.52390361E+03
       7300.0000          1.54571617E+06          3.38729727E+06          1.54511965E+03          1.54287359E+03
       7400.0000          1.56200895E+06          3.41899710E+06          1.56432659E+03          1.56204753E+03
       7500.0000          1.57764522E+06          3.44748387E+06          1.58338254E+03          1.58106956E+03
       7600.0000          1.59387341E+06          3.47907593E+06          1.60237572E+03          1.60003022E+03
       7700.0000          1.61006913E+06          3.51060603E+06          1.62150373E+03          1.61912525E+03
       7800.0000          1.62562459E+06          3.54207521E+06          1.64049175E+03          1.63808002E+03
       7900.0000          1.64175934E+06          3.57045724E+06          1.65942198E+03          1.65697708E+03
       8000.0000          1.65786331E+06          3.60182662E+06          1.67845098E+03          1.67597319E+03
       8100.0000          1.67393701E+06          3.63313810E+06          1.69745634E+03          1.69494568E+03
       8200.0000          1.68998096E+06          3.66439261E+06          1.71628903E+03          1.71374594E+03
       8300.0000          1.70540656E+06          3.69559113E+06          1.73517038E+03          1.73259405E+03
       8400.0000          1.72139493E+06          3.72673459E+06          1.75416439E+03          1.75155504E+03
       8500.0000          1.73735504E+06          3.75782390E+06          1.77305399E+03          1.77041187E+03
       8600.0000          1.75328733E+06          3.78600648E+06          1.79190290E+03          1.78922743E+03
       8700.0000          1.76919228E+06          3.81700877E+06          1.81067918E+03          1.80797116E+03
       8800.0000          1.78507030E+06          3.84795954E+06          1.82943801E+03          1.82669744E+03
       8900.0000          1.80092183E+06          3.87885965E+06          1.84826520E+03          1.84549182E+03
       9000.0000          1.81674729E+06          3.90970991E+06          1.86707938E+03          1.86427318E+03
       9100.0000          1.83198509E+06          3.94051116E+06          1.88588903E+03          1.88304937E+03
       9200.0000          1.84776221E+06          3.97126418E+06          1.90464042E+03          1.90176801E+03
       9300.0000          1.86351446E+06          4.00196975E+06          1.92339744E+03          1.92049222E+03
       9400.0000          1.87924224E+06          4.03262866E+06          1.94209886E+03          1.93916095E+03
       9500.0000          1.89494591E+06          4.06324165E+06          1.96075068E+03          1.95778017E+03
       9600.0000          1.91062582E+06          4.09380944E+06          1.97937734E+03          1.97637426E+03
       9700.0000          1.92628233E+06          4.12433279E+06          1.99802762E+03          1.99499185E+03
       9800.0000          1.94191579E+06          4.15481237E+06          2.01666869E+03          2.01360021E+03
       9900.0000          1.95752654E+06          4.18524890E+06          2.03526160E+03          2.03216052E+03
      10000.0000          1.97311490E+06          4.21564304E+06          2.05387079E+03          2.05073700E+03
      11000.0000          2.12834540E+06          4.51981306E+06          2.23935225E+03          2.23589196E+03
      12000.0000          2.28160096E+06          4.82239726E+06          2.42319959E+03          2.41941430E+03
      13000.0000          2.43406082E+06          5.12133773E+06          2.60583847E+03          2.60172932E+03
      14000.0000          2.58443274E+06          5.41917474E+06          2.78701831E+03          2.78258655E+03
      15000.0000          2.73381461E+06          5.71395238E+06          2.96737977E+03          2.96262548E+03
      16000.0000          2.88229801E+06          6.00794983E+06          3.14717023E+03          3.14209346E+03
      17000.0000          3.02953793E+06          6.29930655E+06          3.32569391E+03          3.32029610E+03
      18000.0000          3.17563321E+06          6.58824742E+06          3.50334641E+03          3.49762796E+03
      19000.0000          3.32107630E+06          6.87678230E+06          3.67984541E+03          3.67380883E+03
      20000.0000          3.46551772E+06          7.16316642E+06          3.85591518E+03          3.84955976E+03
      21000.0000          3.60902286E+06          7.44755140E+06          4.03125170E+03          4.02457783E+03
      22000.0000          3.75203690E+06          7.73177624E+06          4.20656409E+03          4.19957095E+03
      23000.0000          3.89383500E+06          8.01251091E+06          4.38049907E+03          4.37318845E+03
      24000.0000          4.03522782E+06          8.29324451E+06          4.55422702E+03          4.54659889E+03
      25000.0000          4.17587589E+06          8.57237130E+06          4.72729356E+03          4.71934851E+03
      26000.0000          4.31581661E+06          8.84997950E+06          4.89970219E+03          4.89144089E+03
      27000.0000          4.45508533E+06          9.12771408E+06          5.07149674E+03          5.06292027E+03
      28000.0000          4.59407474E+06          9.40249154E+06          5.24229741E+03          5.23340772E+03
      29000.0000          4.73208552E+06          9.67749255E+06          5.41403098E+03          5.40482356E+03
      30000.0000          4.86986911E+06          9.94971029E+06          5.58351091E+03          5.57399212E+03
      31000.0000          5.00708240E+06          1.02222258E+07          5.75441115E+03          5.74457538E+03
      32000.0000          5.14340954E+06          1.04935741E+07          5.92411698E+03          5.91396663E+03
      33000.0000          5.27956566E+06          1.07638023E+07          6.09349628E+03          6.08303179E+03
      34000.0000          5.41522036E+06          1.10329555E+07          6.26233058E+03          6.25155269E+03
      35000.0000          5.55039257E+06          1.13010760E+07          6.43071451E+03          6.41962371E+03
      36000.0000          5.68542601E+06          1.15682032E+07          6.59853850E+03          6.58713611E+03
      37000.0000          5.81969013E+06          1.18343743E+07          6.76613416E+03          6.75441954E+03
      38000.0000          5.95351856E+06          1.21009969E+07          6.93266777E+03          6.92064408E+03
      39000.0000          6.08723755E+06          1.23653444E+07          7.10068604E+03          7.08834715E+03
      40000.0000          6.22025044E+06          1.26301728E+07          7.26650152E+03          7.25385421E+03
      41000.0000          6.35316503E+06          1.28928211E+07          7.43402410E+03          7.42106150E+03
      42000.0000          6.48540755E+06          1.31559757E+07          7.59848818E+03          7.58522013E+03
      43000.0000          6.61756485E+06          1.34183363E+07          7.76570872E+03          7.75212515E+03
      44000.0000          6.74937707E+06          1.36786201E+07          7.93160376E+03          7.91770806E+03
      45000.0000          6.88054492E+06          1.39394514E+07          8.09481573E+03          8.08061654E+03
