#Energy      Al   P  Total
         31.0000          1.20314809E+01          1.52124260E+01          6.71812648E+00
         32.0000          1.19260798E+01          1.50178602E+01          6.64729060E+00
         33.0000          1.18300252E+01          1.48376462E+01          6.58211680E+00
         34.0000          1.17425083E+01          1.46705397E+01          6.52211489E+00
         35.0000          1.16628110E+01          1.45154364E+01          6.46684969E+00
         36.0000          1.15902934E+01          1.43713528E+01          6.41593350E+00
         37.0000          1.15243836E+01          1.42374098E+01          6.36901980E+00
         38.0000          1.14645686E+01          1.41128195E+01          6.32579787E+00
         39.0000          1.14103870E+01          1.39968735E+01          6.28598834E+00
         40.0000          1.13614227E+01          1.38889331E+01          6.24933924E+00
         41.0000          1.13172994E+01          1.37884207E+01          6.21562278E+00
         42.0000          1.12776762E+01          1.36948132E+01          6.18463248E+00
         43.0000          1.12422430E+01          1.36076352E+01          6.15618073E+00
         44.0000          1.12107175E+01          1.35264538E+01          6.13009669E+00
         45.0000          1.11828421E+01          1.34508739E+01          6.10622444E+00
         46.0000          1.11583811E+01          1.33805345E+01          6.08442141E+00
         47.0000          1.11371186E+01          1.33151047E+01          6.06455693E+00
         48.0000          1.11188563E+01          1.32542807E+01          6.04651107E+00
         49.0000          1.11034119E+01          1.31977831E+01          6.03017350E+00
         50.0000          1.10906173E+01          1.31453547E+01          6.01544259E+00
         51.0000          1.10803174E+01          1.30967580E+01          6.00222456E+00
         52.0000          1.10723690E+01          1.30517736E+01          5.99043272E+00
         53.0000          1.10666392E+01          1.30101983E+01          5.97998681E+00
         54.0000          1.10630052E+01          1.29718438E+01          5.97081244E+00
         55.0000          1.10613526E+01          1.29365354E+01          5.96284054E+00
         56.0000          1.10615753E+01          1.29041106E+01          5.95600691E+00
         57.0000          1.10635744E+01          1.28744181E+01          5.95025177E+00
         58.0000          1.10672578E+01          1.28473170E+01          5.94551942E+00
         59.0000          1.10725395E+01          1.28226757E+01          5.94175787E+00
         60.0000          1.10793391E+01          1.28003714E+01          5.93891855E+00
         61.0000          1.10875817E+01          1.27802891E+01          5.93695603E+00
         62.0000          1.10971967E+01          1.27623213E+01          5.93582778E+00
         63.0000          1.11081182E+01          1.27463671E+01          5.93549393E+00
         64.0000          1.11202844E+01          1.27323319E+01          5.93591705E+00
         65.0000          1.11336372E+01          1.27201267E+01          5.93706202E+00
         66.0000          1.11481218E+01          1.27096681E+01          5.93889580E+00
         67.0000          1.11636870E+01          1.27008774E+01          5.94138729E+00
         68.0000          1.11802842E+01          1.26936805E+01          5.94450722E+00
         69.0000          1.11978678E+01          1.26880076E+01          5.94822797E+00
         70.0000          1.12163948E+01          1.26837929E+01          5.95252351E+00
         71.0000          1.12358245E+01          1.26809743E+01          5.95736923E+00
         72.0000          1.12561184E+01          1.26794928E+01          5.96274191E+00
         73.0000          1.12772402E+01          1.26792929E+01          5.96861954E+00
         74.0000          1.12991555E+01          1.26803221E+01          5.97498134E+00
         75.0000          1.13218317E+01          1.26825305E+01          5.98180759E+00
         76.0000          1.13452380E+01          1.26858708E+01          5.98907960E+00
         76.9990          1.13693206E+01          1.26902934E+01          5.99677176E+00
         77.0000          1.13693450E+01          1.26902983E+01          5.99677967E+00
         77.0010          1.13693695E+01          1.26903033E+01          5.99678758E+00
         78.0000          1.13941250E+01          1.26957704E+01          6.00489097E+00
         79.0000          1.14195516E+01          1.27022468E+01          6.01339754E+00
         80.0000          1.14455997E+01          1.27096891E+01          6.02228418E+00
         81.0000          1.14722454E+01          1.27180607E+01          6.03153646E+00
         82.0000          1.14994660E+01          1.27273269E+01          6.04114064E+00
         83.0000          1.15272399E+01          1.27374548E+01          6.05108364E+00
         84.0000          1.15555466E+01          1.27484126E+01          6.06135300E+00
         85.0000          1.15843664E+01          1.27601705E+01          6.07193684E+00
         86.0000          1.16136806E+01          1.27726998E+01          6.08282383E+00
         87.0000          1.16434714E+01          1.27859731E+01          6.09400315E+00
         88.0000          1.16737216E+01          1.27999643E+01          6.10546448E+00
         89.0000          1.17044151E+01          1.28146486E+01          6.11719796E+00
         90.0000          1.17355363E+01          1.28300020E+01          6.12919417E+00
         91.0000          1.17670703E+01          1.28460018E+01          6.14144409E+00
         92.0000          1.17990029E+01          1.28626262E+01          6.15393910E+00
         93.0000          1.18313204E+01          1.28798543E+01          6.16667095E+00
         94.0000          1.18640099E+01          1.28976662E+01          6.17963173E+00
         95.0000          1.18970588E+01          1.29160427E+01          6.19281387E+00
         96.0000          1.19304552E+01          1.29349654E+01          6.20621013E+00
         97.0000          1.19641876E+01          1.29544168E+01          6.21981353E+00
         98.0000          1.19982450E+01          1.29743800E+01          6.23361742E+00
         99.0000          1.20326169E+01          1.29948388E+01          6.24761538E+00
        100.0000          1.20672932E+01          1.30157777E+01          6.26180128E+00
        110.0000          1.24288302E+01          1.32485542E+01          6.41280390E+00
        120.0000          1.28121369E+01          1.35160222E+01          6.57733517E+00
        120.9990          1.28513969E+01          1.35442964E+01          6.59437610E+00
        121.0010          1.28514757E+01          1.35443533E+01          6.59441031E+00
        130.0000          1.32116910E+01          1.38096729E+01          6.75203262E+00
        133.9990          1.33751024E+01          1.39330144E+01          6.82417964E+00
        134.0010          1.33751846E+01          1.39330768E+01          6.82421601E+00
        134.9990          1.34162481E+01          1.39643210E+01          6.84239960E+00
        135.0010          1.34163305E+01          1.39643838E+01          6.84243611E+00
        140.0000          1.36235724E+01          1.41234474E+01          6.93450358E+00
        150.0000          1.40449301E+01          1.44529227E+01          7.12300293E+00
        160.0000          1.44736472E+01          1.47948005E+01          7.31623095E+00
        170.0000          1.49081239E+01          1.51465767E+01          7.51320219E+00
        180.0000          1.53471326E+01          1.55063198E+01          7.71315777E+00
        190.0000          1.57897189E+01          1.58725193E+01          7.91550540E+00
        190.9990          1.58340995E+01          1.59094091E+01          7.93583246E+00
        191.0010          1.58341883E+01          1.59094830E+01          7.93587318E+00
        200.0000          1.62351321E+01          1.62439796E+01          8.11977734E+00
        210.0000          1.66827759E+01          1.66197445E+01          8.32560028E+00
        220.0000          1.71321722E+01          1.69990414E+01          8.53267359E+00
        230.0000          1.75829348E+01          1.73812413E+01          8.74075316E+00
        240.0000          1.80347496E+01          1.77658277E+01          8.94963932E+00
        250.0000          1.84873596E+01          1.81523741E+01          9.15916774E+00
        260.0000          1.89405532E+01          1.85405256E+01          9.36920235E+00
        270.0000          1.93941557E+01          1.89299859E+01          9.57962993E+00
        280.0000          1.98480222E+01          1.93205057E+01          9.79035585E+00
        290.0000          2.03020319E+01          1.97118750E+01          1.00013007E+01
        300.0000          2.07560842E+01          2.01039156E+01          1.02123976E+01
        310.0000          2.12100948E+01          2.04964761E+01          1.04235901E+01
        320.0000          2.16639932E+01          2.08894274E+01          1.06348304E+01
        330.0000          2.21177203E+01          2.12826590E+01          1.08460780E+01
        340.0000          2.25712264E+01          2.16760764E+01          1.10572983E+01
        350.0000          2.30244700E+01          2.20695980E+01          1.12684621E+01
        360.0000          2.34774163E+01          2.24631541E+01          1.14795445E+01
        370.0000          2.39300363E+01          2.28566842E+01          1.16905241E+01
        380.0000          2.43823057E+01          2.32501363E+01          1.19013829E+01
        390.0000          2.48342045E+01          2.36434655E+01          1.21121056E+01
        400.0000          2.52857162E+01          2.40366330E+01          1.23226791E+01
        410.0000          2.57368272E+01          2.44296053E+01          1.25330923E+01
        420.0000          2.61875266E+01          2.48223536E+01          1.27433360E+01
        430.0000          2.66378057E+01          2.52148528E+01          1.29534024E+01
        440.0000          2.70876577E+01          2.56070816E+01          1.31632848E+01
        450.0000          2.75370774E+01          2.59990215E+01          1.33729779E+01
        460.0000          2.79860610E+01          2.63906567E+01          1.35824772E+01
        470.0000          2.84346060E+01          2.67819737E+01          1.37917791E+01
        480.0000          2.88827109E+01          2.71729611E+01          1.40008808E+01
        490.0000          2.93303749E+01          2.75636092E+01          1.42097799E+01
        500.0000          2.97775984E+01          2.79539098E+01          1.44184749E+01
        510.0000          3.02243821E+01          2.83438562E+01          1.46269645E+01
        520.0000          3.06707274E+01          2.87334428E+01          1.48352479E+01
        530.0000          3.11166362E+01          2.91226652E+01          1.50433248E+01
        540.0000          3.15621108E+01          2.95115197E+01          1.52511951E+01
        550.0000          3.20071538E+01          2.99000038E+01          1.54588590E+01
        560.0000          3.24517683E+01          3.02881154E+01          1.56663169E+01
        570.0000          3.28959573E+01          3.06758532E+01          1.58735696E+01
        580.0000          3.33397245E+01          3.10632164E+01          1.60806178E+01
        590.0000          3.37830733E+01          3.14502047E+01          1.62874625E+01
        600.0000          3.42260075E+01          3.18368183E+01          1.64941050E+01
        610.0000          3.46685311E+01          3.22230579E+01          1.67005464E+01
        620.0000          3.51106480E+01          3.26089242E+01          1.69067881E+01
        630.0000          3.55523623E+01          3.29944186E+01          1.71128317E+01
        640.0000          3.59936781E+01          3.33795424E+01          1.73186785E+01
        650.0000          3.64345997E+01          3.37642975E+01          1.75243303E+01
        660.0000          3.68751310E+01          3.41486858E+01          1.77297887E+01
        670.0000          3.73152765E+01          3.45327092E+01          1.79350553E+01
        680.0000          3.77550403E+01          3.49163702E+01          1.81401318E+01
        690.0000          3.81944267E+01          3.52996711E+01          1.83450201E+01
        700.0000          3.86334398E+01          3.56826144E+01          1.85497219E+01
        710.0000          3.90720839E+01          3.60652027E+01          1.87542389E+01
        720.0000          3.95103631E+01          3.64474387E+01          1.89585731E+01
        730.0000          3.99482816E+01          3.68293252E+01          1.91627262E+01
        740.0000          4.03858434E+01          3.72108650E+01          1.93666999E+01
        750.0000          4.08230527E+01          3.75920609E+01          1.95704962E+01
        760.0000          4.12599135E+01          3.79729159E+01          1.97741168E+01
        770.0000          4.16964298E+01          3.83534330E+01          1.99775636E+01
        780.0000          4.21326055E+01          3.87336150E+01          2.01808383E+01
        790.0000          4.25684446E+01          3.91134650E+01          2.03839427E+01
        800.0000          4.30039508E+01          3.94929860E+01          2.05868787E+01
        810.0000          4.34391281E+01          3.98721810E+01          2.07896478E+01
        820.0000          4.38739800E+01          4.02510530E+01          2.09922520E+01
        830.0000          4.43085104E+01          4.06296049E+01          2.11946929E+01
        840.0000          4.47427229E+01          4.10078398E+01          2.13969723E+01
        850.0000          4.51766211E+01          4.13857607E+01          2.15990918E+01
        860.0000          4.56102084E+01          4.17633705E+01          2.18010531E+01
        870.0000          4.60434885E+01          4.21406722E+01          2.20028579E+01
        880.0000          4.64764648E+01          4.25176688E+01          2.22045078E+01
        890.0000          4.69091405E+01          4.28943630E+01          2.24060045E+01
        900.0000          4.73415191E+01          4.32707579E+01          2.26073495E+01
        910.0000          4.77736039E+01          4.36468563E+01          2.28085444E+01
        920.0000          4.82053980E+01          4.40226611E+01          2.30095908E+01
        930.0000          4.86369046E+01          4.43981750E+01          2.32104902E+01
        940.0000          4.90681269E+01          4.47734008E+01          2.34112441E+01
        950.0000          4.94990680E+01          4.51483414E+01          2.36118541E+01
        960.0000          4.99297308E+01          4.55229994E+01          2.38123216E+01
        970.0000          5.03601183E+01          4.58973776E+01          2.40126480E+01
        980.0000          5.07902335E+01          4.62714786E+01          2.42128348E+01
        990.0000          5.12200792E+01          4.66453051E+01          2.44128835E+01
       1000.0000          5.16496583E+01          4.70188596E+01          2.46127953E+01
       1100.0000          5.59313748E+01          5.07400014E+01          2.66046819E+01
       1200.0000          6.01892206E+01          5.44365920E+01          2.85842776E+01
       1300.0000          6.44253636E+01          5.81107403E+01          3.05526735E+01
       1400.0000          6.86416534E+01          6.17642844E+01          3.25108095E+01
       1500.0000          7.28396785E+01          6.53988278E+01          3.44594984E+01
       1563.9990          7.55174289E+01          6.77155827E+01          3.57020120E+01
       1564.0010          7.55175125E+01          6.77156550E+01          3.57020508E+01
       1600.0000          7.70208110E+01          6.90157725E+01          3.63994462E+01
       1700.0000          8.11862448E+01          7.26163500E+01          3.83312699E+01
       1800.0000          8.53370246E+01          7.62016463E+01          4.02555111E+01
       1900.0000          8.94740702E+01          7.97726236E+01          4.21726485E+01
       2000.0000          9.35981962E+01          8.33301386E+01          4.40831067E+01
       2100.0000          9.77101273E+01          8.68749568E+01          4.59872645E+01
       2147.9990          9.96796746E+01          8.85721289E+01          4.68991044E+01
       2148.0010          9.96797566E+01          8.85721995E+01          4.68991424E+01
       2200.0000          1.01810512E+02          9.04077657E+01          4.78854614E+01
       2300.0000          1.05899932E+02          9.39291850E+01          4.97780026E+01
       2400.0000          1.09978914E+02          9.74397753E+01          5.16651643E+01
       2500.0000          1.14047933E+02          1.00940046E+02          5.35471965E+01
       2600.0000          1.18107421E+02          1.04430460E+02          5.54243270E+01
       2700.0000          1.22157774E+02          1.07911441E+02          5.72967636E+01
       2800.0000          1.26199352E+02          1.11383379E+02          5.91646969E+01
       2900.0000          1.30232487E+02          1.14846630E+02          6.10283016E+01
       3000.0000          1.34257484E+02          1.18301524E+02          6.28877389E+01
       3100.0000          1.38274624E+02          1.21748364E+02          6.47431575E+01
       3200.0000          1.42284168E+02          1.25187433E+02          6.65946952E+01
       3300.0000          1.46286357E+02          1.28618992E+02          6.84424797E+01
       3400.0000          1.50281416E+02          1.32043284E+02          7.02866298E+01
       3500.0000          1.54269553E+02          1.35460536E+02          7.21272561E+01
       3600.0000          1.58250964E+02          1.38870959E+02          7.39644621E+01
       3700.0000          1.62225832E+02          1.42274753E+02          7.57983443E+01
       3800.0000          1.66194326E+02          1.45672102E+02          7.76289933E+01
       3900.0000          1.70156608E+02          1.49063181E+02          7.94564941E+01
       4000.0000          1.74112828E+02          1.52448154E+02          8.12809266E+01
       4100.0000          1.78063127E+02          1.55827175E+02          8.31023660E+01
       4200.0000          1.82007639E+02          1.59200390E+02          8.49208831E+01
       4300.0000          1.85946491E+02          1.62567936E+02          8.67365450E+01
       4400.0000          1.89879802E+02          1.65929943E+02          8.85494148E+01
       4500.0000          1.93807683E+02          1.69286534E+02          9.03595526E+01
       4600.0000          1.97730244E+02          1.72637826E+02          9.21670150E+01
       4700.0000          2.01647583E+02          1.75983930E+02          9.39718559E+01
       4800.0000          2.05559800E+02          1.79324950E+02          9.57741266E+01
       4900.0000          2.09466983E+02          1.82660986E+02          9.75738756E+01
       5000.0000          2.13369222E+02          1.85992134E+02          9.93711493E+01
       5100.0000          2.17266599E+02          1.89318484E+02          1.01165992E+02
       5200.0000          2.21159193E+02          1.92640123E+02          1.02958445E+02
       5300.0000          2.25047080E+02          1.95957134E+02          1.04748550E+02
       5400.0000          2.28930331E+02          1.99269595E+02          1.06536343E+02
       5500.0000          2.32809018E+02          2.02577582E+02          1.08321864E+02
       5600.0000          2.36683204E+02          2.05881167E+02          1.10105145E+02
       5700.0000          2.40552955E+02          2.09180419E+02          1.11886221E+02
       5800.0000          2.44418330E+02          2.12475404E+02          1.13665125E+02
       5900.0000          2.48279387E+02          2.15766187E+02          1.15441887E+02
       6000.0000          2.52136184E+02          2.19052829E+02          1.17216537E+02
       6100.0000          2.55988773E+02          2.22335387E+02          1.18989103E+02
       6200.0000          2.59837206E+02          2.25613919E+02          1.20759614E+02
       6300.0000          2.63681534E+02          2.28888479E+02          1.22528095E+02
       6400.0000          2.67521803E+02          2.32159118E+02          1.24294571E+02
       6500.0000          2.71358060E+02          2.35425888E+02          1.26059068E+02
       6600.0000          2.75190349E+02          2.38688837E+02          1.27821609E+02
       6700.0000          2.79018714E+02          2.41948012E+02          1.29582217E+02
       6800.0000          2.82843196E+02          2.45203458E+02          1.31340913E+02
       6900.0000          2.86663834E+02          2.48455218E+02          1.33097719E+02
       7000.0000          2.90480668E+02          2.51703334E+02          1.34852656E+02
       7100.0000          2.94293734E+02          2.54947848E+02          1.36605743E+02
       7200.0000          2.98103069E+02          2.58188798E+02          1.38356999E+02
       7300.0000          3.01908708E+02          2.61426223E+02          1.40106443E+02
       7400.0000          3.05710684E+02          2.64660160E+02          1.41854093E+02
       7500.0000          3.09509030E+02          2.67890644E+02          1.43599966E+02
       7600.0000          3.13303779E+02          2.71117710E+02          1.45344079E+02
       7700.0000          3.17094960E+02          2.74341391E+02          1.47086448E+02
       7800.0000          3.20882603E+02          2.77561719E+02          1.48827090E+02
       7900.0000          3.24666739E+02          2.80778728E+02          1.50566019E+02
       8000.0000          3.28447394E+02          2.83992446E+02          1.52303251E+02
       8100.0000          3.32224596E+02          2.87202903E+02          1.54038800E+02
       8200.0000          3.35998371E+02          2.90410129E+02          1.55772679E+02
       8300.0000          3.39768746E+02          2.93614152E+02          1.57504904E+02
       8400.0000          3.43535746E+02          2.96814999E+02          1.59235486E+02
       8500.0000          3.47299394E+02          3.00012695E+02          1.60964439E+02
       8600.0000          3.51059715E+02          3.03207268E+02          1.62691775E+02
       8700.0000          3.54816731E+02          3.06398742E+02          1.64417508E+02
       8800.0000          3.58570466E+02          3.09587141E+02          1.66141647E+02
       8900.0000          3.62320941E+02          3.12772490E+02          1.67864206E+02
       9000.0000          3.66068177E+02          3.15954811E+02          1.69585195E+02
       9100.0000          3.69812195E+02          3.19134127E+02          1.71304626E+02
       9200.0000          3.73553016E+02          3.22310461E+02          1.73022509E+02
       9300.0000          3.77290659E+02          3.25483832E+02          1.74738855E+02
       9400.0000          3.81025144E+02          3.28654263E+02          1.76453673E+02
       9500.0000          3.84756490E+02          3.31821774E+02          1.78166974E+02
       9600.0000          3.88484714E+02          3.34986385E+02          1.79878768E+02
       9700.0000          3.92209836E+02          3.38148115E+02          1.81589064E+02
       9800.0000          3.95931871E+02          3.41306983E+02          1.83297871E+02
       9900.0000          3.99650839E+02          3.44463007E+02          1.85005198E+02
      10000.0000          4.03366755E+02          3.47616206E+02          1.86711055E+02
      11000.0000          4.40361516E+02          3.78996521E+02          2.03690542E+02
      12000.0000          4.77067142E+02          4.10111563E+02          2.20531388E+02
      13000.0000          5.13495653E+02          4.40974210E+02          2.37239905E+02
      14000.0000          5.49657100E+02          4.71595170E+02          2.53821354E+02
      15000.0000          5.85560043E+02          5.01983507E+02          2.70280196E+02
      16000.0000          6.21211886E+02          5.32147011E+02          2.86620278E+02
      17000.0000          6.56619119E+02          5.62092465E+02          3.02844959E+02
      18000.0000          6.91787503E+02          5.91825852E+02          3.18957205E+02
      19000.0000          7.26722203E+02          6.21352496E+02          3.34959669E+02
      20000.0000          7.61427895E+02          6.50677186E+02          3.50854739E+02
      21000.0000          7.95908845E+02          6.79804261E+02          3.66644588E+02
      22000.0000          8.30168979E+02          7.08737683E+02          3.82331205E+02
      23000.0000          8.64211927E+02          7.37481097E+02          3.97916424E+02
      24000.0000          8.98041073E+02          7.66037873E+02          4.13401945E+02
      25000.0000          9.31659583E+02          7.94411145E+02          4.28789356E+02
      26000.0000          9.65070435E+02          8.22603843E+02          4.44080143E+02
      27000.0000          9.98276442E+02          8.50618718E+02          4.59275705E+02
      28000.0000          1.03128027E+03          8.78458364E+02          4.74377365E+02
      29000.0000          1.06408447E+03          9.06125233E+02          4.89386377E+02
      30000.0000          1.09669146E+03          9.33621658E+02          5.04303936E+02
      31000.0000          1.12910355E+03          9.60949856E+02          5.19131182E+02
      32000.0000          1.16132299E+03          9.88111950E+02          5.33869206E+02
      33000.0000          1.19335192E+03          1.01510997E+03          5.48519055E+02
      34000.0000          1.22519240E+03          1.04194586E+03          5.63081737E+02
      35000.0000          1.25684644E+03          1.06862150E+03          5.77558222E+02
      36000.0000          1.28831597E+03          1.09513871E+03          5.91949449E+02
      37000.0000          1.31960287E+03          1.12149921E+03          6.06256325E+02
      38000.0000          1.35070897E+03          1.14770471E+03          6.20479729E+02
      39000.0000          1.38163604E+03          1.17375683E+03          6.34620515E+02
      40000.0000          1.41238580E+03          1.19965718E+03          6.48679511E+02
      41000.0000          1.44295994E+03          1.22540728E+03          6.62657524E+02
      42000.0000          1.47336011E+03          1.25100865E+03          6.76555342E+02
      43000.0000          1.50358790E+03          1.27646274E+03          6.90373730E+02
      44000.0000          1.53364490E+03          1.30177098E+03          7.04113436E+02
      45000.0000          1.56353263E+03          1.32693475E+03          7.17775193E+02
      46000.0000          1.59325260E+03          1.35195543E+03          7.31359715E+02
      47000.0000          1.62280628E+03          1.37683434E+03          7.44867702E+02
      48000.0000          1.65219513E+03          1.40157277E+03          7.58299839E+02
      49000.0000          1.68142056E+03          1.42617200E+03          7.71656799E+02
      50000.0000          1.71048397E+03          1.45063328E+03          7.84939241E+02
