#Energy      Se  Total
        470.0000          2.64911549E+01          2.64911549E+01
        480.0000          2.65857043E+01          2.65857043E+01
        490.0000          2.66840569E+01          2.66840569E+01
        500.0000          2.67859489E+01          2.67859489E+01
        510.0000          2.68911380E+01          2.68911380E+01
        520.0000          2.69994012E+01          2.69994012E+01
        530.0000          2.71105334E+01          2.71105334E+01
        540.0000          2.72243452E+01          2.72243452E+01
        550.0000          2.73406618E+01          2.73406618E+01
        560.0000          2.74593213E+01          2.74593213E+01
        570.0000          2.75801739E+01          2.75801739E+01
        580.0000          2.77030809E+01          2.77030809E+01
        590.0000          2.78279133E+01          2.78279133E+01
        600.0000          2.79545512E+01          2.79545512E+01
        610.0000          2.80828833E+01          2.80828833E+01
        620.0000          2.82128057E+01          2.82128057E+01
        630.0000          2.83442217E+01          2.83442217E+01
        640.0000          2.84770410E+01          2.84770410E+01
        650.0000          2.86111793E+01          2.86111793E+01
        660.0000          2.87465577E+01          2.87465577E+01
        670.0000          2.88831025E+01          2.88831025E+01
        680.0000          2.90207447E+01          2.90207447E+01
        690.0000          2.91594194E+01          2.91594194E+01
        700.0000          2.92990659E+01          2.92990659E+01
        710.0000          2.94396274E+01          2.94396274E+01
        720.0000          2.95810502E+01          2.95810502E+01
        730.0000          2.97232840E+01          2.97232840E+01
        740.0000          2.98662815E+01          2.98662815E+01
        750.0000          3.00099981E+01          3.00099981E+01
        760.0000          3.01543918E+01          3.01543918E+01
        770.0000          3.02994231E+01          3.02994231E+01
        780.0000          3.04450548E+01          3.04450548E+01
        790.0000          3.05912515E+01          3.05912515E+01
        800.0000          3.07379800E+01          3.07379800E+01
        810.0000          3.08852090E+01          3.08852090E+01
        820.0000          3.10329088E+01          3.10329088E+01
        830.0000          3.11810514E+01          3.11810514E+01
        840.0000          3.13296100E+01          3.13296100E+01
        850.0000          3.14785598E+01          3.14785598E+01
        860.0000          3.16278768E+01          3.16278768E+01
        870.0000          3.17775384E+01          3.17775384E+01
        880.0000          3.19275234E+01          3.19275234E+01
        890.0000          3.20778115E+01          3.20778115E+01
        900.0000          3.22283833E+01          3.22283833E+01
        910.0000          3.23792208E+01          3.23792208E+01
        920.0000          3.25303065E+01          3.25303065E+01
        930.0000          3.26816240E+01          3.26816240E+01
        940.0000          3.28331577E+01          3.28331577E+01
        950.0000          3.29848927E+01          3.29848927E+01
        960.0000          3.31368148E+01          3.31368148E+01
        970.0000          3.32889108E+01          3.32889108E+01
        980.0000          3.34411677E+01          3.34411677E+01
        990.0000          3.35935734E+01          3.35935734E+01
       1000.0000          3.37461163E+01          3.37461163E+01
       1100.0000          3.52769084E+01          3.52769084E+01
       1200.0000          3.68120396E+01          3.68120396E+01
       1300.0000          3.83460605E+01          3.83460605E+01
       1400.0000          3.98755235E+01          3.98755235E+01
       1438.9990          4.04702613E+01          4.04702613E+01
       1439.0010          4.04702918E+01          4.04702918E+01
       1478.9990          4.10790942E+01          4.10790942E+01
       1479.0010          4.10791246E+01          4.10791246E+01
       1500.0000          4.13982444E+01          4.13982444E+01
       1600.0000          4.29128557E+01          4.29128557E+01
       1655.9990          4.37571551E+01          4.37571551E+01
       1656.0010          4.37571852E+01          4.37571852E+01
       1700.0000          4.44185278E+01          4.44185278E+01
       1800.0000          4.59147909E+01          4.59147909E+01
       1900.0000          4.74014174E+01          4.74014174E+01
       2000.0000          4.88783442E+01          4.88783442E+01
       2100.0000          5.03456196E+01          5.03456196E+01
       2200.0000          5.18033673E+01          5.18033673E+01
       2300.0000          5.32517607E+01          5.32517607E+01
       2400.0000          5.46910054E+01          5.46910054E+01
       2500.0000          5.61213270E+01          5.61213270E+01
       2600.0000          5.75429619E+01          5.75429619E+01
       2700.0000          5.89561515E+01          5.89561515E+01
       2800.0000          6.03611378E+01          6.03611378E+01
       2900.0000          6.17581600E+01          6.17581600E+01
       3000.0000          6.31474530E+01          6.31474530E+01
       3100.0000          6.45292452E+01          6.45292452E+01
       3200.0000          6.59037585E+01          6.59037585E+01
       3300.0000          6.72712070E+01          6.72712070E+01
       3400.0000          6.86317971E+01          6.86317971E+01
       3500.0000          6.99857272E+01          6.99857272E+01
       3600.0000          7.13331880E+01          7.13331880E+01
       3700.0000          7.26743623E+01          7.26743623E+01
       3800.0000          7.40094254E+01          7.40094254E+01
       3900.0000          7.53385452E+01          7.53385452E+01
       4000.0000          7.66618825E+01          7.66618825E+01
       4100.0000          7.79795915E+01          7.79795915E+01
       4200.0000          7.92918198E+01          7.92918198E+01
       4300.0000          8.05987087E+01          8.05987087E+01
       4400.0000          8.19003937E+01          8.19003937E+01
       4500.0000          8.31970045E+01          8.31970045E+01
       4600.0000          8.44886656E+01          8.44886656E+01
       4700.0000          8.57754964E+01          8.57754964E+01
       4800.0000          8.70576113E+01          8.70576113E+01
       4900.0000          8.83351201E+01          8.83351201E+01
       5000.0000          8.96081283E+01          8.96081283E+01
       5100.0000          9.08767372E+01          9.08767372E+01
       5200.0000          9.21410441E+01          9.21410441E+01
       5300.0000          9.34011426E+01          9.34011426E+01
       5400.0000          9.46571227E+01          9.46571227E+01
       5500.0000          9.59090710E+01          9.59090710E+01
       5600.0000          9.71570707E+01          9.71570707E+01
       5700.0000          9.84012023E+01          9.84012023E+01
       5800.0000          9.96415430E+01          9.96415430E+01
       5900.0000          1.00878167E+02          1.00878167E+02
       6000.0000          1.02111147E+02          1.02111147E+02
       6100.0000          1.03340552E+02          1.03340552E+02
       6200.0000          1.04566449E+02          1.04566449E+02
       6300.0000          1.05788902E+02          1.05788902E+02
       6400.0000          1.07007974E+02          1.07007974E+02
       6500.0000          1.08223726E+02          1.08223726E+02
       6600.0000          1.09436215E+02          1.09436215E+02
       6700.0000          1.10645498E+02          1.10645498E+02
       6800.0000          1.11851630E+02          1.11851630E+02
       6900.0000          1.13054664E+02          1.13054664E+02
       7000.0000          1.14254650E+02          1.14254650E+02
       7100.0000          1.15451638E+02          1.15451638E+02
       7200.0000          1.16645677E+02          1.16645677E+02
       7300.0000          1.17836813E+02          1.17836813E+02
       7400.0000          1.19025091E+02          1.19025091E+02
       7500.0000          1.20210555E+02          1.20210555E+02
       7600.0000          1.21393247E+02          1.21393247E+02
       7700.0000          1.22573209E+02          1.22573209E+02
       7800.0000          1.23750481E+02          1.23750481E+02
       7900.0000          1.24925101E+02          1.24925101E+02
       8000.0000          1.26097108E+02          1.26097108E+02
       8100.0000          1.27266539E+02          1.27266539E+02
       8200.0000          1.28433428E+02          1.28433428E+02
       8300.0000          1.29597812E+02          1.29597812E+02
       8400.0000          1.30759723E+02          1.30759723E+02
       8500.0000          1.31919194E+02          1.31919194E+02
       8600.0000          1.33076259E+02          1.33076259E+02
       8700.0000          1.34230947E+02          1.34230947E+02
       8800.0000          1.35383290E+02          1.35383290E+02
       8900.0000          1.36533316E+02          1.36533316E+02
       9000.0000          1.37681056E+02          1.37681056E+02
       9100.0000          1.38826536E+02          1.38826536E+02
       9200.0000          1.39969785E+02          1.39969785E+02
       9300.0000          1.41110829E+02          1.41110829E+02
       9400.0000          1.42249694E+02          1.42249694E+02
       9500.0000          1.43386406E+02          1.43386406E+02
       9600.0000          1.44520989E+02          1.44520989E+02
       9700.0000          1.45653468E+02          1.45653468E+02
       9800.0000          1.46783867E+02          1.46783867E+02
       9900.0000          1.47912209E+02          1.47912209E+02
      10000.0000          1.49038515E+02          1.49038515E+02
      11000.0000          1.60194300E+02          1.60194300E+02
      12000.0000          1.71168104E+02          1.71168104E+02
      12661.9990          1.78340548E+02          1.78340548E+02
      12662.0010          1.78340569E+02          1.78340569E+02
      13000.0000          1.81975874E+02          1.81975874E+02
      14000.0000          1.92630755E+02          1.92630755E+02
      15000.0000          2.03143739E+02          2.03143739E+02
      16000.0000          2.13524142E+02          2.13524142E+02
      17000.0000          2.23779948E+02          2.23779948E+02
      18000.0000          2.33918072E+02          2.33918072E+02
      19000.0000          2.43944554E+02          2.43944554E+02
      20000.0000          2.53864715E+02          2.53864715E+02
      21000.0000          2.63683278E+02          2.63683278E+02
      22000.0000          2.73404461E+02          2.73404461E+02
      23000.0000          2.83032053E+02          2.83032053E+02
      24000.0000          2.92569483E+02          2.92569483E+02
      25000.0000          3.02019861E+02          3.02019861E+02
      26000.0000          3.11386030E+02          3.11386030E+02
      27000.0000          3.20670591E+02          3.20670591E+02
      28000.0000          3.29875943E+02          3.29875943E+02
      29000.0000          3.39004299E+02          3.39004299E+02
      30000.0000          3.48057712E+02          3.48057712E+02
      31000.0000          3.57038092E+02          3.57038092E+02
      32000.0000          3.65947220E+02          3.65947220E+02
      33000.0000          3.74786764E+02          3.74786764E+02
      34000.0000          3.83558287E+02          3.83558287E+02
      35000.0000          3.92263260E+02          3.92263260E+02
      36000.0000          4.00903070E+02          4.00903070E+02
      37000.0000          4.09479029E+02          4.09479029E+02
      38000.0000          4.17992377E+02          4.17992377E+02
      39000.0000          4.26444291E+02          4.26444291E+02
      40000.0000          4.34835893E+02          4.34835893E+02
      41000.0000          4.43168247E+02          4.43168247E+02
      42000.0000          4.51442371E+02          4.51442371E+02
      43000.0000          4.59659238E+02          4.59659238E+02
      44000.0000          4.67819776E+02          4.67819776E+02
      45000.0000          4.75924879E+02          4.75924879E+02
      46000.0000          4.83975400E+02          4.83975400E+02
      47000.0000          4.91972162E+02          4.91972162E+02
      48000.0000          4.99915956E+02          4.99915956E+02
      49000.0000          5.07807544E+02          5.07807544E+02
      50000.0000          5.15647660E+02          5.15647660E+02
