#Energy      Al   O  Total
         98.0000          6.25025125E+00          4.19824970E+00          2.51137609E+00
         99.0000          6.26815662E+00          4.22406340E+00          2.52349750E+00
        100.0000          6.28622052E+00          4.24989735E+00          2.53563905E+00
        110.0000          6.47455619E+00          4.50918509E+00          2.65801711E+00
        120.0000          6.67423234E+00          4.76977270E+00          2.78176836E+00
        120.9990          6.69468404E+00          4.79585804E+00          2.79418970E+00
        121.0010          6.69472507E+00          4.79591027E+00          2.79421457E+00
        130.0000          6.88237219E+00          5.03120869E+00          2.90648556E+00
        140.0000          7.09693376E+00          5.29318173E+00          3.03188135E+00
        150.0000          7.31643184E+00          5.55547281E+00          3.15774854E+00
        160.0000          7.53976364E+00          5.81792543E+00          3.28393500E+00
        170.0000          7.76609578E+00          6.08042647E+00          3.41032741E+00
        180.0000          7.99478877E+00          6.34289340E+00          3.53684036E+00
        190.0000          8.22534545E+00          6.60526577E+00          3.66340887E+00
        200.0000          8.45737477E+00          6.86749916E+00          3.78998316E+00
        210.0000          8.69056605E+00          7.12956100E+00          3.91652485E+00
        220.0000          8.92467027E+00          7.39142761E+00          4.04300432E+00
        230.0000          9.15948625E+00          7.65308193E+00          4.16939863E+00
        240.0000          9.39485034E+00          7.91451197E+00          4.29569005E+00
        250.0000          9.63062864E+00          8.17570959E+00          4.42186495E+00
        260.0000          9.86671100E+00          8.43666960E+00          4.54791290E+00
        270.0000          1.01030064E+01          8.69738907E+00          4.67382601E+00
        280.0000          1.03394392E+01          8.95786683E+00          4.79959842E+00
        290.0000          1.05759467E+01          9.21810304E+00          4.92522590E+00
        300.0000          1.08124764E+01          9.47809891E+00          5.05070552E+00
        310.0000          1.10489843E+01          9.73785641E+00          5.17603537E+00
        320.0000          1.12854339E+01          9.99737815E+00          5.30121442E+00
        330.0000          1.15217941E+01          1.02566672E+01          5.42624227E+00
        340.0000          1.17580392E+01          1.05157268E+01          5.55111912E+00
        350.0000          1.19941476E+01          1.07745607E+01          5.67584555E+00
        360.0000          1.22301012E+01          1.10331727E+01          5.80042255E+00
        370.0000          1.24658847E+01          1.12915666E+01          5.92485134E+00
        380.0000          1.27014856E+01          1.15497464E+01          6.04913340E+00
        390.0000          1.29368935E+01          1.18077160E+01          6.17327037E+00
        400.0000          1.31720997E+01          1.20654796E+01          6.29726401E+00
        410.0000          1.34070971E+01          1.23230410E+01          6.42111622E+00
        420.0000          1.36418802E+01          1.25804041E+01          6.54482895E+00
        430.0000          1.38764443E+01          1.28375728E+01          6.66840420E+00
        440.0000          1.41107859E+01          1.30945510E+01          6.79184405E+00
        450.0000          1.43449023E+01          1.33513423E+01          6.91515055E+00
        460.0000          1.45787915E+01          1.36079505E+01          7.03832579E+00
        470.0000          1.48124523E+01          1.38643790E+01          7.16137185E+00
        480.0000          1.50458837E+01          1.41206314E+01          7.28429082E+00
        490.0000          1.52790856E+01          1.43767111E+01          7.40708474E+00
        500.0000          1.55120579E+01          1.46326214E+01          7.52975568E+00
        510.0000          1.57448011E+01          1.48883654E+01          7.65230563E+00
        520.0000          1.59773160E+01          1.51439465E+01          7.77473660E+00
        530.0000          1.62096035E+01          1.53993675E+01          7.89705054E+00
        537.9990          1.63952473E+01          1.56035657E+01          7.99480650E+00
        538.0010          1.63952937E+01          1.56036167E+01          7.99483094E+00
        540.0000          1.64416648E+01          1.56546316E+01          8.01924937E+00
        550.0000          1.66735012E+01          1.59097415E+01          8.14133500E+00
        560.0000          1.69051144E+01          1.61647001E+01          8.26330927E+00
        570.0000          1.71365060E+01          1.64195101E+01          8.38517400E+00
        580.0000          1.73676778E+01          1.66741742E+01          8.50693098E+00
        590.0000          1.75986317E+01          1.69286949E+01          8.62858196E+00
        600.0000          1.78293697E+01          1.71830748E+01          8.75012863E+00
        610.0000          1.80598937E+01          1.74373163E+01          8.87157268E+00
        620.0000          1.82902059E+01          1.76914217E+01          8.99291573E+00
        630.0000          1.85203083E+01          1.79453933E+01          9.11415939E+00
        640.0000          1.87502032E+01          1.81992334E+01          9.23530521E+00
        650.0000          1.89798926E+01          1.84529442E+01          9.35635472E+00
        660.0000          1.92093788E+01          1.87065277E+01          9.47730940E+00
        670.0000          1.94386640E+01          1.89599861E+01          9.59817072E+00
        680.0000          1.96677504E+01          1.92133212E+01          9.71894010E+00
        690.0000          1.98966401E+01          1.94665351E+01          9.83961892E+00
        700.0000          2.01253354E+01          1.97196297E+01          9.96020853E+00
        710.0000          2.03538385E+01          1.99726067E+01          1.00807103E+01
        720.0000          2.05821514E+01          2.02254680E+01          1.02011254E+01
        730.0000          2.08102765E+01          2.04782152E+01          1.03214553E+01
        740.0000          2.10382158E+01          2.07308502E+01          1.04417010E+01
        750.0000          2.12659714E+01          2.09833745E+01          1.05618639E+01
        760.0000          2.14935455E+01          2.12357897E+01          1.06819451E+01
        770.0000          2.17209402E+01          2.14880975E+01          1.08019457E+01
        780.0000          2.19481574E+01          2.17402993E+01          1.09218669E+01
        790.0000          2.21751992E+01          2.19923966E+01          1.10417098E+01
        800.0000          2.24020677E+01          2.22443909E+01          1.11614754E+01
        810.0000          2.26287648E+01          2.24962835E+01          1.12811648E+01
        820.0000          2.28552924E+01          2.27480760E+01          1.14007791E+01
        830.0000          2.30816525E+01          2.29997695E+01          1.15203191E+01
        840.0000          2.33078470E+01          2.32513654E+01          1.16397860E+01
        850.0000          2.35338778E+01          2.35028650E+01          1.17591806E+01
        860.0000          2.37597467E+01          2.37542695E+01          1.18785039E+01
        870.0000          2.39854555E+01          2.40055801E+01          1.19977568E+01
        880.0000          2.42110060E+01          2.42567981E+01          1.21169402E+01
        890.0000          2.44363999E+01          2.45079245E+01          1.22360550E+01
        900.0000          2.46616391E+01          2.47589606E+01          1.23551020E+01
        910.0000          2.48867252E+01          2.50099074E+01          1.24740821E+01
        920.0000          2.51116599E+01          2.52607660E+01          1.25929961E+01
        930.0000          2.53364449E+01          2.55115374E+01          1.27118449E+01
        940.0000          2.55610817E+01          2.57622228E+01          1.28306290E+01
        950.0000          2.57855720E+01          2.60128230E+01          1.29493495E+01
        960.0000          2.60099174E+01          2.62633391E+01          1.30680070E+01
        970.0000          2.62341194E+01          2.65137720E+01          1.31866022E+01
        980.0000          2.64581795E+01          2.67641227E+01          1.33051359E+01
        990.0000          2.66820992E+01          2.70143921E+01          1.34236087E+01
       1000.0000          2.69058800E+01          2.72645812E+01          1.35420215E+01
       1100.0000          2.91363565E+01          2.97622345E+01          1.47229851E+01
       1200.0000          3.13543981E+01          3.22527107E+01          1.58986055E+01
       1300.0000          3.35611340E+01          3.47366561E+01          1.70693893E+01
       1400.0000          3.57575278E+01          3.72146065E+01          1.82357600E+01
       1500.0000          3.79444069E+01          3.96870119E+01          1.93980756E+01
       1563.9990          3.93393286E+01          4.12665956E+01          2.01399609E+01
       1564.0010          3.93393722E+01          4.12666449E+01          2.01399841E+01
       1600.0000          4.01224862E+01          4.21542545E+01          2.05566419E+01
       1700.0000          4.22923875E+01          4.46166619E+01          2.17117224E+01
       1800.0000          4.44546551E+01          4.70745175E+01          2.28635459E+01
       1900.0000          4.66097682E+01          4.95280685E+01          2.40123126E+01
       2000.0000          4.87581510E+01          5.19775318E+01          2.51581989E+01
       2100.0000          5.09001811E+01          5.44230993E+01          2.63013609E+01
       2200.0000          5.30361963E+01          5.68649415E+01          2.74419379E+01
       2300.0000          5.51664999E+01          5.93032106E+01          2.85800545E+01
       2400.0000          5.72913656E+01          6.17380436E+01          2.97158228E+01
       2500.0000          5.94110414E+01          6.41695638E+01          3.08493441E+01
       2600.0000          6.15257526E+01          6.65978832E+01          3.19807103E+01
       2700.0000          6.36357047E+01          6.90231033E+01          3.31100052E+01
       2800.0000          6.57410859E+01          7.14453170E+01          3.42373050E+01
       2900.0000          6.78420687E+01          7.38646094E+01          3.53626800E+01
       3000.0000          6.99388121E+01          7.62810584E+01          3.64861943E+01
       3100.0000          7.20314628E+01          7.86947360E+01          3.76079075E+01
       3200.0000          7.41201563E+01          8.11057086E+01          3.87278744E+01
       3300.0000          7.62050185E+01          8.35140377E+01          3.98461457E+01
       3400.0000          7.82861663E+01          8.59197805E+01          4.09627687E+01
       3500.0000          8.03637086E+01          8.83229901E+01          4.20777874E+01
       3600.0000          8.24377470E+01          9.07237161E+01          4.31912426E+01
       3700.0000          8.45083765E+01          9.31220047E+01          4.43031726E+01
       3800.0000          8.65756861E+01          9.55178994E+01          4.54136133E+01
       3900.0000          8.86397593E+01          9.79114407E+01          4.65225983E+01
       4000.0000          9.07006746E+01          1.00302667E+02          4.76301591E+01
       4100.0000          9.27585058E+01          1.02691614E+02          4.87363255E+01
       4200.0000          9.48133224E+01          1.05078316E+02          4.98411255E+01
       4300.0000          9.68651903E+01          1.07462804E+02          5.09445854E+01
       4400.0000          9.89141715E+01          1.09845109E+02          5.20467303E+01
       4500.0000          1.00960325E+02          1.12225260E+02          5.31475837E+01
       4600.0000          1.03003706E+02          1.14603284E+02          5.42471680E+01
       4700.0000          1.05044368E+02          1.16979206E+02          5.53455045E+01
       4800.0000          1.07082360E+02          1.19353051E+02          5.64426134E+01
       4900.0000          1.09117731E+02          1.21724842E+02          5.75385137E+01
       5000.0000          1.11150526E+02          1.24094601E+02          5.86332238E+01
       5100.0000          1.13180788E+02          1.26462350E+02          5.97267611E+01
       5200.0000          1.15208559E+02          1.28828109E+02          6.08191421E+01
       5300.0000          1.17233878E+02          1.31191897E+02          6.19103827E+01
       5400.0000          1.19256782E+02          1.33553732E+02          6.30004980E+01
       5500.0000          1.21277308E+02          1.35913632E+02          6.40895025E+01
       5600.0000          1.23295489E+02          1.38271614E+02          6.51774100E+01
       5700.0000          1.25311360E+02          1.40627695E+02          6.62642338E+01
       5800.0000          1.27324952E+02          1.42981889E+02          6.73499867E+01
       5900.0000          1.29336294E+02          1.45334212E+02          6.84346808E+01
       6000.0000          1.31345417E+02          1.47684679E+02          6.95183280E+01
       6100.0000          1.33352348E+02          1.50033302E+02          7.06009394E+01
       6200.0000          1.35357114E+02          1.52380095E+02          7.16825259E+01
       6300.0000          1.37359741E+02          1.54725072E+02          7.27630979E+01
       6400.0000          1.39360255E+02          1.57068244E+02          7.38426656E+01
       6500.0000          1.41358678E+02          1.59409624E+02          7.49212385E+01
       6600.0000          1.43355034E+02          1.61749223E+02          7.59988260E+01
       6700.0000          1.45349346E+02          1.64087051E+02          7.70754371E+01
       6800.0000          1.47341635E+02          1.66423121E+02          7.81510806E+01
       6900.0000          1.49331922E+02          1.68757442E+02          7.92257648E+01
       7000.0000          1.51320227E+02          1.71090024E+02          8.02994978E+01
       7100.0000          1.53306569E+02          1.73420878E+02          8.13722875E+01
       7200.0000          1.55290968E+02          1.75750012E+02          8.24441416E+01
       7300.0000          1.57273441E+02          1.78077435E+02          8.35150672E+01
       7400.0000          1.59254006E+02          1.80403158E+02          8.45850717E+01
       7500.0000          1.61232680E+02          1.82727187E+02          8.56541618E+01
       7600.0000          1.63209480E+02          1.85049533E+02          8.67223443E+01
       7700.0000          1.65184422E+02          1.87370202E+02          8.77896257E+01
       7800.0000          1.67157521E+02          1.89689203E+02          8.88560123E+01
       7900.0000          1.69128792E+02          1.92006543E+02          8.99215101E+01
       8000.0000          1.71098250E+02          1.94322230E+02          9.09861252E+01
       8100.0000          1.73065910E+02          1.96636272E+02          9.20498633E+01
       8200.0000          1.75031785E+02          1.98948674E+02          9.31127300E+01
       8300.0000          1.76995888E+02          2.01259445E+02          9.41747308E+01
       8400.0000          1.78958233E+02          2.03568591E+02          9.52358710E+01
       8500.0000          1.80918831E+02          2.05876118E+02          9.62961558E+01
       8600.0000          1.82877697E+02          2.08182033E+02          9.73555901E+01
       8700.0000          1.84834841E+02          2.10486342E+02          9.84141789E+01
       8800.0000          1.86790276E+02          2.12789052E+02          9.94719270E+01
       8900.0000          1.88744013E+02          2.15090168E+02          1.00528839E+02
       9000.0000          1.90696062E+02          2.17389696E+02          1.01584920E+02
       9100.0000          1.92646435E+02          2.19687641E+02          1.02640173E+02
       9200.0000          1.94595143E+02          2.21984010E+02          1.03694604E+02
       9300.0000          1.96542195E+02          2.24278807E+02          1.04748216E+02
       9400.0000          1.98487602E+02          2.26572039E+02          1.05801013E+02
       9500.0000          2.00431373E+02          2.28863709E+02          1.06853000E+02
       9600.0000          2.02373519E+02          2.31153824E+02          1.07904181E+02
       9700.0000          2.04314048E+02          2.33442389E+02          1.08954559E+02
       9800.0000          2.06252970E+02          2.35729407E+02          1.10004138E+02
       9900.0000          2.08190294E+02          2.38014885E+02          1.11052922E+02
      10000.0000          2.10126027E+02          2.40298826E+02          1.12100914E+02
      11000.0000          2.29397725E+02          2.63054711E+02          1.22538032E+02
      12000.0000          2.48518804E+02          2.85661525E+02          1.32899429E+02
      13000.0000          2.67495524E+02          3.08122790E+02          1.43187708E+02
      14000.0000          2.86333123E+02          3.30441541E+02          1.53405067E+02
      15000.0000          3.05036060E+02          3.52620444E+02          1.63553390E+02
      16000.0000          3.23608191E+02          3.74661879E+02          1.73634326E+02
      17000.0000          3.42052897E+02          3.96567997E+02          1.83649330E+02
      18000.0000          3.60373179E+02          4.18340769E+02          1.93599708E+02
      19000.0000          3.78571728E+02          4.39982013E+02          2.03486641E+02
      20000.0000          3.96650980E+02          4.61493425E+02          2.13311208E+02
      21000.0000          4.14613157E+02          4.82876596E+02          2.23074402E+02
      22000.0000          4.32460304E+02          5.04133029E+02          2.32777146E+02
      23000.0000          4.50194313E+02          5.25264151E+02          2.42420300E+02
      24000.0000          4.67816945E+02          5.46271323E+02          2.52004672E+02
      25000.0000          4.85329851E+02          5.67155849E+02          2.61531025E+02
      26000.0000          5.02734581E+02          5.87918982E+02          2.71000080E+02
      27000.0000          5.20032602E+02          6.08561932E+02          2.80412527E+02
      28000.0000          5.37225303E+02          6.29085867E+02          2.89769021E+02
      29000.0000          5.54314008E+02          6.49491919E+02          2.99070191E+02
      30000.0000          5.71299979E+02          6.69781189E+02          3.08316643E+02
      31000.0000          5.88184428E+02          6.89954747E+02          3.17508958E+02
      32000.0000          6.04968514E+02          7.10013638E+02          3.26647700E+02
      33000.0000          6.21653357E+02          7.29958878E+02          3.35733412E+02
      34000.0000          6.38240034E+02          7.49791465E+02          3.44766621E+02
      35000.0000          6.54729586E+02          7.69512373E+02          3.53747841E+02
      36000.0000          6.71123024E+02          7.89122556E+02          3.62677568E+02
      37000.0000          6.87421325E+02          8.08622949E+02          3.71556289E+02
      38000.0000          7.03625439E+02          8.28014472E+02          3.80384477E+02
      39000.0000          7.19736289E+02          8.47298026E+02          3.89162593E+02
      40000.0000          7.35754777E+02          8.66474498E+02          3.97891089E+02
      41000.0000          7.51681779E+02          8.85544759E+02          4.06570407E+02
      42000.0000          7.67518152E+02          9.04509668E+02          4.15200979E+02
      43000.0000          7.83264731E+02          9.23370068E+02          4.23783230E+02
      44000.0000          7.98922335E+02          9.42126792E+02          4.32317575E+02
      45000.0000          8.14491763E+02          9.60780660E+02          4.40804422E+02
      46000.0000          8.29973801E+02          9.79332479E+02          4.49244171E+02
      47000.0000          8.45369217E+02          9.97783047E+02          4.57637217E+02
      48000.0000          8.60678763E+02          1.01613315E+03          4.65983946E+02
      49000.0000          8.75903180E+02          1.03438356E+03          4.74284740E+02
      50000.0000          8.91043194E+02          1.05253505E+03          4.82539972E+02
