#Energy      Na   Cl  Total
       4200.0000          2.84989231E+02          1.89278954E+02          1.13738314E+02
       4300.0000          2.91286641E+02          1.93186409E+02          1.16152220E+02
       4400.0000          2.97576557E+02          1.97086447E+02          1.18562144E+02
       4500.0000          3.03859114E+02          2.00979241E+02          1.20968174E+02
       4600.0000          3.10134439E+02          2.04864959E+02          1.23370395E+02
       4700.0000          3.16402653E+02          2.08743758E+02          1.25768886E+02
       4800.0000          3.22663871E+02          2.12615787E+02          1.28163721E+02
       4900.0000          3.28918202E+02          2.16481190E+02          1.30554974E+02
       5000.0000          3.35165749E+02          2.20340101E+02          1.32942713E+02
       5100.0000          3.41406612E+02          2.24192649E+02          1.35327003E+02
       5200.0000          3.47640886E+02          2.28038959E+02          1.37707906E+02
       5300.0000          3.53868660E+02          2.31879148E+02          1.40085481E+02
       5400.0000          3.60090020E+02          2.35713329E+02          1.42459786E+02
       5500.0000          3.66305050E+02          2.39541609E+02          1.44830874E+02
       5600.0000          3.72513827E+02          2.43364091E+02          1.47198797E+02
       5700.0000          3.78716428E+02          2.47180874E+02          1.49563606E+02
       5800.0000          3.84912925E+02          2.50992053E+02          1.51925348E+02
       5900.0000          3.91103387E+02          2.54797718E+02          1.54284069E+02
       6000.0000          3.97287882E+02          2.58597957E+02          1.56639812E+02
       6100.0000          4.03466473E+02          2.62392854E+02          1.58992620E+02
       6200.0000          4.09639222E+02          2.66182489E+02          1.61342534E+02
       6300.0000          4.15806189E+02          2.69966939E+02          1.63689593E+02
       6400.0000          4.21967430E+02          2.73746280E+02          1.66033834E+02
       6500.0000          4.28123002E+02          2.77520583E+02          1.68375293E+02
       6600.0000          4.34272956E+02          2.81289918E+02          1.70714005E+02
       6700.0000          4.40417345E+02          2.85054351E+02          1.73050005E+02
       6800.0000          4.46556218E+02          2.88813946E+02          1.75383324E+02
       6900.0000          4.52689622E+02          2.92568766E+02          1.77713993E+02
       7000.0000          4.58817605E+02          2.96318872E+02          1.80042044E+02
       7100.0000          4.64940210E+02          3.00064321E+02          1.82367506E+02
       7200.0000          4.71057481E+02          3.03805169E+02          1.84690406E+02
       7300.0000          4.77169460E+02          3.07541470E+02          1.87010772E+02
       7400.0000          4.83276187E+02          3.11273278E+02          1.89328632E+02
       7500.0000          4.89377702E+02          3.15000643E+02          1.91644009E+02
       7600.0000          4.95474042E+02          3.18723615E+02          1.93956930E+02
       7700.0000          5.01565246E+02          3.22442241E+02          1.96267418E+02
       7800.0000          5.07651348E+02          3.26156567E+02          1.98575497E+02
       7900.0000          5.13732383E+02          3.29866640E+02          2.00881189E+02
       8000.0000          5.19808386E+02          3.33572501E+02          2.03184517E+02
       8100.0000          5.25879388E+02          3.37274194E+02          2.05485502E+02
       8200.0000          5.31945423E+02          3.40971760E+02          2.07784164E+02
       8300.0000          5.38006521E+02          3.44665239E+02          2.10080524E+02
       8400.0000          5.44062713E+02          3.48354669E+02          2.12374602E+02
       8500.0000          5.50114027E+02          3.52040089E+02          2.14666416E+02
       8600.0000          5.56160493E+02          3.55721534E+02          2.16955985E+02
       8700.0000          5.62202138E+02          3.59399042E+02          2.19243328E+02
       8800.0000          5.68238989E+02          3.63072646E+02          2.21528461E+02
       8900.0000          5.74271074E+02          3.66742380E+02          2.23811402E+02
       9000.0000          5.80298417E+02          3.70408277E+02          2.26092167E+02
       9100.0000          5.86321045E+02          3.74070370E+02          2.28370774E+02
       9200.0000          5.92338981E+02          3.77728690E+02          2.30647236E+02
       9300.0000          5.98352250E+02          3.81383267E+02          2.32921571E+02
       9400.0000          6.04360875E+02          3.85034131E+02          2.35193793E+02
       9500.0000          6.10364879E+02          3.88681311E+02          2.37463917E+02
       9600.0000          6.16364285E+02          3.92324835E+02          2.39731957E+02
       9700.0000          6.22359113E+02          3.95964731E+02          2.41997927E+02
       9800.0000          6.28349386E+02          3.99601026E+02          2.44261840E+02
       9900.0000          6.34335125E+02          4.03233746E+02          2.46523711E+02
      10000.0000          6.40316349E+02          4.06862918E+02          2.48783552E+02
      11000.0000          6.99884513E+02          4.42964692E+02          2.71272996E+02
      12000.0000          7.59020868E+02          4.78736004E+02          2.93571884E+02
      13000.0000          8.17740235E+02          5.14195044E+02          3.15689495E+02
      14000.0000          8.76055112E+02          5.49356878E+02          3.37633544E+02
      15000.0000          9.33976237E+02          5.84234206E+02          3.59410560E+02
      16000.0000          9.91512982E+02          6.18837895E+02          3.81026158E+02
      17000.0000          1.04867364E+03          6.53177365E+02          4.02485225E+02
      18000.0000          1.10546564E+03          6.87260878E+02          4.23792073E+02
      19000.0000          1.16189571E+03          7.21095753E+02          4.44950537E+02
      20000.0000          1.21797000E+03          7.54688537E+02          4.65964068E+02
      21000.0000          1.27369415E+03          7.88045132E+02          4.86835791E+02
      22000.0000          1.32907342E+03          8.21170901E+02          5.07568562E+02
      23000.0000          1.38411271E+03          8.54070745E+02          5.28165004E+02
      24000.0000          1.43881663E+03          8.86749177E+02          5.48627546E+02
      25000.0000          1.49318951E+03          9.19210370E+02          5.68958444E+02
      26000.0000          1.54723547E+03          9.51458204E+02          5.89159807E+02
      27000.0000          1.60095844E+03          9.83496307E+02          6.09233616E+02
      28000.0000          1.65436214E+03          1.01532808E+03          6.29181738E+02
      29000.0000          1.70745017E+03          1.04695672E+03          6.49005939E+02
      30000.0000          1.76022597E+03          1.07838526E+03          6.68707897E+02
      31000.0000          1.81269287E+03          1.10961657E+03          6.88289207E+02
      32000.0000          1.86485406E+03          1.14065338E+03          7.07751396E+02
      33000.0000          1.91671265E+03          1.17149829E+03          7.27095924E+02
      34000.0000          1.96827164E+03          1.20215378E+03          7.46324194E+02
      35000.0000          2.01953395E+03          1.23262225E+03          7.65437553E+02
      36000.0000          2.07050243E+03          1.26290598E+03          7.84437302E+02
      37000.0000          2.12117984E+03          1.29300717E+03          8.03324697E+02
      38000.0000          2.17156888E+03          1.32292795E+03          8.22100951E+02
      39000.0000          2.22167218E+03          1.35267037E+03          8.40767241E+02
      40000.0000          2.27149232E+03          1.38223640E+03          8.59324709E+02
      41000.0000          2.32103181E+03          1.41162798E+03          8.77774463E+02
      42000.0000          2.37029312E+03          1.44084696E+03          8.96117583E+02
      43000.0000          2.41927867E+03          1.46989515E+03          9.14355119E+02
      44000.0000          2.46799084E+03          1.49877432E+03          9.32488094E+02
      45000.0000          2.51643193E+03          1.52748616E+03          9.50517509E+02
      46000.0000          2.56460425E+03          1.55603236E+03          9.68444339E+02
      47000.0000          2.61251004E+03          1.58441453E+03          9.86269539E+02
      48000.0000          2.66015150E+03          1.61263426E+03          1.00399404E+03
      49000.0000          2.70753080E+03          1.64069311E+03          1.02161876E+03
      50000.0000          2.75465009E+03          1.66859259E+03          1.03914459E+03
